id,word,old_level,new_level,source_difficulty
6817d6b8-2730-475c-8921-a17430f8d33a,"aaccdi",null,4,"Three Bee"
f07eb1b4-e1bb-4738-b9d2-46f73cb81aa6,"aachen",1,4,"Three Bee"
26fede2f-30df-4a7f-aeb3-2d4b16b9f313,"aal",null,4,"Three Bee"
8adf8f69-d8a0-4aab-bb81-ddce49a047e2,"aardvark",1,3,"Two Bee"
efde11e1-a244-48f2-bc1f-5c0c57ec519d,"abaculus",1,4,"Three Bee"
e4b6bb91-5581-4f47-b9d1-57b8a9e17760,"abalones",1,4,"Three Bee"
ee704465-1ada-48dd-a3eb-bb5ca5bbc72b,"abandon",1,2,"One Bee"
86aa76a8-781a-45c4-86f5-d647f08a4a7c,"abandoned",1,4,"Three Bee"
b9f41970-43c9-4b16-8fa7-641524b577e7,"abashed",1,2,"One Bee"
797d29d2-a8a3-40ea-b04f-0300dc1ad652,"abated",1,3,"Two Bee"
a0355993-d06a-4e0c-89e8-51dfb338f8c1,"abattoir",1,4,"Three Bee"
b8df0003-e582-4138-85d1-d946e7862fbb,"abbreviations",1,5,"Three Bee"
e4c78e28-c64d-4619-a032-0c0c2cc195b6,"abdomen",1,4,"Three Bee"
01d366e5-f99d-4722-87a7-c97d6e8e6052,"aberration",1,3,"Two Bee"
3b6d7952-33fd-4980-8f2d-25250592bba1,"abeyance",1,4,"Three Bee"
b2a8459e-b41d-404f-b12a-fdaad61b87ea,"abhenry",1,3,"Two Bee"
c33b7766-e008-48e4-becb-bb6e0d9e28ec,"abhijay",1,2,"One Bee"
45126fa8-1fd1-4416-9e5f-7a0f79a6fe13,"abhorrence",1,3,"Two Bee"
03de99d4-3816-47e4-b8f3-09ee1cb656cc,"abject",1,2,"One Bee"
87bbbf99-e0a7-4ccb-8610-f543a72dba48,"ablation",1,3,"Two Bee"
b382ad89-6842-47dc-8c7f-2dcc3e3980f9,"ablaut",1,3,"Two Bee"
3d46384e-6513-4a50-8bb7-a8f679e3e616,"ablaze",1,3,"Two Bee"
e747beef-f9bd-4039-8021-de5787cdf081,"abnegation",1,3,"Two Bee"
a42f9cb6-b139-4459-9b2e-92454ddcafbe,"abnegationbeguile",null,3,"Two Bee"
2f4c06d3-bb7c-4dfa-9d7d-eb186cfae8a9,"abodes",1,3,"Two Bee"
e1df43bd-7dd0-4a61-89b9-cb8decb55bed,"abolish",1,2,"One Bee"
fef27317-3590-4fa4-ab1d-985b3ace9dbc,"abomasum",1,4,"Three Bee"
68aa7f34-3658-485f-becb-0b5b6129c1c3,"abominable",1,3,"Two Bee"
b2db83f4-211b-47db-a2de-4bdeecb1d111,"aboriginal",1,2,"One Bee"
193ec1a3-b5a5-408e-b6e2-e98ffd7c342f,"abracadabra",1,3,"Two Bee"
21bb38da-f3c6-4715-ac8a-ba8cb8561f98,"abraum",1,4,"Three Bee"
1cb905ec-9f66-42cf-97ea-268e0804284c,"abrogate",1,3,"Two Bee"
d621033e-f4ed-42cd-b8bc-e4c0fde8dba7,"abruptly",1,2,"One Bee"
e4938edd-c13e-445c-b1d2-c897ba910fe3,"abscess",1,3,"Two Bee"
693c4975-106a-4ab6-9d48-59a31ccfd5da,"abscond",1,3,"Two Bee"
ee3147ae-182f-4f91-817e-79e4d37fedca,"absent",1,3,"Two Bee"
a5a5c230-768e-4e26-b2ca-308c73d62dd7,"absolution",1,3,"Two Bee"
9d2b203b-f755-4e0a-b169-32a81b25db2f,"absorptive",1,4,"Three Bee"
ac32c75e-af3e-46a9-82ad-be32f8ff0def,"abstemious",1,3,"Two Bee"
c9b9c665-e301-4e96-815e-4276af0522d6,"abstruse",1,3,"Two Bee"
05206c78-23f3-4bf7-8cc1-7913c225e087,"abstrusenephrolith",null,3,"Two Bee"
07e98d5a-5c40-43a6-9d26-0d9b26bf8086,"absurdly",1,4,"Three Bee"
d25bba40-ab5f-4417-93b4-fc7c1661c2db,"abundance",1,2,"One Bee"
983d5a81-bb5c-4cfa-8d9a-3e434a343767,"abundancecalamitous",null,5,"Three Bee"
1d30258f-990e-4407-a353-dd501e9896a0,"abysmal",1,3,"Two Bee"
b42e9fea-0992-43ca-b006-7527d1b44121,"acacia",1,4,"Three Bee"
7909f5cc-fb9a-4b55-b887-8b6710b33fe5,"academese",1,3,"Two Bee"
8bc70c46-759c-407b-8b83-42417856f5b9,"academic",1,4,"Three Bee"
01167fd7-3f63-429b-8067-ef37ce1cbe80,"academy",1,2,"One Bee"
1fe376c0-edf4-4f7f-b996-df5841d51e16,"acadians",1,3,"Two Bee"
d9ccd513-bf8d-4208-b04e-3a2b16d6d2b1,"accelerates",1,4,"Three Bee"
985dd8bc-8245-446c-a9ed-30434a4cddfc,"accent",1,4,"Three Bee"
1cdac98e-6eb1-449a-8533-b0139a388075,"accentuate",1,3,"Two Bee"
0fa95ea9-b637-44d5-abe5-ed07dae75b55,"accept",1,4,"Three Bee"
3c394a44-e96a-4efa-ac34-985e2b434715,"acceptable",1,3,"Two Bee"
1252c996-012c-476a-8bb2-57e3cff87d49,"acceptance",1,2,"One Bee"
0e21e947-b98c-4226-8333-da2d7415a71b,"accident",1,3,"Two Bee"
99446a59-8192-40f9-88de-1b7a0d208c11,"acclaim",1,2,"One Bee"
68900df3-e242-4aab-9ace-42c0bf117c04,"acclimate",1,4,"Three Bee"
afe43fb6-9f58-427f-9968-1ce57367ef62,"accolade",1,2,"One Bee"
a88507ff-245d-4156-920a-a9d4e92c6947,"accommodations",1,5,"Three Bee"
931442cb-93b1-4888-bced-e5badb17ad27,"accompli",1,4,"Three Bee"
d4c25c64-6a0b-47f5-a6b6-3c7b8eceece2,"accomplice",1,2,"One Bee"
6bf2cf88-433d-475d-a359-8909d142d5e3,"accomplished",1,5,"Three Bee"
702df439-3e50-41c4-a146-64ac63690b2e,"accomplishments",1,5,"Three Bee"
4713f28d-8878-454b-8a62-d9d5f9692b0b,"accordance",1,4,"Three Bee"
1e224e9d-b8e3-4282-a358-1cadb0f2764b,"accordatura",1,4,"Three Bee"
a96dd915-5dda-431a-9eae-fe644c81c241,"accouterment",1,5,"Three Bee"
7497a796-55d3-47d2-b627-cea7061301cb,"accoutrement",1,5,"Three Bee"
8d7dda83-91ce-46b4-917d-c72fde2a8203,"accrual",1,3,"Two Bee"
658aa51a-d141-4ef8-bdac-aa3d38aa8c5d,"accumulate",1,3,"Two Bee"
5a3bb789-f938-449d-93de-ab74799f7e22,"accurate",1,2,"One Bee"
47862ae3-1628-4639-889e-d348e34f8b59,"accuse",1,3,"Two Bee"
8fb85df5-192b-48ef-a111-225ba35b6bbb,"aceituna",1,4,"Three Bee"
058e9aed-4a2a-40c0-a915-237771117246,"acequia",1,4,"Three Bee"
b311e50c-b647-4820-a4d9-bc9516125ee2,"acerbity",1,3,"Two Bee"
3d0d6f31-243d-4278-a32c-aa729f3d7710,"acerola",1,4,"Three Bee"
c6a3abcb-10a8-4113-935d-34f842e8ba16,"acetaminophen",1,5,"Three Bee"
38eb7f7d-9715-49b5-802c-9f07ccae80be,"acetone",1,4,"Three Bee"
1d10a6ea-38c9-44e9-b1be-94e6dd3e519f,"acharya",1,4,"Three Bee"
31ccbde6-838e-428c-b640-9c26eaba842a,"achernar",1,4,"Three Bee"
