word,definition,part_of_speech,pronunciation_guide,etymology,language_origins,example_sentence,memory_tip,phonetic_transparency_score,word_frequency_score,morphological_complexity_score,etymology_complexity_score,difficulty,definition_source,pronunciation_source,etymology_source,memory_tip_source,example_sentence_source,source_difficulty,years,source_files,is_error,error_message
elegiac,Relating to or having the style of an elegy; expressing sorrow or lamentation; mournful and melancholic in tone.,adjective,el-uh-JYE-ak (emphasis on third syllable),"From Greek ""elegeia"" meaning ""song of mourning"" + ""-ac"" suffix. Literary terminology.",Greek,The poet's _____ verses captured the profound sadness of loss.,"Remember ""ele-GY-ac"" - relating to an ""elegy,"" a sad poem, ""elegiac"" poetry mourns and laments.",10,4,2,5,,Claude,Claude,Claude,Claude,Claude,One Bee; Two Bee,2020; 2021; 2022,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf,False,
element,A basic chemical substance; a fundamental component or part; one of the basic principles of a subject.,noun,EL-uh-ment (emphasis on first syllable),"From Latin ""elementum"" meaning ""first principles."" Scientific and general terminology.",Latin,Hydrogen is the simplest _____ on the periodic table.,"Remember ""ELE-ment"" - the ""elementary"" building blocks of chemistry and other subjects.",10,9,4,5,,Claude,Claude,Claude,Claude,Claude,One Bee; Three Bee; Two Bee,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,False,
elevator,A moving platform in a shaft for carrying people or goods between floors; something that raises or lifts.,noun,EL-uh-vay-ter (emphasis on first syllable),"From ""elevate"" + ""-or"" suffix. About lifting or raising up.",English formation from Latin roots,"The office building's _____ broke down, forcing everyone to use the stairs.","Simple ""ELE-vator"" - a machine that ""elevates"" people up and down between floors.",10,9,3,5,,Claude,Claude,Claude,Claude,Claude,One Bee; Three Bee; Two Bee,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,False,
elicitation,"The action of drawing out or bringing forth information, responses, or reactions; the process of obtaining something.",noun,ih-lis-ih-TAY-shun (emphasis on fourth syllable),"From Latin ""elicere"" meaning ""to draw out"" (e- ""out"" + lacere ""to entice"") + ""-ation.""",Latin,The teacher's skillful _____ of student responses led to a productive discussion.,"Think ""e-licit-ATION"" - the process of making something ""licit"" (legal) to come out, drawing forth responses.",10,2,4,5,,Claude,Claude,Claude,Claude,Claude,Three Bee; Two Bee,2022; 2023; 2024; 2025,2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,False,
eligibility,The state of having the right to something; qualification or suitability for a particular purpose or benefit.,noun,el-ih-jih-BIL-ih-tee (emphasis on fourth syllable),"From ""eligible"" (from Latin ""eligere"" meaning ""to choose"") + ""-ity"" suffix.",Latin,Her _____ for the scholarship was based on both academic merit and financial need.,"Remember ""eli-gi-BIL-ity"" - the ability to be ""eligible,"" qualified to be chosen for something.",10,2,3,5,,Claude,Claude,Claude,Claude,Claude,Three Bee; Two Bee,2022; 2023; 2024; 2025,2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,False,
eliminate,To completely remove or get rid of something; to exclude from consideration; to kill or destroy.,verb,ih-LIM-uh-nayt (emphasis on second syllable),"From Latin ""eliminare"" meaning ""to turn out of doors"" (e- ""out"" + limen ""threshold"").",Latin,The new software will _____ the need for manual data entry.,"Think ""e-LIMinate"" - to push something past the ""limit"" and out the door, completely removing it.",10,9,3,5,,Claude,Claude,Claude,Claude,Claude,Three Bee,2025,2025 Words of Champion _1_.pdf,False,
elision,The omission of sounds or syllables in speech; the leaving out of part of a word or phrase.,noun,ih-LIZH-un (emphasis on second syllable),"From Latin ""elidere"" meaning ""to strike out"" (e- ""out"" + laedere ""to strike"").",Latin,"The contraction ""can't"" is an example of _____ in English.","Remember ""e-LI-sion"" - like ""collision,"" sounds crash together and some parts get struck out.",10,4,2,5,,Claude,Claude,Claude,Claude,Claude,One Bee,2020,2020 Words_of_the_Champions.pdf,False,
ellipse,An oval shape; a closed curve that is stretched in one direction; a geometric figure with two focal points.,noun,ih-LIPS (emphasis on second syllable),"From Greek ""elleipsis"" meaning ""a falling short"" (from elleipein ""to fall short"").",Greek,The planet's orbit around the sun follows an _____ rather than a perfect circle.,"Think ""e-LLIPSE"" - like ""lips"" in an oval shape, an elongated circle that's stretched.",10,4,2,6,,Claude,Claude,Claude,Claude,Claude,Three Bee,2024; 2025,2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,False,
elocution,The skill of clear and expressive speech; the art of effective public speaking and pronunciation.,noun,el-uh-KYOO-shun (emphasis on third syllable),"From Latin ""elocutio"" meaning ""manner of speaking"" (e- ""out"" + loqui ""to speak"").",Latin,The actor studied _____ to improve her stage presence and vocal delivery.,"Remember ""elo-CU-tion"" - like ""execution"" of clear speech, the art of speaking ""out"" effectively.",10,4,4,5,,Claude,Claude,Claude,Claude,Claude,One Bee; Three Bee; Two Bee,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,False,
elongated,Made longer or extended in length; stretched out; having unusual length in proportion to width.,"adjective, verb",ih-LONG-gay-ted (emphasis on second syllable),"From ""elongate"" (from Latin ""elongare"" meaning ""to extend"") + ""-ed"" suffix.",Latin,The artist painted an _____ figure that appeared to stretch toward the ceiling.,"Simple ""e-LONG-ated"" - made to be ""long,"" stretched out and extended in length.",10,6,4,5,,Claude,Claude,Claude,Claude,Claude,Three Bee,2024,2024 Words of the Champions.pdf,False,
else,In addition; besides; otherwise; if not; used to indicate an alternative.,"adverb, adjective","ELS (rhymes with ""bells"")","From Old English ""elles"" meaning ""otherwise."" Basic English adverb.",Old English,"We need to hurry, or _____ we'll miss the train.","Simple ""ELSE"" rhymes with ""bells"" - when you hear the bells, choose something else or otherwise.",10,9,2,5,,Claude,Claude,Claude,Claude,Claude,One Bee,2021,2021_Printable_Words of the Champions.pdf,False,
eluate,The liquid that results from elution; a solution obtained by washing or extracting material from a substance.,noun,EL-yoo-ayt (emphasis on first syllable),"From ""elute"" (from Latin ""eluere"" meaning ""to wash out"") + ""-ate"" suffix.",Latin,The chemist collected the _____ after washing the sample through the column.,"Think ""ELU-ate"" - the liquid that ""eludes"" from a substance when you wash it out.",10,7,2,5,,Claude,Claude,Claude,Claude,Claude,Three Bee; Two Bee,2023; 2024; 2025,2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,False,
eluateheterophony,,,,,,,,0,0,0,0,,Claude,Claude,Claude,Claude,Claude,Two Bee,2022,2022 Words of the Champions_low_ink_printable.pdf,True,"Combined word error: ""eluateheterophony"" appears to be ""eluate"" + ""heterophony"" merged together. This is likely a PDF parsing error where two separate words were incorrectly combined."
elucidate,To make something clear by explaining it more fully; to clarify or shed light on a subject.,verb,ih-LOO-sih-dayt (emphasis on second syllable),"From Latin ""elucidare"" meaning ""to make light"" (e- ""out"" + lucidus ""clear, bright"").",Latin,The professor asked the student to _____ her answer with more specific examples.,"Remember ""e-LUCI-date"" - to make ""lucid"" (clear) by bringing light to dark subjects.",10,4,3,5,,Claude,Claude,Claude,Claude,Claude,One Bee; Three Bee; Two Bee,2020; 2021; 2022; 2023; 2024,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf,False,
