word,definition,pronunciation,etymology,memory_tip,example_sentence,part_of_speech,source,source_difficulty,claude_difficulty,phonetic_score,frequency_score,morphological_score,etymology_score,total_score
sedum,"A genus of succulent plants in the family Crassulaceae, commonly known as stonecrops, characterized by thick, fleshy leaves and star-shaped flowers. Sedums are popular in xeriscaping and rock gardens due to their drought tolerance and ability to thrive in poor soil conditions. These plants store water in their leaves, making them highly adapted to arid environments and capable of surviving extended periods without irrigation. Many sedum species produce attractive clusters of small flowers in various colors including yellow, white, pink, and red. They are valued for their low maintenance requirements, ability to spread as ground cover, and use in green roof installations. Some species like Sedum spectabile (showy stonecrop) are particularly prized for their late-season blooms that attract butterflies and other pollinators.",/ˈsiːdəm/,"From Latin sedum meaning houseleek, from sedere meaning to sit, referring to how these plants sit on rocks.","Think ""SEED-UM"" - succulent plants that sit and store water like seeds storing energy.",The rock garden featured various _____ species that created colorful displays with minimal water requirements.,noun,Scripps National Spelling Bee,Three Bee,,0.1,1.0,0,1.0,2.1
seen,"Past participle of the verb ""see,"" indicating that something has been observed, witnessed, or perceived visually at some point in the past. The word is used in perfect tenses to describe completed actions of visual perception, such as ""I have seen that movie"" or ""She had seen the accident happen."" Seen requires an auxiliary verb (have, has, had) when used as a past participle, distinguishing it from the simple past tense ""saw."" The term can also refer to being noticed, understood, or experienced, extending beyond just visual perception to include recognition or comprehension. In passive constructions, ""seen"" indicates that someone or something was observed by others. The word is fundamental to describing past experiences and observations in English.",/siːn/,"From Old English sewen, past participle of seon meaning to see, related to German gesehen.","Think ""SEEN"" rhymes with ""been"" - both are past participles describing completed actions.",The witness testified that she had _____ the suspect leaving the building at midnight.,verb (past participle),Scripps National Spelling Bee,One Bee/Three Bee/Two Bee,,0.1,0.5,0,1.0,1.6
seer,"A person believed to have the ability to perceive future events or hidden truths through supernatural insight, prophetic vision, or mystical powers. Seers have appeared throughout history in various cultures as oracles, prophets, fortune-tellers, or spiritual advisors who claim to access information beyond normal sensory perception. In religious and mythological contexts, seers often serve as intermediaries between divine realms and human society, delivering prophecies or guidance. The term can also refer to anyone with exceptional foresight, wisdom, or ability to predict outcomes based on careful observation and analysis. Modern usage sometimes applies ""seer"" to visionary leaders, analysts, or futurists who demonstrate remarkable insight into trends and developments. The credibility and interpretation of seers' predictions have been subjects of debate throughout human history.",/sɪr/,"From see + -er suffix, literally meaning one who sees, particularly one who sees beyond the normal range.","Think ""SEE-ER"" - someone who sees beyond what others can see, into the future.",The ancient _____ predicted that the kingdom would face great challenges in the coming year.,noun,Scripps National Spelling Bee,Three Bee,,0.1,0.5,0,0,0.6
seethe,"To be extremely angry or filled with rage, often while trying to control or suppress these intense emotions; to be in a state of inner turmoil or agitation. The word originates from the literal meaning of boiling or bubbling with heat, and this metaphor perfectly captures the image of emotions bubbling just beneath the surface. Someone who is seething may appear outwardly calm while experiencing intense internal anger or frustration. The term can also literally mean to boil vigorously or to foam and bubble, as in cooking or chemical processes. Seething anger often implies a prolonged state of fury rather than a brief outburst, suggesting that the person is struggling to contain their emotions. This controlled rage can be more intimidating than open displays of anger because it suggests potential for explosive release.",/siːð/,"From Old English sēothan meaning to boil or cook, related to German sieden meaning to boil.","Think ""SEE-THE"" - you can see the anger boiling like liquid in a pot.","After being passed over for promotion again, she continued to _____ with resentment.",verb,Scripps National Spelling Bee,One Bee/Three Bee/Two Bee,,0.1,1.0,0.4,1.0,2.5
segmentate,"To divide into segments or distinct sections; to separate something into component parts or portions. This term is often used in biological contexts to describe the development of segmented body structures, such as the formation of body segments in insects, worms, or other arthropods during embryonic development. In technical and analytical contexts, segmentation involves breaking down complex systems, data sets, or structures into manageable, identifiable components for study or organization. Market research uses segmentation to divide consumer populations into distinct groups based on characteristics or behaviors. Image processing and computer vision employ segmentation algorithms to identify and separate different regions or objects within digital images. The process of segmentation is fundamental to understanding complex systems by examining their constituent parts.",/ˈsɛɡmənˌteɪt/,From Latin segmentum meaning a piece cut off + -ate suffix meaning to make or cause.,"Think ""SEGMENT-ATE"" - to create segments by dividing something into parts.",The biologist studied how embryos _____ into distinct body regions during early development.,verb,Scripps National Spelling Bee,One Bee,,0.1,2.0,1.0,1.0,4.1
seiche,"A standing wave oscillation in an enclosed or partially enclosed body of water, such as a lake, bay, or harbor, caused by atmospheric pressure changes, seismic activity, or wind patterns. Unlike regular waves that travel across water surfaces, seiches involve the entire water body rocking back and forth like water sloshing in a bathtub. These phenomena can cause water levels to rise and fall dramatically at different ends of the water body, sometimes creating dangerous conditions for boats and shoreline structures. Lake seiches are common in large lakes like the Great Lakes, where they can cause water level changes of several feet. The oscillation period depends on the dimensions and depth of the water body, following specific mathematical relationships. Seiches demonstrate fundamental principles of fluid dynamics and wave mechanics in confined spaces.",/seɪʃ/,"From French seiche, from Swiss German Säck meaning to sink or dry up, referring to water level changes.","Think ""SAY-SH"" - like saying ""shush"" to calm the oscillating water in a lake.",The harbor experienced a _____ that caused boats to rock violently despite the absence of storm waves.,noun,Scripps National Spelling Bee,One Bee,,0.1,1.0,0.4,1.0,2.5
seine,"A large fishing net designed to encircle schools of fish, with floats along the top edge and weights along the bottom, allowing fishermen to surround and capture fish by drawing the net closed like a purse. Seine nets can be operated from shore (beach seining) or from boats (purse seining), depending on the fishing location and target species. This ancient fishing method is highly effective for catching schooling fish such as sardines, mackerel, tuna, and salmon. The net is deployed in a large circle around a fish school, then the bottom is closed to prevent escape, and the entire catch is hauled aboard. Seine fishing requires coordination between multiple crew members and specific techniques for different fish species and water conditions. Modern seine nets may incorporate sonar technology to locate fish schools and optimize fishing success.",/seɪn/,"From Old English segne, from Latin sagena, from Greek σαγήνη (sagene) meaning fishing net.","Think ""SANE"" - a sane way to catch fish by surrounding them with a net.",The fishing crew deployed their _____ net to encircle the large school of tuna.,noun/verb,Scripps National Spelling Bee,One Bee/Three Bee/Two Bee,,0.1,1.0,0,1.0,2.1
seismologist,"A scientist who specializes in the study of earthquakes and seismic waves, analyzing the movement and behavior of Earth's crust to understand geological processes and earthquake mechanisms. Seismologists use sophisticated instruments called seismometers to detect and measure ground motion, studying how seismic waves travel through different types of rock and soil. Their work involves interpreting seismic data to determine earthquake locations, magnitudes, and depths, as well as investigating the geological structures that influence seismic activity. This research is crucial for earthquake hazard assessment, building code development, and public safety planning in earthquake-prone regions. Seismologists also study volcanic tremors, landslides, and other phenomena that generate seismic signals. Their expertise contributes to early warning systems and helps communities prepare for and respond to seismic events.",/saɪzˈmɒlədʒɪst/,From Greek seismos meaning earthquake + logos meaning study + -ist meaning one who practices.,"Think ""SEISMO-LOGIST"" - a scientist who studies seismic activity and earthquakes.",The _____ analyzed the earthquake data to determine the exact location and magnitude of the tremor.,noun,Scripps National Spelling Bee,One Bee/Two Bee,,0.1,2.0,1.0,1.0,4.1
seize,"To take hold of suddenly and forcibly; to grab, capture, or apprehend with quick, decisive action. The word implies swift, deliberate action to gain control of something or someone, often suggesting urgency or the need to act before an opportunity is lost. In legal contexts, seize refers to the official confiscation of property by authorities, such as when police seize evidence or when governments seize assets. The term can also mean to take advantage of an opportunity, as in ""seizing the moment"" or ""seizing an opportunity."" Mechanical seizure describes when moving parts become stuck due to overheating, lack of lubrication, or excessive friction. Medical seizures involve sudden, uncontrolled electrical activity in the brain. The word emphasizes the forceful, immediate nature of the action.",/siːz/,"From Old French seisir meaning to take possession, from Germanic roots meaning to set or place.","Think ""SEES"" but with a ""Z"" - when you see an opportunity, you seize it quickly.",The police moved quickly to _____ the suspect before he could escape through the back door.,verb,Scripps National Spelling Bee,One Bee/Three Bee/Two Bee,,0.1,1.0,0.3,1.0,2.4000000000000004
selah,"A Hebrew word appearing frequently in the Psalms and Habakkuk in the Bible, whose exact meaning remains uncertain but is generally believed to indicate a musical or liturgical direction. Scholars suggest it may signal a pause for reflection, an instrumental interlude, a change in musical tempo or key, or a moment for the congregation to respond. The word appears 71 times in the Psalms and 3 times in Habakkuk, always at the end of a verse or stanza. Some interpretations suggest it means ""forever"" or ""amen,"" while others propose it indicates emphasis or calls attention to important passages. In modern worship and biblical study, selah is often understood as an invitation to pause and meditate on the preceding words. The mystery surrounding its precise meaning has made it a subject of ongoing theological and linguistic research.",/ˈsiːlə/ or /ˈseɪlə/,"From Hebrew סֶלָה (selah), possibly related to salal meaning to lift up or exalt.","Think ""SEE-LAH"" - a moment to see and reflect on what has been said.","The psalm ended with the word _____, indicating a pause for contemplation.",interjection,Scripps National Spelling Bee,Three Bee/Two Bee,,0.1,1.0,0,1.5,2.6
