word,years,source_files,source_difficulties,definition,part_of_speech,pronunciation_guide,pronunciation_source,etymology,etymology_source,language_origins,example_sentence,example_sentence_source,memory_tip,phonetic_complexity,frequency_complexity,morphological_complexity,etymological_complexity,final_difficulty_rating,difficulty_justification,audio_file_path,image_file_path,last_updated
fraught,2020; 2021; 2022; 2023,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf,One Bee; Two Bee,"Fraught means filled with, laden with, or characterized by something undesirable, typically stress, tension, difficulty, or danger. It describes situations, relationships, or conditions that are heavy with problems, anxiety, or potential complications. The word suggests not just the presence of difficulties but an overwhelming abundance of them, creating a sense of being weighed down or burdened by challenging circumstances.",adjective,FRAWT,Claude,"From Middle Dutch ""vracht"" meaning ""freight, cargo,"" originally referring to a ship loaded with cargo, later extended to mean ""loaded with"" or ""full of.""",Claude,Middle Dutch,The peace negotiations were _______ with tension as both sides struggled to reach agreement.,Claude,"Remember ""FRAUGHT"" - a situation so FRAUGHT with problems it feels like carrying heavy FREIGHT or cargo.",0.5,0.5,0.0,0.5,,,,,2024-08-20
frazil,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"Frazil refers to fine ice crystals that form in supercooled, turbulent water, typically in rivers and streams during extremely cold weather. These delicate ice formations appear as floating needles or platelets and can accumulate to form ice jams. Frazil ice is important in hydrology and can affect water flow, navigation, and the formation of anchor ice on riverbeds.",noun,FRAY-zil,Claude,"From French Canadian ""frasil"" meaning ""cinders, embers,"" referring to the appearance of the ice crystals floating like ash or cinders in water.",Claude,French Canadian,The river was filled with _______ ice crystals that sparkled in the winter sunlight.,Claude,"Remember ""FRAZIL"" - FRAZZLED ice crystals that look like floating embers or ash in cold water.",0.0,0.5,0.0,0.5,,,,,2024-08-20
freckle,2020; 2021; 2022; 2023; 2024,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf,One Bee; Three Bee; Two Bee,"A freckle is a small, brownish spot on the skin caused by an increase in melanin production, typically triggered by sun exposure. Freckles are most common on fair-skinned individuals and appear primarily on sun-exposed areas like the face, shoulders, and arms. As a verb, freckle means to mark or become marked with these small spots. Freckles are generally harmless and often considered a distinctive feature of natural beauty.","noun, verb",FRECK-ul,Claude,"From Middle English ""frekel,"" related to Old Norse ""freknur"" (freckles), possibly from a root meaning ""to sprinkle.""",Claude,"Middle English, Old Norse",Her face was dotted with golden _______ that appeared every summer in the sun.,Claude,"Remember ""FRECKLE"" - small spots that look like they were FREquently speCKLEd across the skin.",0.0,0.5,0.0,0.4,,,,,2024-08-20
free,2023; 2024; 2025,2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee,"Free means not under the control or domination of another, having liberty or independence to act, speak, or think without external constraint. It can also mean provided without charge, not bound by rules or obligations, or released from captivity or restriction. The concept encompasses both political liberty and personal autonomy, as well as the absence of cost or obligation.","adjective, adverb, verb",FREE,Claude,"From Old English ""freo"" meaning ""free, not in bondage,"" related to Sanskrit ""priya"" (dear, beloved), suggesting the original meaning was ""beloved"" or ""dear one.""",Claude,"Old English, Proto-Indo-European","The birds flew _______ across the open sky, unrestrained by any barriers.",Claude,"Remember ""FREE"" - able to FLY and ROAM without any restrictions or chains holding you back.",0.1,0.3,0.0,0.30000000000000004,,,,,2024-08-20
freedom,2023,2023_Words_of_the_Champions.pdf,Two Bee,"Freedom is the state of being free from oppression, coercion, or restraint, encompassing both political liberty and personal autonomy. It represents the power to act, speak, or think without external control or interference. Freedom includes various dimensions: political freedom (democratic rights), personal freedom (individual choices), economic freedom (property rights), and philosophical freedom (free will). The concept is fundamental to human dignity and democratic societies.",noun,FREE-dum,Claude,"From Old English ""freodom,"" composed of ""freo"" (free) plus ""-dom"" (state, condition), literally meaning ""the state of being free.""",Claude,Old English,The constitution guarantees citizens the _______ to practice their religion without government interference.,Claude,"Remember ""FREEDOM"" - the DOM(ain) where you are FREE to make your own choices without oppression.",0.1,0.5,0.0,0.30000000000000004,,,,,2024-08-20
freegan,2022; 2023; 2024; 2025,2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee,"A freegan is a person who adopts a lifestyle that attempts to minimize consumption and waste, particularly by recovering and eating discarded food that is still safe to consume. Freegans practice this as a form of protest against perceived waste and excess in consumer society. The movement combines environmental activism with anticonsumerist philosophy, seeking to reduce participation in the conventional economy while addressing food waste.","noun, adjective",FREE-gun,Claude,"A portmanteau word combining ""free"" (as in free food) and ""vegan,"" coined in the 1990s by activists who extended vegan principles to include anticonsumerism.",Claude,Modern English (portmanteau),The _______ activist rescued perfectly good vegetables from the grocery store dumpster.,Claude,"Remember ""FREEGAN"" - FREE food + veGAN ethics, getting free food to reduce waste and consumption.",0.1,0.5,0.0,0.4,,,,,2024-08-20
freesia,2020; 2021; 2022; 2023,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf,One Bee; Two Bee,"Freesia is a genus of fragrant flowering plants native to South Africa, widely cultivated for their delicate, tubular flowers and sweet scent. These bulbous perennials produce colorful blooms in white, yellow, pink, red, and purple, making them popular in gardens and as cut flowers. Freesias are prized for their intense fragrance and are commonly used in perfumes, bouquets, and ornamental plantings.",noun,FREE-zhuh,Claude,"Named after Friedrich Heinrich Theodor Freese (1795-1876), a German botanist and physician, with the suffix ""-ia"" indicating a genus name.",Claude,Modern Latin (named after German botanist),The garden was filled with the sweet scent of blooming _______ flowers.,Claude,"Remember ""FREESIA"" - named after botanist FREESe, these flowers smell so good they seem FREE of any unpleasant odor.",0.1,0.5,0.0,0.7,,,,,2024-08-20
freezescorch,2021,2021_Printable_Words of the Champions.pdf,One Bee,"Freezescorch appears to be a combined word error where ""freeze"" and ""scorch"" were incorrectly merged during PDF processing. These are opposite concepts: freeze means to become solid due to cold temperatures, while scorch means to burn or char due to excessive heat. This represents a data quality issue where two distinct weather-related terms with opposite meanings were improperly joined together.",corrupted entry,FREEZE-skorch,Claude,"Corrupted combination of ""freeze"" (from Old English ""freosan"") and ""scorch"" (from Old Norse ""skorpna"").",Claude,"Old English, Old Norse (corrupted)",The word _______ represents a parsing error combining two opposite temperature effects.,Claude,"This is a data error - remember that ""freeze"" and ""scorch"" are opposites that should not be combined.",0.1,0.8,0.0,0.30000000000000004,,,,,2024-08-20
freight,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"Freight refers to goods or cargo transported by ship, aircraft, truck, or train, especially as a commercial enterprise. It encompasses both the merchandise being shipped and the transportation service itself. Freight can also mean the cost of transporting goods or the act of loading cargo. The term emphasizes commercial transportation of bulk goods rather than passenger travel, representing a crucial component of global commerce and supply chains.","noun, verb",FRAYT,Claude,"From Middle Dutch ""vrecht"" meaning ""freight, cargo,"" related to ""vrachten"" (to load a ship), ultimately from a root meaning ""to carry.""",Claude,Middle Dutch,The _______ train carried containers of goods across the country to distribution centers.,Claude,"Remember ""FREIGHT"" - heavy cargo that creates WEIGHT during transport, like freight trains carrying loads.",0.3,0.5,0.0,0.5,,,,,2024-08-20
french,2024; 2025,2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee,"French refers to anything relating to France, its people, language, or culture. As an adjective, it describes characteristics, customs, products, or styles originating from France. French also denotes the Romance language spoken primarily in France and other francophone countries, known for its sophisticated literature, diplomacy, cuisine, and cultural influence. The term encompasses both the national identity and the broad cultural contributions of French civilization.","adjective, noun",FRENCH,Claude,"From Old English ""frencisc,"" derived from ""Franca"" (the Franks), the Germanic tribe that conquered Gaul and gave France its name.",Claude,"Old English, Germanic",She studied _______ cuisine and learned to prepare classic dishes like coq au vin.,Claude,"Remember ""FRENCH"" - the language and culture of the FRANKS who conquered France long ago.",0.0,0.5,0.0,0.20000000000000004,,,,,2024-08-20
