word,definition,pronunciation,etymology,memory_tip,example_sentence,etymology_source,definition_source,example_sentence_source,audio_source,difficulty_level,phonetic_score,frequency_score,morphology_score,etymology_score,combined_word_error
bronze,A brown metallic alloy of copper and tin; a work of art made from bronze,/brɑnz/,"From French bronze, from Italian bronzo, possibly from Persian birinj 'copper'","BRONZE: Beautiful Really - Obviously metallic color, Never shiny like gold, Zestful brown metal, Everyone knows third place medal",The sculptor cast the statue in gleaming _____.,Claude,Claude,Claude,,Intermediate,2.0,3.0,1.0,5.0,False
brooding,Thinking deeply about something troubling; sitting on eggs to hatch them,/ˈbrudɪŋ/,"From brood + -ing, where brood comes from Old English brōd meaning 'offspring'","BROODING: Basic Really - Obviously worried thinking, Obviously Disturbing thoughts, Including serious contemplation, Never Getting happier, Getting everyone concerned",She spent the evening _____ over her failed presentation.,Claude,Claude,Claude,,Intermediate,1.5,3.0,1.3,3.5,False
brooklyn,A borough of New York City; named after the Dutch town Breuckelen,/ˈbrʊklɪn/,"From Dutch Breuckelen, meaning 'broken land' or 'marsh land'","BROOKLYN: Beautiful Really - Obviously famous borough, Outstanding urban area, Keeping everyone visiting, Lots of people, Year-round activity, Never boring place",The _____ Bridge connects Manhattan and Brooklyn.,Claude,Claude,Claude,,Beginner,1.5,3.0,1.0,2.0,False
broth,"A thin liquid food made by boiling meat, fish, or vegetables",/brɔθ/,"From Old English broth, from Proto-Germanic bruthą meaning 'brew'","BROTH: Basic Really - Obviously liquid food, Totally delicious, Hearty warm soup base",The chicken _____ simmered slowly for hours.,Claude,Claude,Claude,,Intermediate,1.0,2.5,1.3,3.5,False
brothash,"A variant spelling of 'brothish', meaning resembling or having the qualities of broth",/ˈbrɔθæʃ/,"From broth + -ash suffix, variant of -ish meaning 'having the quality of'","BROTHASH: Basic Really - Obviously liquid-like consistency, Totally thin liquid, Having watery texture, And Soupy consistency, Something liquid like broth, Having thin consistency",The _____ consistency of the soup disappointed the diners.,Claude,Claude,Claude,,Beginner,1.0,3.0,1.0,3.0,False
brother,A male sibling; a close male friend or colleague,/ˈbrʌðər/,"From Old English brōthor, from Proto-Germanic brōther","BROTHER: Basic Really - Obviously family member, Totally close relationship, Having shared parents, Everyone Recognizes family bond",His younger _____ helped him move to the new apartment.,Claude,Claude,Claude,,Intermediate,1.0,3.0,1.3,3.5,False
brought,Past tense of bring; carried or taken to a place,/brɔt/,"From bring, past tense, from Old English bringan","BROUGHT: Basic Really - Obviously past action, Usually Getting things to destination, Having transported items, Totally completed action",She _____ fresh flowers to brighten the room.,Claude,Claude,Claude,,Intermediate,2.5,3.0,1.0,3.5,False
brouhaha,A noisy and overexcited reaction; an uproar or commotion,/ˈbruəˌhɑhə/,"From French brouhaha, possibly imitative of noisy confusion","BROUHAHA: Big Really - Outstanding noise, Usually loud commotion, Having Amazing chaos, Having everyone Agitated, Having Amazing uproar",The announcement caused a _____ among the shareholders.,Claude,Claude,Claude,,Beginner,1.5,3.0,1.0,2.0,False
brouillon,A rough draft or preliminary sketch,/ˈbruiˌɔn/,"From French brouillon meaning 'rough draft', from brouiller 'to confuse'","BROUILLON: Basic Really - Obviously rough draft, Usually Initial writing, Lots of changes needed, Looking like first attempt, Obviously Not final version",The author's _____ was covered with corrections and revisions.,Claude,Claude,Claude,,Intermediate,1.5,4.0,1.0,2.0,False
brown,"A dark color produced by mixing red, yellow, and black",/braʊn/,"From Old English brūn, from Proto-Germanic brūnaz","BROWN: Basic Really - Obviously earth color, Wood Natural color, Never bright and shiny",The _____ leaves fell gently from the autumn trees.,Claude,Claude,Claude,,Beginner,1.0,2.5,1.0,3.5,False
