word,definition,pronunciation,etymology,memory_tip,example_sentence,etymology_source,definition_source,example_sentence_source,audio_source,difficulty_level,phonetic_score,frequency_score,morphology_score,etymology_score,combined_word_error
bavaria,"A state in southeastern Germany, known for its culture and beer",/bəˈvɛriə/,"From Germanic Bavarii, the name of a tribe that settled in the region","BAVARIA: Beautiful Alpine - Vibrant And Rich culture, In south-central europe, Amazing beer region",The Oktoberfest celebration originated in _____ and attracts visitors worldwide.,Claude,Claude,Claude,,Beginner,1.0,3.0,1.0,2.0,False
bavarian,"Relating to Bavaria or its people, culture, or language",/bəˈvɛriən/,"From Bavaria + -an suffix, referring to the German state and its culture","BAVARIAN: Beautiful Alpine - Vibrant And Rich traditions, In Austria and Germany area, Native culture",The restaurant served traditional _____ sausages with sauerkraut and pretzels.,Claude,Claude,Claude,,Beginner,1.0,3.0,1.0,2.0,False
bavarois,A cold dessert made from custard thickened with gelatin and lightened with whipped cream,/ˌbævəˈrwɑ/,"From French bavarois meaning 'Bavarian', referring to its supposed Bavarian origin","BAVAROIS: Beautiful And - Velvet dessert, Amazing Rich custard, Offered In restaurants, Silky dessert",The chef prepared a delicate strawberry _____ for the elegant dinner party.,Claude,Claude,Claude,,Beginner,1.0,3.0,1.0,2.0,False
bawl,To cry loudly; to shout or call out loudly,/bɔl/,"From Middle English bawlen, possibly of imitative origin",BAWL: Big And - Wailing Loud cries and calls,The toddler began to _____ when his favorite toy was taken away.,Claude,Claude,Claude,,Intermediate,1.5,2.5,1.0,3.5,False
bayonet,A knife-like weapon attached to the end of a rifle,/ˈbeɪənət/,"From French baïonnette, named after Bayonne, France, where it was first made","BAYONET: Blade Attached - Yard-long weapon On rifle, Nice sharp Edge, Tactical weapon",The soldier fixed his _____ to his rifle before the charge.,Claude,Claude,Claude,,Beginner,1.5,3.0,1.0,2.0,False
bayreuth,A city in Germany famous for its Wagner opera festival,/ˈbaɪroɪt/,"From German Bayreuth, from Old High German bei 'near' + reuth 'clearing'","BAYREUTH: Beautiful And - Year-round Wagner opera festival, Really Exceptional music, Unique Theater Heritage",Music lovers travel to _____ every summer for the prestigious Wagner festival.,Claude,Claude,Claude,,Beginner,1.5,3.0,1.3,2.0,False
bazaar,"A marketplace, especially in Middle Eastern countries; a fundraising sale",/bəˈzɑr/,From Persian bāzār meaning 'market',"BAZAAR: Bustling And - Zealous merchants, Amazing treasures, All kinds of goods, Really diverse marketplace",The charity _____ featured handmade crafts and delicious international foods.,Claude,Claude,Claude,,Intermediate,2.0,3.0,1.0,5.0,False
bazar,Alternative spelling of bazaar; a marketplace or market area,/bəˈzɑr/,"From Persian bāzār meaning 'market', alternative spelling of bazaar","BAZAR: Bustling And - Zealous merchants, Alternative spelling, Really diverse marketplace","The old _____ in the city center sold spices, textiles, and traditional crafts.",Claude,Claude,Claude,,Intermediate,2.0,2.5,1.0,5.0,False
bazooka,A portable rocket launcher; a type of antitank weapon,/bəˈzukə/,"Named after a musical instrument played by comedian Bob Burns, from its similar appearance","BAZOOKA: Big And - Zapping weapon, Outstanding rocket launcher, Kicks powerfully, Attacks tanks",The soldiers used a _____ to destroy the enemy's armored vehicle.,Claude,Claude,Claude,,Intermediate,2.5,3.0,1.0,3.0,False
bdelloid,Relating to a type of rotifer (microscopic aquatic animal) that reproduces asexually,/ˈdɛlɔɪd/,From Greek bdella meaning 'leech' + -oid suffix meaning 'resembling',"BDELLOID: Bizarre Definitely - Everyone knows they Look Like leeches, Odd aquatic organism, Interesting Diverse microscopic life",The _____ rotifers have survived for millions of years without sexual reproduction.,Claude,Claude,Claude,,Beginner,1.0,3.0,1.0,2.0,False
beacons,Plural of beacon; signals or lights used for guidance or warning,/ˈbikənz/,"From Old English beacen meaning 'sign, signal', from Proto-Germanic baukna","BEACONS: Bright Emergency - Amazing signals, Calling Out to people, Outstanding Navigation System",The lighthouse _____ guided ships safely through the rocky coastline.,Claude,Claude,Claude,,Intermediate,1.5,3.0,1.0,3.5,False
beagle,A small to medium-sized breed of hunting dog with excellent scenting ability,/ˈbiɡəl/,"Possibly from Old French beegueule meaning 'open throat', referring to their baying","BEAGLE: Best And - Great hunting dog, Amazing scent tracking, Great Little Explorer dogs",The friendly _____ wagged its tail enthusiastically when children approached.,Claude,Claude,Claude,,Intermediate,1.5,3.0,1.0,3.5,False
beak,"The hard, pointed mouth part of a bird; a person's nose",/bik/,"From Old French bec, possibly from Gaulish bekko","BEAK: Bird's Amazing - Eating tool, All Kinds of birds have this mouth part",The eagle used its sharp _____ to tear apart its prey.,Claude,Claude,Claude,,Intermediate,1.5,2.5,1.0,3.5,False
beam,A ray of light; a structural support; to smile broadly,/bim/,"From Old English beam meaning 'tree, beam of light'","BEAM: Bright Energy - Amazing light ray, Magnificent structural support",A _____ of sunlight streamed through the cathedral's stained glass window.,Claude,Claude,Claude,,Intermediate,1.5,2.5,1.0,3.5,False
beans,Plural of bean; edible seeds of various leguminous plants,/binz/,"From Old English bean, from Proto-Germanic bauna","BEANS: Best And - Extremely Nutritious food, Amazing healthy Seeds",The vegetarian chili was made with kidney _____ and black _____.,Claude,Claude,Claude,,Intermediate,1.5,2.5,1.0,3.5,False
bear,A large mammal; to carry or support; to endure,/bɛr/,"From Old English bera, from Proto-Germanic beron","BEAR: Big And - Extremely Amazing wild animal, Really powerful creature",The mother _____ protected her cubs from potential threats in the forest.,Claude,Claude,Claude,,Intermediate,1.5,2.5,1.0,3.5,False
beatboxingmutate,ERROR: Combined word - should be separate words,,,,,,,,,N/A,0.0,0.0,0.0,0.0,True
beatific,Blissfully serene; showing divine happiness,/ˌbiəˈtɪfɪk/,"From Latin beatificus meaning 'making blessed', from beatus 'blessed' + facere 'to make'","BEATIFIC: Blessed Everyone - Always Totally peaceful, In divine happiness, Finding Inner Contentment",The meditation teacher had a _____ expression of peace and tranquility.,Claude,Claude,Claude,,Beginner,1.5,3.0,1.3,2.0,False
beatificbeguile,ERROR: Combined word - should be separate words,,,,,,,,,N/A,0.0,0.0,0.0,0.0,True
beauceron,A breed of large French herding dog with a black and tan coat,/ˈboʊsəˌrɑn/,"From French Beauceron, named after the Beauce region of France","BEAUCERON: Beautiful And - Excellent French herding dog, Cheerful outdoor companion, Really Outstanding Guardian dog, Nice breed",The _____ excelled at herding sheep and protecting the farm from intruders.,Claude,Claude,Claude,,Intermediate,2.0,4.0,1.0,2.0,False
beaucoupbanal,ERROR: Combined word - should be separate words,,,,,,,,,N/A,0.0,0.0,0.0,0.0,True
