word,definition,pronunciation,example_sentence,etymology,etymology_source,definition_source,pronunciation_source,example_sentence_source,years,source_files,source_difficulties,difficulty_level
world,"(with ""the"") Human collective existence; existence in general.",/wɝld/,The ____ is full of amazing wonders waiting to be discovered.,"From Old English weorold, meaning age of man or earthly existence",Claude,Dictionary API,Dictionary API,Claude,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,Elementary; Advanced; Intermediate
worried,Thinking about unpleasant things that have happened or that might happen; feeling afraid and unhappy.,/ˈwʌɹid/,She looked ____ about the upcoming test results.,"From worry + -ed, Old English wyrgan meaning to strangle",Claude,Dictionary API,Dictionary API,Claude,2025,2025 Words of Champion _1_.pdf,Three Bee,Advanced
worrywart,"A person who worries excessively, especially about unimportant matters.",/ˈwʌɹ.ɪˌwɔːt/,My grandmother was such a ____ that she worried about everything.,"Modern compound of worry + wart, meaning chronic worrier",Claude,Dictionary API,Dictionary API,Claude,2020; 2021; 2022,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf,One Bee; Two Bee,Elementary; Intermediate
worse,Unfavorable; negative; not good.,/wɜːs/,The weather today is ____ than yesterday.,"From Old English wiersa, comparative of bad",Claude,Dictionary API,Dictionary API,Claude,2021,2021_Printable_Words of the Champions.pdf,One Bee,Elementary
worth,Value.,/wɜːθ/,The antique vase was ____ more than they initially thought.,"From Old English weorth, meaning value or price",Claude,Dictionary API,Dictionary API,Claude,2024,2024 Words of the Champions.pdf,Three Bee,Advanced
wraith,"A ghost or specter, especially a person's likeness seen just after their death.",/ɹeɪθ/,The ghostly ____ appeared in the moonlight.,"From Scots wraith, meaning ghost or specter",Claude,Dictionary API,Dictionary API,Claude,2020; 2021; 2022,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf,One Bee; Two Bee,Elementary; Intermediate
wrapped,"To enclose (an object) completely in any flexible, thin material such as fabric or paper.",/ɹæpt/,She carefully ____ the fragile gift in tissue paper.,"From wrap + -ed, Middle English wrappen",Claude,Dictionary API,Dictionary API,Claude,2024,2024 Words of the Champions.pdf,Three Bee,Advanced
wrath,Great anger.,/ɹæθ/,The king's ____ was feared throughout the kingdom.,"From Old English wræth, meaning anger or fury",Claude,Dictionary API,Dictionary API,Claude,2021,2021_Printable_Words of the Champions.pdf,One Bee,Elementary
wreaked,To cause something harmful; to afflict; to inflict; to harm or injury; to let out something harmful; .,,The hurricane ____ havoc on the coastal towns.,"From wreak + -ed, Old English wrecan meaning to drive out",Claude,Dictionary API,Dictionary API,Claude,2022,2022 Words of the Champions_low_ink_printable.pdf,Two Bee,Intermediate
wreath,"Something twisted, intertwined, or curled.",/ɹiːθ/,The holiday ____ hung beautifully on the front door.,"From Old English wreath, meaning twisted band",Claude,Dictionary API,Dictionary API,Claude,2020,2020 Words_of_the_Champions.pdf,One Bee,Elementary
wreckage,"Something wrecked, especially the remains or debris of something which has been severely damaged or destroyed.",,The ____ from the shipwreck was scattered across the beach.,"From wreck + -age, Middle English wrek from Old Norse",Claude,Dictionary API,Dictionary API,Claude,2025,2025 Words of Champion _1_.pdf,Three Bee,Advanced
wren,Any member of a mainly New World passerine bird family Troglodytidae; true wren.,/ɹɛn/,The tiny ____ built its nest in the rose bush.,"From Old English wrenna, small brown bird",Claude,Dictionary API,Dictionary API,Claude,2020,2020 Words_of_the_Champions.pdf,One Bee,Elementary
wrench,A movement that twists or pulls violently; a tug.,/ɹɛnt͡ʃ̩̩/,He used a ____ to tighten the loose bolts.,"From Old English wrencan, meaning to twist",Claude,Dictionary API,Dictionary API,Claude,2025,2025 Words of Champion _1_.pdf,Three Bee,Advanced
wrenches,A movement that twists or pulls violently; a tug.,/ɹɛnt͡ʃɪs/,The mechanic organized his ____ by size in the toolbox.,"Plural of wrench, from Old English wrencan",Claude,Dictionary API,Dictionary API,Claude,2022,2022 Words of the Champions_low_ink_printable.pdf,Two Bee,Intermediate
wrestle,A wrestling bout.,/ˈɹɛ.səl/,The children would ____ playfully on the grass.,"From Old English wræstlian, meaning to grapple",Claude,Dictionary API,Dictionary API,Claude,2023,2023_Words_of_the_Champions.pdf,Two Bee,Intermediate
wretched,Very miserable; feeling deep affliction or distress.,/ˈɹɛtʃɪd/,The homeless man lived in ____ conditions.,"From wretch + -ed, Old English wrecca meaning exile",Claude,Dictionary API,Dictionary API,Claude,2022,2022 Words of the Champions_low_ink_printable.pdf,Two Bee,Intermediate
wriggle,A wriggling movement.,/ˈɹɪɡəl/,The puppy tried to ____ out of the child's arms.,"From Middle Low German wriggeln, meaning to twist",Claude,Dictionary API,Dictionary API,Claude,2025,2025 Words of Champion _1_.pdf,Three Bee,Advanced
wring,A powerful squeezing or twisting action.,/ɹɪŋ/,She had to ____ out the wet towel before hanging it.,"From Old English wringan, meaning to squeeze",Claude,Dictionary API,Dictionary API,Claude,2023; 2024; 2025,2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee,Advanced; Intermediate
write,The act or style of writing.,/ɹaɪt/,Students must ____ their essays in blue or black ink.,"From Old English writan, meaning to score or scratch",Claude,Dictionary API,Dictionary API,Claude,2025,2025 Words of Champion _1_.pdf,Three Bee,Advanced
writers,"A person who writes, or produces literary work.",/ˈɹaɪtəz/,The ____ was an important part of the story.,Etymology of writers from historical linguistic sources,Claude,Dictionary API,Dictionary API,Claude,2020,2020 Words_of_the_Champions.pdf,One Bee,Elementary
writhes,A contortion.,,The ____ was an important part of the story.,Etymology of writhes from historical linguistic sources,Claude,Dictionary API,Dictionary API,Claude,2025,2025 Words of Champion _1_.pdf,Three Bee,Advanced
written,"To form letters, words or symbols on a surface in order to communicate.",/ˈɹɪtn̩/,The contract was ____ in complex legal language.,"Past participle of write, from Old English writen",Claude,Dictionary API,Dictionary API,Claude,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,Elementary; Advanced; Intermediate
wunderkind,A child prodigy; a phenom.,/ˈvʊn.də.kɪnd/,The ____ was an important part of the story.,Etymology of wunderkind from historical linguistic sources,Claude,Dictionary API,Dictionary API,Claude,2020; 2021; 2022; 2023,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf,One Bee; Two Bee,Elementary; Intermediate
