word,definition,example_sentence,source_difficulty,difficulty_level,difficulty_name,ai_difficulty_level,ai_difficulty_name,phonetic_transparency_score,word_frequency_score,morphology_score,etymology_score,difficulty_calculation_method,part_of_speech,pronunciation_guide,etymology,etymology_source,memory_tips,alternate_spellings,language_origin,definition_source,source_names,source_difficulties,frequency,original_source,source_access_date
tanagerpneumatocyst,"[COMBINED WORD ERROR] This appears to be two words incorrectly joined: ""tanager"" (a type of colorful bird) + ""pneumatocyst"" (gas-filled cavity).",[ERROR - This combined word should not appear in spelling bee materials],One Bee,,,,,4.0,4.0,1.0,4.0,4-factor weighted model (overall_score: 3.25),error - combined words,[PRONUNCIATION ERROR - COMBINED WORDS],[ETYMOLOGY ERROR - COMBINED WORDS],Claude,"This is a data error - should be separated into ""tanager"" and ""pneumatocyst""",tanager + pneumatocyst (separate words),ERROR - combined words,Claude,Scripps National Spelling Bee,One Bee; Two Bee,4.0,"Scripps National Spelling Bee Words of the Champions (2021, 2023)",2025-08-19
tandoori,A method of cooking in which food is roasted in a clay oven called a tandoor; relating to this style of Indian cuisine characterized by high heat and distinctive flavors.,The restaurant specializes in _____ chicken cooked in a traditional clay oven.,One Bee,,,,,2.0,4.0,1.0,4.0,4-factor weighted model (overall_score: 2.65),"adjective, noun",tan-DOOR-ee (emphasis on second syllable),"From Hindi ""tanduri"", related to ""tandoor"" (clay oven)",Claude,"Think ""tan-door-y"" - food that gets a tan from the door of a hot oven",,Hindi/Urdu,Claude,Scripps National Spelling Bee,One Bee; Three Bee; Two Bee,4.0,"Scripps National Spelling Bee Words of the Champions (2020, 2021, 2022, 2023, 2024, 2025)",2025-08-19
tangent,A straight line that touches a curve at exactly one point; a sudden change of direction in thought or conversation; completely different from what was being discussed.,"During the math lesson, the professor went off on a _____ about his research.",Three Bee,,,,,2.0,1.0,1.0,2.3,4-factor weighted model (overall_score: 1.56),"noun, adjective",TAN-juhnt (emphasis on first syllable),"From Latin ""tangens"" meaning ""touching"", from ""tangere"" (to touch)",Claude,"Think ""tan-gent"" - a gentleman who barely touches the conversation before going off topic",,Latin,Claude,Scripps National Spelling Bee,Three Bee,1.0,Scripps National Spelling Bee Words of the Champions (2025),2025-08-19
tangents,Plural of tangent; multiple straight lines touching curves; several sudden changes in direction of thought or conversation.,The speaker kept going off on _____ instead of staying focused on the main topic.,One Bee,,,,,2.0,1.0,1.0,2.3,4-factor weighted model (overall_score: 1.56),noun (plural),TAN-juhnts (emphasis on first syllable),"Plural of ""tangent"", from Latin ""tangens""",Claude,"Think ""tan-gents"" - multiple gentlemen going off topic",,Latin,Claude,Scripps National Spelling Bee,One Bee,1.0,Scripps National Spelling Bee Words of the Champions (2021),2025-08-19
tangerine,A small citrus fruit with bright orange skin that peels easily; the orange-red color of this fruit.,She packed a _____ in her lunch for a healthy vitamin C boost.,One Bee,,,,,2.0,4.0,1.0,2.3,4-factor weighted model (overall_score: 2.31),"noun, adjective",tan-juh-REEN (emphasis on third syllable),"From French ""tangerine"", after Tangier, Morocco, where the fruit was exported",Claude,"Think ""Tangier-ine"" - a fruit from the city of Tangier",,French (from place name),Claude,Scripps National Spelling Bee,One Bee; Three Bee; Two Bee,4.0,"Scripps National Spelling Bee Words of the Champions (2020, 2021, 2022, 2023, 2024, 2025)",2025-08-19
tangible,Able to be touched or felt; having physical substance; real and concrete rather than imaginary or theoretical.,The new policy produced _____ improvements in student performance.,One Bee,,,,,3.0,4.0,2.0,2.3,4-factor weighted model (overall_score: 2.86),adjective,TAN-juh-buhl (emphasis on first syllable),"From Latin ""tangibilis"", from ""tangere"" meaning ""to touch""",Claude,"Think ""tan-gible"" - able to be touched like a tan you can see and feel",,Latin,Claude,Scripps National Spelling Bee,One Bee; Two Bee,4.0,"Scripps National Spelling Bee Words of the Champions (2021, 2022)",2025-08-19
tangiblenourish,"[COMBINED WORD ERROR] This appears to be two words incorrectly joined: ""tangible"" (touchable) + ""nourish"" (to feed).",[ERROR - This combined word should not appear in spelling bee materials],One Bee,,,,,3.0,4.0,1.0,4.0,4-factor weighted model (overall_score: 2.95),error - combined words,[PRONUNCIATION ERROR - COMBINED WORDS],[ETYMOLOGY ERROR - COMBINED WORDS],Claude,"This is a data error - should be separated into ""tangible"" and ""nourish""",tangible + nourish (separate words),ERROR - combined words,Claude,Scripps National Spelling Bee,One Bee,4.0,Scripps National Spelling Bee Words of the Champions (2020),2025-08-19
tango,A passionate ballroom dance of Argentine origin characterized by dramatic poses and intricate footwork; to perform this dance.,The couple performed a dramatic _____ that captivated the entire audience.,Three Bee,,,,,2.0,1.0,1.0,3.6,4-factor weighted model (overall_score: 1.82),"noun, verb",TAN-goh (emphasis on first syllable),"From American Spanish ""tango"", possibly from African language via Spanish",Claude,"Think ""tan-go"" - go get a tan while dancing passionately",,Spanish (possibly from African languages),Claude,Scripps National Spelling Bee,Three Bee; Two Bee,1.0,"Scripps National Spelling Bee Words of the Champions (2023, 2024, 2025)",2025-08-19
tannined,Treated with tannin; having undergone the process of tanning to preserve leather; containing or treated with tannins.,The _____ leather was soft and durable after the long curing process.,One Bee,,,,,2.0,4.0,2.0,2.3,4-factor weighted model (overall_score: 2.56),"verb (past tense), adjective",TAN-ind (emphasis on first syllable),"Past tense of ""tannin"", from French ""tanin"", from ""tan"" (tanbark)",Claude,"Think ""tan-in-ed"" - leather that has been tanned and is finished",,French,Claude,Scripps National Spelling Bee,One Bee; Three Bee; Two Bee,4.0,"Scripps National Spelling Bee Words of the Champions (2020, 2021, 2022, 2023, 2024, 2025)",2025-08-19
tantrum,"An uncontrolled outburst of anger and frustration; a violent emotional display, especially by a child.",The toddler threw a _____ when told it was time to leave the playground.,One Bee,,,,,2.0,1.0,1.0,2.3,4-factor weighted model (overall_score: 1.56),noun,TAN-truhm (emphasis on first syllable),"Of uncertain origin, possibly from Latin ""tantrismus"" or imitative of angry sounds",Claude,"Think ""tan-drum"" - beating a tan drum when angry",,Uncertain (possibly Latin),Claude,Scripps National Spelling Bee,One Bee; Three Bee; Two Bee,1.0,"Scripps National Spelling Bee Words of the Champions (2020, 2021, 2022, 2023, 2024, 2025)",2025-08-19
