word,years,source_files,source_difficulties,definition,part_of_speech,pronunciation_guide,pronunciation_source,etymology,etymology_source,language_origins,example_sentence,example_sentence_source,memory_tip,phonetic_complexity,frequency_complexity,morphological_complexity,etymological_complexity,final_difficulty_rating,difficulty_justification,audio_file_path,image_file_path,last_updated
gleaming,2021,2021_Printable_Words of the Champions.pdf,One Bee,"Gleaming means shining brightly, especially with reflected light, or radiating a warm, lustrous glow. It describes surfaces that reflect light in a bright, polished way, such as clean metal, fresh paint, or well-maintained objects. Gleaming can also refer to eyes that shine with emotion or intelligence, or anything that appears bright, clean, and well-maintained.","adjective, verb (present participle)",GLEE-ming,Claude,"From ""gleam"" (from Old English ""glǣm"" meaning ""brightness, splendor"") plus the present participle suffix ""-ing.""",Claude,Old English,"The freshly waxed car sat in the driveway, its surface _______ in the morning sunlight.",Claude,"Remember ""GLEAMING"" - GLEaning and shining brightly, AMazing to see with its bright reflection.",0.0,0.8,0.3,0.30000000000000004,,,,,2024-08-20
glengarry,2021; 2022; 2024; 2025,2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"A glengarry is a traditional Scottish military cap or bonnet, typically made of wool and featuring a boat-shaped crown with ribbons hanging from the back. This distinctive headpiece is associated with Scottish Highland regiments and is characterized by its flat top, side folds, and decorative elements. The glengarry remains part of ceremonial military dress in Scottish units.",noun,glen-GAIR-ee,Claude,"Named after Glengarry, a valley in the Scottish Highlands, where this style of military headgear originated or was popularized.",Claude,Scottish Gaelic,The Highland regiment wore traditional _______ caps during the ceremonial parade.,Claude,"Remember ""GLENGARRY"" - a Scottish military cap from GLEN (valley) where soldiers would CARRY their traditions.",0.1,0.8,0.0,0.5,,,,,2024-08-20
glib,2022,2022 Words of the Champions_low_ink_printable.pdf,Two Bee,"Glib describes speech or a person that is fluent and voluble but insincere or superficial, characterized by ease and smoothness that may lack depth or genuine feeling. Someone who is glib can speak persuasively and confidently but may be avoiding serious consideration of the topic or hiding their true thoughts behind polished words.",adjective,GLIB,Claude,"From Middle Low German ""glibberig"" meaning ""slippery,"" suggesting speech that slides smoothly but may be unreliable.",Claude,Middle Low German,His _______ response to the serious question revealed that he hadn't really thought about the issue.,Claude,"Remember ""GLIB"" - speech that's so smooth it's sLIPpery, flowing easily but lacking depth or sincerity.",0.0,0.3,0.0,0.5,,,,,2024-08-20
glide,2023,2023_Words_of_the_Champions.pdf,Two Bee,"Glide means to move smoothly and effortlessly, typically through air or across a surface, without apparent effort or with minimal friction. In aviation, gliding refers to flight without engine power, using air currents for lift. The word emphasizes graceful, continuous motion that appears effortless and fluid.","verb, noun",GLYD,Claude,"From Old English ""glīdan"" meaning ""to slip, slide,"" related to ""glad"" (smooth, bright).",Claude,Old English,The swan seemed to _______ effortlessly across the mirror-like surface of the lake.,Claude,"Remember ""GLIDE"" - to move smoothly like you're GLIDing on ice, effortless and graceful motion.",0.0,0.5,0.0,0.30000000000000004,,,,,2024-08-20
glimmer,2020; 2021,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf,One Bee,"Glimmer means to shine faintly with a wavering light, or to show a trace or faint indication of something. It can refer to weak, intermittent light that flickers gently, or metaphorically to a small sign or hint of hope, understanding, or possibility. Glimmer suggests something barely visible but present.","verb, noun",GLIM-er,Claude,"From Middle English ""glimeren,"" related to ""gleam,"" possibly from Old Norse ""glimra"" (to glitter).",Claude,"Middle English, possibly Old Norse",A _______ of hope appeared when the rescue team spotted movement in the debris.,Claude,"Remember ""GLIMMER"" - a GLInt that's diMMER, a faint shine or small sign of something positive.",0.1,0.5,0.3,0.4,,,,,2024-08-20
glimpse,2020,2020 Words_of_the_Champions.pdf,One Bee,"A glimpse is a momentary or partial view of something, typically brief and incomplete, offering just enough sight to suggest the whole. It can also mean a brief experience or understanding of something larger or more complex. Glimpse emphasizes the fleeting, limited nature of the observation or experience.","noun, verb",GLIMPS,Claude,"From Middle English ""glimsen,"" related to ""gleam,"" meaning ""to shine faintly"" or ""catch sight of briefly.""",Claude,Middle English,She caught a brief _______ of the celebrity before the crowd blocked her view.,Claude,"Remember ""GLIMPSE"" - a brief GLInt of what you see, a quick PEEK that gives you a hint.",0.3,0.5,0.0,0.4,,,,,2024-08-20
glint,2025,2025 Words of Champion _1_.pdf,Three Bee,"A glint is a small flash of light, especially one reflected from a shiny surface, or a brief indication of a particular quality or emotion, particularly in someone's eyes. Glint suggests a quick, sharp reflection or a momentary reveal of inner thoughts or feelings through facial expression.","noun, verb",GLINT,Claude,"From Middle English, probably of Scandinavian origin, related to Old Swedish ""glinta"" (to shine).",Claude,"Middle English, Scandinavian",There was a mischievous _______ in her eye as she revealed the surprise.,Claude,"Remember ""GLINT"" - a quick GLIstening piNT of light, a sharp flash or twinkle that catches your eye.",0.0,0.5,0.0,0.4,,,,,2024-08-20
gliriform,2025,2025 Words of Champion _1_.pdf,Three Bee,"Gliriform means resembling or relating to dormice or other small rodents of the family Gliridae. This scientific term describes characteristics, behaviors, or anatomical features similar to those of dormice, which are small, nocturnal rodents known for their hibernation patterns and arboreal lifestyle. The term is used in zoological and comparative anatomy contexts.",adjective,GLY-rih-form,Claude,"From Latin ""glis"" (dormouse) plus ""forma"" (form, shape), literally meaning ""having the form of a dormouse.""",Claude,Latin,The fossil exhibited _______ characteristics typical of ancient dormouse relatives.,Claude,"Remember ""GLIRIFORM"" - shaped like a GLIRis (dormouse), having the FORM of small hibernating rodents.",0.0,0.8,0.0,0.7,,,,,2024-08-20
glissando,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"A glissando is a musical technique involving a continuous slide between two notes, creating a smooth, uninterrupted transition rather than distinct separate pitches. This effect can be performed on various instruments including piano, violin, trombone, and harp, creating a swooping or sliding sound. The technique adds expressiveness and fluidity to musical passages.",noun,glis-SAHN-doh,Claude,"From Italian ""glissando,"" from French ""glisser"" (to slide), referring to the sliding motion between musical notes.",Claude,"Italian, French",The pianist's dramatic _______ swept across the keyboard from low to high notes.,Claude,"Remember ""GLISSANDO"" - GLIding and Sliding music notes, a smooth transition that flows like a musical slide.",0.1,0.8,0.0,0.5,,,,,2024-08-20
glisten,2021,2021_Printable_Words of the Champions.pdf,One Bee,"Glisten means to shine with a sparkling or wet-looking light, typically due to moisture or a wet surface reflecting light. It suggests a bright, shimmering appearance that catches and reflects light in multiple small points, creating a sparkling effect. Glistening often implies freshness, cleanliness, or the presence of moisture.",verb,GLIS-en,Claude,"From Old English ""glisnian"" meaning ""to glitter, shine,"" related to ""glisian"" (to shine).",Claude,Old English,Dewdrops made the spider web _______ like diamonds in the morning sunlight.,Claude,"Remember ""GLISTEN"" - to GLItter and shiNe with moisture, sparkling like wet surfaces catching light.",0.0,0.5,0.0,0.30000000000000004,,,,,2024-08-20
