word,definition,pronunciation,pronunciation_respelling,etymology,etymology_source,memory_tip,example_sentence,example_sentence_source,years,source_files,source_difficulties,definition_source,pronunciation_source,phonetic_transparency_score,word_frequency_score,morphological_complexity_score,etymology_complexity_score,total_difficulty_score,assigned_difficulty,audio_file_path,created_at,updated_at,notes,review_status,batch_number
roger,"Used to express acknowledgment or agreement in radio communication; an affirmative response meaning ""understood"" or ""received""; a male given name. In military and aviation contexts, Roger confirms message reception.",/ˈrɑdʒər/,ROJ-ur,"From the NATO phonetic alphabet, where ""Roger"" represents the letter R for ""received.""",Claude,"Think radio communication ""R"" for ""received"" = Roger.","The pilot responded ""___ that"" to confirm he understood the instructions.",Claude,2023; 2024; 2025,2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee,Claude,Claude,3,2,2,5,12,,,2025-01-01,2025-01-01,Batch 151 processing,pending,151
rogue,A dishonest or unprincipled person; a mischievous but likable person; something that is defective or uncontrollable. Rogue can describe both villainous characters and endearingly mischievous individuals.,/roʊɡ/,ROHG,"From obsolete ""roger,"" meaning ""beggar,"" of uncertain origin.",Claude,Think of a mischievous character who goes against the rules.,The ___ elephant separated from its herd and wandered into the village.,Claude,2025,2025 Words of Champion _1_.pdf,Three Bee,Claude,Claude,3,2,2,5,12,,,2025-01-01,2025-01-01,Batch 151 processing,pending,151
rohan,"A fictional kingdom in J.R.R. Tolkien's Middle-earth; a place name meaning ""horse country""; can refer to various geographical locations named after Tolkien's creation. Known for its horse-riding culture and grasslands.",/ˈroʊhæn/,ROH-han,"Created by J.R.R. Tolkien, possibly from Old English ""rocc"" (horse) + ""ham"" (home).",Claude,Think Tolkien's horse-riding kingdom = Rohan.,The riders of ___ were known throughout Middle-earth for their horsemanship.,Claude,2020,2020 Words_of_the_Champions.pdf,One Bee,Claude,Claude,5,8,7,3,23,,,2025-01-01,2025-01-01,Batch 151 processing,pending,151
roiling,Present participle of roil; making turbulent or muddy; disturbing or annoying; churning violently. Roiling describes both physical agitation of liquids and emotional disturbance.,/ˈrɔɪlɪŋ/,ROYL-ing,"Present participle of ""roil,"" from Old French ""roiller"" (to roll around).",Claude,"Think ""roil"" + ""ing"" = currently churning/disturbing.",The storm left the river ___ with mud and debris.,Claude,2021,2021_Printable_Words of the Champions.pdf,One Bee,Claude,Claude,5,5,7,5,22,,,2025-01-01,2025-01-01,Batch 151 processing,pending,151
role,"A part played by an actor; a function or position; the characteristic behavior expected of someone in a particular position. Roles define responsibilities, expectations, and social functions.",/roʊl/,ROHL,"From French ""rôle,"" from ""rolle"" (roll of paper), referring to actor's script.",Claude,Think of an actor's part written on a roll of paper.,She played the ___ of Lady Macbeth with great intensity.,Claude,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,Claude,Claude,3,2,2,5,12,,,2025-01-01,2025-01-01,Batch 151 processing,pending,151
roll,To move by turning over and over; a small round piece of bread; a list of names; to move smoothly. Roll involves rotational movement or cylindrical objects.,/roʊl/,ROHL,"From Old French ""roler,"" from Latin ""rotula"" (little wheel).",Claude,Think of a wheel rolling or bread rolls on a table.,The ball began to ___ down the steep hill.,Claude,2025,2025 Words of Champion _1_.pdf,Three Bee,Claude,Claude,3,2,2,5,12,,,2025-01-01,2025-01-01,Batch 151 processing,pending,151
roller,A cylinder that rotates; a large wave; a small wheel; a device for flattening or smoothing. Rollers are used in various applications from painting to hairstyling.,/ˈroʊlər/,ROHL-ur,"From ""roll"" + suffix ""-er"" (one that), from Latin ""rotula.""",Claude,"Think ""roll"" + ""er"" = thing that rolls.",The painter used a ___ to apply paint evenly to the wall.,Claude,2020,2020 Words_of_the_Champions.pdf,One Bee,Claude,Claude,3,2,4,4,13,,,2025-01-01,2025-01-01,Batch 151 processing,pending,151
rollicking,"Exuberantly lively and amusing; characterized by high spirits and boisterous fun; carefree and energetic. Rollicking describes joyful, uninhibited activity or entertainment.",/ˈrɑlɪkɪŋ/,ROL-ih-king,"From ""rollick"" (to move carelessly), possibly from ""roll"" + ""frolic.""",Claude,"Think ""roll"" + ""frolic"" = rolling around in fun.",The children had a ___ good time at the carnival.,Claude,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,Claude,Claude,5,5,4,5,19,,,2025-01-01,2025-01-01,Batch 151 processing,pending,151
romaine,"A type of lettuce with long, crisp leaves; cos lettuce with elongated heads and sturdy ribs. Romaine is commonly used in Caesar salads and provides excellent nutritional value.",/roʊˈmeɪn/,roh-MAYN,"From French ""romaine"" (Roman lettuce), referring to its supposed Roman origin.",Claude,"Think ""Roman"" lettuce = romaine.",The Caesar salad was made with fresh ___ lettuce and parmesan cheese.,Claude,2021; 2022,2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf,One Bee; Two Bee,Claude,Claude,5,5,4,5,19,,,2025-01-01,2025-01-01,Batch 151 processing,pending,151
romainemigraine,"[COMBINED WORD ERROR: This appears to be 'romaine' + 'migraine' incorrectly joined. 'Romaine' is a type of lettuce, while 'migraine' is a severe headache. These should be separate words.]",/roʊˈmeɪn ˈmaɪɡreɪn/,roh-MAYN MYE-grayn,Combined word error: 'romaine' from French + 'migraine' from French.,Claude,Error combination: romaine (lettuce) + migraine (headache) - should be separate.,The ___ salad was prepared while she suffered from a severe ___.,Claude,2020,2020 Words_of_the_Champions.pdf,One Bee,Claude,Claude,6,7,5,5,23,,,2025-01-01,2025-01-01,Batch 151 processing,pending,151
