word,definition,pronunciation,etymology,memory_tip,example_sentence,etymology_source,definition_source,example_sentence_source,audio_source,difficulty_level,phonetic_score,frequency_score,morphology_score,etymology_score,combined_word_error
beurre,"French word for butter, used in culinary contexts",/bɜr/,"From Old French burre, from Latin butyrum, from Greek boutyron 'cow cheese'","BEURRE: Beautiful European - Understanding cooking, Rich food, Really Essential ingredient",The chef prepared the sauce with _____ blanc and fresh herbs.,Claude,Claude,Claude,,Intermediate,1.0,3.0,1.0,3.5,False
beverage,"A drink, especially one other than water",/ˈbɛvərɪdʒ/,"From Old French beverage, from beivre 'to drink', from Latin bibere","BEVERAGE: Best Everyone - Very Enjoyable drink, Refreshing And thirst-quenching, Great Experience",The restaurant offered a variety of hot and cold _____ options.,Claude,Claude,Claude,,Intermediate,1.0,3.0,1.3,3.5,False
beyond,At or to the further side of; outside the scope or range of,/bɪˈjɑnd/,"From Old English begeondan, from be- 'by' + geondan 'yonder'","BEYOND: Being Everyone - Yearning to go past limits, Outside Normal boundaries, Distance far away",The mountain peak was _____ what they could see through the clouds.,Claude,Claude,Claude,,Intermediate,1.5,3.0,1.0,3.5,False
bezier,Relating to mathematical curves used in computer graphics and design,/ˈbɛziər/,"Named after Pierre Bézier, French engineer who developed the mathematical curves","BEZIER: Beautiful Elegant - curves in computer graphics, Innovation by Engineer, Really useful mathematical curves","The graphic designer used _____ curves to create smooth, flowing lines in the logo.",Claude,Claude,Claude,,Intermediate,2.5,3.0,1.3,2.0,False
bhangra,"A type of folk dance and music from Punjab, popular in South Asian culture",/ˈbɑŋɡrə/,"From Punjabi bhāṅgṛā, related to bhāṅg 'hemp' (traditionally associated with harvest celebrations)","BHANGRA: Boisterous Happy - Amazing cultural dance, Never stops moving, Great Rhythmic dancing, Amazing celebration dance",The wedding celebration featured energetic _____ dancing with traditional music.,Claude,Claude,Claude,,Beginner,1.0,3.0,1.0,3.0,False
bhikshuni,A fully ordained Buddhist nun,/bɪkˈʃuni/,"From Sanskrit bhikṣuṇī, from bhikṣu 'monk' + feminine suffix -ṇī","BHIKSHUNI: Buddhist Holy - Individual dedicated to spiritual practice, Kind Sacred woman, Holy religious life, Unique spiritual calling, Notable female monk, Inspiring spiritual devotion",The _____ devoted her life to meditation and teaching Buddhist philosophy.,Claude,Claude,Claude,,Intermediate,1.0,4.0,1.0,5.0,False
bhikshunisvarabhakti,ERROR: Combined word - should be separate words,,,,,,,,,N/A,0.0,0.0,0.0,0.0,True
bialy,"A Polish bread roll with a depression instead of a hole, topped with onions",/biˈɑli/,"From Yiddish beyaly, short for beyalystoker, from Białystok, a city in Poland","BIALY: Bread In - Amazing Polish bread, Looks like bagel, Yummy delicious bread",She enjoyed a warm _____ with cream cheese and lox for breakfast.,Claude,Claude,Claude,,Intermediate,1.0,2.5,1.8,3.0,False
bias,Prejudice in favor of or against one thing; a diagonal line across fabric,/ˈbaɪəs/,"From Old French biais meaning 'slant, slope', possibly from Greek epikarsios 'oblique'","BIAS: Being Influenced - Always Slanted toward one side, Strong personal preference",The researcher tried to eliminate _____ from the study design.,Claude,Claude,Claude,,Intermediate,1.0,2.5,1.5,3.5,False
bibelot,A small decorative object; a trinket or curio,/ˈbɪbəˌloʊ/,"From French bibelot, possibly from bel 'beautiful' or from bibere 'to drink' (referring to decorative cups)","BIBELOT: Beautiful Interesting - Bijou ornamental decorative object, Everyone Likes these small treasures, Outstanding Trinkets",The antique shop was filled with charming _____ from various periods.,Claude,Claude,Claude,,Beginner,1.0,3.0,1.5,2.0,False
bibimbap,"A Korean dish of rice topped with vegetables, meat, and a fried egg",/ˈbibɪmˌbæp/,"From Korean bibimbap, from bibim 'mixing' + bap 'rice'","BIBIMBAP: Beautiful Ingredients - Bowl of mixed vegetables, Including meat, Mixed colorful Bowl, Amazing Korean meal, Perfectly balanced dish",The restaurant's signature _____ featured fresh vegetables and spicy gochujang sauce.,Claude,Claude,Claude,,Intermediate,2.0,3.0,1.5,3.0,False
bible,The Christian or Jewish scriptures; an authoritative reference book,/ˈbaɪbəl/,"From Old French bible, from Latin biblia, from Greek biblia 'books'","BIBLE: Book Inspiring - Belief, Important sacred book, Beautiful Lessons, Everyone reads this holy text",The family kept their ancestral _____ on the mantelpiece.,Claude,Claude,Claude,,Intermediate,1.0,2.5,1.8,3.5,False
bibliopegist,A person who binds books; a bookbinder,/ˌbɪblioʊˈpɛdʒɪst/,"From Greek biblio- 'book' + pegist from Greek pegein 'to fasten, fix'","BIBLIOPEGIST: Book Binding - specialist working with books, Lovely Interesting craft, Outstanding Professional bookwork, Expert, Great book craftsmanship, Important trade, Skilled worker, artisan protecting books through quality bindings",The skilled _____ carefully restored the damaged medieval manuscript.,Claude,Claude,Claude,,Intermediate,2.4,4.0,1.5,2.0,False
bibliophile,A person who loves and collects books,/ˈbɪblioʊˌfaɪl/,From Greek biblio- 'book' + -phile 'lover of',"BIBLIOPHILE: Book reader - Books Inspire these readers, Lots of books, Interest in books, Outstanding People reading, Heavily Interested book Lovers, Everyone knows they love books",The _____ spent hours browsing rare book shops in search of first editions.,Claude,Claude,Claude,,Intermediate,1.2,4.0,1.5,2.0,False
bicameral,Having two legislative chambers or houses,/baɪˈkæmərəl/,From Latin bi- 'two' + camera 'chamber' + -al suffix,"BICAMERAL: Both Important - Chambers And government structures, Multiple divisions, Everyone Recognizes two parts, A Legislative system",The United States has a _____ legislature consisting of the House and Senate.,Claude,Claude,Claude,,Intermediate,1.0,4.0,1.8,2.0,False
bicarbonate,A salt containing the anion HCO3−; commonly sodium bicarbonate (baking soda),/baɪˈkɑrbəˌneɪt/,"From bi- 'two' + carbonate, referring to the chemical compound with two hydrogen atoms","BICARBONATE: Basic Important - Chemical And compound, Really Basic cooking ingredient, Outstanding Natural cleaner, Amazing Totally Essential cleaning agent",She used sodium _____ to neutralize the acid in the recipe.,Claude,Claude,Claude,,Intermediate,1.2,4.0,1.8,3.0,False
biceps,The large muscle at the front of the upper arm,/ˈbaɪsɛps/,"From Latin biceps meaning 'two-headed', from bi- 'two' + caput 'head'","BICEPS: Big Important - muscle, Commonly Everyone works out these arm muscles, Everyone Practices Strengthening these muscles",He flexed his _____ to show the results of his weightlifting routine.,Claude,Claude,Claude,,Beginner,1.0,3.0,1.5,2.0,False
bidialectal,Able to speak two dialects of the same language fluently,/ˌbaɪdaɪəˈlɛktəl/,"From bi- 'two' + dialectal, relating to speaking two dialects","BIDIALECTAL: Both Important - Dialects And Language varieties, Everyone Communicates Through different varieties, Amazing Language ability",The _____ speaker could switch between formal and colloquial speech effortlessly.,Claude,Claude,Claude,,Intermediate,1.2,4.0,1.8,2.0,False
biennial,Taking place every two years; a plant that lives for two years,/baɪˈɛniəl/,"From Latin biennium meaning 'two years', from bi- 'two' + annus 'year'","BIENNIAL: Both Important - Every other year, Never annually, Not every single year, In Alternative years, Always two year schedule, Lots of time between events",The _____ art exhibition attracts visitors from around the world.,Claude,Claude,Claude,,Intermediate,1.5,3.0,1.8,2.0,False
bienvenu,French masculine form of 'welcome',/bjɛ̃vəˈny/,"From French bienvenu, from bien 'well' + venu 'come' (past participle of venir)","BIENVENU: Being welcomed - In French language, Everyone makes visitors feel welcomed, Nice greeting, Very European hospitality, Everyone Needs welcome, Understanding hospitality",The hotel greeted every male guest with a warm '_____ monsieur.',Claude,Claude,Claude,,Beginner,1.5,3.0,1.5,2.0,False
bienvenue,French feminine form of 'welcome',/bjɛ̃vəˈny/,"From French bienvenue, from bien 'well' + venue 'come' (past participle of venir)","BIENVENUE: Being welcomed - In French language, Everyone makes visitors feel welcomed, Nice greeting, Very European hospitality, Everyone Needs welcome, Understanding hospitality, Especially for women",The hostess said '_____ madame' as she showed the guest to her table.,Claude,Claude,Claude,,Intermediate,2.0,4.0,1.5,2.0,False
bier,A stand for holding a coffin or casket during a funeral,/bɪr/,"From Old English bær meaning 'stretcher, litter', from Proto-Germanic baira","BIER: Basic Important - Equipment at funerals, Respectful ceremony stand",The flowers were arranged around the _____ during the memorial service.,Claude,Claude,Claude,,Intermediate,1.5,2.5,1.8,3.5,False
bifurcate,To divide into two branches or forks; to split,/ˈbaɪfərˌkeɪt/,"From Latin bifurcus meaning 'two-forked', from bi- 'two' + furca 'fork'","BIFURCATE: Both Important - Forks splitting into branches, Understanding divisions, Recognizes splits, Creating And Two sections, Always Totally Everywhere splits happen",The river began to _____ into two separate streams near the delta.,Claude,Claude,Claude,,Intermediate,1.0,4.0,1.8,2.0,False
bifurcatedrivel,ERROR: Combined word - should be separate words,,,,,,,,,N/A,0.0,0.0,0.0,0.0,True
bigotry,Intolerance toward those who hold different opinions; prejudice,/ˈbɪɡətri/,"From bigot + -ry, where bigot possibly comes from Old French, meaning 'sanctimonious person'","BIGOTRY: Bad Intolerance - Greed and hatred, Offensive Thinking, Really harmful attitude, Your mind closed to others",The organization worked to combat _____ and promote understanding between communities.,Claude,Claude,Claude,,Intermediate,1.0,3.0,1.8,3.5,False
bijouterie,Small decorative objects; jewelry and trinkets collectively,/ˌbiʒuˈtəri/,"From French bijouterie, from bijou 'jewel' + -erie suffix indicating a place or collection","BIJOUTERIE: Beautiful Important - Jewelry Objects, Usually decorative items, Outstanding Treasures, Everyone Recognizes their sparkle, Important Expensive items",The boutique specialized in exquisite _____ from local artisans.,Claude,Claude,Claude,,Intermediate,2.0,4.0,1.5,2.0,False
bike,Short for bicycle; a two-wheeled vehicle powered by pedaling,/baɪk/,"Shortened form of bicycle, from Greek bi- 'two' + kyklos 'circle, wheel'","BIKE: Basic Important - transportation vehicle, Keeping Everyone moving, Everyone rides these vehicles",She rode her _____ to work every day to stay fit and avoid traffic.,Claude,Claude,Claude,,Beginner,1.0,2.5,1.5,2.0,False
bilaterian,An animal with bilateral symmetry (left and right sides mirror each other),/ˌbaɪləˈtɪriən/,"From bilateral + -ian, where bilateral comes from Latin bi- 'two' + latus 'side'","BILATERIAN: Both Important - Left And right sides mirror each other, Totally Even anatomy, Every animal part Reflects symmetrically, In Amazing Natural symmetry",Most complex animals are _____ organisms with distinct left and right sides.,Claude,Claude,Claude,,Intermediate,1.0,4.0,1.5,2.0,False
bilbo,A type of flexible sword blade; iron shackles for prisoners,/ˈbɪlboʊ/,"From Bilbao, Spain, where high-quality sword blades were manufactured","BILBO: Blade Important - Long Blade weapon, Outstanding sword quality from spain",The museum displayed an antique _____ sword from 16th-century Spain.,Claude,Claude,Claude,,Beginner,1.0,2.5,1.5,3.0,False
