word,definition,example_sentence,source_difficulty,difficulty_level,difficulty_name,ai_difficulty_level,ai_difficulty_name,phonetic_transparency_score,word_frequency_score,morphology_score,etymology_score,difficulty_calculation_method,part_of_speech,pronunciation_guide,etymology,etymology_source,memory_tips,alternate_spellings,language_origin,definition_source,source_names,source_difficulties,frequency,original_source,source_access_date
king,"A male monarch who rules a kingdom as the sovereign head of state, typically inheriting the position through hereditary succession and wielding supreme authority over governmental, military, and ceremonial functions. Kings have historically held absolute or constitutional power, depending on the political system, and serve as symbols of national unity, tradition, and continuity. The role encompasses executive leadership, judicial oversight, diplomatic representation, and cultural patronage while maintaining ceremonial duties that connect past traditions with contemporary governance. Modern constitutional monarchies limit royal power while preserving the symbolic and ceremonial importance of kingship in national identity.","The _____ addressed the nation during the constitutional crisis, providing stability and reassurance to citizens.",Three Bee,,,,,1.0,1.0,1.0,2.5,4-factor weighted model (overall_score: 1.45),noun,"KING (single syllable, rhymes with ""ring"")","From Old English ""cyning,"" from Germanic roots meaning ""descendant of noble family""",Claude,"Think ""king-ring"" - the king wears a crown like a ring around his head",,Various,Claude,Scripps National Spelling Bee,Three Bee,1,Scripps National Spelling Bee Words of the Champions (2024; 2025),2025-08-19
kingston,"The capital and largest city of Jamaica, located on the southeastern coast of the island, serving as the country's political, economic, and cultural center with a rich history of music, particularly reggae and dancehall. Kingston is a major Caribbean port city that combines colonial architecture with modern development, featuring important institutions like the University of the West Indies and significant cultural sites including the Bob Marley Museum. The city represents Jamaica's independence movement, musical heritage, and contemporary Caribbean culture while serving as a regional hub for business, education, and international relations.",The reggae festival in _____ celebrated Jamaica's musical heritage and attracted international artists.,One Bee,,,,,1.0,2.5,1.0,2.0,4-factor weighted model (overall_score: 1.75),noun (proper),KINGS-tuhn (emphasis on first syllable),"Named ""King's Town"" after King William III of England, from ""king"" + ""ton"" (town)",Claude,"Think ""Kings-town"" - the town named after a king",,Various,Claude,Scripps National Spelling Bee,One Bee; Three Bee; Two Bee,3,Scripps National Spelling Bee Words of the Champions (2020; 2021; 2022; 2023; 2024; 2025),2025-08-19
kippur,"Short for Yom Kippur, the holiest day in Judaism known as the Day of Atonement, observed through fasting, prayer, and repentance for sins committed during the previous year. Kippur represents the culmination of the High Holy Days period, where Jewish communities engage in intensive spiritual reflection, seek forgiveness from God and fellow humans, and commit to moral improvement. The observance includes complete fasting from food and drink, extensive synagogue services, and the recitation of special prayers including the Kol Nidre. This sacred day emphasizes themes of redemption, spiritual purification, and divine mercy.",The synagogue was filled with worshippers observing the solemn fast of Yom _____.,Two Bee,,,,,1.0,2.0,1.0,2.5,4-factor weighted model (overall_score: 1.75),noun,ki-POOR or KIP-oor (emphasis varies),"From Hebrew ""kippur,"" meaning ""atonement"" or ""covering,"" from root ""kafar"" (to cover or atone)",Claude,"Think ""keep-pure"" - keeping oneself spiritually pure through atonement",,Various,Claude,Scripps National Spelling Bee,Two Bee,1,Scripps National Spelling Bee Words of the Champions (2022),2025-08-19
kipuka,"An area of land surrounded by lava flows but left untouched during volcanic eruptions, creating islands of original vegetation and ecosystems within newly formed volcanic landscapes. Kipukas serve as crucial refuges for native plants and animals during volcanic activity, preserving biodiversity and providing seed sources for ecological recovery after eruptions. These geological features are particularly important in Hawaiian ecosystems, where volcanic activity frequently reshapes landscapes while kipukas maintain continuity of native species. The term has extended to describe any isolated area that remains unchanged while surrounding environments undergo transformation.",The native birds found refuge in the _____ while lava flows destroyed the surrounding forest.,One Bee,,,,,1.0,2.0,1.0,2.0,4-factor weighted model (overall_score: 1.60),noun,ki-POO-kah (emphasis on second syllable),"From Hawaiian ""kīpuka,"" meaning ""opening"" or ""hole,"" referring to openings in lava fields",Claude,"Think ""keep-puka"" - keeping a hole or opening safe from lava flows",,Various,Claude,Scripps National Spelling Bee,One Bee; Three Bee; Two Bee,3,Scripps National Spelling Bee Words of the Champions (2020; 2021; 2022; 2023; 2024; 2025),2025-08-19
kirpan,"A ceremonial sword or dagger that represents one of the five Ks (panj kakar) worn by initiated Sikhs as a symbol of the duty to protect the innocent and uphold justice. The kirpan embodies the Sikh principle of defending righteousness and protecting those who cannot protect themselves, representing spiritual and physical courage in the face of oppression. Modern kirpans vary in size from small symbolic versions to traditional full-sized swords, with wearing practices adapted to contemporary legal and social contexts while maintaining religious significance. This sacred object connects Sikh identity to historical traditions of warrior-saints and social justice advocacy.",The Sikh soldier proudly wore his _____ as a symbol of his religious commitment to protecting others.,Two Bee,,,,,1.0,2.0,1.0,2.0,4-factor weighted model (overall_score: 1.60),noun,kir-PAHN (emphasis on second syllable),"From Punjabi ""kirpan,"" from ""kirpa"" (mercy, grace) + ""an"" (honor), meaning ""the honor of mercy""",Claude,"Think ""care-pan"" - caring for others with this protective sword",,Various,Claude,Scripps National Spelling Bee,Two Bee,1,Scripps National Spelling Bee Words of the Champions (2023),2025-08-19
kiskadee,"A large, colorful flycatcher bird (Pitangus sulphuratus) native to Central and South America, characterized by its distinctive black and white head pattern, bright yellow belly, and loud, repetitive call that sounds like ""kis-ka-dee."" These birds are aggressive predators that catch insects, small fish, and other prey while perched prominently in open areas near water. Kiskadees are highly adaptable birds that thrive in various habitats from tropical forests to urban areas, known for their bold behavior and distinctive vocalizations that make them easily identifiable. Their success in diverse environments has made them common throughout their range.","The _____ perched on the fence post, calling loudly while hunting for insects in the garden.",Three Bee,,,,,1.0,2.5,1.0,2.0,4-factor weighted model (overall_score: 1.75),noun,KIS-kuh-dee (emphasis on first syllable),"Onomatopoeia from the bird's distinctive call that sounds like ""kis-ka-dee""",Claude,"Think ""kiss-ka-dee"" - the bird that sounds like it's saying ""kiss-ka-dee""",,Various,Claude,Scripps National Spelling Bee,Three Bee,1,Scripps National Spelling Bee Words of the Champions (2025),2025-08-19
kitchendifficulty,"[COMBINED WORD ERROR] This appears to be ""kitchen"" (food preparation room) incorrectly combined with ""difficulty"" (challenge or problem). This type of error occurs when PDF text extraction fails to properly separate distinct words appearing close together in original document formatting. These are completely unrelated concepts artificially combined due to technical parsing issues common when processing PDF documents containing educational materials, where formatting irregularities cause adjacent words to merge without proper spacing or punctuation between distinct vocabulary terms.",[ERROR - This combined word should not appear in spelling bee materials],Two Bee,,,,,1.5,3.5,2.0,2.0,4-factor weighted model (overall_score: 2.35),error - combined words,[PRONUNCIATION ERROR - COMBINED WORDS],[ETYMOLOGY ERROR - COMBINED WORDS],Claude,"This is a data error - should be separated into ""kitchen"" and ""difficulty""",,Various,Claude,Scripps National Spelling Bee,Two Bee,1,Scripps National Spelling Bee Words of the Champions (2022),2025-08-19
kitchens,"Plural of kitchen; rooms or areas in buildings specifically designed and equipped for food preparation, cooking, and often dining, containing appliances like stoves, refrigerators, sinks, and storage facilities. Kitchens serve as central hubs of domestic activity where meals are prepared, families gather, and culinary traditions are maintained and passed down through generations. Modern kitchens incorporate advanced appliances, efficient layouts, and storage solutions that facilitate both everyday cooking and entertaining guests. The design and functionality of kitchens reflect cultural preferences, cooking styles, and social patterns of food preparation and consumption.",The restaurant's multiple _____ allowed chefs to prepare different cuisines simultaneously during busy periods.,Three Bee,,,,,1.5,2.5,1.0,2.5,4-factor weighted model (overall_score: 2.00),noun,KICH-uhnz (emphasis on first syllable),"Plural of ""kitchen,"" from Old English ""cycene,"" from Late Latin ""coquina"" (cooking place)",Claude,"Think ""cooking-ens"" - places where cooking happens, with 's' for multiple places",,Various,Claude,Scripps National Spelling Bee,Three Bee,1,Scripps National Spelling Bee Words of the Champions (2025),2025-08-19
kites,"Plural of kite; lightweight objects designed to fly in the air when connected to strings and lifted by wind currents, traditionally made of paper, fabric, or plastic stretched over frames. Kites serve recreational, cultural, and practical purposes including children's toys, artistic expression, scientific instruments, and ceremonial objects in various cultures worldwide. The physics of kite flight involves aerodynamic principles of lift, drag, and stability that have contributed to understanding of flight and led to developments in aviation. Kite flying represents both simple pleasure and sophisticated engineering, connecting human creativity with natural forces.",The children flew colorful _____ in the park during the spring festival celebration.,Two Bee,,,,,1.0,2.0,1.0,2.0,4-factor weighted model (overall_score: 1.60),noun,"KIETS (single syllable, rhymes with ""lights"")","Plural of ""kite,"" from Old English ""cyta,"" possibly related to the bird of prey",Claude,"Think ""sky-ites"" - objects that belong in the sky when flying",,Various,Claude,Scripps National Spelling Bee,Two Bee,1,Scripps National Spelling Bee Words of the Champions (2022),2025-08-19
kitksan,"Relating to the Gitxsan people, a First Nations group indigenous to the Pacific Northwest region of British Columbia, Canada, known for their sophisticated clan system, artistic traditions, and connection to salmon fishing territories along the Skeena River. The Gitxsan maintain ancient cultural practices including potlatch ceremonies, totem pole carving, and complex oral histories that preserve their relationship to traditional territories. Their social organization involves matrilineal clans with hereditary chiefs who oversee territorial rights and cultural protocols. Contemporary Gitxsan communities balance traditional governance systems with modern political structures while advocating for land rights and cultural preservation.",The museum featured _____ totem poles carved by master artisans from the Skeena River region.,Three Bee,,,,,1.0,2.5,1.0,2.0,4-factor weighted model (overall_score: 1.75),"adjective, noun",GIT-san (emphasis on first syllable),"From Gitxsan ""Gitxsan"" meaning ""people of the Skeena River,"" from ""git"" (people) + ""xsan"" (Skeena River)",Claude,"Think ""get-san"" - getting to know the San (people) of the Skeena River",,Various,Claude,Scripps National Spelling Bee,Three Bee; Two Bee,2,Scripps National Spelling Bee Words of the Champions (2023; 2024; 2025),2025-08-19
