word,years,source_files,source_difficulties,definition,pronunciation,example_sentence,etymology,memory_tips,part_of_speech,phonetic_transparency_score,word_frequency_score,morphological_complexity_score,etymology_complexity_score,difficulty_level,definition_source,pronunciation_source,etymology_source,example_sentence_source
trout,2023,2023_Words_of_the_Champions.pdf,Two Bee,"A freshwater fish of the salmon family, prized for sport fishing and culinary purposes, characterized by spotted skin and excellent taste. Various species include rainbow trout, brown trout, brook trout, and lake trout, each adapted to different aquatic environments. Trout require clean, cold, well-oxygenated water and serve as indicators of environmental health. Popular in fly fishing due to their selective feeding habits and fighting ability when hooked. Many trout species are farmed commercially for food production, while wild populations support recreational fishing industries and ecosystem balance.",/traʊt/,The angler carefully released the beautiful rainbow _____ back into the crystal-clear mountain stream.,"From Old English 'truht,' related to Germanic languages, referring to this freshwater fish family.","[""Think 'freshwater FISH' - cold-water fish popular for fishing and eating"", ""Remember 'rainbow trout' for colorful spotted fish species"", ""Connect to 'mountain streams' for natural trout habitat""]",noun,1.0,1.0,1.0,2.3,,Claude,Claude,Claude,Claude
trouvaille,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"A lucky find or valuable discovery; an unexpected treasure or fortunate acquisition. This French term describes serendipitous discoveries of valuable objects, rare items, or beneficial opportunities that occur by chance rather than systematic searching. Antique collectors use trouvaille to describe unexpected valuable finds at garage sales or estate sales. The concept emphasizes the element of luck and surprise in discovering something worthwhile. Modern usage extends to any fortunate discovery, whether material objects, career opportunities, or personal relationships that prove unexpectedly valuable.",/truvˈaɪ/,The antique dealer's greatest _____ was finding a rare Ming vase at a small country auction.,"From French 'trouvaille,' from 'trouver' (to find), meaning 'a finding' or 'lucky discovery.'","[""Think 'TREASURE found' - lucky discovery of something valuable"", ""Remember 'French for finding' - trouvaille means lucky find"", ""Connect to 'serendipity' for unexpected fortunate discovery""]",noun,1.2,3.0,2.0,1.8,,Claude,Claude,Claude,Claude
trovato,2023; 2024,2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf,Three Bee; Two Bee,"An Italian word meaning 'found' or 'discovered'; past participle of 'trovare' (to find). In legal contexts, describes property or items that have been found or recovered. Archaeological contexts use trovato for artifacts or sites that have been discovered. The word appears in Italian legal documents, archaeological reports, and academic texts dealing with discoveries. Can also describe solutions that have been found to problems or questions that have been resolved through investigation or research.",/troˈvato/ (Italian),The archaeologist carefully catalogued each artifact _____ during the excavation of the ancient Roman site.,"From Italian 'trovato,' past participle of 'trovare' (to find), from Latin 'tropare' meaning 'to find.'","[""Think 'FOUND in Italian' - past tense of finding or discovering"", ""Remember 'archaeological finds' for discovered artifacts context"", ""Connect to 'trouvaille' for related French word meaning lucky find""]",adjective/past participle (Italian),1.0,2.5,1.0,1.8,,Claude,Claude,Claude,Claude
trovatobeowulf,2025,2025 Words of Champion _1_.pdf,Three Bee,"ERROR: This appears to be a combined word error. Should likely be separated into 'trovato' (Italian for 'found') and 'Beowulf' (Anglo-Saxon epic poem hero). 'Trovato' is an Italian past participle meaning found or discovered, while 'Beowulf' refers to the legendary Germanic hero of the famous epic poem. These represent completely different concepts from Italian language and English literature that have been incorrectly merged in the source data.",ERROR: Combined word - check source data,ERROR: This appears to be two separate words incorrectly combined.,ERROR: Combined word requiring separation and individual analysis.,"[""ERROR: This appears to be 'trovato' + 'Beowulf' combined"", ""Review source data for proper word separation"", ""Check for data processing errors in original documents""]",ERROR: Combined word,1.0,4.0,2.0,1.0,,Claude,Claude,Claude,Claude
trove,2023; 2024; 2025,2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee,"A store of valuable or delightful things; a treasure collection or repository of valuable items. Originally referring to treasure found or stored, the word now describes any accumulation of precious, interesting, or useful things. Digital contexts describe data troves containing valuable information for research or analysis. Cultural troves include collections of art, literature, or historical artifacts. The concept emphasizes both the value of individual items and their collective worth when gathered together. Academic and journalistic contexts frequently describe document troves or information troves.",/troʊv/,The historian discovered a _____ of letters that revealed new insights into the Civil War period.,"From Anglo-French 'trover' (to find), related to 'trouvaille,' meaning 'treasure' or 'valuable collection.'","[""Think 'TREASURE collection' - valuable store of precious things"", ""Remember 'data trove' for valuable information collections"", ""Connect to 'treasure chest' for repository of valuable items""]",noun,1.0,1.0,1.0,1.8,,Claude,Claude,Claude,Claude
trowel,2020,2020 Words_of_the_Champions.pdf,One Bee,"A handheld tool with a flat, pointed blade used for spreading, smoothing, or shaping mortar, plaster, or similar materials; a smaller version used in gardening for digging, planting, and transplanting. Construction trowels come in various shapes for specific masonry tasks, including pointing trowels, brick trowels, and finishing trowels. Garden trowels feature narrow blades perfect for precise digging in confined spaces, planting bulbs, or transplanting seedlings. Both types require proper technique for effective use and tool longevity. Quality trowels feature comfortable handles and durable blade construction.",/ˈtraʊəl/,The gardener used a small _____ to carefully transplant the delicate seedlings into individual pots.,"From Old French 'truele,' from Latin 'truella' (small ladle), referring to the scoop-like tool shape.","[""Think 'handheld SCOOPING tool' - flat blade for spreading or digging"", ""Remember 'gardening tool' for planting and transplanting"", ""Connect to 'masonry work' for spreading mortar or cement""]",noun,1.0,2.0,1.0,1.8,,Claude,Claude,Claude,Claude
trowsers,2025,2025 Words of Champion _1_.pdf,Three Bee,"An archaic or variant spelling of 'trousers,' referring to leg-covering garments; pants or leg coverings worn as clothing. This older spelling form appeared in historical texts and early American English but has largely been replaced by the modern 'trousers' spelling. Historical documents, period literature, and reproductions of old texts may retain this spelling for authenticity. The garment itself serves the same function as modern trousers, providing leg protection and modesty. Some regional dialects or stylistic choices may still use this variant spelling.",/ˈtraʊzərz/,The historical reenactor wore authentic 18th-century _____ made from hand-woven fabric.,"Variant spelling of 'trousers,' from Irish 'triubhas' or Scottish Gaelic, referring to leg coverings.","[""Think 'old spelling of TROUSERS' - archaic form of pants"", ""Remember 'historical documents' for period spelling usage"", ""Connect to 'period costume' for authentic historical clothing""]",noun (archaic spelling),1.0,2.5,1.0,1.3,,Claude,Claude,Claude,Claude
truckee,2022; 2023; 2024; 2025,2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee,"A city in California near Lake Tahoe; historically, may refer to a type of railroad or transportation system. The city serves as a gateway to Lake Tahoe recreation and sits along historic transcontinental railroad routes. Named after a Paiute chief, Truckee features mountain recreation, winter sports, and serves as a transportation hub for the Sierra Nevada region. The area played important roles in California Gold Rush history and railroad development. Modern Truckee attracts visitors for skiing, hiking, and Lake Tahoe access.",/ˈtrʌki/,The family stopped in _____ to enjoy mountain views before continuing to their Lake Tahoe vacation.,"Named after Chief Truckee, a Paiute leader, whose name possibly derived from a Paiute word meaning 'all right.'","[""Think 'California mountain TOWN' - city near Lake Tahoe"", ""Remember 'railroad history' for transcontinental route significance"", ""Connect to 'ski resort area' for winter recreation destination""]",noun (proper),1.0,2.5,1.0,1.6,,Claude,Claude,Claude,Claude
truculence,2020,2020 Words_of_the_Champions.pdf,One Bee,"Aggressiveness, defiance, or hostility in manner or speech; a disposition to be harsh, cruel, or threatening. Describes behavior characterized by fierce opposition, intimidating demeanor, or savage aggressiveness toward others. Can manifest in verbal attacks, threatening postures, or deliberately hostile interactions. The word suggests not just anger but deliberate intimidation and cruelty in dealing with others. Political contexts may describe truculence in negotiations, while personal relationships may suffer from one party's truculence. The behavior often serves to dominate or control through fear.",/ˈtrʌkjələns/,The manager's _____ toward employees created a hostile work environment that damaged team morale.,"From Latin 'truculentia,' from 'truculentus' (fierce, savage), from 'trux' (fierce, wild).","[""Think 'fierce AGGRESSION' - hostile, threatening behavior toward others"", ""Remember 'TRUCK-ulence' like 'truck-like' aggressive charging"", ""Connect to 'bullying' for intimidating, harsh treatment of others""]",noun,1.0,3.0,2.0,1.8,,Claude,Claude,Claude,Claude
true,2025,2025 Words of Champion _1_.pdf,Three Bee,"In accordance with fact or reality; accurate, correct, or genuine; faithful or loyal. Describes statements, beliefs, or representations that correspond to actual facts or reality. Can characterize people who are honest, reliable, or faithful to commitments and relationships. Philosophical contexts explore concepts of truth, reality, and knowledge. Mathematical and scientific usage indicates accurate calculations or correct theories. The word serves as a fundamental concept in logic, ethics, and epistemology, distinguishing reality from falsehood or illusion.",/tru/,Her account of the events proved to be completely _____ when confirmed by security footage.,"From Old English 'trēowe' (faithful, trustworthy), related to Germanic concepts of faithfulness and reliability.","[""Think 'FACTUAL and correct' - corresponds to reality or facts"", ""Remember 'opposite of false' for accurate information"", ""Connect to 'faithful' for loyal and reliable character""]","adjective, adverb, noun",1.0,1.0,1.0,2.3,,Claude,Claude,Claude,Claude
