word,definition,part_of_speech,pronunciation_guide,etymology,memory_tips,alternate_spellings,language_origin,example_sentence,years,source_files,source_difficulties,difficulty_phonetic,difficulty_frequency,difficulty_morphological,difficulty_etymology,difficulty_final,etymology_source,definition_source,pronunciation_source,example_sentence_source
confused,"Uncertain, bewildered, or unable to think clearly; lacking clarity or understanding about a situation, concept, or instruction. Confusion can result from complex information, contradictory signals, or overwhelming circumstances. When confused, individuals may struggle to make decisions, follow directions, or comprehend what is happening around them. This mental state often requires clarification or additional information to resolve.",adjective,kun-FYOOZD (/kənˈfjuzd/),"From Latin ""confusus,"" past participle of ""confundere"" (to pour together, mix up)","Think ""con- (together) + fus (pour)"" - ideas poured together in a mixed-up way",None,Latin,The student looked _____ after hearing the complex mathematical explanation.,2020; 2024,2020 Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf,One Bee; Three Bee,1.0,2.5,1.5,3.5,,Claude,Claude,Claude,Claude
confusion,"A state of being uncertain, perplexed, or lacking clear understanding; a situation where things are mixed up or unclear. Confusion can arise from ambiguous information, conflicting instructions, or overwhelming complexity. It represents a temporary inability to distinguish between options or understand relationships between concepts. Resolving confusion typically requires clarification, organization, or additional learning.",noun,kun-FYOO-zhun (/kənˈfjuʒən/),"From Latin ""confusio,"" from ""confundere"" (to pour together, disorder)","Think of ideas being ""fused together"" in a disordered way, creating confusion",None,Latin,The _____ about the meeting time led several people to arrive late.,2025,2025 Words of Champion _1_.pdf,Three Bee,1.3,3.0,1.5,3.5,,Claude,Claude,Claude,Claude
congealing,"Present participle of congeal; the process of changing from liquid to semi-solid or solid state, typically due to cooling or chemical action. Congealing occurs when substances like blood, fat, or certain liquids thicken and solidify. The term can also describe ideas or plans that are beginning to take definite shape or form after a period of development.",verb (present participle),kun-JEEL-ing (/kənˈdʒilɪŋ/),"From Latin ""congelare"" (to freeze together), from ""con-"" (together) + ""gelare"" (to freeze)","Think ""con- (together) + gel"" - coming together to form a gel-like substance",None,Latin,"The sauce was _____ as it cooled, making it difficult to pour.",2022,2022 Words of the Champions_low_ink_printable.pdf,Two Bee,1.0,3.0,1.5,3.5,,Claude,Claude,Claude,Claude
congeniality,"The quality of being pleasant, friendly, and sociable; a warm and agreeable disposition that makes others feel comfortable. Congeniality involves genuine interest in others, easy conversation, and the ability to create harmonious social interactions. People with congeniality are often well-liked and effective at building positive relationships in both personal and professional settings.",noun,kun-jee-nee-AL-i-tee (/kənˌdʒiniˈæləti/),"From Latin ""congenialis,"" meaning ""of the same nature,"" from ""con-"" (together) + ""genius"" (nature)","Think ""con- (together) + genial"" - having a nature that brings people together pleasantly",None,Latin,Her natural _____ made her the perfect choice for the customer service position.,2022; 2023; 2024; 2025,2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee,1.0,3.5,1.5,3.5,,Claude,Claude,Claude,Claude
conglomerate,"A large corporation formed by merging or acquiring many different companies, often in unrelated industries; in geology, a rock composed of rounded fragments cemented together. Business conglomerates diversify risk by operating in multiple sectors. The term emphasizes the combination of diverse elements into a unified whole, whether in business structure or geological formation.","noun, verb",kun-GLOM-ur-it (/kənˈglɒmərɪt/),"From Latin ""conglomeratus,"" from ""con-"" (together) + ""glomerare"" (to wind into a ball)","Think ""con- (together) + glomerate (gather in a ball)"" - gathering different things together",None,Latin,"The media _____ owned newspapers, television stations, and radio networks worldwide.",2020,2020 Words_of_the_Champions.pdf,One Bee,1.0,3.5,1.5,3.5,,Claude,Claude,Claude,Claude
conglutinant,"Having the property of gluing or sticking together; serving to unite or bind separate parts. This medical and scientific term describes substances that promote healing by bringing tissue edges together, or materials that have adhesive properties. Conglutinant agents help in wound healing by facilitating the natural binding process of damaged tissues.","adjective, noun",kun-GLOO-tn-uhnt (/kənˈglutənənt/),"From Latin ""conglutinans,"" from ""conglutinare"" (to glue together)","Think ""con- (together) + glutin (glue)"" - gluing things together",None,Latin,The surgeon applied a _____ substance to help the wound edges heal properly.,2024; 2025,2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee,1.0,3.5,1.5,3.5,,Claude,Claude,Claude,Claude
congo,"Referring to the Democratic Republic of the Congo or Republic of the Congo, countries in Central Africa named after the Congo River. The name can also refer to the Congo Basin, a vast rainforest region, or historically to the ancient Kingdom of Kongo. In various contexts, Congo represents African geography, culture, and history, particularly relating to the Congo River system.",noun (proper name),KONG-goh (/ˈkɒŋgoʊ/),"From the Kingdom of Kongo, possibly from Kikongo ""nkongo"" (hunter)",Think of the great Congo River and the African countries named after it,None,Kikongo (African),The explorers studied the biodiversity of the _____ rainforest ecosystem.,2025,2025 Words of Champion _1_.pdf,Three Bee,1.0,2.0,1.0,2.0,,Claude,Claude,Claude,Claude
congratulate,"To express pleasure, approval, or admiration for someone's achievement, success, or good fortune; to offer praise and good wishes for accomplishments. Congratulations acknowledge effort, celebrate milestones, and strengthen social bonds by showing appreciation for others' successes. This social ritual demonstrates support and shared joy in achievements.",verb,kun-GRACH-uh-layt (/kənˈgrætʃəleɪt/),"From Latin ""congratulari,"" from ""con-"" (together) + ""gratulari"" (to show joy)","Think ""con- (together) + gratulate (show joy)"" - showing joy together with someone",None,Latin,The family gathered to _____ the graduate on her academic achievement.,2021,2021_Printable_Words of the Champions.pdf,One Bee,1.0,3.5,1.5,3.5,,Claude,Claude,Claude,Claude
congregation,"A group of people assembled for religious worship; any gathering or assembly of people with a common purpose. In religious contexts, congregations form the community of believers who worship together regularly. The term can also apply to any organized group that meets for shared activities, discussions, or ceremonies.",noun,kong-gri-GAY-shun (/ˌkɒŋgrɪˈgeɪʃən/),"From Latin ""congregatio,"" from ""congregare"" (to gather together)","Think ""con- (together) + greg (flock)"" - a flock gathered together",None,Latin,The _____ sang hymns together during the Sunday morning service.,2024,2024 Words of the Champions.pdf,Three Bee,1.3,3.5,2.0,3.5,,Claude,Claude,Claude,Claude
conical,"Having the shape of a cone; tapering to a point from a circular base. Conical objects are characterized by their geometric form that narrows consistently from a wide bottom to a narrow top. This shape appears in nature (pine trees, volcano peaks) and human-made objects (ice cream cones, traffic cones, funnels).",adjective,KON-i-kul (/ˈkɒnɪkəl/),"From Greek ""konikos,"" from ""konos"" (cone)","Think ""cone + -ical"" - having the characteristics of a cone shape",None,Greek,The _____ mountain peak was visible from miles away.,2025,2025 Words of Champion _1_.pdf,Three Bee,1.0,2.5,1.5,3.5,,Claude,Claude,Claude,Claude
