word,definition,part_of_speech,pronunciation_guide,etymology,language_origins,example_sentence,memory_tip,phonetic_transparency_score,word_frequency_score,morphological_complexity_score,etymology_complexity_score,difficulty,definition_source,pronunciation_source,etymology_source,memory_tip_source,example_sentence_source,source_difficulty,years,source_files,is_error,error_message
edenic,"Relating to or resembling the Garden of Eden; characterized by idyllic beauty, innocence, and perfection; paradisiacal.",adjective,eh-DEN-ik (emphasis on second syllable),"From ""Eden"" (the biblical garden) + ""-ic"" suffix. Religious and literary terminology.",Hebrew via English,The tropical island had an _____ quality that made visitors feel like they had found paradise.,"Remember ""e-DEN-ic"" - relating to the ""Eden"" garden, perfectly beautiful and innocent like paradise.",10,7,3,5,,Claude,Claude,Claude,Claude,Claude,One Bee; Three Bee; Two Bee,2020; 2021; 2022; 2023; 2024,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf,False,
edge,"The outside limit of an object, area, or surface; a slight advantage; the sharpened side of a blade.","noun, verb","EJ (rhymes with ""hedge"")","From Old English ""ecg"" meaning ""corner, point."" Related to Germanic words for sharp points.",Old English,She carefully walked along the _____ of the cliff to get a better view.,"Simple ""EDGE"" rhymes with ""hedge"" - the sharp boundary or border of something.",10,9,2,5,,Claude,Claude,Claude,Claude,Claude,Three Bee,2024; 2025,2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,False,
edible,Safe and suitable for eating; fit to be consumed as food without harm.,"adjective, noun",ED-uh-bul (emphasis on first syllable),"From Latin ""edibilis"" meaning ""eatable"" (from edere ""to eat""). Food terminology.",Latin,The survival guide taught hikers to identify _____ plants in the wilderness.,"Remember ""ED-ible"" - something you can ""eat"" without getting sick, safely ""edible.""",10,9,2,5,,Claude,Claude,Claude,Claude,Claude,Three Bee,2024,2024 Words of the Champions.pdf,False,
edification,The instruction or improvement of a person morally or intellectually; education that enlightens and uplifts.,noun,ed-uh-fi-KAY-shun (emphasis on fourth syllable),"From Latin ""aedificare"" meaning ""to build"" (aedes ""building"" + facere ""to make""). About building character.",Latin,She read philosophy books for her moral and intellectual _____.,"Think ""edifi-CATION"" - ""edifying"" education that builds character like constructing a building.",10,2,4,5,,Claude,Claude,Claude,Claude,Claude,One Bee; Two Bee,2020; 2021; 2022; 2023,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf,False,
edinburgh,"The capital city of Scotland, known for its historic castle, annual festivals, and cultural significance.",noun (proper),ED-in-bur-uh (emphasis on first syllable),"From Old English ""Edwin's burh"" (Edwin's fortress). Named after King Edwin of Northumbria.",Old English,The annual _____ Festival attracts performers and audiences from around the world.,"Remember ""EDIN-burgh"" - like ""eating burg,"" the Scottish capital city with its famous castle.",7,6,3,5,,Claude,Claude,Claude,Claude,Claude,Two Bee,2022,2022 Words of the Champions_low_ink_printable.pdf,False,
edition,A particular version of a published text; one of a series of printings of the same book or publication.,noun,ih-DISH-un (emphasis on second syllable),"From Latin ""editio"" meaning ""a bringing forth"" (from edere ""to give out""). Publishing terminology.",Latin,The first _____ of the novel is now a valuable collector's item.,"Think ""e-DITION"" - a specific ""addition"" or version of a book that's been ""edited"" and published.",10,9,3,5,,Claude,Claude,Claude,Claude,Claude,Three Bee,2024; 2025,2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,False,
editorial,An article expressing the opinion of the newspaper's editors; relating to editing or editors.,"noun, adjective",ed-ih-TOR-ee-ul (emphasis on third syllable),"From ""editor"" + ""-ial"" suffix. Journalism and publishing terminology.",English formation from Latin roots,The newspaper's _____ strongly criticized the mayor's new policy.,"Remember ""edi-TOR-ial"" - an article written by the ""editor"" expressing the newspaper's opinions.",9,9,4,5,,Claude,Claude,Claude,Claude,Claude,One Bee; Three Bee; Two Bee,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,False,
educand,A person who is being educated; a student or learner receiving instruction.,noun,ED-yoo-kand (emphasis on first syllable),"From Latin ""educandus"" meaning ""to be educated"" (from educare ""to educate""). Educational terminology.",Latin,The teacher adapted her methods to meet the needs of each _____.,"Think ""EDU-cand"" - a ""candidate"" for ""education,"" someone being taught and educated.",10,4,2,5,,Claude,Claude,Claude,Claude,Claude,One Bee; Three Bee; Two Bee,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,False,
educational,Relating to education; providing knowledge or teaching; designed to educate or inform.,adjective,ed-yoo-KAY-shun-ul (emphasis on third syllable),"From ""education"" + ""-al"" suffix. About the process of teaching and learning.",English formation from Latin roots,The museum offers many _____ programs for children and adults.,"Remember ""edu-CATION-al"" - relating to ""education"" and learning, designed to teach.",9,9,4,5,,Claude,Claude,Claude,Claude,Claude,One Bee; Three Bee; Two Bee,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,False,
edwardian,Relating to the reign of King Edward VII of Britain (1901-1910); characteristic of this period's style and culture.,"adjective, noun",ed-WOR-dee-an (emphasis on second syllable),"From ""Edward"" + ""-ian"" suffix. Historical period terminology.",English (eponym),The house was decorated in elegant _____ style with period furniture.,"Remember ""Ed-WARD-ian"" - relating to King ""Edward's"" era, the period after Victorian times.",10,4,3,5,,Claude,Claude,Claude,Claude,Claude,Three Bee,2025,2025 Words of Champion _1_.pdf,False,
eerily,In an eerie manner; mysteriously or strangely; in a way that causes unease or fear.,adverb,EER-uh-lee (emphasis on first syllable),"From ""eerie"" (possibly from Old English ""earg"" meaning ""cowardly"") + ""-ly"" suffix.",Old English,"The old house was _____ quiet, with no sounds except the wind.","Remember ""EERIE-ly"" - doing things in an ""eerie"" (spooky) way that makes you feel uncomfortable.",10,6,2,3,,Claude,Claude,Claude,Claude,Claude,One Bee; Three Bee; Two Bee,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,False,
efface,To erase or remove completely; to make oneself appear unimportant or inconspicuous.,verb,ih-FAYS (emphasis on second syllable),"From French ""effacer"" meaning ""to erase"" (ex- ""out"" + face ""face""). About removing or erasing.",French from Latin,Time had begun to _____ the old inscription on the gravestone.,"Think ""ef-FACE"" - to erase the ""face"" or surface of something, making it disappear completely.",10,6,2,5,,Claude,Claude,Claude,Claude,Claude,One Bee; Three Bee; Two Bee,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,False,
effect,A result or consequence; something brought about by a cause; to bring about or cause.,"noun, verb",ih-FEKT (emphasis on second syllable),"From Latin ""effectus"" meaning ""accomplishment"" (ex- ""out"" + facere ""to make""). About results.",Latin,The new medicine had a positive _____ on the patient's condition.,"Remember ""ef-FECT"" - the result or ""fact"" that comes after a cause, what happens as a consequence.",10,9,2,6,,Claude,Claude,Claude,Claude,Claude,Three Bee; Two Bee,2022; 2023; 2024; 2025,2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,False,
