word,definition,example_sentence,source_difficulty,difficulty_level,difficulty_name,ai_difficulty_level,ai_difficulty_name,phonetic_transparency_score,word_frequency_score,morphology_score,etymology_score,difficulty_calculation_method,part_of_speech,pronunciation_guide,etymology,etymology_source,memory_tips,alternate_spellings,language_origin,definition_source,source_names,source_difficulties,frequency,original_source,source_access_date
tentativeness,"The quality of being uncertain, hesitant, or provisional; a lack of confidence or decisiveness in action or opinion.",Her _____ in making the decision reflected her uncertainty about the outcome.,One Bee,,,,,2.0,4.0,2.0,2.3,4-factor weighted model (overall_score: 2.56),noun,TEN-tuh-tiv-nis (emphasis on first syllable),"From ""tentative"" + ""-ness"", from Latin ""tentare"" meaning ""to try, attempt""",Claude,"Think ""tent-ative-ness"" - like being unsure whether to set up your tent",,Latin,Claude,Scripps National Spelling Bee,One Bee; Two Bee,4.0,"Scripps National Spelling Bee Words of the Champions (2020, 2021, 2022, 2023)",2025-08-19
tephra,Volcanic ash and rock fragments ejected during an eruption; airborne volcanic debris of various sizes.,The volcanic _____ covered the landscape for miles around the eruption.,One Bee,,,,,3.0,3.0,1.0,3.3,4-factor weighted model (overall_score: 2.56),noun,TEF-ruh (emphasis on first syllable),"From Greek ""tephra"" meaning ""ash""",Claude,"Think ""teph-ra"" - ash that makes you cough ""teff""",,Greek,Claude,Scripps National Spelling Bee,One Bee,3.0,"Scripps National Spelling Bee Words of the Champions (2020, 2021)",2025-08-19
tepidity,The state of being lukewarm; lack of enthusiasm or passion; moderate warmth.,The audience's _____ toward the performance was disappointing to the actors.,One Bee,,,,,2.0,4.0,1.0,2.3,4-factor weighted model (overall_score: 2.31),noun,tuh-PID-i-tee (emphasis on second syllable),"From Latin ""tepiditas"", from ""tepidus"" meaning ""lukewarm""",Claude,"Think ""tepid-ity"" - the quality of being tepid or lukewarm",,Latin,Claude,Scripps National Spelling Bee,One Bee; Three Bee; Two Bee,4.0,"Scripps National Spelling Bee Words of the Champions (2020, 2021, 2022, 2023, 2024, 2025)",2025-08-19
teppanyaki,"A Japanese style of cooking where food is grilled on an iron hotplate, often performed as entertainment.",The chef's _____ skills included impressive knife juggling and flame tricks.,One Bee,,,,,2.0,4.0,1.0,4.0,4-factor weighted model (overall_score: 2.65),noun,tep-uhn-YAH-kee (emphasis on third syllable),"From Japanese ""teppan"" (iron plate) + ""yaki"" (grilled)",Claude,"Think ""teppen-yaki"" - yelling at the iron plate while cooking",,Japanese,Claude,Scripps National Spelling Bee,One Bee; Two Bee,4.0,"Scripps National Spelling Bee Words of the Champions (2020, 2021, 2022)",2025-08-19
terabyte,A unit of computer memory or storage equal to approximately one trillion bytes.,The new hard drive has a capacity of two _____.,One Bee,,,,,2.0,4.0,2.0,3.3,4-factor weighted model (overall_score: 2.76),noun,TER-uh-byt (emphasis on first syllable),"From Greek ""tera"" (monster, trillion) + ""byte"" (unit of data)",Claude,"Think ""terra-byte"" - a monstrous amount of data like the whole Earth",TB,Greek (modern scientific),Claude,Scripps National Spelling Bee,One Bee; Two Bee,4.0,"Scripps National Spelling Bee Words of the Champions (2020, 2021, 2022, 2023)",2025-08-19
terai,A lowland region along the southern edge of the Himalayas; a type of wide-brimmed hat.,The _____ region is known for its rich agricultural land.,Three Bee,,,,,2.0,3.0,1.0,4.0,4-factor weighted model (overall_score: 2.40),noun,tuh-RY (emphasis on second syllable),"From Hindi ""tarai"" meaning ""moist land""",Claude,"Think ""te-rai"" - terrain that's wet and marshy",,Hindi,Claude,Scripps National Spelling Bee,Three Bee; Two Bee,3.0,"Scripps National Spelling Bee Words of the Champions (2022, 2023, 2024, 2025)",2025-08-19
teraigabarit,"[COMBINED WORD ERROR] This appears to be two words incorrectly joined: ""terai"" (lowland region) + ""gabarit"" (size/dimensions).",[ERROR - This combined word should not appear in spelling bee materials],One Bee,,,,,2.0,4.0,2.0,4.0,4-factor weighted model (overall_score: 2.90),error - combined words,[PRONUNCIATION ERROR - COMBINED WORDS],[ETYMOLOGY ERROR - COMBINED WORDS],Claude,"This is a data error - should be separated into ""terai"" and ""gabarit""",terai + gabarit (separate words),ERROR - combined words,Claude,Scripps National Spelling Bee,One Bee,4.0,Scripps National Spelling Bee Words of the Champions (2021),2025-08-19
teraphim,Ancient Hebrew household gods or idols; small religious figurines used in worship.,Archaeological excavations uncovered ancient _____ in the household ruins.,Three Bee,,,,,3.0,4.0,2.0,4.0,4-factor weighted model (overall_score: 3.20),noun (plural),TER-uh-fim (emphasis on first syllable),"From Hebrew ""teraphim"", possibly related to ""raphah"" (to heal)",Claude,"Think ""tera-fim"" - ancient figures with terrible power",,Hebrew,Claude,Scripps National Spelling Bee,Three Bee; Two Bee,4.0,"Scripps National Spelling Bee Words of the Champions (2022, 2023, 2024, 2025)",2025-08-19
teratism,A biological abnormality or monstrosity; the study of developmental abnormalities.,The medical textbook included a chapter on _____ and developmental disorders.,One Bee,,,,,2.0,4.0,2.0,3.3,4-factor weighted model (overall_score: 2.76),noun,TER-uh-tizm (emphasis on first syllable),"From Greek ""teras"" (monster) + ""-ism""",Claude,"Think ""terror-tism"" - the study of terrifying abnormalities",,Greek,Claude,Scripps National Spelling Bee,One Bee; Three Bee; Two Bee,4.0,"Scripps National Spelling Bee Words of the Champions (2020, 2021, 2022, 2023, 2024, 2025)",2025-08-19
tercentenary,A three-hundredth anniversary; relating to a period of three hundred years.,The university celebrated its _____ with a year-long festival.,One Bee,,,,,4.0,4.0,3.0,2.3,4-factor weighted model (overall_score: 3.41),"noun, adjective",ter-sen-TEN-uh-ree (emphasis on third syllable),"From Latin ""ter"" (three times) + ""centenary"" (hundred years)",Claude,"Think ""ter-centenary"" - three centuries of celebration",tricentennial,Latin,Claude,Scripps National Spelling Bee,One Bee; Three Bee; Two Bee,4.0,"Scripps National Spelling Bee Words of the Champions (2020, 2021, 2022, 2023, 2024, 2025)",2025-08-19
