word,years,source_files,source_difficulties,definition,pronunciation,etymology,etymology_source,memory_tip,example_sentence,phonetic_transparency_score,word_frequency_score,morphological_complexity_score,etymology_complexity_score,difficulty,combined_word_error
marinate,2020,2020 Words_of_the_Champions.pdf,One Bee,"To soak food, especially meat or vegetables, in a seasoned liquid mixture before cooking to enhance flavor and tenderness. The marinating process allows acidic ingredients like vinegar, wine, or citrus juice to break down tough protein fibers while herbs and spices penetrate the food. Different marinades serve various purposes: acidic marinades tenderize tough cuts of meat, oil-based marinades add moisture and carry fat-soluble flavors, and enzymatic marinades using ingredients like pineapple or papaya break down proteins naturally. Marinating times vary from 30 minutes for delicate fish to 24 hours for tough cuts of beef. The technique originated from preservation methods but evolved into a flavor-enhancement practice essential to many cuisines worldwide.",/ˈmær.ɪ.neɪt/,"From French ""mariner,"" meaning ""to pickle in brine,"" derived from ""marin"" (marine) referring to seawater or salt water used in food preservation.",Claude,"Remember MARINATE = MARINE + ATE - think of soaking food in liquid like the ocean, then eating it.",The chef decided to ______ the beef in red wine and herbs for six hours before grilling.,0.0,0.9,0.0,0.8,,False
marine,2020; 2021; 2022; 2024,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2024 Words of the Champions.pdf,One Bee; Three Bee; Two Bee,"Relating to the sea or ocean, or a member of a naval infantry force trained for amphibious warfare and expeditionary missions. As an adjective, marine describes anything connected to saltwater environments, including marine biology (study of sea life), marine ecosystems, and marine vessels. Marine organisms have adapted to saltwater conditions through specialized physiological mechanisms. As a noun, a Marine (capitalized) refers to a highly trained military service member skilled in both land and sea operations. Marines undergo rigorous training emphasizing physical fitness, marksmanship, and small-unit tactics. The Marine Corps motto ""Semper Fidelis"" (Always Faithful) reflects their commitment to duty, honor, and loyalty to country and fellow Marines.",/məˈrin/,"From Latin ""marinus,"" meaning ""of the sea,"" derived from ""mare"" (sea). The military sense developed from naval forces operating from ships.",Claude,"Remember MARINE starts with MAR (like ""water"" in Spanish) - connecting to sea and ocean.",The ______ biologist studied coral reef ecosystems in tropical waters.,0.0,0.6,0.0,0.8,,False
maringouin,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"A regional term used in Louisiana and parts of the American South for a mosquito, particularly referring to the large, aggressive mosquitoes common in wetland areas. This Cajun French term reflects the linguistic heritage of Louisiana's Acadian population. Maringouins are typically larger than common house mosquitoes and are known for their persistent biting behavior, especially during dawn and dusk hours. These insects thrive in the humid, swampy conditions of the Gulf Coast region, where standing water provides ideal breeding grounds. The term represents the unique vocabulary that developed in Louisiana through the blending of French, Spanish, African, and Native American linguistic influences, creating a distinctive regional dialect that preserves cultural heritage.",/ˈmær.ɪŋ.ɡuɪn/,"From Louisiana Cajun French, derived from French ""maringouin,"" ultimately from a Tupi (South American indigenous) word for mosquito.",Claude,"Remember MARINGOUIN sounds like ""marine-going"" - mosquitoes that go to marine/swamp areas.",The Louisiana fisherman covered himself with repellent to protect against the swarms of ______ in the bayou.,0.0,0.9,0.0,0.8,,False
marionette,2021; 2024,2021_Printable_Words of the Champions.pdf; 2024 Words of the Champions.pdf,One Bee; Three Bee,"A puppet controlled from above by strings or wires attached to various parts of its body, allowing for complex and lifelike movements. Marionettes represent one of the oldest forms of theatrical entertainment, with examples dating back thousands of years across many cultures. The puppeteer, called a marionettist, manipulates the strings from a bridge or elevated platform to create the illusion of life. Professional marionettes may have dozens of strings controlling head, limbs, torso, and even facial features for sophisticated performances. The art form requires exceptional skill to coordinate multiple strings simultaneously while telling a story. Marionette theaters present everything from traditional fairy tales to complex dramatic works, maintaining this ancient art form in modern times.",/ˌmær.i.əˈnet/,"From French ""marionnette,"" a diminutive of ""Marion"" (little Mary), originally referring to figures of the Virgin Mary used in religious plays.",Claude,Remember MARIONETTE = MARY + LITTLE NET - little Mary controlled by strings like a net from above.,The skilled puppeteer made the ______ dance gracefully by manipulating dozens of nearly invisible strings.,0.0,0.9,0.0,0.8,,False
marionetteneapolitan,2020; 2022; 2023,2020 Words_of_the_Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf,One Bee; Two Bee,"A combined word error from PDF parsing that incorrectly merged ""marionette"" and ""neapolitan."" This represents a data processing error where two separate spelling bee words were concatenated without proper spacing. Marionette refers to a string puppet, while Neapolitan typically refers to something from Naples, Italy, or the three-flavored ice cream (vanilla, chocolate, strawberry). Such parsing errors occur when PDF text extraction fails to recognize word boundaries, particularly when words appear in close proximity in formatted lists or tables. These errors highlight the importance of data validation and cleaning in large-scale text processing projects.",/ˌmær.i.əˈnet.ni.əˈpɑl.ɪ.tən/,"Processing error combining ""marionette"" (French puppet term) with ""neapolitan"" (relating to Naples, from Latin ""Neapolitan"").",Claude,This is a COMBINED WORD ERROR - two separate words incorrectly joined together during PDF processing.,The data processor flagged ______ as an invalid combined word requiring separation into distinct terms.,0.0,0.9,0.3,0.8,,True
mariposa,2020; 2021,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf,One Bee,"The Spanish and Portuguese word for butterfly, also used as a poetic or artistic term in English, particularly in reference to the beautiful Mariposa lily found in western North America. Mariposa lilies (Calochortus species) are bulbous perennials with distinctive three-petaled flowers that resemble butterflies in flight, hence their name. These wildflowers are native to western United States and are prized for their delicate beauty and varied colors including white, yellow, pink, and purple. The term ""mariposa"" appears in various place names throughout California and the Southwest, reflecting Spanish colonial influence. In literature and art, mariposa serves as a symbol of transformation, beauty, and the ephemeral nature of life.",/ˌmær.ɪˈpoʊ.sə/,"From Spanish/Portuguese ""mariposa,"" meaning butterfly, possibly derived from ""María"" + ""posa"" (Mary alights), referring to the Virgin Mary.",Claude,Remember MARIPOSA = MARY + POSE - Mary posing like a beautiful butterfly.,The ______ lily bloomed in brilliant orange petals that resembled a butterfly's wings.,0.0,0.9,0.0,0.8,,False
maritime,2022; 2023; 2024; 2025,2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee,"Relating to shipping, sailing, navigation, or other activities taking place on or near the sea. Maritime encompasses the vast economic, legal, and cultural aspects of human interaction with oceans and seas. Maritime law governs international waters, shipping regulations, and naval commerce. Maritime industries include shipbuilding, port operations, offshore drilling, and marine transportation of goods. Maritime history traces human exploration, trade routes, and naval warfare across centuries. Maritime archaeology studies shipwrecks and underwater cultural sites. Maritime climate refers to weather patterns influenced by proximity to large bodies of water, characterized by moderate temperatures and higher humidity. The maritime tradition includes nautical customs, seamanship skills, and the cultural heritage of seafaring communities worldwide.",/ˈmær.ɪˌtaɪm/,"From Latin ""maritimus,"" meaning ""of the sea,"" derived from ""mare"" (sea). Related to ""maritime"" laws governing sea commerce.",Claude,Remember MARITIME = MAR (sea) + TIME - time spent at sea for navigation and commerce.,The ______ museum displayed artifacts from centuries of seafaring history and ocean exploration.,0.0,0.9,0.0,0.8,,False
mark,2020; 2021; 2022; 2023; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"A sign, symbol, or trace that indicates position, achievement, or quality; also to make such a sign or to observe carefully. As a noun, mark can mean a grade or score (exam marks), a target (hit the mark), a distinguishing feature (birthmark), or a unit of currency in some countries. As a verb, mark means to make a visible sign, to grade or evaluate, to observe or notice, or to commemorate. In sports, marking refers to closely guarding an opponent. The phrase ""make your mark"" means to achieve success or recognition. Historical marks include property boundaries, trail markers, and quality stamps on manufactured goods. In education, marking involves assessing student work and providing feedback.",/mɑrk/,"From Old English ""mearc,"" meaning boundary or sign, related to Germanic words for boundary or border marker.",Claude,"Remember MARK - short and simple, like making a quick sign or getting a grade.",The teacher asked students to ______ their answers clearly on the test sheet.,0.0,0.3,0.0,0.8,,False
marked,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"Clearly noticeable, distinct, or having visible signs or symbols. When something is marked, it displays obvious characteristics that set it apart from others. A marked improvement shows clear, significant progress. Marked differences are easily observable distinctions between things. In linguistics, marked forms are more complex or specialized compared to unmarked basic forms. Marked cards have been secretly altered for cheating in gambling. Marked territory shows signs of animal occupation through scent or visual indicators. A marked man faces targeting or danger. The term implies both physical indicators and metaphorical distinctions that make something stand out from the ordinary or expected state.",/mɑrkt/,"Past tense of ""mark,"" from Old English ""mearc."" The adjective sense developed from the idea of being stamped or labeled.",Claude,"Remember MARKED = MARK + ED - something that has been marked shows clear, visible signs.",There was a ______ difference in her confidence after completing the training program.,0.0,0.6,0.2,0.2,,False
markets,2020; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"Places or systems where goods, services, or securities are bought and sold; also the demand for particular products or the act of promoting and selling. Physical markets include farmers' markets, bazaars, and shopping centers where vendors and customers meet. Financial markets encompass stock exchanges, bond markets, and commodity trading where securities change hands. Market economics refers to systems where supply and demand determine prices and resource allocation. Marketing involves researching consumer needs and promoting products to target audiences. Market share represents a company's portion of total industry sales. Emerging markets refer to developing countries with growing economies. The verb ""markets"" means actively promoting or selling products to potential customers through advertising, distribution, and sales strategies.",/ˈmɑr.kɪts/,"From Latin ""mercatus,"" meaning trade or marketplace, derived from ""merx"" (merchandise). Related to merchant and commerce.",Claude,Remember MARKETS = places where you MARK prices on goods to sell them.,The company expanded into international ______ to increase their global sales revenue.,0.0,0.6,0.0,0.8,,False
