word,definition,part_of_speech,pronunciation_guide,etymology,language_origins,example_sentence,memory_tip,phonetic_transcription_score,frequency_score,morphological_score,etymology_score,final_difficulty,definition_source,pronunciation_source,etymology_source,example_sentence_source,memory_tip_source,audio_file,difficulty_level,difficulty_source,years,source_files,source_difficulties,scripps_difficulty
gravimetry,"Gravimetry is the scientific measurement and study of gravitational fields, particularly variations in Earth's gravitational force at different locations. This field of geophysics uses precise instruments called gravimeters to detect minute changes in gravitational acceleration, which can reveal information about subsurface geology, mineral deposits, oil reserves, and the Earth's internal structure. Gravimetric surveys are used in exploration geophysics to locate underground resources, in geodesy to map Earth's shape and gravitational field, and in various scientific applications including monitoring groundwater levels and detecting geological hazards. The technique relies on the principle that different materials and structures beneath the surface create slight variations in local gravity.",noun,gruh-VIM-uh-tree,"From Latin ""gravis"" meaning ""heavy, weighty"" + Greek ""metron"" meaning ""measure.""","Latin, Greek",The oil company used _______ to map underground geological structures and identify potential drilling sites.,"Remember ""GRAVIMETRY"" - GRAVIty + METRY (measurement), measuring gravity to understand what's underground.",0.5,0.5,0.5,0.5,,Claude,Claude,Claude,Claude,Claude,,,,,,,
gravitas,"Gravitas refers to dignity, seriousness, and solemnity of manner that commands respect and reverence. It describes a quality of weightiness, both literal and figurative, that suggests depth of character, moral authority, and the ability to handle serious matters with appropriate gravity. A person with gravitas possesses a compelling presence that conveys competence, wisdom, and trustworthiness. The concept encompasses not just serious demeanor but also the substance and gravitas of thought that underlies it. Originally a Roman virtue, gravitas was considered essential for leadership and public service, representing the balance between authority and responsibility.",noun,GRAV-i-tas,"From Latin ""gravitas"" meaning ""weight, heaviness, dignity,"" from ""gravis"" meaning ""heavy, weighty.""",Latin,The Supreme Court justice's _______ and thoughtful questioning during oral arguments commanded respect from all the attorneys.,"Remember ""GRAVITAS"" - GRAVe + ITAs (it has), having grave seriousness and weight that commands respect.",0.5,0.5,0.5,0.5,,Claude,Claude,Claude,Claude,Claude,,,,,,,
gravy,"Gravy is a sauce made from the fat and juices that run naturally from meat during cooking, typically thickened with flour or other starch and seasoned for flavor. Traditional gravy accompanies roasted meats, mashed potatoes, and other dishes as a flavorful enhancement. The preparation involves combining pan drippings with liquid (such as stock or water) and a thickening agent to create a smooth, rich sauce. In broader usage, gravy can refer to any easy profit or unexpected benefit, as in the phrase ""gravy train."" The term represents comfort food and traditional cooking methods that maximize flavor from simple ingredients.",noun,GRAY-vee,"From Middle English, possibly from Old French ""grané,"" meaning ""grain"" (referring to the granulated appearance), or a misreading of ""gravy.""","Middle English, possibly Old French","Grandmother poured hot _______ over the mashed potatoes, making the simple meal feel like a special occasion.","Remember ""GRAVY"" - GRAsps Veggies and meat with delicious sauce, or think GRAVe + Y (why so serious? because gravy is serious business!).",0.5,0.5,0.5,0.5,,Claude,Claude,Claude,Claude,Claude,,,,,,,
graywacke,"Graywacke is a type of sandstone characterized by its gray color and composition of angular to subangular grains of quartz, feldspar, and rock fragments embedded in a fine-grained matrix. This sedimentary rock forms in deep marine environments, often in submarine fans or turbidity current deposits. Graywacke typically contains at least 15% matrix material, which distinguishes it from cleaner, more mature sandstones. The rock is important in geology for understanding ancient depositional environments and tectonic settings. Its name reflects both its typically gray appearance and its German origins in geological terminology, where ""wacke"" refers to a type of sandstone.",noun,GRAY-wah-keh,"From German ""Grauwacke,"" from ""grau"" meaning ""gray"" + ""Wacke"" (a type of sandstone), from Middle High German ""wacke.""",German,"The geologist identified the rock formation as _______, noting its characteristic gray color and mixed grain composition.","Remember ""GRAYWACKE"" - GRAY + WACKE (wacky), a gray and somewhat wacky-looking type of sandstone with mixed fragments.",0.5,0.5,0.5,0.5,,Claude,Claude,Claude,Claude,Claude,,,,,,,
grazioso,"Grazioso is an Italian musical term meaning ""gracefully"" or ""with grace,"" used as a tempo and style marking to indicate that a piece or passage should be performed with elegance, charm, and refined expression. When composers write ""grazioso"" in their scores, they're directing performers to emphasize lyrical beauty, smoothness, and graceful phrasing rather than power or intensity. The term often appears in classical music, particularly in works from the Classical and Romantic periods. Grazioso passages typically feature flowing melodies, gentle dynamics, and expressive nuances that highlight the music's inherent beauty and sophistication.",adverb (musical term),grah-tsee-OH-so,"From Italian ""grazioso,"" from ""grazia"" meaning ""grace,"" from Latin ""gratia.""","Italian, Latin","The pianist played the second movement _______, with delicate touch and graceful phrasing that brought out the melody's natural beauty.","Remember ""GRAZIOSO"" - GRAZes with grace, like music that grazES your ears beautifully and gracefully.",0.5,0.5,0.5,0.5,,Claude,Claude,Claude,Claude,Claude,,,,,,,
greasy,"Greasy describes something covered with, containing, or resembling grease - having an oily, slippery, or fatty surface or texture. When applied to food, greasy indicates an excess of oil or fat that may make items feel slick or heavy. The term can describe hair that appears oily from natural oils or lack of washing, or surfaces that have been coated with lubricants or cooking oils. In a figurative sense, greasy can describe behavior that seems slippery, untrustworthy, or overly smooth in an unpleasant way. The word generally carries negative connotations, suggesting excess, poor hygiene, or disagreeable qualities.",adjective,GREE-see,"From ""grease"" (from Old French ""graisse,"" from Latin ""crassus"" meaning ""thick"") + ""-y"" suffix.","Old French, Latin","After working on the car engine all afternoon, his hands were _______ and needed thorough washing with degreasing soap.","Remember ""GREASY"" - GREase + Y, having the quality of grease - oily, slippery, and needing cleaning.",0.5,0.5,0.5,0.5,,Claude,Claude,Claude,Claude,Claude,,,,,,,
great,"Great means large in size, extent, or intensity, or of major significance and importance. The word can describe physical magnitude, such as great distances or great buildings, or abstract qualities like great ideas or great achievements. Great often implies excellence, superiority, or remarkable quality that stands above the ordinary. It can express enthusiasm or approval, as in ""that's great!"" or indicate considerable degree or extent, as in ""great care"" or ""great difficulty."" The term has evolved from its basic meaning of size to encompass notions of excellence, importance, and positive evaluation across many contexts.","adjective, noun, exclamation",GRAYT,"From Old English ""grēat,"" from Germanic roots meaning ""big, thick, coarse.""","Old English, Germanic",The _______ oak tree in the town square had been providing shade for generations of families during summer festivals.,"Remember ""GREAT"" - GRAnd + EATing (huge), something large, excellent, or very important and impressive.",0.5,0.5,0.5,0.5,,Claude,Claude,Claude,Claude,Claude,,,,,,,
greaves,"Greaves refers to armor for the lower legs, specifically protective plates or guards that covered the shins and sometimes the calves in medieval and ancient warfare. These pieces of armor were typically made of metal and secured with straps or buckles. Greaves could also refer to the crispy bits of rendered fat or meat, particularly the crackling pieces left after rendering lard or tallow. In historical contexts, greaves were essential components of a warrior's protective equipment, designed to shield the vulnerable lower legs from sword strikes, arrows, and other weapons during combat.",noun (plural),GREEVZ,"From Old French ""greve"" meaning ""shin, greave,"" possibly from Germanic origins.","Old French, Germanic","The medieval knight's _______ gleamed in the sunlight as he prepared for the tournament, protecting his shins beneath his chain mail.","Remember ""GREAVES"" - GREAt armorVES, great armor that saves your shins and calves from weapons.",0.5,0.5,0.5,0.5,,Claude,Claude,Claude,Claude,Claude,,,,,,,
grebe,"Grebe is a type of freshwater diving bird characterized by lobed toes instead of webbed feet, a pointed bill, and excellent swimming and diving abilities. These waterbirds have streamlined bodies, short tails, and legs positioned far back on their bodies, making them excellent underwater swimmers but awkward on land. Grebes build floating nests and are known for their elaborate courtship displays, including synchronized swimming and dancing on water. They feed primarily on fish, aquatic insects, and other small water creatures, using their sharp bills and underwater agility to catch prey. Common species include the pied-billed grebe and great crested grebe.",noun,GREEB,"From French ""grèbe,"" of unknown origin, possibly imitative of the bird's call.",French,"The naturalist watched the _______ dive beneath the lake surface, disappearing for nearly a minute before resurfacing with a small fish.","Remember ""GREBE"" - GREat swimmer BElow water, a diving bird that's great at swimming underwater to catch fish.",0.5,0.5,0.5,0.5,,Claude,Claude,Claude,Claude,Claude,,,,,,,
grecque,"Grecque is a French culinary term referring to a style of cooking vegetables ""à la grecque"" (in the Greek style), where vegetables are braised in olive oil, lemon juice, herbs, and spices, then served cold or at room temperature. This preparation method typically involves cooking vegetables like artichokes, cauliflower, or mushrooms in a seasoned liquid until tender, creating a flavorful marinade that the vegetables absorb. The term can also refer to decorative patterns inspired by ancient Greek designs, particularly the key pattern or meander motif used in architecture and decorative arts. In broader usage, grecque indicates something done in a Greek manner or style.","adjective, noun (French)",GREK,"From French ""grecque,"" feminine form of ""grec"" meaning ""Greek,"" from Latin ""Graecus.""","French, Latin","The chef prepared the mushrooms _______ style, marinating them in olive oil and herbs to serve as an elegant cold appetizer.","Remember ""GRECQUE"" - GREek CooKing style, cooking vegetables the Greek way with olive oil and herbs.",0.5,0.5,0.5,0.5,,Claude,Claude,Claude,Claude,Claude,,,,,,,
