word,definition,pronunciation,pronunciation_respelling,etymology,etymology_source,memory_tip,example_sentence,example_sentence_source,years,source_files,source_difficulties,definition_source,pronunciation_source,phonetic_transparency_score,word_frequency_score,morphological_complexity_score,etymology_complexity_score,total_difficulty_score,assigned_difficulty,audio_file_path,created_at,updated_at,notes,review_status,batch_number
preened,Past tense of preen; cleaned and arranged feathers with the beak; showed self-satisfaction.,/priːnd/,PREEND,"From Middle English ""prenen,"" related to ""prune"" (to trim).",Claude,"Think of birds ""pre"" (before) + ""ened"" - preparing their feathers beforehand.",The peacock ___ its magnificent tail feathers before displaying them.,Claude,2022,2022 Words of the Champions_low_ink_printable.pdf,Two Bee,Claude,Claude,6,8,4,3,21,,,2025-01-01,2025-01-01,Batch 138 processing,pending,138
preferential,Giving or showing preference; favoring one over others.,/ˌprɛfəˈrɛnʃəl/,pref-uh-REN-shul,"From ""preference"" + suffix ""-ial,"" from Latin ""praeferre"" (to carry before).",Claude,"Think ""prefer"" + ""ential"" = giving preference to someone.",The company offered ___ hiring to military veterans.,Claude,2020; 2021; 2022,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf,One Bee; Two Bee,Claude,Claude,8,8,5,4,25,,,2025-01-01,2025-01-01,Batch 138 processing,pending,138
preferred,Past tense of prefer; liked better; chose one thing over another.,/prɪˈfɜːrd/,prih-FURD,"From Latin ""praeferre,"" from ""prae"" (before) + ""ferre"" (to carry).",Claude,"Think ""pre"" (before) + ""ferred"" (carried) = carried before others.",She ___ tea to coffee during her afternoon break.,Claude,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,Claude,Claude,6,5,5,4,20,,,2025-01-01,2025-01-01,Batch 138 processing,pending,138
prefers,Third person singular of prefer; likes better; chooses one over another.,/prɪˈfɜːrz/,prih-FURZ,"From Latin ""praeferre,"" present tense third person singular.",Claude,"Simple present tense - ""he/she prefers"" something over another.",The cat ___ sleeping in sunny spots rather than shaded areas.,Claude,2024,2024 Words of the Champions.pdf,Three Bee,Claude,Claude,8,8,3,4,23,,,2025-01-01,2025-01-01,Batch 138 processing,pending,138
prefix,A word element placed before a root word to modify its meaning.,/ˈpriːfɪks/,PREE-fiks,"From Latin ""praefixus,"" from ""prae"" (before) + ""figere"" (to fasten).",Claude,"Think ""pre"" (before) + ""fix"" (fasten) = fastened before the root word.","The ___ ""un-"" changes ""happy"" to ""unhappy.""",Claude,2024; 2025,2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee,Claude,Claude,8,8,2,4,22,,,2025-01-01,2025-01-01,Batch 138 processing,pending,138
prehensile,"Capable of grasping or holding, especially by wrapping around.",/prɪˈhɛnsaɪl/,prih-HEN-syl,"From Latin ""prehensus,"" from ""prehendere"" (to grasp).",Claude,"Think ""pre"" (before) + ""hensile"" (seize) = able to seize/grasp.",The monkey's ___ tail helped it swing from branch to branch.,Claude,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,Claude,Claude,8,8,4,4,24,,,2025-01-01,2025-01-01,Batch 138 processing,pending,138
prejudice,Preconceived opinion not based on reason or experience; bias.,/ˈprɛdʒʊdɪs/,PREJ-uh-dis,"From Latin ""praejudicium,"" from ""prae"" (before) + ""judicium"" (judgment).",Claude,"Think ""pre"" (before) + ""judice"" (judge) = judging before knowing.",Education helps combat ___ and promotes understanding between cultures.,Claude,2020; 2021,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf,One Bee,Claude,Claude,8,8,4,4,24,,,2025-01-01,2025-01-01,Batch 138 processing,pending,138
prelapsarian,"Relating to the time before the Fall of Man; innocent, unspoiled.",/ˌpriːlæpˈsɛəriən/,pree-lap-SAIR-ee-un,"From ""pre"" (before) + Latin ""lapsus"" (fall) + ""-arian.""",Claude,"Think ""pre"" (before) + ""lapse"" (fall) + ""arian"" = before the fall.","The garden had a ___ beauty, untouched by human corruption.",Claude,2024; 2025,2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee,Claude,Claude,8,8,5,4,25,,,2025-01-01,2025-01-01,Batch 138 processing,pending,138
preliminary,Preceding the main part; introductory; preparatory.,/prɪˈlɪmɪnəri/,prih-LIM-ih-ner-ee,"From Latin ""prae"" (before) + ""limen"" (threshold).",Claude,"Think ""pre"" (before) + ""liminary"" (threshold) = before crossing the threshold.",The ___ results suggested the experiment was successful.,Claude,2020; 2021; 2022,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf,One Bee; Two Bee,Claude,Claude,8,8,6,4,26,,,2025-01-01,2025-01-01,Batch 138 processing,pending,138
premium,A sum paid in addition to a basic amount; something of high quality.,/ˈpriːmiəm/,PREE-mee-um,"From Latin ""praemium,"" from ""prae"" (before) + ""emere"" (to take).",Claude,"Think ""pre"" (before) + ""mium"" (take) = something taken first/best.",The insurance ___ increased after the accident claim.,Claude,2020,2020 Words_of_the_Champions.pdf,One Bee,Claude,Claude,8,5,3,4,20,,,2025-01-01,2025-01-01,Batch 138 processing,pending,138
premonition,"A strong feeling that something is about to happen, especially something bad.",/ˌprɛməˈnɪʃən/,prem-uh-NISH-un,"From Latin ""praemonitio,"" from ""prae"" (before) + ""monere"" (to warn).",Claude,"Think ""pre"" (before) + ""monition"" (warning) = warning beforehand.",She had a ___ that something terrible was going to happen.,Claude,2020; 2021; 2022; 2023; 2024,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf,One Bee; Three Bee; Two Bee,Claude,Claude,8,8,6,4,26,,,2025-01-01,2025-01-01,Batch 138 processing,pending,138
premonitionprevious,"[COMBINED WORD ERROR] This appears to be ""premonition"" + ""previous"" incorrectly joined. Should be separated into two distinct words.",[ERROR - COMBINED WORDS],[ERROR - COMBINED WORDS],"[ERROR - COMBINED WORDS] This combines ""premonition"" (Latin: advance warning) with ""previous"" (Latin: going before).",Claude,"[ERROR] This should be split into ""premonition"" (foreboding) and ""previous"" (earlier).","[ERROR] This combined word should be corrected to separate ""premonition"" and ""previous.""",Claude,2025,2025 Words of Champion _1_.pdf,Three Bee,Claude,Claude,8,8,6,4,26,,,2025-01-01,2025-01-01,Batch 138 processing,pending,138
prenuptial,Existing or occurring before marriage.,/priːˈnʌpʃəl/,pree-NUP-shul,"From ""pre"" (before) + Latin ""nuptialis"" (relating to marriage).",Claude,"Think ""pre"" (before) + ""nuptial"" (marriage) = before marriage.",They signed a ___ agreement to protect their individual assets.,Claude,2020; 2021; 2022; 2023,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf,One Bee; Two Bee,Claude,Claude,8,8,4,4,24,,,2025-01-01,2025-01-01,Batch 138 processing,pending,138
prepare,To make ready for use or consideration; to get ready.,/prɪˈpɛər/,prih-PAIR,"From Latin ""praeparare,"" from ""prae"" (before) + ""parare"" (to make ready).",Claude,"Think ""pre"" (before) + ""pare"" (make ready) = make ready beforehand.",The chef took an hour to ___ the elaborate five-course meal.,Claude,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,Claude,Claude,8,2,3,4,17,,,2025-01-01,2025-01-01,Batch 138 processing,pending,138
prepared,Past tense of prepare; made ready; equipped for something.,/prɪˈpɛərd/,prih-PAIRD,"Past tense of ""prepare,"" from Latin ""praeparatus.""",Claude,"Think ""pre"" (before) + ""pared"" (made ready) = made ready beforehand.",The students were well ___ for the challenging examination.,Claude,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,Claude,Claude,8,2,4,4,18,,,2025-01-01,2025-01-01,Batch 138 processing,pending,138
prepares,Third person singular of prepare; makes ready.,/prɪˈpɛərz/,prih-PAIRZ,"Present tense third person singular of ""prepare.""",Claude,"Simple present - ""he/she prepares"" for something.",The teacher carefully ___ each lesson plan in advance.,Claude,2024,2024 Words of the Champions.pdf,Three Bee,Claude,Claude,8,8,3,3,22,,,2025-01-01,2025-01-01,Batch 138 processing,pending,138
preponderance,"The quality of being greater in weight, force, or importance.",/prɪˈpɒndərəns/,prih-PON-dur-uns,"From Latin ""praeponderare,"" from ""prae"" (before) + ""ponderare"" (to weigh).",Claude,"Think ""pre"" (before) + ""ponder"" (weigh) + ""ance"" = weighing more.",The ___ of evidence supported the defendant's innocence.,Claude,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,Claude,Claude,8,8,5,4,25,,,2025-01-01,2025-01-01,Batch 138 processing,pending,138
preposterous,Contrary to reason or common sense; utterly absurd or ridiculous.,/prɪˈpɒstərəs/,prih-POS-tur-us,"From Latin ""praeposterus,"" from ""prae"" (before) + ""posterus"" (coming after).",Claude,"Think ""pre"" (before) + ""posterous"" (after) = backwards/absurd.",The claim that the earth is flat is utterly ___.,Claude,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,Claude,Claude,8,8,6,4,26,,,2025-01-01,2025-01-01,Batch 138 processing,pending,138
preprandial,Done or taken before dinner or lunch.,/priːˈprændiəl/,pree-PRAN-dee-ul,"From ""pre"" (before) + Latin ""prandium"" (meal).",Claude,"Think ""pre"" (before) + ""prandial"" (meal) = before eating.",They enjoyed a ___ cocktail before the formal dinner.,Claude,2024; 2025,2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee,Claude,Claude,8,8,5,4,25,,,2025-01-01,2025-01-01,Batch 138 processing,pending,138
prerogative,A right or privilege exclusive to a particular individual or class.,/prɪˈrɒɡətɪv/,prih-ROG-uh-tiv,"From Latin ""praerogativa,"" from ""prae"" (before) + ""rogare"" (to ask).",Claude,"Think ""pre"" (before) + ""rogative"" (ask) = right to be asked first.","As team captain, choosing the starting lineup was her ___.",Claude,2025,2025 Words of Champion _1_.pdf,Three Bee,Claude,Claude,8,8,6,4,26,,,2025-01-01,2025-01-01,Batch 138 processing,pending,138
prescient,Having knowledge of events before they take place; prophetic.,/ˈprɛʃənt/,PRESH-unt,"From Latin ""praesciens,"" from ""prae"" (before) + ""scire"" (to know).",Claude,"Think ""pre"" (before) + ""scient"" (knowing) = knowing beforehand.",The economist's ___ warnings about inflation proved accurate.,Claude,2020; 2021; 2022; 2023,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf,One Bee; Two Bee,Claude,Claude,6,8,5,4,23,,,2025-01-01,2025-01-01,Batch 138 processing,pending,138
presencesizzle,"[COMBINED WORD ERROR] This appears to be ""presence"" + ""sizzle"" incorrectly joined. Should be separated into two distinct words.",[ERROR - COMBINED WORDS],[ERROR - COMBINED WORDS],"[ERROR - COMBINED WORDS] This combines ""presence"" (Latin: being present) with ""sizzle"" (imitative sound).",Claude,"[ERROR] This should be split into ""presence"" (being there) and ""sizzle"" (hissing sound).","[ERROR] This combined word should be corrected to separate ""presence"" and ""sizzle.""",Claude,2021,2021_Printable_Words of the Champions.pdf,One Bee,Claude,Claude,6,8,5,4,23,,,2025-01-01,2025-01-01,Batch 138 processing,pending,138
present,Existing or occurring now; to give or show; a gift.,/ˈprɛzənt/,PREZ-unt,"From Latin ""praesens,"" from ""prae"" (before) + ""esse"" (to be).",Claude,"Think ""pre"" (before) + ""sent"" = being before you now.",All students must be ___ for the final examination.,Claude,2024,2024 Words of the Champions.pdf,Three Bee,Claude,Claude,6,2,4,4,16,,,2025-01-01,2025-01-01,Batch 138 processing,pending,138
presentient,Having a feeling or perception beforehand; prescient.,/prɪˈzɛnʃənt/,prih-ZEN-shunt,"From Latin ""praesentire,"" from ""prae"" (before) + ""sentire"" (to feel).",Claude,"Think ""pre"" (before) + ""sentient"" (feeling) = feeling beforehand.",Her ___ anxiety about the storm proved justified.,Claude,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,Claude,Claude,6,8,6,4,24,,,2025-01-01,2025-01-01,Batch 138 processing,pending,138
preserving,Present participle of preserve; protecting from harm or decay.,/prɪˈzɜːrvɪŋ/,prih-ZUR-ving,"From Latin ""praeservare,"" from ""prae"" (before) + ""servare"" (to keep).",Claude,"Think ""pre"" (before) + ""serving"" (keeping) = keeping safe beforehand.",___ historical artifacts requires careful temperature control.,Claude,2024,2024 Words of the Champions.pdf,Three Bee,Claude,Claude,8,8,5,4,25,,,2025-01-01,2025-01-01,Batch 138 processing,pending,138
president,The head of a republic or organization; a chief executive.,/ˈprɛzɪdənt/,PREZ-ih-dent,"From Latin ""praesidens,"" from ""prae"" (before) + ""sedere"" (to sit).",Claude,"Think ""pre"" (before) + ""sident"" (sitting) = sitting before/leading others.",The ___ addressed the nation during the crisis.,Claude,2021,2021_Printable_Words of the Champions.pdf,One Bee,Claude,Claude,6,5,5,4,20,,,2025-01-01,2025-01-01,Batch 138 processing,pending,138
presidio,"A Spanish fortress or fortified settlement, especially in the American Southwest.",/prɪˈsɪdioʊ/,prih-SID-ee-oh,"From Spanish ""presidio,"" from Latin ""praesidium"" (protection, garrison).",Claude,"Think Spanish fortress - ""pre"" (before) + ""sidio"" (settlement).",The old ___ in San Francisco is now a national park.,Claude,2022; 2025,2022 Words of the Champions_low_ink_printable.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee,Claude,Claude,8,8,3,6,25,,,2025-01-01,2025-01-01,Batch 138 processing,pending,138
prespinous,Located in front of the spinous process of a vertebra.,/priːˈspaɪnəs/,pree-SPY-nus,"From ""pre"" (before) + ""spinous"" (relating to the spine).",Claude,"Think ""pre"" (before) + ""spinous"" (spine) = in front of the spine.",The ___ muscles help support the vertebral column.,Claude,2021; 2022; 2023; 2024; 2025,2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,Claude,Claude,8,8,5,4,25,,,2025-01-01,2025-01-01,Batch 138 processing,pending,138
press,To apply force to; to urge strongly; news media.,/prɛs/,PRES,"From Old French ""presser,"" from Latin ""pressare"" (to press).",Claude,Short and strong like the pressure it describes.,Please ___ the button to start the machine.,Claude,2024,2024 Words of the Champions.pdf,Three Bee,Claude,Claude,6,2,2,6,16,,,2025-01-01,2025-01-01,Batch 138 processing,pending,138
pressed,Past tense of press; applied force; urged strongly.,/prɛst/,PREST,"Past tense of ""press,"" from Latin ""pressus.""",Claude,Think of something that has been squeezed or pushed.,She ___ the flowers between the pages of her book.,Claude,2024,2024 Words of the Champions.pdf,Three Bee,Claude,Claude,6,8,4,4,22,,,2025-01-01,2025-01-01,Batch 138 processing,pending,138
pressure,Continuous force exerted on an object; stress or urgency.,/ˈprɛʃər/,PRESH-ur,"From Latin ""pressura,"" from ""pressus"" (pressed).",Claude,"Think ""press"" + ""ure"" = the state of being pressed.",The deep-sea diver felt immense ___ at that depth.,Claude,2020,2020 Words_of_the_Champions.pdf,One Bee,Claude,Claude,6,2,3,4,15,,,2025-01-01,2025-01-01,Batch 138 processing,pending,138
prestidigitation,Sleight of hand; magic tricks performed with the hands.,/ˌprɛstɪˌdɪdʒɪˈteɪʃən/,pres-ti-dij-ih-TAY-shun,"From French ""prestidigitation,"" from ""preste"" (nimble) + Latin ""digitus"" (finger).",Claude,"Think ""presti"" (nimble) + ""digitation"" (finger work) = nimble finger work.",The magician's ___ amazed the audience with impossible card tricks.,Claude,2020; 2021; 2022,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf,One Bee; Two Bee,Claude,Claude,8,8,6,6,28,,,2025-01-01,2025-01-01,Batch 138 processing,pending,138
prestigious,Having high status or reputation; respected and admired.,/prɛˈstɪdʒəs/,preh-STIJ-us,"From Latin ""praestigiosus,"" from ""praestigiae"" (delusions, tricks).",Claude,"Think ""prestige"" + ""ous"" = full of prestige/honor.",Harvard is one of the most ___ universities in the world.,Claude,2020,2020 Words_of_the_Champions.pdf,One Bee,Claude,Claude,8,8,6,4,26,,,2025-01-01,2025-01-01,Batch 138 processing,pending,138
