word,definition,example_sentence,source_difficulty,difficulty_level,difficulty_name,ai_difficulty_level,ai_difficulty_name,phonetic_transparency_score,word_frequency_score,morphology_score,etymology_score,difficulty_calculation_method,part_of_speech,pronunciation_guide,etymology,etymology_source,memory_tips,alternate_spellings,language_origin,definition_source,source_names,source_difficulties,frequency,original_source,source_access_date
aretalogy,"A form of ancient biography that praises the virtues and miraculous deeds of gods, heroes, or distinguished persons.",The scholar specialized in studying ancient _____ texts that celebrated heroic achievements.,One Bee; Three Bee; Two Bee,,,,,1.0,4.0,1.0,3.0,4-factor weighted model (overall_score: 2.15),noun,ar-uh-TAL-uh-jee (emphasis on third syllable),"From Greek 'arete' (virtue, excellence) + 'logos' (word, study)",Claude,Think 'arete-logy' - the study of virtue and excellence,,Greek,Claude,Scripps National Spelling Bee,One Bee; Three Bee; Two Bee,5,Scripps National Spelling Bee Words of the Champions (2021; 2022; 2023; 2024; 2025),2025-08-19
argot,"The specialized vocabulary and idioms of a particular group, especially those used by criminals or other subcultures.",The detective had to learn the street _____ to understand the suspects' conversations.,One Bee; Three Bee; Two Bee,,,,,1.0,3.0,1.0,2.0,4-factor weighted model (overall_score: 1.70),noun,AR-got (emphasis on first syllable),"From French 'argot', possibly from 'ergot' (cockspur), referring to claws",Claude,Think 'argot' - the special code language of particular groups,,French,Claude,Scripps National Spelling Bee,One Bee; Three Bee; Two Bee,6,Scripps National Spelling Bee Words of the Champions (2020; 2021; 2022; 2023; 2024; 2025),2025-08-19
argue,To give reasons for or against something; to quarrel or disagree; to maintain in reasoning.,The lawyers will _____ their case before the jury next week.,One Bee,,,,,1.0,3.0,1.0,2.0,4-factor weighted model (overall_score: 1.70),verb,AR-gyoo (emphasis on first syllable),"From Latin 'arguere' meaning 'to make clear, prove'",Claude,Think 'argue' - making your point clear through reasoning,,Latin,Claude,Scripps National Spelling Bee,One Bee,1,Scripps National Spelling Bee Words of the Champions (2020),2025-08-19
argument,A reason given for or against a matter; a disagreement or quarrel; a discussion involving differing points of view.,Her _____ for increasing the budget was very persuasive.,Three Bee,,,,,1.0,4.0,1.5,2.0,4-factor weighted model (overall_score: 2.08),noun,AR-gyuh-munt (emphasis on first syllable),"From Latin 'argumentum', from 'arguere' (to make clear)",Claude,Think 'argument' - making your reasoning clear,,Latin,Claude,Scripps National Spelling Bee,Three Bee,1,Scripps National Spelling Bee Words of the Champions (2025),2025-08-19
argumentative,Given to arguing; characterized by systematic reasoning; inclined to disagree or debate.,The _____ student questioned every point the teacher made.,Three Bee,,,,,1.0,4.0,1.5,2.0,4-factor weighted model (overall_score: 2.08),adjective,ar-gyuh-MEN-tuh-tiv (emphasis on third syllable),From Latin 'argumentum' + '-ative' (tending to),Claude,Think 'argument-ative' - tending to argue or debate,,Latin,Claude,Scripps National Spelling Bee,Three Bee,1,Scripps National Spelling Bee Words of the Champions (2024),2025-08-19
argyria,"A medical condition caused by excessive exposure to silver, resulting in blue-gray discoloration of the skin.",The jeweler developed _____ after years of working with silver compounds.,One Bee,,,,,1.0,3.0,1.0,3.0,4-factor weighted model (overall_score: 1.90),noun,ar-JIR-ee-uh (emphasis on second syllable),From Greek 'argyros' meaning 'silver',Claude,Think 'argyria' - silver (argyros) poisoning turning skin gray,,Greek,Claude,Scripps National Spelling Bee,One Bee,1,Scripps National Spelling Bee Words of the Champions (2020),2025-08-19
arid,"Very dry, especially having insufficient rainfall to support vegetation; lacking in interest or excitement.",The _____ desert landscape stretched endlessly under the blazing sun.,Two Bee,,,,,1.0,2.0,1.0,2.0,4-factor weighted model (overall_score: 1.45),adjective,AR-id (emphasis on first syllable),"From Latin 'aridus', from 'arere' (to be dry)",Claude,"Think 'arid' - air that's dried out, lacking moisture",,Latin,Claude,Scripps National Spelling Bee,Two Bee,1,Scripps National Spelling Bee Words of the Champions (2022),2025-08-19
arietta,"A short aria; a brief solo vocal piece, typically in an opera or oratorio.",The soprano performed a beautiful _____ that captivated the entire audience.,Three Bee; Two Bee,,,,,1.0,3.0,1.0,3.0,4-factor weighted model (overall_score: 1.90),noun,ar-ee-ET-tuh (emphasis on third syllable),"From Italian 'arietta', diminutive of 'aria'",Claude,"Think 'arietta' - a little aria, a short solo song",,Italian,Claude,Scripps National Spelling Bee,Three Bee; Two Bee,4,Scripps National Spelling Bee Words of the Champions (2022; 2023; 2024; 2025),2025-08-19
aristoi,The best or most excellent people; the aristocracy or nobility in ancient Greek society.,Plato believed that the _____ should rule society through their wisdom and virtue.,One Bee; Two Bee,,,,,1.0,3.0,1.0,3.0,4-factor weighted model (overall_score: 1.90),noun,ah-RIS-toy (emphasis on second syllable),"From Greek 'aristos' meaning 'best, most excellent'",Claude,Think 'aristoi' - the best (aristos) people in society,,Greek,Claude,Scripps National Spelling Bee,One Bee; Two Bee,4,Scripps National Spelling Bee Words of the Champions (2020; 2021; 2022; 2023),2025-08-19
arithmetic,"The branch of mathematics dealing with basic operations like addition, subtraction, multiplication, and division.",The students practiced mental _____ to improve their calculation speed.,One Bee; Three Bee; Two Bee,,,,,1.0,4.0,1.5,3.0,4-factor weighted model (overall_score: 2.28),noun,uh-RITH-muh-tik (emphasis on second syllable),"From Greek 'arithmetikos', from 'arithmos' (number)",Claude,Think 'arith-metic' - the art of numbers (arithmos),,Greek,Claude,Scripps National Spelling Bee,One Bee; Three Bee; Two Bee,5,Scripps National Spelling Bee Words of the Champions (2020; 2022; 2023; 2024; 2025),2025-08-19
