word,definition,pronunciation,etymology,memory_tip,example_sentence,etymology_source,definition_source,example_sentence_source,audio_source,difficulty_level,phonetic_score,frequency_score,morphology_score,etymology_score,combined_word_error
cabeza,Spanish word for head; also used in English in certain contexts,/kəˈbeɪsə/,"From Spanish cabeza meaning 'head', from Latin caput","CABEZA: Common And - Basic Spanish word, Everyone Zestfully uses Spanish, Always learning foreign vocabulary",The wine region's _____ de vaca landmark attracted many tourists.,Claude,Claude,Claude,,Beginner,2.0,3.0,1.0,2.0,False
cabin,A small simple dwelling; a room on a ship or aircraft,/ˈkæbɪn/,"From Old French cabane, from Late Latin capanna meaning 'hut'","CABIN: Cozy And - Basic dwelling, Including shelter, Never fancy housing",They spent their vacation in a rustic log _____ by the lake.,Claude,Claude,Claude,,Beginner,1.0,2.5,1.0,3.5,False
cabochon,A gem that is polished but not cut into facets,/ˈkæbəˌʃɑn/,"From French cabochon, from caboche meaning 'head'","CABOCHON: Captivating And - Beautiful gemstone, Obviously rounded stone, Captivating Handcrafted jewelry, Obviously Natural shape",The emerald _____ gleamed smoothly in the antique ring.,Claude,Claude,Claude,,Beginner,1.0,3.0,1.0,2.0,False
caboodle,The whole lot; everything (usually in 'kit and caboodle'),/kəˈbudəl/,Possibly from Dutch boedel meaning 'property' or 'estate',"CABOODLE: Complete And - Basic entire collection, Obviously everything, Definitely Lots of stuff, Everything together","She sold the house and moved away, taking the whole kit and _____.",Claude,Claude,Claude,,Beginner,1.5,3.0,1.0,2.0,False
cabotage,Trade or shipping between ports of the same country,/ˈkæbətɪdʒ/,"From French cabotage, from caboter meaning 'to sail along the coast'","CABOTAGE: Coastal And - Business trade, Obviously between local ports, Trading And Getting Economic benefits",The shipping law restricted _____ to vessels flying the national flag.,Claude,Claude,Claude,,Beginner,1.0,3.0,1.3,2.0,False
cacao,The seed from which cocoa and chocolate are made,/kəˈkaʊ/,"From Spanish cacao, from Nahuatl cacahuatl","CACAO: Cocoa And - Chocolate making ingredient, And Outstanding flavor, Obviously delicious treats",The _____ beans were carefully roasted to develop their rich flavor.,Claude,Claude,Claude,,Intermediate,1.0,2.5,1.0,5.0,False
cacaxte,A wooden frame carried on the back for transporting goods,/kəˈkækstoʊ/,From Nahuatl cacaxtli meaning 'carrying frame',"CACAXTE: Carrying And - Carrying heavy loads, Always eXercising strength, Transportation Equipment",The porter used a _____ to carry supplies up the mountain trail.,Claude,Claude,Claude,,Intermediate,2.0,3.0,1.0,5.0,False
cache,A hidden storage place; to store in a hidden place,/kæʃ/,"From French cache meaning 'hiding place', from cacher 'to hide'","CACHE: Concealed And - Careful storage, Hidden Everything safely",The explorers discovered a _____ of supplies left by previous expeditions.,Claude,Claude,Claude,,Beginner,1.0,2.5,1.0,2.0,False
cachexia,Wasting of the body due to severe chronic illness,/kəˈkɛksiə/,From Greek kakos 'bad' + hexis 'condition',"CACHEXIA: Concerning And - Concerning medical condition, Healthy people Experiencing serious illness, eXtremely concerning health Issue, Always serious medical diagnosis",The patient showed signs of _____ from the prolonged illness.,Claude,Claude,Claude,,Beginner,2.0,3.0,1.0,2.0,False
cachexiacacoëthes,ERROR: Combined word - should be separate words,,,,,,,,,N/A,0.0,0.0,0.0,0.0,True
