word,pronunciation,definition,example_sentence,etymology,etymology_source,memory_tip,phonetic_transparency,frequency,morphological_complexity,etymology_complexity,overall_difficulty_score,difficulty_level
turgor,/ˈtɜːrɡər/,"Turgor is the pressure of cell contents against the cell wall in plant cells, bacteria, and fungi. This hydrostatic pressure is crucial for maintaining cell shape and providing structural support to plant tissues. When plants have adequate water, turgor pressure keeps leaves rigid and stems upright. During drought conditions, reduced turgor pressure causes wilting as cells lose their firmness. The process involves osmotic movement of water into cells, creating internal pressure that pushes against the cell wall.",The botanist explained how _____ pressure keeps the flower petals firm and upright.,"From Latin ""turgere"" meaning ""to swell"" or ""to be inflated,"" related to ""turgidus"" (swollen). The term entered English through scientific Latin in the 19th century as botanists developed understanding of plant physiology.",Claude,"Remember ""turgor"" by thinking ""TURn GORgeous"" - when plants have proper turgor pressure, they turn gorgeous and upright, but without it they wilt.",3,1,2,3,2.2,Intermediate
turken,/ˈtɜːrkən/,"A turken is a hybrid bird created by crossing a turkey with a chicken, though such crosses are extremely rare and difficult to achieve due to genetic incompatibility. More commonly, the term refers to a breed of chicken called the Naked Neck or Transylvanian Naked Neck, which has a featherless neck resembling a turkey. These chickens originated in Transylvania and are known for their unusual appearance and heat tolerance. The naked neck trait is controlled by a dominant gene.",The farmer was surprised to see a _____ strutting around the barnyard with its distinctive featherless neck.,"Blend of ""turkey"" + ""chicken,"" created in English to describe this unusual hybrid or chicken breed. The term gained popularity in the 20th century among poultry enthusiasts.",Claude,"Think ""TURKey chicKEN"" - it's literally a combination of the two bird names, describing something that looks like both.",4,1,2,2,2.2,Intermediate
turmeric,/ˈtɜːrmərɪk/,"Turmeric is a golden-yellow spice derived from the rhizome of Curcuma longa, a plant in the ginger family. Native to Southeast Asia, turmeric has been used for thousands of years in cooking, traditional medicine, and as a dye. The active compound curcumin gives turmeric its distinctive color and potential anti-inflammatory properties. In cuisine, it's essential in curry powders and many Indian, Thai, and Middle Eastern dishes, providing both flavor and vibrant color.","The chef added a pinch of _____ to the rice, turning it a beautiful golden color.","From Middle English via Old French ""terre merite"" meaning ""deserving earth,"" possibly influenced by Latin ""terra merita."" The word evolved through various European languages before reaching its modern English form.",Claude,"Remember ""TURn MERRY"" + ""IC"" - turmeric turns food merry and golden, and it's terrific for health.",2,3,2,3,2.5,Intermediate
turn,/tɜːrn/,"Turn means to move in a circular direction wholly or partly around an axis or point, or to change direction or position. It can also mean to change in nature, state, form, or condition. As a noun, it refers to an act of moving something in a circular direction, a change of direction, or one's chance or opportunity to do something. The word has numerous applications from physical rotation to metaphorical changes in circumstances or fortune.",Please _____ the page to continue reading the story.,"From Old English ""turnian,"" from Latin ""tornare"" meaning ""to turn on a lathe,"" from ""tornus"" (lathe), from Greek ""tornos"" (tool for drawing circles). The word has maintained its core meaning throughout centuries.",Claude,"Think of a ""TURN table"" - it literally turns around, just like the action the word describes.",4,5,1,2,3.0,Intermediate
turning,/ˈtɜːrnɪŋ/,"Turning refers to the action of moving something in a circular direction or changing direction. It can describe physical rotation, directional changes, or the process of transformation from one state to another. In manufacturing, turning is a machining process where a cutting tool removes material from a rotating workpiece. As a gerund, it often describes ongoing rotational motion or the act of changing course or direction.",The car was _____ the corner when the traffic light changed to red.,"Present participle of ""turn,"" from Old English ""turnian,"" ultimately from Latin ""tornare"" meaning ""to turn on a lathe."" The -ing suffix creates the continuous action form.",Claude,"Remember ""TURN + ING"" - it's simply the action of turn happening right now or continuously.",4,4,2,2,3.0,Intermediate
turnip,/ˈtɜːrnɪp/,"A turnip is a round, white-fleshed root vegetable with a purple or reddish top, belonging to the Brassica family along with cabbage and broccoli. Turnips have been cultivated for over 4,000 years and are grown worldwide as both human food and livestock feed. The entire plant is edible - the root can be eaten raw or cooked, while the leaves (turnip greens) are nutritious leafy vegetables. Turnips have a slightly peppery flavor when raw and become sweeter when cooked.","The farmer harvested the _____ from the garden, noting their perfect purple and white coloring.","From ""turn"" + ""neep"" (from Old English ""næp,"" meaning turnip), referring to the rounded, turned shape of the vegetable. The word evolved in Middle English as farming terminology developed.",Claude,"Think ""TURN + NIP"" - the turnip has a rounded, turned shape and might give a little nip of peppery flavor.",3,3,2,3,2.8,Intermediate
turns,/tɜːrnz/,"Turns is the plural of turn, referring to multiple rotations, changes of direction, or opportunities. It can describe sequential rotations, alternating opportunities (as in ""taking turns""), or multiple changes in direction or circumstances. In games and activities, turns represent each person's opportunity to participate. The word also describes multiple instances of circular motion or directional changes.",The children were taking _____ on the playground swing.,"Plural form of ""turn,"" from Old English ""turnian,"" with the standard English plural suffix -s added to indicate multiple instances.",Claude,"Simply ""TURN"" + ""S"" for plural - multiple turns or rotations happening.",4,5,1,1,2.8,Intermediate
turophile,/ˈtʊrəfaɪl/,"A turophile is a person who loves or has a great appreciation for cheese. This term describes cheese enthusiasts, connoisseurs, or collectors who have extensive knowledge about different varieties, production methods, aging processes, and flavor profiles of cheeses. Turophiles often seek out rare or artisanal cheeses, visit cheese shops and dairy farms, and can distinguish subtle differences between cheese types. The term encompasses both casual cheese lovers and serious cheese professionals.","As a dedicated _____, she could identify the region and aging process of any cheese by taste alone.","From Greek ""turos"" meaning ""cheese"" + ""-phile"" meaning ""lover of."" The term was coined in English to describe cheese enthusiasts, following the pattern of other -phile words.",Claude,"Remember ""TYRO (beginner) + PHILE (lover)"" - but actually ""TURO (cheese) + PHILE"" - a cheese lover who started as a tyro but became expert.",2,1,3,3,2.2,Intermediate
turpentine,/ˈtɜːrpənˌtaɪn/,"Turpentine is a volatile essential oil obtained from the resin of pine trees, particularly longleaf pine, loblolly pine, and slash pine. It has been used for centuries as a solvent for paints and varnishes, in medicine, and as a cleaning agent. The production involves distilling pine resin to separate the volatile turpentine oil from the non-volatile rosin. Turpentine has a characteristic sharp, pine-like odor and is flammable. In art, it's commonly used to thin oil paints and clean brushes.",The artist used _____ to thin the oil paint and achieve the desired consistency.,"From Old French ""terebentine,"" from Latin ""terebinthina,"" from Greek ""terebinthos"" (turpentine tree). The word evolved through various European languages as trade in this valuable substance spread.",Claude,"Think ""TURbo PENTagon + INE"" - turpentine cleans so fast it's like turbo speed, and it's made from pine trees.",2,2,3,4,2.8,Intermediate
turpitude,/ˈtɜːrpɪˌtuːd/,"Turpitude refers to depravity, wickedness, or moral corruption. It describes behavior that is fundamentally wrong, evil, or corrupt, often in a legal or ethical context. The term is frequently used in legal proceedings when describing crimes that involve moral depravity or dishonesty. Turpitude suggests not just wrongdoing, but actions that demonstrate a corrupt or depraved character. It's often seen in the phrase ""moral turpitude,"" referring to conduct contrary to community standards of justice, honesty, or good morals.",The judge considered the defendant's history of moral _____ when determining the sentence.,"From Latin ""turpitudo"" meaning ""baseness, ugliness,"" from ""turpis"" (ugly, base, shameful). The word entered English through legal and scholarly Latin in the 15th century.",Claude,"Think ""TURP (ugly) + ATTITUDE"" - turpitude is having an ugly, morally corrupt attitude or behavior.",2,1,3,3,2.2,Intermediate
