word,pronunciation,definition,etymology,memory_tip,example_sentence,language_origin,phonetic_transparency,frequency_score,morphological_complexity,etymology_complexity,source_difficulty,years,source_files,source_difficulties,difficulty_level,is_combined_error
spaniel,/ˈspænjəl/,"A breed of gun dog characterized by a long, silky coat and drooping ears, originally bred for hunting game birds. Spaniels are medium-sized dogs known for their gentle temperament, intelligence, and excellent retrieving abilities. Popular breeds include the Cocker Spaniel, Springer Spaniel, and Cavalier King Charles Spaniel. These dogs were originally developed in Spain during the 14th century and became favorites among European nobility for their hunting prowess. Modern spaniels excel as both working dogs and family companions, valued for their trainability, affectionate nature, and moderate exercise requirements. Their webbed feet and water-resistant coats make them excellent swimmers, while their keen sense of smell and natural retrieving instincts make them valuable hunting partners. Spaniels require regular grooming due to their long coats and benefit from consistent training to manage their sometimes excitable nature.","From Old French 'espaignol' meaning 'Spanish dog,' ultimately from Latin 'Hispaniolus' (little Spanish one). The breed originated in Spain and was later refined in England.",SPAN-iel: Think of Spanish dogs with ears that SPAN wide from their heads,The golden _____ retrieved the duck from the pond with graceful swimming strokes.,Old French,5,6,1,10,Multiple Bee levels,2021; 2022; 2023; 2024; 2025,2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,,False
spanielthemed,/ˈspænjəl θiːmd/,"[COMBINED WORD ERROR] This appears to be an incorrectly combined term that should be separated as 'spaniel themed' - referring to something designed around or featuring spaniel dogs as the central motif or concept. This could describe decorative items, events, artwork, or products that celebrate or showcase spaniel breeds. Such themed items might include spaniel-patterned fabrics, dog show categories specific to spaniels, spaniel rescue fundraising events, or merchandise featuring spaniel imagery. The combination suggests a design aesthetic or organizing principle centered on these particular hunting dogs, emphasizing their distinctive appearance with long ears, silky coats, and gentle expressions. Spaniel-themed products are popular among dog enthusiasts and often feature the breed's characteristic hunting poses or family-friendly demeanor.",Compound of 'spaniel' (from Old French 'espaignol') + 'themed' (from Greek 'thema' meaning subject or topic),"Remember this is two words: SPANIEL + THEMED, describing items featuring spaniel dogs",The dog show featured a _____ pavilion with breeds from around the world.,English compound,8,8,5,8,Three Bee,2025,2025 Words of Champion _1_.pdf,Three Bee,,True
spanish,/ˈspænɪʃ/,"Relating to Spain, its people, language, or culture; the Romance language spoken in Spain and many countries in Latin America and other parts of the world. Spanish is the second most widely spoken language globally by native speakers, with over 460 million people speaking it as their first language. The language evolved from Vulgar Latin in the Iberian Peninsula and spread through Spanish colonization to the Americas, Africa, and Asia. Modern Spanish maintains regional variations in vocabulary, pronunciation, and grammar between countries like Mexico, Argentina, Colombia, and Spain itself. The language uses gendered nouns, complex verb conjugations, and a relatively phonetic spelling system. Spanish literature includes renowned authors like Cervantes, García Márquez, and Neruda, while Spanish-speaking cultures have contributed significantly to art, music, cuisine, and cinema worldwide.","From Old French 'Espaignol,' from Medieval Latin 'Hispanicus,' from Latin 'Hispania' (Spain). The Romans named the region 'Hispania' possibly from Phoenician meaning 'land of rabbits.'",SPAN-ish: The language that SPANS across Spain and Latin America,She studied _____ for three years before traveling to Barcelona.,"Old French, Medieval Latin",5,6,1,10,Three Bee,2025,2025 Words of Champion _1_.pdf,Three Bee,,False
spare,/spɛr/,"Additional or extra; held in reserve for use when needed, or to give something without detriment to oneself. As a noun, spare refers to a replacement item kept available for emergency use, such as a spare tire, spare key, or spare parts. As a verb, it means to refrain from harming, punishing, or demanding something from someone, or to afford to give something without experiencing hardship. The concept of sparing implies having excess capacity or resources beyond immediate needs. In bowling, a spare occurs when all ten pins are knocked down using both balls in a frame. The word suggests frugality, conservation, and preparedness - keeping something in reserve demonstrates good planning and resource management. Modern usage extends to spare time (free time), spare room (guest room), and spare change (loose coins).","From Old English 'spær' meaning 'frugal, meager,' related to Old Norse 'sparr' meaning 'sparing.' Germanic root implies conservation and restraint.",SPARE: Think of keeping something extra to SHARE when needed,Please _____ a few minutes to review this important document.,Old English,2,4,1,8,Three Bee,2025,2025 Words of Champion _1_.pdf,Three Bee,,False
spark,/spɑrk/,"A small fiery particle thrown off from a fire, electrical discharge, or produced by friction; a flash of light; or the initial stage that leads to a larger development. Sparks occur when heated material fragments break away and briefly glow before cooling. In electrical contexts, sparks result from current jumping across air gaps, creating brief illumination and sometimes dangerous conditions. Metaphorically, spark refers to inspiration, the beginning of an idea, or romantic attraction between people. The word suggests potential energy, sudden illumination, and the catalyst for change. Sparks can ignite fires, symbolizing how small beginnings can lead to significant consequences. In automotive contexts, spark plugs create controlled electrical sparks to ignite fuel in engines. The concept encompasses both literal fire phenomena and figurative moments of creativity, passion, or insight that ignite larger movements or relationships.","From Old English 'spearca,' related to Middle Dutch 'sparke' and Old High German 'sparko.' Germanic origin suggests connection to 'sparkle' and related light phenomena.",SPARK: A small PARK of fire that can start big things,The _____ from the campfire drifted up into the starry night sky.,Old English,2,4,1,8,Three Bee,2024,2024 Words of the Champions.pdf,Three Bee,,False
sparkle,/ˈspɑrkəl/,"To shine brightly with flashes of light; to glitter or twinkle with small points of bright light, or to be vivacious and witty in conversation or manner. Sparkle describes the play of light on surfaces like diamonds, water, or snow, where multiple small reflections create a shimmering, dancing effect. The phenomenon occurs when light hits irregular or faceted surfaces at various angles, creating the appearance of twinkling or glittering. Metaphorically, sparkle refers to liveliness, charm, and vivacity in personality - someone whose conversation or presence brings energy and delight to social situations. Eyes are often described as sparkling when someone is happy, excited, or mischievous. The word suggests beauty, joy, and dynamic energy rather than steady illumination. Sparkling beverages contain carbon dioxide bubbles that create visual interest, while sparkling jewelry uses cut gemstones to maximize light reflection.","Diminutive of 'spark,' from Old English 'spearca' with the suffix '-le' indicating repeated or small action. Related to Middle English 'sparklen.'",SPARKLE: Multiple SPARKS that make things look special,The diamond necklace seemed to _____ under the museum's bright lights.,Old English,4,6,1,8,Multiple Bee levels,2020; 2021; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee,,False
spasmodic,/spæzˈmɑdɪk/,"Occurring or done in brief, irregular bursts; characterized by sudden, involuntary muscle contractions or spasms; happening fitfully or intermittently without consistent pattern. In medical contexts, spasmodic refers to conditions involving muscle spasms, such as spasmodic torticollis or spasmodic dysphonia, where muscles contract uncontrollably. More broadly, the term describes any activity or phenomenon that occurs in irregular, sudden bursts rather than continuously or steadily. Spasmodic movements lack smoothness and predictability, appearing jerky or convulsive. The word can describe breathing patterns, work habits, rainfall, or any process that starts and stops unpredictably. Spasmodic contractions differ from rhythmic or voluntary movements in their involuntary, sudden nature. In literature, spasmodic poetry was a 19th-century style characterized by emotional intensity and irregular meter, reflecting the word's association with sudden, intense expression.","From Greek 'spasmodikos,' from 'spasmos' (spasm) + '-ikos' (adjective suffix). Greek 'spasmos' derives from 'span' meaning 'to draw' or 'pull.'",SPASM-odic: Like having sudden SPASMS that come and go,His _____ coughing fits disrupted the quiet library atmosphere.,Greek,6,8,2,7,Multiple Bee levels,2020; 2021; 2022,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf,One Bee; Two Bee,,False
spathe,/speɪð/,"A large bract or modified leaf that encloses or subtends a flower cluster (spadix) in plants of the arum family and palm family. The spathe serves as a protective covering for the developing inflorescence and often becomes colorful and showy to attract pollinators. Common examples include the white spathe of peace lilies, the colorful spathes of anthuriums, and the green spathes of jack-in-the-pulpit plants. Spathes can be various colors - white, red, pink, yellow, or green - and may be mistaken for petals by casual observers. In botanical terms, the spathe is technically a specialized leaf rather than a true flower part. Some spathes are boat-shaped, while others are more tubular or flat. The spathe often withers after flowering, though in some species it remains decorative for extended periods. Understanding spathe structure is important for plant identification and horticulture.","From Latin 'spatha,' from Greek 'spathe' meaning 'broad blade' or 'paddle,' referring to the blade-like appearance of these plant structures.",SPATHE: Think of a SPATIAL covering that protects flower clusters,The peace lily's white _____ surrounded the central spike of tiny flowers.,"Greek, Latin",4,4,1,10,Multiple Bee levels,2023; 2024; 2025,2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee,,False
spatula,/ˈspætʃələ/,"A broad, flat, flexible implement used for mixing, spreading, or lifting food, paint, or other substances; a kitchen utensil with a thin, flat blade attached to a handle. Spatulas come in various materials including silicone, wood, metal, and plastic, each suited for different purposes. Kitchen spatulas are essential for flipping pancakes, scrambling eggs, frosting cakes, and scraping bowls clean. Artist spatulas help mix and apply paint, while laboratory spatulas assist in handling chemicals and powders. The flat, thin design allows spatulas to slide under delicate items without breaking them and to spread substances evenly across surfaces. Flexible spatulas conform to curved surfaces like mixing bowls, while rigid ones provide leverage for lifting. Heat-resistant spatulas withstand high cooking temperatures, while offset spatulas feature angled blades for better leverage when decorating cakes or removing cookies from baking sheets.","From Latin 'spatula,' diminutive of 'spatha' meaning 'broad blade.' Related to Greek 'spathe' (broad blade), sharing roots with 'spathe.'",SPATULA: A SPATIAL tool that spreads things flat,She used a rubber _____ to scrape every bit of cake batter from the bowl.,Latin,6,6,1,10,Multiple Bee levels,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,,False
spawned,/spɔnd/,"Past tense of spawn; produced or brought into being, especially in large numbers; deposited eggs in water (referring to fish and aquatic animals), or caused something to develop or emerge. In biological contexts, spawning refers to the reproductive process where aquatic animals release eggs and sperm into water for external fertilization. Fish, frogs, and many marine creatures spawn during specific seasons when environmental conditions are optimal. Metaphorically, spawned means to give rise to or generate something, often implying rapid or abundant production. The term suggests proliferation and the creation of multiple offspring or results from a single source. Digital media spawned new forms of communication, while successful movies often spawn sequels and merchandise. The word carries connotations of fertility, abundance, and the natural process of reproduction and growth.","From Middle English 'spawne,' from Old French 'espandre' meaning 'to spread out' or 'expand,' related to Latin 'expandere.'",SPAWNED: Like fish that PANNED out eggs in water,The success of the first movie _____ an entire franchise of sequels.,"Middle English, Old French",3,6,3,10,Three Bee,2024,2024 Words of the Champions.pdf,Three Bee,,False
