word,pronunciation,definition,example_sentence,etymology,etymology_source,memory_tip,phonetic_transparency,frequency,morphological_complexity,etymology_complexity,overall_difficulty_score,difficulty_level
university,/ˌjuːnɪˈvɜːrsəti/,"A university is an institution of higher education and research that awards academic degrees in various academic disciplines. Universities typically consist of multiple colleges or schools offering undergraduate and graduate programs. They serve as centers of learning, research, and knowledge creation, employing professors who both teach students and conduct scholarly research. Universities play crucial roles in advancing human knowledge, training professionals, and contributing to societal development through education and innovation.",She applied to several prestigious _____ programs to pursue her doctoral degree in biology.,"From Old French ""université,"" from Latin ""universitas"" meaning ""the whole, totality,"" later ""corporation of teachers and students.""",Claude,"Think ""UNIVERSE + ITY"" - a university contains a universe of knowledge and learning opportunities.",2,5,4,3,3.5,Advanced
univocal,/juːˈnɪvəkəl/,"Univocal means having only one meaning; unambiguous or expressing only one possible interpretation. In logic and philosophy, univocal terms are those that have the same meaning in all contexts where they are used, as opposed to equivocal terms that can have multiple meanings. Univocal language is precise and clear, leaving no room for misinterpretation. The term is important in technical writing, legal documents, and scholarly discourse where precision is essential.",The scientist chose _____ terminology to ensure her research findings could not be misinterpreted.,"From Latin ""univocus,"" from ""unus"" (one) + ""vox"" (voice). Literally means ""having one voice"" or ""speaking with one meaning.""",Claude,"Think ""UNI (one) + VOCAL"" - univocal means speaking with one clear voice and meaning.",3,1,3,3,2.5,Intermediate
unkempt,/ʌnˈkɛmpt/,"Unkempt describes someone or something that appears untidy, disheveled, or not properly groomed or maintained. It refers to hair that hasn't been combed, clothing that's wrinkled or messy, or general appearance that looks neglected or careless. Unkempt can also describe places, gardens, or objects that haven't been properly cared for or organized. The word suggests a lack of attention to tidiness or proper maintenance.","After camping for a week, his _____ appearance made him barely recognizable.","From ""un-"" (not) + ""kempt"" (past participle of obsolete ""kemb,"" meaning ""to comb""). Literally means ""not combed.""",Claude,"Think ""UN + KEMPT (kept neat)"" - unkempt means not kept neat and tidy.",3,3,2,3,2.8,Intermediate
unlike,/ʌnˈlaɪk/,"Unlike means different from or not similar to something else. As a preposition, it introduces a comparison showing how one thing differs from another. Unlike can also be an adjective meaning dissimilar or not alike. The word emphasizes contrast and differences rather than similarities. It's commonly used to highlight distinctions between people, things, situations, or ideas.","_____ her quiet sister, Maria was always the center of attention.","From ""un-"" (not) + ""like."" ""Like"" comes from Old English ""lic"" meaning ""body, form,"" later developing the sense of similarity.",Claude,"Think ""UN + LIKE"" - unlike means not like or similar to something else.",4,5,2,2,3.2,Advanced
unmoored,/ʌnˈmʊrd/,"Unmoored literally means released from moorings or anchor points, allowing a boat or ship to drift freely. Figuratively, it describes someone who feels disconnected, unstable, or lacking direction in life. When someone is unmoored, they may feel lost, without anchor points of stability such as family, career, or beliefs. The word suggests a state of drift, uncertainty, or disconnection from stabilizing forces.","After retiring, he felt _____ and struggled to find new purpose in his daily routine.","From ""un-"" (reverse action) + ""moored."" ""Moor"" comes from Middle English, meaning ""to secure a ship with cables.""",Claude,"Think ""UN + MOORED"" - unmoored means no longer tied down securely, drifting freely.",3,2,2,2,2.2,Intermediate
unnoticed,/ʌnˈnoʊtɪst/,"Unnoticed means not observed, perceived, or given attention; going without being seen or recognized. It describes things that escape attention, either intentionally or accidentally. Something unnoticed fails to attract notice or interest from others. This can refer to actions, changes, people, or events that occur without drawing attention or acknowledgment from observers.",Her small acts of kindness often went _____ by those around her.,"From ""un-"" (not) + ""noticed,"" past participle of ""notice."" ""Notice"" comes from Latin ""notitia"" meaning ""knowledge.""",Claude,"Think ""UN + NOTICED"" - unnoticed things haven't been noticed or seen by anyone.",4,4,2,2,3.0,Intermediate
unremitting,/ˌʌnrɪˈmɪtɪŋ/,"Unremitting means never stopping, slackening, or relenting; constant and persistent without interruption. It describes actions, conditions, or efforts that continue without pause or relief. Unremitting often carries intense connotations, suggesting something that is relentless and sometimes overwhelming. The word can describe both positive qualities (like unremitting dedication) and negative ones (like unremitting pain).","Despite his _____ efforts to find a solution, the problem remained unsolved.","From ""un-"" (not) + ""remitting."" ""Remit"" comes from Latin ""remittere"" meaning ""to send back, relax, forgive.""",Claude,"Think ""UN + REMITTING (giving up)"" - unremitting means never giving up or taking a break.",3,2,4,3,3.0,Intermediate
unscathed,/ʌnˈskeɪðd/,"Unscathed means without suffering any injury, damage, or harm; completely unharmed or uninjured. It describes someone or something that has emerged from a dangerous, difficult, or potentially damaging situation without negative consequences. Unscathed often implies that harm was expected or possible but did not occur. The word suggests both physical and metaphorical protection from damage.","Amazingly, the driver walked away from the car accident completely _____.","From ""un-"" (not) + ""scathed."" ""Scathe"" comes from Old Norse ""skaða"" meaning ""to injure, damage.""",Claude,"Think ""UN + SCATHED (scratched)"" - unscathed means not even scratched or harmed.",3,3,2,3,2.8,Intermediate
unscramble,/ʌnˈskræmbəl/,"Unscramble means to restore order to something that has been mixed up, confused, or jumbled; to decode or decipher. It commonly refers to rearranging letters to form words, solving word puzzles, or clarifying confused information. Unscrambling involves organizing elements into their correct or meaningful arrangement. The word can also apply to untangling complex situations or clarifying confused communications.",The students had to _____ the letters to spell the vocabulary words correctly.,"From ""un-"" (reverse action) + ""scramble."" ""Scramble"" originally meant ""to climb awkwardly,"" later ""to mix together confusedly.""",Claude,"Think ""UN + SCRAMBLE"" - to unscramble is to undo the scrambling and put things back in order.",4,3,3,2,3.0,Intermediate
unsportsmanlike,/ʌnˈspɔːrtsmənˌlaɪk/,"Unsportsmanlike describes behavior that violates the principles of fair play, respect, and integrity expected in sports or competitive activities. It includes actions such as cheating, showing poor attitude toward opponents or officials, or displaying bad sportsmanship. Unsportsmanlike conduct can result in penalties or ejection from games. The term extends beyond sports to describe any behavior that lacks fairness, respect, or ethical standards in competitive situations.",The player received a penalty for his _____ conduct toward the referee.,"From ""un-"" (not) + ""sportsmanlike."" ""Sportsman"" combines ""sport"" + ""man,"" with ""-like"" indicating similarity to the ideal behavior.",Claude,"Think ""UN + SPORTSMAN + LIKE"" - unsportsmanlike means not behaving like a good sportsman should.",4,2,5,2,3.2,Advanced
unsullied,/ʌnˈsʌlid/,"Unsullied means not damaged or made impure; clean, spotless, or untainted. It can refer to physical cleanliness or moral purity. Something unsullied has not been corrupted, stained, or compromised in any way. The word often describes reputations, characters, or records that remain pure and unblemished. Unsullied suggests both literal cleanliness and figurative innocence or integrity.","Despite the scandal surrounding the company, her reputation remained completely _____.","From ""un-"" (not) + ""sullied."" ""Sully"" comes from French ""souiller"" meaning ""to soil, stain.""",Claude,"Think ""UN + SULLIED (soiled)"" - unsullied means not soiled, stained, or corrupted.",3,2,3,3,2.8,Intermediate
untenable,/ʌnˈtɛnəbəl/,"Untenable means not able to be maintained, defended, or justified; not sustainable or supportable. It describes positions, arguments, or situations that cannot be successfully upheld when challenged or examined. An untenable position lacks logical foundation or practical viability. The word often refers to arguments that collapse under scrutiny or situations that cannot continue due to inherent contradictions or impossibilities.","As more evidence emerged, his claim of innocence became completely _____.","From ""un-"" (not) + ""tenable."" ""Tenable"" comes from French ""tenir"" meaning ""to hold,"" from Latin ""tenere.""",Claude,"Think ""UN + TENABLE (holdable)"" - untenable positions cannot be held or defended successfully.",3,2,3,3,2.8,Intermediate
until,/ʌnˈtɪl/,"Until is a preposition or conjunction indicating the point in time at which something ends or changes. It expresses duration up to a specific moment or event. Until can indicate both temporal boundaries (time limits) and conditional boundaries (circumstances that must occur). The word establishes the endpoint of an action, state, or condition, showing when something will cease or change.",She waited _____ midnight before calling her friend.,"From Middle English, combining ""unto"" + ""till."" ""Till"" comes from Old Norse ""til"" meaning ""to, until.""",Claude,"Think ""UN + TILL"" - until means up to the point when something happens, like tilling soil until it's ready.",3,5,2,2,3.0,Intermediate
untoward,/ʌnˈtɔːrd/,"Untoward means inappropriate, improper, or causing difficulty or annoyance. It describes behavior, events, or circumstances that are inconvenient, troublesome, or socially inappropriate. Untoward can refer to actions that violate social norms or create unwanted complications. The word often implies that something is not just wrong but also creates problems or discomfort for others.",Nothing _____ happened during the diplomatic meeting between the two countries.,"From ""un-"" (not) + ""toward."" Originally meant ""not moving in the right direction,"" later ""not proper or appropriate.""",Claude,"Think ""UN + TOWARD (in the right direction)"" - untoward means not going in the right direction or being inappropriate.",3,2,2,3,2.5,Intermediate
unusual,/ʌnˈjuːʒuəl/,"Unusual means not commonly occurring, done, or experienced; remarkable or noteworthy for being different from what is normal or expected. It describes things that deviate from typical patterns or standards. Unusual can be positive (unusually talented) or negative (unusually difficult), but always indicates departure from the norm. The word highlights the distinctive or exceptional nature of something.","The weather has been _____ this winter, with temperatures much warmer than normal.","From ""un-"" (not) + ""usual."" ""Usual"" comes from Latin ""usualis"" meaning ""customary,"" from ""usus"" (use).",Claude,"Think ""UN + USUAL"" - unusual means not usual or typical for the situation.",3,4,3,2,3.0,Intermediate
