word,definition,example_sentence,source_difficulty,difficulty_level,difficulty_name,ai_difficulty_level,ai_difficulty_name,phonetic_transparency_score,word_frequency_score,morphology_score,etymology_score,difficulty_calculation_method,part_of_speech,pronunciation_guide,etymology,etymology_source,memory_tips,alternate_spellings,language_origin,definition_source,source_names,source_difficulties,frequency,original_source,source_access_date
chastisechortle,"[COMBINED WORD ERROR] This appears to be two words incorrectly joined: ""chastise"" (to criticize severely) + ""chortle"" (to laugh gleefully).",[ERROR - This combined word should not appear in spelling bee materials],Three Bee,,,,,4.0,4.0,1.0,4.0,4-factor weighted model (overall_score: 3.25),error - combined words,[PRONUNCIATION ERROR - COMBINED WORDS],[ETYMOLOGY ERROR - COMBINED WORDS],Claude,"This is a data error - should be separated into ""chastise"" and ""chortle""",chastise + chortle (separate words),ERROR - combined words,Claude,Scripps National Spelling Bee,Three Bee,4.0,Scripps National Spelling Bee Words of the Champions (2024),2025-08-19
chastushka,"A type of Russian folk song or poem consisting of four lines with a specific rhyme scheme, often humorous or satirical in nature, typically accompanied by accordion or balalaika.",The village musician entertained the crowd with a lively _____ about local gossip.,One Bee,,,,,4.0,4.0,1.0,4.0,4-factor weighted model (overall_score: 3.25),noun,chah-TOOSH-kah (emphasis on second syllable),"From Russian ""chastushka"", diminutive of ""chast"" meaning ""part"" or ""frequent""",Claude,"Think ""chat-rush-ka"" - a quick chat in Russian song form",,Russian,Claude,Scripps National Spelling Bee,One Bee; Three Bee; Two Bee,4.0,"Scripps National Spelling Bee Words of the Champions (2020, 2021, 2022, 2023, 2024, 2025)",2025-08-19
chasuble,"A sleeveless outer vestment worn by the priest celebrating Mass in the Roman Catholic Church and by celebrants in some other Christian churches, typically ornately decorated.",The priest donned his embroidered _____ before beginning the Easter service.,One Bee,,,,,4.0,4.0,1.0,2.3,4-factor weighted model (overall_score: 2.91),noun,CHAZ-uh-buhl (emphasis on first syllable),"From Latin ""casubula"" or ""casula"", meaning ""little house"" or ""hooded cloak""",Claude,"Think ""chase-able"" - the priest's garment that flows as if chaseable",,Latin,Claude,Scripps National Spelling Bee,One Bee; Three Bee; Two Bee,4.0,"Scripps National Spelling Bee Words of the Champions (2021, 2022, 2023, 2024, 2025)",2025-08-19
chatelaine,"The mistress of a large house or castle; a decorative belt hook or clasp worn at the waist, from which keys, trinkets, or useful items are suspended.",The Victorian _____ wore an ornate silver chain with scissors and thimble attached.,Two Bee,,,,,4.0,4.0,1.0,2.3,4-factor weighted model (overall_score: 2.91),noun,SHAT-uh-layn (emphasis on first syllable),"From French ""châtelaine"", feminine of ""châtelain"" (castle keeper), from ""château"" (castle)",Claude,"Think ""chattel-lane"" - the lane where the lady of the castle keeps her chattels",,French,Claude,Scripps National Spelling Bee,Two Bee,4.0,Scripps National Spelling Bee Words of the Champions (2023),2025-08-19
chaucerian,"Of, relating to, or characteristic of Geoffrey Chaucer (c. 1340-1400) or his literary works, particularly his storytelling style, humor, and Middle English language.",The professor noted the _____ influence in the student's use of medieval storytelling techniques.,Two Bee,,,,,4.0,4.0,1.0,2.3,4-factor weighted model (overall_score: 2.91),adjective,chaw-SEER-ee-uhn (emphasis on second syllable),"From ""Chaucer"" (Geoffrey Chaucer, English poet) + ""-ian"" (relating to)",Claude,"Think ""Chaucer-ian"" - relating to the famous medieval English poet",,Modern English (from proper name),Claude,Scripps National Spelling Bee,Two Bee,4.0,Scripps National Spelling Bee Words of the Champions (2022),2025-08-19
chauffeurs,Professional drivers employed to drive private or hired automobiles; people who operate motor vehicles for others as their occupation.,The hotel employed several experienced _____ to transport VIP guests to the airport.,One Bee,,,,,4.0,4.0,1.0,2.3,4-factor weighted model (overall_score: 2.91),noun (plural),shoh-FURZ or SHOH-furz (emphasis varies),"From French ""chauffeur"", literally ""stoker"" (one who stokes a fire), from ""chauffer"" (to heat)",Claude,"Think ""show-furs"" - drivers who show off in fancy cars with fur seats",,French,Claude,Scripps National Spelling Bee,One Bee,4.0,Scripps National Spelling Bee Words of the Champions (2021),2025-08-19
chauve,"French word meaning ""bald"" or ""hairless""; in English contexts, may refer to bald animals or geographic features without vegetation.","The mountain peak was _____, completely bare of trees or vegetation.",Three Bee,,,,,4.0,3.0,1.0,2.3,4-factor weighted model (overall_score: 2.66),adjective (French borrowing),SHOHV (rhymes with stove),"From French ""chauve"", from Latin ""calvus"" meaning ""bald""",Claude,"Think ""shave"" - what you do to become bald like chauve",,French (from Latin),Claude,Scripps National Spelling Bee,Three Bee,3.0,Scripps National Spelling Bee Words of the Champions (2025),2025-08-19
check,"To examine something to determine its accuracy, quality, or condition; to verify or confirm; a written order directing a bank to pay money; a pattern of squares.",Please _____ your answers carefully before submitting the exam.,One Bee,,,,,4.0,3.0,1.0,2.6,4-factor weighted model (overall_score: 2.72),"verb, noun",CHEK (emphasis on single syllable),"From Old French ""eschequier"", from ""eschec"" (chess), ultimately from Persian ""shah"" (king)",Claude,"Think ""chess-check"" - examining the king's position to verify safety",cheque (British spelling for bank draft),Old French (from Persian),Claude,Scripps National Spelling Bee,One Bee; Three Bee; Two Bee,3.0,"Scripps National Spelling Bee Words of the Champions (2020, 2021, 2022, 2023, 2024, 2025)",2025-08-19
cheek,Either side of the face below the eye and between the nose and ear; impudent behavior or speech; boldness or audacity.,The child's rosy _____ showed she had been playing outside in the cold.,One Bee,,,,,4.0,3.0,1.0,1.3,4-factor weighted model (overall_score: 2.46),noun,CHEEK (emphasis on single syllable),"From Old English ""ceace"", from Proto-Germanic ""*kaukōn""",Claude,"Think of the soft, round part of your face that you can pinch",,Old English,Claude,Scripps National Spelling Bee,One Bee,3.0,"Scripps National Spelling Bee Words of the Champions (2020, 2021)",2025-08-19
cheer,To shout encouragement or approval; to make or become happier; a cry of encouragement or joy; happiness or optimism.,The crowd began to _____ wildly when their team scored the winning goal.,One Bee,,,,,4.0,3.0,2.0,2.3,4-factor weighted model (overall_score: 2.91),"verb, noun",CHEER (emphasis on single syllable),"From Old French ""chiere"" meaning ""face, countenance"", from Latin ""cara"" (face)",Claude,Think of a cheerleader - someone who spreads cheer and encouragement,,Old French (from Latin),Claude,Scripps National Spelling Bee,One Bee,3.0,Scripps National Spelling Bee Words of the Champions (2020),2025-08-19
