word,years,source_files,source_difficulties
formation,2021; 2025,2021_Printable_Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee
formed,2024; 2025,2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee
former,2023; 2025,2023_Words_of_the_Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee
formica,2020; 2021; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee
forms,2025,2025 Words of Champion _1_.pdf,Three Bee
forsook,2024,2024 Words of the Champions.pdf,Three Bee
forsooth,2023,2023_Words_of_the_Champions.pdf,Two Bee
fortification,2020; 2021; 2022; 2023; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee
fortificationnoun,2024,2024 Words of the Champions.pdf,Three Bee
fortissimo,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee
fortuitous,2022,2022 Words of the Champions_low_ink_printable.pdf,Two Bee
fortune,2020; 2021; 2022; 2023,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf,One Bee; Two Bee
forty,2022; 2025,2022 Words of the Champions_low_ink_printable.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee
forza,2023; 2024; 2025,2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee
fossiliferous,2020; 2021,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf,One Bee
foster,2023,2023_Words_of_the_Champions.pdf,Two Bee
foudroyant,2020; 2021; 2022; 2023; 2024,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf,One Bee; Three Bee; Two Bee
fouetté,2020; 2021,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf,One Bee
found,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee
founded,2020; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee
fountain,2021,2021_Printable_Words of the Champions.pdf,One Bee
four,2024; 2025,2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee
fourth,2022; 2024; 2025,2022 Words of the Champions_low_ink_printable.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee
fowl,2024,2024 Words of the Champions.pdf,Three Bee
foxes,2020,2020 Words_of_the_Champions.pdf,One Bee
foyer,2025,2025 Words of Champion _1_.pdf,Three Bee
frabjous,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee
fracas,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee
fractions,2025,2025 Words of Champion _1_.pdf,Three Bee
fractious,2022,2022 Words of the Champions_low_ink_printable.pdf,Two Bee
fragile,2020; 2021; 2022; 2023,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf,One Bee; Two Bee
fragment,2021,2021_Printable_Words of the Champions.pdf,One Bee
fragrance,2020,2020 Words_of_the_Champions.pdf,One Bee
fragrant,2024,2024 Words of the Champions.pdf,Three Bee
frailty,2021; 2022; 2023; 2024; 2025,2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee
framboise,2020,2020 Words_of_the_Champions.pdf,One Bee
frames,2022,2022 Words of the Champions_low_ink_printable.pdf,Two Bee
franca,2020; 2021; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee
francatriforium,2022; 2023,2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf,Two Bee
france,2025,2025 Words of Champion _1_.pdf,Three Bee
franchise,2021,2021_Printable_Words of the Champions.pdf,One Bee
franciscan,2022; 2023; 2024; 2025,2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee
francophone,2020; 2021; 2022,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf,One Bee; Two Bee
frangipane,2020; 2021; 2022; 2023,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf,One Bee; Two Bee
frank,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee
frankly,2022,2022 Words of the Champions_low_ink_printable.pdf,Two Bee
frantic,2023,2023_Words_of_the_Champions.pdf,Two Bee
frass,2025,2025 Words of Champion _1_.pdf,Three Bee
fratority,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee
fraudulent,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee
