word,definition,pronunciation,etymology,memory_tip,example_sentence,etymology_source,definition_source,example_sentence_source,audio_source,difficulty_level,phonetic_score,frequency_score,morphology_score,etymology_score,combined_word_error
bireme,An ancient galley with two banks of oars,/ˈbaɪrim/,"From Latin biremis, from bi- 'two' + remus 'oar'","BIREME: Big Important - Roman ship, Everyone Manning oars, Everyone rowing together",The ancient _____ was powered by skilled rowers on two levels.,Claude,Claude,Claude,,Beginner,1.0,3.0,1.5,2.0,False
biriani,"Alternative spelling of biryani, a spiced rice dish from South Asia",/ˌbɪriˈɑni/,"From Persian biryani, possibly from biryan meaning 'fried' or 'roasted'","BIRIANI: Beautiful Indian - Rice with spices, Including Amazing meat, Aromatic ingredients, Natural flavorful dish, International cuisine",The restaurant's chicken _____ was fragrant with saffron and cardamom.,Claude,Claude,Claude,,Intermediate,1.0,3.0,1.5,5.0,False
birria,"A Mexican dish of stewed meat, typically goat or beef, served with broth",/ˈbiriə/,"From Spanish birria, possibly from Andalusian birrio meaning 'worthless thing' (ironically named)","BIRRIA: Bold Important - Rich mexican stew, Really spicy, Including Amazing meat, Amazing traditional food","The _____ tacos were served with a rich, flavorful consommé for dipping.",Claude,Claude,Claude,,Beginner,1.0,3.0,1.5,2.0,False
birthday,The anniversary of the day on which a person was born,/ˈbɜrθˌdeɪ/,"From birth + day, referring to the day of one's birth","BIRTHDAY: Born Important - day Remembering celebration, Time for Happy cake, Day special Anniversary, Year older celebration",She celebrated her tenth _____ with a party at the park.,Claude,Claude,Claude,,Intermediate,1.5,3.0,1.8,3.0,False
biryani,"A South Asian dish of spiced rice with meat, fish, or vegetables",/ˌbɪriˈɑni/,"From Persian biryani, possibly from biryan meaning 'fried' or 'roasted'","BIRYANI: Beautiful Indian - Rice with spices, Yummy And flavorful, Amazing Natural cooking, International cuisine",The lamb _____ was layered with aromatic basmati rice and exotic spices.,Claude,Claude,Claude,,Intermediate,1.0,3.0,1.5,5.0,False
bisbigliando,"A musical technique of rapidly repeated notes, creating a whispering effect",/ˌbɪzbɪˈɡljɑndoʊ/,"From Italian bisbigliando meaning 'whispering', from bisbigliare 'to whisper'","BISBIGLIANDO: Beautiful Italian - Sound technique, Barely audible notes, In music, Gentle Light piano technique, Including Amazing whispering musical effects, Never loud, Delicate Orchestral technique","The harpist used _____ to create an ethereal, whispering sound effect.",Claude,Claude,Claude,,Intermediate,1.4,4.0,1.5,2.0,False
biscotti,"Italian twice-baked cookies, typically almond-flavored and crunchy",/bɪˈskɔti/,"From Italian biscotti, from bis 'twice' + cotto 'cooked'","BISCOTTI: Baked Italian - Sweet crunchy cookies, Cooked twice, Outstanding Traditional treats, Italian dessert",She dipped the almond _____ into her espresso at the Italian café.,Claude,Claude,Claude,,Beginner,1.0,3.0,1.5,2.0,False
biscuit,"A small, round bread; in British usage, a cookie or cracker",/ˈbɪskɪt/,"From Old French bescuit, from bis 'twice' + cuit 'cooked'","BISCUIT: Baked Important - Small bread, Cooked twice historically, Usually eaten with meals, Incredible Tasty bread",The warm _____ was served with butter and honey for breakfast.,Claude,Claude,Claude,,Intermediate,1.0,3.0,1.5,3.5,False
bismillah,"An Arabic phrase meaning 'in the name of Allah', used to begin activities",/bɪsˈmɪlə/,"From Arabic bismillāh, from bi 'in' + ism 'name' + Allah 'God'","BISMILLAH: Beginning Important - Sacred prayer, Meaningful Islamic phrase, In Allah's name, Lots of religious significance, Learning Arabic culture, Always spoken before actions, Holy blessing",He said '_____ ' before beginning his meal.,Claude,Claude,Claude,,Intermediate,1.0,4.0,1.5,5.0,False
bison,"A large, shaggy-haired wild ox native to North America and Europe",/ˈbaɪsən/,"From Latin bison, from Greek bison, possibly from a Thracian word","BISON: Big Important - Strong massive animal, Outstanding Natural creature",The herd of _____ grazed peacefully on the Great Plains.,Claude,Claude,Claude,,Beginner,1.0,2.5,1.5,2.0,False
bite,To cut or grip with the teeth; a wound made by biting,/baɪt/,"From Old English bitan, from Proto-Germanic bitanan","BITE: Basic Important - Teeth action, Everyone eats with teeth",The dog's _____ required immediate medical attention.,Claude,Claude,Claude,,Intermediate,1.0,2.5,1.8,3.5,False
