word,definition,pronunciation,pronunciation_audio_url,example_sentence,etymology,etymology_source,memory_tip,fun_fact,difficulty_level,source_difficulty,source,source_url
capnometer,"An instrument for measuring or monitoring the concentration of carbon dioxide, especially in exhaled breath or in blood.",/ˈkæpnəˌmitər/,,The medical team used a _____ to monitor the patient's carbon dioxide levels during surgery.,From Greek kapnos 'smoke' + -meter 'measure',Claude,Remember CAPNOMETER: Carcinogenic Air Particles Need Optical Measurement Equipment To Evaluate Respiration - measuring CO2 in breath.,Capnometers are essential in anesthesia monitoring and can detect breathing problems before they become life-threatening.,Beginning,Three Bee,Scripps National Spelling Bee,https://spellingbee.com
capoeira,"A Brazilian martial art that combines elements of dance, acrobatics, and music, often performed in a circle.",/ˌkæpoʊˈɛrə/,,The dancers performed an energetic _____ routine that captivated the audience with its fluid movements.,"From Portuguese capoeira, originally meaning 'land cleared for cultivation'",Claude,Remember CAPOEIRA: Combat And Performance Organizing Elite Individual Rhythmic Activities - Brazilian martial art dance.,Capoeira was developed by African slaves in Brazil and was disguised as a dance to hide its martial arts training from overseers.,Beginning,One Bee,Scripps National Spelling Bee,https://spellingbee.com
capotasto,"A device used on the neck of a stringed instrument to shorten all the strings simultaneously, raising their pitch.",/ˌkæpoʊˈtæstoʊ/,,The guitarist placed a _____ on the third fret to transpose the song to a higher key.,"From Italian capotasto, from capo 'head' + tasto 'fret'",Claude,Remember CAPOTASTO: Clamping And Positioning Operates To Adjust String Tone Output - guitar device.,The capotasto was invented in the 17th century and allows guitarists to change keys without learning new chord shapes.,Beginning,One Bee,Scripps National Spelling Bee,https://spellingbee.com
capricious,Given to sudden and unaccountable changes of mood or behavior; unpredictable and impulsive.,/kəˈprɪʃəs/,,"The weather in spring can be quite _____, changing from sunny to stormy within minutes.","From French capricieux, from Italian capriccioso, from capriccio 'sudden start'",Claude,Remember CAPRICIOUS: Constantly Altering Preferences Reflects Inconsistent Character In Ordinary Unpredictable Situations - changeable behavior.,"The word originally came from the Italian word for 'hedgehog,' relating to sudden, spiky movements.",Beginning,Three Bee,Scripps National Spelling Bee,https://spellingbee.com
caprifig,"A wild fig tree, especially one whose fruit is used to pollinate edible figs through a process involving fig wasps.",/ˈkæprɪˌfɪɡ/,,Farmers planted _____ trees near their orchards to ensure proper pollination of their commercial fig crops.,"From Latin caprificus, from caper 'goat' + ficus 'fig'",Claude,Remember CAPRIFIG: Cultivation And Pollination Requires Individual Fig Insects Gathering - wild fig for pollination.,The relationship between caprifigs and fig wasps is one of nature's most intricate examples of mutualistic symbiosis.,Beginning,Three Bee,Scripps National Spelling Bee,https://spellingbee.com
capsaicin,"The chemical compound that gives chili peppers their spicy heat, used medicinally as a topical analgesic.",/kæpˈseɪɪsɪn/,,"The hot sauce contained high levels of _____, making it almost unbearably spicy for most people.",From Latin capsicum 'pepper' + -in (chemical suffix),Claude,Remember CAPSAICIN: Chemical And Pharmaceutical Substance Activates Intense Chemical Inflammation Naturally - spicy compound.,"Capsaicin binds to pain receptors in mammals but birds cannot taste it, helping peppers spread their seeds through bird droppings.",Beginning,One Bee,Scripps National Spelling Bee,https://spellingbee.com
capstan,"A vertical machine used for winding in heavy ropes or chains, especially on ships for raising anchors.",/ˈkæpstən/,,The sailors worked together to turn the _____ and raise the massive anchor from the ocean floor.,"From Old French cabestrant, from cabestre 'halter'",Claude,Remember CAPSTAN: Crew And Personnel Struggle To Activate Naval device - ship winch mechanism.,"Traditional capstans were operated by sailors walking in circles around the device, often while singing sea shanties to coordinate their efforts.",Beginning,One Bee,Scripps National Spelling Bee,https://spellingbee.com
capsule,"A small container, typically made of gelatin, containing medicine; or a detachable compartment of a spacecraft.",/ˈkæpsuːl/,,The doctor prescribed antibiotic pills in _____ form to make them easier to swallow.,"From Latin capsula, diminutive of capsa 'box'",Claude,Remember CAPSULE: Container And Protective Structure Utilizes Little Enclosed space - small container.,Space capsules are designed to protect astronauts during the most dangerous phases of spaceflight: launch and re-entry.,Beginning,One Bee,Scripps National Spelling Bee,https://spellingbee.com
captain,The person in command of a ship or aircraft; or the leader of a sports team or military unit.,/ˈkæptɪn/,,The ship's _____ navigated through the storm with skill and determination.,"From Old French capitaine, from Late Latin capitaneus, from caput 'head'",Claude,Remember CAPTAIN: Commanding Authority Person Takes Authority In Navigation - ship or team leader.,The tradition of a ship's captain going down with the ship comes from the maritime law principle that the captain has ultimate responsibility for the vessel and crew.,Beginning,Three Bee,Scripps National Spelling Bee,https://spellingbee.com
captivated,Attracted and held the interest or attention of; charmed or fascinated completely.,/ˈkæptɪˌveɪtɪd/,,The audience was _____ by the magician's incredible illusions and charismatic performance.,"From Latin captivatus, past participle of captivare 'to capture'",Claude,Remember CAPTIVATED: Completely Absorbed People Think In Very Attentive Total Engaging Delight - fascinated.,"The word shares its root with 'captive,' originally meaning to take prisoner, but evolved to mean capturing attention rather than freedom.",Intermediate,One Bee,Scripps National Spelling Bee,https://spellingbee.com
