word,definition,pronunciation,etymology,memory_tip,example_sentence,etymology_source,definition_source,example_sentence_source,audio_source,difficulty_level,phonetic_score,frequency_score,morphology_score,etymology_score,combined_word_error
bump,A light collision; a raised area; to knock against,/bʌmp/,"Possibly imitative, from the sound of a collision","BUMP: Basic Usually - Minor collision, People hit things accidentally",She felt a small _____ when the car hit the pothole.,Claude,Claude,Claude,,Beginner,1.0,2.5,1.0,3.0,False
bumptious,Self-assertive in an unpleasant way; arrogantly presumptuous,/ˈbʌmpʃəs/,"From bump + -tious, possibly from the idea of pushing forward aggressively","BUMPTIOUS: Bad Usually - Making people annoyed, Pushy Totally obnoxious behavior, Irritating Obnoxious attitude, Usually Rude behavior, Something everyone dislikes",His _____ attitude made him unpopular with his colleagues.,Claude,Claude,Claude,,Intermediate,1.5,4.0,1.3,3.0,False
bundt,A type of cake baked in a ring-shaped pan with fluted sides,/bʌnt/,"From German Bundkuchen, literally 'tied cake'","BUNDT: Beautiful Usually - Nice round cake, Decorative shaped dessert, Totally delicious cake",She baked a lemon _____ cake for the dinner party.,Claude,Claude,Claude,,Beginner,1.0,2.5,1.0,2.0,False
bungee,An elastic cord used for jumping from heights; relating to bungee jumping,/ˈbʌndʒi/,"From rubber, referring to the elastic material used","BUNGEE: Bold Usually - Never scared jumping, Getting Everyone Excited about jumping",The _____ cord stretched perfectly as he jumped from the bridge.,Claude,Claude,Claude,,Intermediate,1.5,3.0,1.0,3.0,False
bunions,Painful swellings on the big toes caused by ill-fitting shoes,/ˈbʌnjənz/,From Old French buignon meaning 'bump on the head',"BUNIONS: Bad Unfortunately - Nobody wants painful feet, Including Outstanding pain, Obviously Not comfortable, Something painful on feet",Her tight shoes caused painful _____ that required medical attention.,Claude,Claude,Claude,,Intermediate,1.0,3.0,1.0,3.5,False
bunsen,A type of gas burner used in laboratories (Bunsen burner),/ˈbʌnsən/,"Named after Robert Bunsen, German chemist who improved the design","BUNSEN: Basic Usually - Laboratory equipment, Science Experiments Need this burner",The chemistry student lit the _____ burner to heat the solution.,Claude,Claude,Claude,,Beginner,1.0,3.0,1.0,2.0,False
bunyanesque,Resembling or characteristic of Paul Bunyan; gigantic or heroic in scale,/ˌbʌnjənˈɛsk/,From Bunyan (legendary giant lumberjack) + -esque meaning 'in the style of',"BUNYANESQUE: Big Usually - Never small size, Year-round Amazing folklore character, And Never normal size, Everyone Sees giant proportions, Quite Unusual size, Everyone knows giant legends",The construction project required _____ effort from the entire team.,Claude,Claude,Claude,,Intermediate,2.7,4.0,1.0,3.0,False
bunyanesqueexsect,ERROR: Combined word - should be separate words,,,,,,,,,N/A,0.0,0.0,0.0,0.0,True
buoyancy,The ability to float; cheerful and optimistic quality,/ˈbɔɪənsi/,"From buoyant + -cy, where buoyant comes from Spanish boyar 'to float'","BUOYANCY: Beautiful Usually - Obviously floating ability, Year-round Amazing water physics, Never sinking down, Cheerful positive attitude, Year-round optimistic feeling",The life jacket provided enough _____ to keep him afloat.,Claude,Claude,Claude,,Beginner,1.5,3.0,1.3,2.0,False
bureau,A government department; a writing desk with drawers,/ˈbjʊroʊ/,"From French bureau meaning 'desk', from Old French burel 'dark brown cloth'","BUREAU: Basic Usually - Responsible for government services, Everyone Always Using government services, Usually office work",She applied for a position at the _____ of statistics.,Claude,Claude,Claude,,Intermediate,2.0,3.0,1.0,3.5,False
bureaucrats,Government officials who work in a bureaucracy,/ˈbjʊrəˌkræts/,"From bureaucrat + -s, where bureaucrat comes from French bureaucrate","BUREAUCRATS: Basic Usually - Responsible for government services, Everyone Always Using government services, Usually office work, Creating Rules And procedures, Totally involved in Systematic administration",The _____ processed the applications according to established procedures.,Claude,Claude,Claude,,Intermediate,2.2,4.0,1.0,2.0,False
burelage,The striated or ribbed appearance of an engraved surface,/ˈbjʊrəlɪdʒ/,"From French burelage, from bure meaning 'ribbed cloth'","BURELAGE: Beautiful Usually - Ribbed texture pattern, Engraving Leaving distinctive texture, And Giving Elegant appearance",The engraver created a fine _____ texture on the metal plate.,Claude,Claude,Claude,,Beginner,1.0,3.0,1.3,2.0,False
burgee,"A triangular or swallow-tailed flag, especially of a yacht club",/bərˈdʒi/,"Possibly from French bourgeois, referring to merchant ships","BURGEE: Beautiful Usually - Recognizable flag design, Getting Everyone's attention, Everyone Enjoys yacht club symbols",The yacht club's _____ flew proudly from the mast.,Claude,Claude,Claude,,Beginner,1.5,3.0,1.0,2.0,False
burglarious,Of or relating to burglary; involving breaking and entering,/bərˈɡlɛriəs/,"From burglar + -ious, relating to one who commits burglary","BURGLARIOUS: Bad Usually - Really criminal activity, Getting everyone Locked out, And Really illegal actions, Involving Obvious criminal behavior, Usually Something criminal",The suspect was charged with _____ intent after being caught with lock picks.,Claude,Claude,Claude,,Intermediate,1.7,4.0,1.3,2.0,False
burgoo,"A thick stew or porridge, especially one served at outdoor gatherings",/bərˈɡu/,Possibly from Arabic burghul meaning 'crushed grain',"BURGOO: Basic Usually - Really thick stew, Getting everyone Organized for outdoor cooking, Obviously hearty food",The Kentucky _____ simmered all day over the open fire.,Claude,Claude,Claude,,Intermediate,1.5,3.0,1.0,5.0,False
burgoooccupancy,ERROR: Combined word - should be separate words,,,,,,,,,N/A,0.0,0.0,0.0,0.0,True
burgundy,A dark red color; a type of wine from the Burgundy region of France,/ˈbɜrɡəndi/,"From Burgundy, the French region famous for its wine","BURGUNDY: Beautiful Usually - Really dark red color, Getting everyone to Notice deep wine color, Definitely rich color, Year-round sophisticated color",She chose a _____ dress that complemented her complexion.,Claude,Claude,Claude,,Beginner,1.0,3.0,1.3,2.0,False
burial,The act of placing a dead body in the ground; interment,/ˈbɛriəl/,"From bury + -ial, where bury comes from Old English byrgan","BURIAL: Basic Usually - Respectful ceremony, Important And solemn ceremony, And Last ceremony",The family held a private _____ service for their loved one.,Claude,Claude,Claude,,Intermediate,1.0,3.0,1.3,3.5,False
burkinabe,A native or inhabitant of Burkina Faso,/ˌbɜrkɪnəˈbeɪ/,"From Burkina Faso + -be, the local suffix for 'person from'","BURKINABE: Basic Usually - Referring to African nationality, Keeping Identity from Burkina Faso, And National identity, Beautiful African heritage, Everyone from specific country",The _____ delegation spoke about sustainable development goals.,Claude,Claude,Claude,,Intermediate,1.0,4.0,1.0,3.0,False
burlap,A coarse canvas fabric made from jute or hemp,/ˈbɜrlæp/,Possibly from Middle English borel meaning 'coarse cloth',"BURLAP: Basic Usually - Rough textured fabric, Lots of practical uses, And Practical material",The coffee beans were shipped in large _____ sacks.,Claude,Claude,Claude,,Intermediate,1.0,3.0,1.0,3.5,False
burly,Large and strong; heavily built,/ˈbɜrli/,"From Middle English burlich meaning 'stately, imposing'","BURLY: Big Usually - Really strong person, Lots of muscle, Year-round strong build",The _____ bouncer easily handled the unruly crowd.,Claude,Claude,Claude,,Intermediate,1.0,2.5,1.3,3.5,False
burner,A device that produces a flame; a heating element,/ˈbɜrnər/,"From burn + -er, referring to something that burns","BURNER: Basic Usually - Responsible for heating, Never cold equipment, Everyone Recognizes stove equipment",She turned up the _____ to boil the water faster.,Claude,Claude,Claude,,Intermediate,1.0,3.0,1.3,3.0,False
