word,definition,part_of_speech,pronunciation_guide,etymology,memory_tips,alternate_spellings,language_origin,example_sentence,years,source_files,source_difficulties,difficulty_phonetic,difficulty_frequency,difficulty_morphological,difficulty_etymology,difficulty_final,etymology_source,definition_source,pronunciation_source,example_sentence_source
competitivelounge,"[COMBINED WORD ERROR] This appears to be two words incorrectly joined: ""competitive"" (having a strong desire to win) + ""lounge"" (a comfortable room for relaxing). These should be separate words.",error - combined words,[PRONUNCIATION ERROR - COMBINED WORDS],[ETYMOLOGY ERROR - COMBINED WORDS],"This is a data error - should be separated into ""competitive"" and ""lounge""",competitive + lounge (separate words),ERROR - combined words,[ERROR - This combined word should not appear in spelling bee materials],2021,2021_Printable_Words of the Champions.pdf,One Bee,1.0,3.5,2.0,2.0,,Claude,Claude,Claude,Claude
compilation,"The process of collecting and assembling information, data, or materials from various sources into a unified work or collection. In computing, compilation refers to translating source code written in a programming language into machine code or another target language. Musical compilations gather songs from different artists or albums. Academic compilations bring together research, articles, or scholarly works on related topics.",noun,kom-puh-LAY-shun (/ˌkɒmpəˈleɪʃən/),"From Latin ""compilatio,"" from ""compilare"" (to plunder, collect)","Think ""compile + -ation"" - the act of compiling or gathering things together",None,Latin,The music _____ featured the greatest hits from the 1980s decade.,2020,2020 Words_of_the_Champions.pdf,One Bee,1.3,3.5,2.0,3.5,,Claude,Claude,Claude,Claude
compiled,"Past tense of compile; gathered, collected, or assembled from various sources into a comprehensive whole. In computer programming, compiled refers to source code that has been translated into executable machine code. The term indicates that information, data, or materials have been systematically organized and brought together from different origins to create a unified resource or product.",verb (past tense),kum-PAYLD (/kəmˈpaɪld/),"From Latin ""compilare"" (to collect, gather together) + past tense suffix ""-ed""",Think of gathering scattered pieces and putting them together in an organized way,None,Latin,The researcher _____ data from multiple studies to support her conclusions.,2024; 2025,2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee,1.0,2.5,1.5,3.5,,Claude,Claude,Claude,Claude
complacency,"A feeling of self-satisfaction or contentment, often accompanied by unawareness of potential dangers, problems, or areas needing improvement. Complacency represents a comfortable but potentially harmful state where individuals or organizations become overconfident and cease striving for progress. This attitude can lead to stagnation, missed opportunities, and vulnerability to competitors or changing circumstances.",noun,kum-PLAY-sun-see (/kəmˈpleɪsənsi/),"From Latin ""complacentia,"" from ""complacere"" (to please greatly)","Think ""com- (completely) + place (pleased)"" - being completely pleased and thus not improving",None,Latin,The team's _____ after their early success led to their eventual defeat.,2020; 2021,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf,One Bee,1.0,3.5,1.5,3.5,,Claude,Claude,Claude,Claude
complacencykraken,"[COMBINED WORD ERROR] This appears to be two words incorrectly joined: ""complacency"" (self-satisfied contentment) + ""kraken"" (legendary sea monster). These should be separate words.",error - combined words,[PRONUNCIATION ERROR - COMBINED WORDS],[ETYMOLOGY ERROR - COMBINED WORDS],"This is a data error - should be separated into ""complacency"" and ""kraken""",complacency + kraken (separate words),ERROR - combined words,[ERROR - This combined word should not appear in spelling bee materials],2022,2022 Words of the Champions_low_ink_printable.pdf,Two Bee,1.0,3.5,2.0,2.0,,Claude,Claude,Claude,Claude
complaint,"A formal or informal expression of dissatisfaction, criticism, or grievance about a service, product, situation, or behavior. Complaints serve as feedback mechanisms that can lead to improvements and resolution of problems. In legal contexts, a complaint is a formal document initiating a lawsuit. Effective complaint handling is crucial for customer service, organizational improvement, and maintaining positive relationships.",noun,kum-PLAYNT (/kəmˈpleɪnt/),"From Old French ""complainte,"" from Latin ""complangere"" (to bewail)","Think ""com- (together) + plain (clear)"" - clearly stating what's wrong",None,Old French/Latin,The customer filed a _____ about the defective product with the company's service department.,2020; 2021; 2022; 2023,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf,One Bee; Two Bee,1.0,3.0,1.0,3.5,,Claude,Claude,Claude,Claude
complaints,"Plural form of complaint; multiple expressions of dissatisfaction or formal grievances. Complaints data helps organizations identify patterns, improve services, and address systemic issues. In customer service, tracking complaints enables companies to measure satisfaction levels and implement improvements. Legal complaints represent formal allegations in court proceedings requiring official responses.",noun (plural),kum-PLAYNTS (/kəmˈpleɪnts/),"Plural of Old French ""complainte,"" from Latin ""complangere"" (to bewail)",Multiple people stating what's wrong or what they're unhappy about,None,Old French/Latin,The manager reviewed all customer _____ from the previous month to identify improvement areas.,2024,2024 Words of the Champions.pdf,Three Bee,1.0,3.0,1.0,3.5,,Claude,Claude,Claude,Claude
complementary,"Serving to complete or enhance each other when combined; mutually supplying each other's lack or deficiency. Complementary elements work together harmoniously to create a more effective or complete whole. In medicine, complementary therapies supplement conventional treatments. In color theory, complementary colors are opposite on the color wheel and create visual contrast. The concept emphasizes cooperation and mutual benefit.",adjective,kom-pluh-MEN-tuh-ree (/ˌkɒmpləˈmɛntəri/),"From Latin ""complementum"" (that which completes) + suffix ""-ary""","Remember ""complete"" - complementary things complete each other (not ""compliment"")",None,Latin,The two software programs had _____ features that worked perfectly together.,2021; 2022; 2023; 2024; 2025,2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,1.0,3.5,2.0,3.5,,Claude,Claude,Claude,Claude
complete,"Having all necessary parts, elements, or components; finished, entire, or comprehensive. As a verb, complete means to finish or bring to an end successfully. Complete indicates wholeness, thoroughness, or the absence of missing elements. In various contexts, complete can mean total, absolute, or fully accomplished without remaining tasks or components.","adjective, verb",kum-PLEET (/kəmˈplit/),"From Latin ""completus,"" past participle of ""complere"" (to fill up, finish)","Think ""com- (completely) + plete (filled)"" - completely filled or finished",None,Latin,She needed one more course to _____ her degree requirements.,2024; 2025,2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee,1.0,2.5,1.0,3.5,,Claude,Claude,Claude,Claude
completely,"In a total, thorough, or absolute manner; entirely without exception or reservation. This adverb emphasizes the full extent or degree of an action, state, or condition. Completely indicates that something is done wholly, utterly, or to the maximum possible extent, leaving nothing incomplete, partial, or unfinished.",adverb,kum-PLEET-lee (/kəmˈplitli/),"From Latin ""completus"" (complete) + adverbial suffix ""-ly""","Think ""complete + -ly"" - in a complete way, thoroughly or entirely",None,Latin,The renovation _____ transformed the old building into a modern workspace.,2024,2024 Words of the Champions.pdf,Three Bee,1.0,3.0,1.5,3.5,,Claude,Claude,Claude,Claude
