word,definition,pronunciation,etymology,memory_tip,example_sentence,etymology_source,definition_source,example_sentence_source,audio_source,difficulty_level,phonetic_score,frequency_score,morphology_score,etymology_score,combined_word_error
blouse,"A woman's loose-fitting upper garment, typically worn with a skirt or pants",/blaʊs/,"From French blouse, possibly from Provençal bluco meaning 'blue'","BLOUSE: Beautiful Light - Outfit for women, Usually worn with Stylish pants, Everyone recognizes this clothing",She wore a silk _____ to the business meeting.,Claude,Claude,Claude,,Beginner,1.5,3.0,1.0,2.0,False
bloviate,To talk at length in a pompous or boastful manner,/ˈbloʊviˌeɪt/,"Possibly a blend of blow + deviate, coined in American slang","BLOVIATE: Blowing hot air - Long-winded talking, Obviously Verbose, Irritating And Totally Empty speech",The politician continued to _____ about his achievements without substance.,Claude,Claude,Claude,,Intermediate,1.0,3.0,1.3,3.0,False
blue,A color between green and violet in the spectrum; sad or melancholy,/blu/,"From Old French bleu, from Germanic origin","BLUE: Beautiful Light - color, Usually associated with sky, Everyone knows this primary color",The _____ sky stretched endlessly over the ocean.,Claude,Claude,Claude,,Intermediate,1.5,2.5,1.0,3.5,False
blurb,A short description of a book or other product for promotional purposes,/blɜrb/,Coined by American humorist Gelett Burgess in 1907,"BLURB: Brief Little - Understanding a book, Reads like a summary, Brief description",The _____ on the back cover convinced her to buy the mystery novel.,Claude,Claude,Claude,,Beginner,1.0,2.5,1.0,3.0,False
blurtedwallet,ERROR: Combined word - should be separate words,,,,,,,,,N/A,0.0,0.0,0.0,0.0,True
blustery,Characterized by strong winds; aggressively boastful,/ˈblʌstəri/,"From bluster + -y, where bluster comes from Middle Low German blusteren 'to blow violently'","BLUSTERY: Blowing Like - windy weather, Usually Stormy weather, Totally Extremely windy, Really windy day, Year-round weather pattern",The _____ March wind made it difficult to walk outside.,Claude,Claude,Claude,,Intermediate,2.0,3.0,1.3,2.0,False
board,A flat piece of wood or other material; a group that manages an organization,/bɔrd/,"From Old English bord meaning 'plank, table', from Proto-Germanic burdam","BOARD: Basic Object - Always used for building, Rectangular flat material, Durable construction material",The _____ of directors met to discuss the company's future.,Claude,Claude,Claude,,Beginner,1.0,2.5,1.0,3.5,False
boarders,People who live in someone else's house for payment; students who live at school,/ˈbɔrdərz/,"From board + -er + -s, referring to those who receive board (meals and lodging)","BOARDERS: Basic Organization - And paying renters, Renting Dormitory space, Everyone Receiving housing, Staying at school",The _____ at the boarding school were required to follow strict curfew rules.,Claude,Claude,Claude,,Beginner,1.0,3.0,1.0,3.0,False
boats,Watercraft designed for transportation or recreation on water,/boʊts/,"From Old English bat, from Proto-Germanic baitaz","BOATS: Big Objects - Always Transport people, Sailing everywhere on water",The harbor was filled with fishing _____ preparing for the morning catch.,Claude,Claude,Claude,,Beginner,1.0,2.5,1.0,3.5,False
boba,"Tapioca pearls used in bubble tea drinks, originally from Taiwan",/ˈboʊbə/,"From Chinese bōbà meaning 'bubble tea', referring to the tapioca pearls","BOBA: Bubble Objects - Bouncy Asian treats, Amazing tea drink addition",She ordered a taro _____ tea with extra chewy pearls.,Claude,Claude,Claude,,Intermediate,1.0,2.5,1.0,5.0,False
