word,years,source_files,source_difficulties,definition,pronunciation,example_sentence,etymology,memory_tips,part_of_speech,phonetic_transparency_score,word_frequency_score,morphological_complexity_score,etymology_complexity_score,difficulty_level,definition_source,pronunciation_source,etymology_source,example_sentence_source
torrent,2020; 2021; 2022; 2023,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf,One Bee; Two Bee,"A strong and fast-moving stream of water or other liquid; a heavy fall of rain; an overwhelming outpouring or flood of something. In meteorology, describes intense rainfall that can cause flooding and erosion. Metaphorically refers to continuous, forceful flows of information, criticism, emotions, or any overwhelming quantity of something. Digital contexts use 'torrent' for peer-to-peer file sharing protocols that distribute data across multiple sources. The word implies both volume and velocity, suggesting uncontrolled or unstoppable force that can be either destructive or cleansing depending on context.",/ˈtɔrənt/,The angry customer unleashed a _____ of complaints about the poor service at the restaurant.,"From Latin 'torrens' meaning 'burning, rushing,' from 'torrere' (to burn, parch), referring to rushing water.","[""Think 'rushing WATER' - fast-moving stream or heavy rainfall"", ""Remember 'TORRENT download' for digital file sharing method"", ""Connect to 'flood' for overwhelming quantity or flow""]",noun,1.2,2.5,1.0,1.8,,Claude,Claude,Claude,Claude
torsion,2020; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"The action of twisting or the state of being twisted, especially the twisting of one end of an object relative to the other; rotational or twisting force applied to an object. In physics and engineering, describes the stress produced when torque is applied to cylindrical objects like shafts, wires, or structural members. Medical contexts refer to abnormal twisting of organs or body parts, such as testicular torsion (a urological emergency) or intestinal torsion. Mechanical applications include torsion springs, torsion bars in vehicle suspension systems, and testing material properties under twisting forces.",/ˈtɔrʃən/,The engineer calculated the _____ forces on the drive shaft to ensure it wouldn't fail under heavy loads.,"From Latin 'torsion-' from 'torquere' meaning 'to twist,' related to 'torque' and 'torture.'","[""Think 'TWIST-ion' - the action or result of twisting something"", ""Remember 'torque' connection for rotational force application"", ""Connect to 'contortion' for body twisting in similar word family""]",noun,1.5,2.5,2.0,1.8,,Claude,Claude,Claude,Claude
torsionjusticiable,2021,2021_Printable_Words of the Champions.pdf,One Bee,"ERROR: This appears to be a combined word error. Should likely be separated into 'torsion' (twisting force or action) and 'justiciable' (subject to trial in a court of law). 'Torsion' refers to mechanical twisting forces, while 'justiciable' describes legal matters appropriate for judicial decision. These represent completely different concepts from engineering/physics and law that have been incorrectly merged in the source data.",ERROR: Combined word - check source data,ERROR: This appears to be two separate words incorrectly combined.,ERROR: Combined word requiring separation and individual analysis.,"[""ERROR: This appears to be 'torsion' + 'justiciable' combined"", ""Review source data for proper word separation"", ""Check for data processing errors in original documents""]",ERROR: Combined word,1.5,4.5,3.0,1.0,,Claude,Claude,Claude,Claude
tortoise,2020; 2021; 2022; 2023; 2024,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf,One Bee; Three Bee; Two Bee,"A terrestrial reptile with a high-domed shell, belonging to the family Testudinidae, distinguished from aquatic turtles by their dome-shaped shells and stumpy feet adapted for land locomotion. These long-lived creatures are herbivorous, feeding on plants, fruits, and vegetables, and are known for their extremely slow movement and longevity, with some species living over 100 years. Famous for Aesop's fable 'The Tortoise and the Hare,' which teaches that steady persistence can overcome natural talent. Different species inhabit various climates from deserts to Mediterranean regions, hibernating during cold periods and estivating during extreme heat.",/ˈtɔrtəs/,"The giant _____ slowly made its way across the garden, stopping occasionally to munch on lettuce leaves.","From Old French 'tortue,' from Medieval Latin 'tortuca,' possibly from Latin 'tortus' (twisted), referring to twisted feet.","[""Think 'slow land turtle' - terrestrial reptile with dome shell"", ""Remember 'Tortoise and Hare' fable for steady persistence lesson"", ""Connect to 'turtle' but tortoise lives on land, not water""]",noun,1.0,2.5,1.0,1.8,,Claude,Claude,Claude,Claude
torturous,2022,2022 Words of the Champions_low_ink_printable.pdf,Two Bee,"Involving or causing torture, extreme pain, or severe suffering; characterized by deliberate infliction of physical or mental anguish. Can describe painful medical procedures, difficult emotional experiences, or challenging situations that cause prolonged distress. Often confused with 'tortuous' (winding, complex), but 'torturous' specifically refers to causing pain or suffering. Applied to experiences like difficult examinations, painful waiting periods, or traumatic events that inflict significant distress. The word emphasizes the severity and often deliberate nature of the suffering involved.",/ˈtɔrtʃərəs/,The _____ three-hour exam left students mentally exhausted and stressed about their performance.,"From 'torture' + '-ous' (characterized by), from Latin 'tortura' meaning 'twisting, torture.'","[""Think 'TORTURE-ous' - causing torture or extreme pain"", ""Remember it's different from 'tortuous' (winding/complex)"", ""Connect to 'agonizing' for severe pain or suffering""]",adjective,1.5,3.0,2.0,1.8,,Claude,Claude,Claude,Claude
tosh,2023; 2024; 2025,2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee,"British slang for nonsense, rubbish, or foolish talk; trivial or worthless ideas that lack substance or truth. Used to dismiss statements, arguments, or claims considered ridiculous, untrue, or without merit. The term expresses mild to moderate incredulity or disagreement with something perceived as obviously false or silly. Popular in British English as a polite way to reject absurd suggestions or claims without using stronger language. Often employed in conversational contexts to indicate that something is preposterous or not worth serious consideration.",/tɑʃ/,"When he claimed he could run a marathon without training, she called it complete _____.","British slang of uncertain origin, possibly from 'tosh' meaning to wash or clean, first recorded in 19th century.","[""Think 'British NONSENSE' - polite way to say 'rubbish'"", ""Remember 'TOSH' rhymes with 'posh' (both British terms)"", ""Connect to 'balderdash' for similar dismissive meaning""]","noun, interjection",1.0,1.5,1.0,1.3,,Claude,Claude,Claude,Claude
toss,2024,2024 Words of the Champions.pdf,Three Bee,"To throw something lightly or casually, typically with an upward or spinning motion; to move or cause to move restlessly or from side to side. Can describe flipping coins for decision-making, throwing objects short distances, or agitated movement like tossing in bed. In cooking, refers to mixing ingredients by lifting and turning them. Metaphorically means to discard, abandon, or reject something quickly and decisively. The action implies relatively gentle force compared to hurling or flinging, often with an element of randomness or casualness.",/tɔs/,She decided to _____ a coin to determine whether to order pizza or cook dinner at home.,"Middle English, possibly from Scandinavian origin, related to Norwegian 'tossa' meaning 'to strew, spread.'","[""Think 'gentle THROW' - light, casual throwing motion"", ""Remember 'coin toss' for decision-making method"", ""Connect to 'flip' for similar light throwing action""]","verb, noun",1.2,1.5,1.0,1.6,,Claude,Claude,Claude,Claude
tosteson,2024; 2025,2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee,"A surname, most notably associated with Dr. Daniel C. Tosteson (1925-2009), a prominent American physician and medical educator who served as Dean of Harvard Medical School. Known for revolutionary changes in medical education, including the 'New Pathway' curriculum that emphasized problem-based learning and early clinical exposure. The Tosteson Medical Education Center at Harvard bears his name, reflecting his significant contributions to transforming medical training. His educational philosophy emphasized active learning, interdisciplinary collaboration, and early patient contact to better prepare future physicians for modern medical practice.",/ˈtoʊstəsən/,The medical school's curriculum reflects Dr. _____'s innovative approach to problem-based learning in medical education.,"Surname of Scandinavian or Germanic origin, meaning uncertain, brought to prominence by Dr. Daniel Tosteson.","[""Think 'Harvard medical educator' - Dr. Daniel Tosteson's legacy"", ""Remember 'TOST-E-SON' like 'toast-a-son' for pronunciation"", ""Connect to 'medical education reform' for educational innovation""]",proper noun,1.0,2.5,1.0,2.3,,Claude,Claude,Claude,Claude
tostones,2024,2024 Words of the Champions.pdf,Three Bee,"A popular Latin American and Caribbean dish consisting of twice-fried plantain slices, first fried until tender, then flattened and fried again until crispy and golden. Also known as 'patacones' in some regions, these savory treats are typically served as appetizers or side dishes with garlic sauce, salt, or other seasonings. The double-frying process creates a crispy exterior while maintaining a tender interior. Popular throughout Puerto Rico, Dominican Republic, Cuba, Venezuela, and Central America, often accompanying rice and beans, grilled meats, or served as snacks with various dipping sauces.",/toʊˈstoʊnɛs/,The restaurant served crispy _____ with garlic sauce as a delicious appetizer before the main course.,"From Spanish 'tostón,' from 'tostar' (to toast, roast), referring to the frying/toasting process of plantains.","[""Think 'twice-fried PLANTAINS' - crispy Latin American dish"", ""Remember 'TOST-ONES' like 'toasted ones' for fried preparation"", ""Connect to 'plantain chips' for similar starchy vegetable snack""]",noun (plural),1.0,2.5,1.0,1.8,,Claude,Claude,Claude,Claude
total,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"The complete amount, sum, or quantity; the whole number or aggregate when all parts are added together. As an adjective, means complete, absolute, or involving everything without exception. In mathematics, the result of addition or the final sum of all quantities. Can describe complete destruction, absolute commitment, or comprehensive coverage of something. Business contexts use 'total' for final calculations, complete costs, or overall results. The concept emphasizes completeness, finality, and the inclusion of all relevant elements without remainder or exception.",/ˈtoʊtəl/,"The _____ cost of the wedding, including flowers, catering, and venue, exceeded their original budget.","From Medieval Latin 'totalis,' from Latin 'totus' meaning 'whole, entire, all,' indicating completeness.","[""Think 'complete SUM' - all parts added together"", ""Remember 'TOTAL' as opposite of 'partial' for completeness"", ""Connect to 'altogether' for comprehensive inclusion""]","noun, adjective, verb",1.0,1.0,2.0,1.8,,Claude,Claude,Claude,Claude
