word,years,source_files,source_difficulties,definition,pronunciation,example_sentence,etymology,memory_tips,part_of_speech,phonetic_transparency_score,word_frequency_score,morphological_complexity_score,etymology_complexity_score,difficulty_level,definition_source,pronunciation_source,etymology_source,example_sentence_source
toastmaster,2024; 2025,2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee,"A person who presides at banquets and formal dinners, introducing speakers and proposing toasts. Originally emerging from medieval feast traditions, the toastmaster serves as master of ceremonies, ensuring proper protocol and entertainment flow. Modern toastmasters often belong to Toastmasters International, a global organization focused on developing public speaking and leadership skills through structured practice sessions and educational programs. Professional toastmasters may work at corporate events, weddings, and formal gatherings, using humor, timing, and crowd management skills to create memorable experiences. The role requires confidence, quick thinking, and cultural sensitivity.",/ˈtoʊstˌmæstər/,The _____ kept the company's annual dinner entertaining with witty introductions and perfectly timed speeches.,"From 'toast' (act of honoring with drink) + 'master' (one in authority), dating to 17th century English social customs.","[""Think 'TOAST + MASTER' - someone who masters the art of toasting at events"", ""Remember 'master of toast ceremonies' for formal dinner leadership"", ""Connect to Toastmasters International organization for public speaking practice""]",noun,1.0,3.5,3.0,1.3,,Claude,Claude,Claude,Claude
toccata,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"A musical composition typically written for keyboard instruments, characterized by rapid runs, brilliant passages, and virtuosic technical display. Originating in the late Renaissance and flourishing during the Baroque period, toccatas often feature improvisational style with free-flowing rhythms and dramatic contrasts. Famous examples include Bach's Toccata and Fugue in D minor and Debussy's impressionistic toccatas. The form emphasizes the performer's technical skill and the instrument's capabilities, often serving as showcase pieces or study exercises. Modern composers continue writing toccatas, adapting the form for various instruments beyond keyboard.",/təˈkɑtə/,The pianist's performance of Bach's _____ demonstrated incredible finger dexterity and musical precision.,"From Italian 'toccare' meaning 'to touch,' referring to touching keyboard keys, first used in late 16th century.","[""Think 'TOuch' - toccata means touching keys rapidly and skillfully"", ""Remember 'Bach's famous piece' for classical music recognition"", ""Connect 'toc-' to 'touch' for keyboard technique emphasis""]",noun,1.2,2.5,1.0,1.8,,Claude,Claude,Claude,Claude
today,2024; 2025,2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee,"The present day; this current 24-hour period from midnight to midnight. Philosophically represents the immediate moment of existence and action, distinguishing present reality from past memory and future possibility. In temporal contexts, today marks the boundary between yesterday's completion and tomorrow's potential. The concept carries psychological weight in decision-making, goal-setting, and mindfulness practices. Business and academic contexts often use 'today' to establish urgency and immediate relevance. Cultural expressions like 'live for today' reflect various attitudes toward time management and life philosophy.",/təˈdeɪ/,"The weather forecast shows sunny skies for _____, perfect for the outdoor wedding ceremony.","From Old English 'tō dæge' meaning 'on this day,' combining 'to' (at) and 'dæge' (day).","[""Think 'TO-DAY' - literally means 'to this day' or 'on this day'"", ""Remember as opposite of 'yesterday' and 'tomorrow'"", ""Connect to 'daily' for time period understanding""]","noun, adverb",1.0,1.0,1.0,1.3,,Claude,Claude,Claude,Claude
toddler,2020; 2021; 2022,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf,One Bee; Two Bee,"A young child typically between one and three years old who has learned to walk but still moves unsteadily, characterized by wobbling, tottering movements. Developmentally, toddlers experience rapid cognitive and physical growth, developing language skills, motor coordination, and social awareness. This stage involves exploration, boundary testing, and emotional regulation challenges, often called the 'terrible twos.' Toddlers require constant supervision due to their curiosity, limited danger awareness, and developing impulse control. Early childhood education and parenting strategies focus heavily on this critical developmental period for establishing foundations of learning and behavior.",/ˈtɑdlər/,"The _____ wobbled across the playground, giggling as she chased after the colorful butterfly.","From 'toddle' (walk unsteadily) + '-er' (one who does), first recorded in 1793, from earlier 'toddle' meaning to walk slowly.","[""Think 'TODDLE-R' - one who toddles or walks unsteadily"", ""Remember toddlers 'toddle' around as they learn to walk"", ""Connect to 'wobble' for the characteristic unsteady movement""]",noun,1.2,2.5,2.0,1.3,,Claude,Claude,Claude,Claude
toey,2023; 2024; 2025,2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee,"Australian and New Zealand slang meaning restless, nervous, or anxious; eager to leave or move on. Often describes someone who is fidgety, impatient, or experiencing anticipatory anxiety about upcoming events. The term can also mean sexually aroused or eager for romantic contact in informal contexts. In broader usage, describes general restlessness or agitation when someone cannot remain still or calm. Regional variations exist across Australia and New Zealand, with slightly different connotations depending on context and speaker intent.",/ˈtoʊi/,"After sitting in the waiting room for two hours, she became increasingly _____ and started pacing around.","Australian slang of uncertain origin, possibly from 'toe' + '-y', suggesting restless foot movement, first recorded mid-20th century.","[""Think 'TOE-Y' - like tapping your toes when restless or nervous"", ""Remember restless feet wanting to move around"", ""Connect to 'antsy' as similar meaning for restlessness""]",adjective,1.0,1.5,1.0,1.3,,Claude,Claude,Claude,Claude
toga,2021,2021_Printable_Words of the Champions.pdf,One Bee,"A draped outer garment worn by citizens of ancient Rome, consisting of a large semicircular piece of woolen cloth wrapped around the body in prescribed folds. The toga represented Roman citizenship and social status, with different styles indicating rank, age, and profession. Made from white wool, special versions included the toga praetexta (purple border for magistrates) and toga picta (decorated for triumphal occasions). Modern usage refers to similar draped garments worn at graduation ceremonies, costume parties, or theatrical productions depicting classical themes. The toga's complex draping required assistance and skill to wear properly.",/ˈtoʊɡə/,The senator adjusted his white _____ carefully before entering the Roman Forum for the important political debate.,"From Latin 'toga,' related to 'tegere' meaning 'to cover,' the characteristic garment of Roman citizens.","[""Think 'Roman robe' for ancient Roman clothing identification"", ""Remember 'TOG-A' sounds like 'toga party' in modern culture"", ""Connect to graduation gowns as modern toga-like garments""]",noun,1.0,1.5,1.0,1.8,,Claude,Claude,Claude,Claude
together,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"In union, proximity, or cooperation; existing or occurring in the same place, time, or relationship. Describes physical closeness, emotional connection, or collaborative action between two or more entities. Philosophically represents unity, harmony, and shared purpose, contrasting with separation or isolation. In relationships, togetherness indicates mutual support, understanding, and commitment. Business contexts use 'together' to emphasize teamwork, coordination, and collective achievement. The concept extends beyond physical presence to include synchronized timing, aligned goals, and coordinated efforts toward common objectives.",/təˈɡɛðər/,The family decided to work _____ on renovating their old farmhouse during the summer vacation.,"From Old English 'tōgædere,' combining 'tō' (to) and 'gædere' (together, gather), meaning 'in one place.'","[""Think 'TO-GATHER' - literally gathering things or people to one place"", ""Remember as opposite of 'apart' or 'separate'"", ""Connect to 'gather' for bringing things into unity""]",adverb,1.0,1.0,2.0,1.3,,Claude,Claude,Claude,Claude
toggenburg,2025,2025 Words of Champion _1_.pdf,Three Bee,"A breed of dairy goat originating from the Toggenburg valley in eastern Switzerland, characterized by distinctive coloring and excellent milk production. These medium-sized goats feature light brown to chocolate brown coats with white markings on legs, face, and ears. Known for high butterfat content in their milk and adaptability to various climates, Toggenburgs are among the oldest registered dairy goat breeds. They typically produce 6-12 pounds of milk daily with 3.2-3.8% butterfat content. Popular in sustainable farming and homesteading operations, these goats are valued for their hardiness, longevity, and consistent milk production across extended lactation periods.",/ˈtɔɡənbɜrɡ/,"The _____ goats in the mountain pasture produced rich, creamy milk perfect for artisanal cheese making.","Named after the Toggenburg valley in eastern Switzerland, where the breed was developed by local farmers over centuries.","[""Think 'Swiss GOAT breed' from Toggenburg valley"", ""Remember 'TOG-GEN-BURG' like German/Swiss place names"", ""Connect to 'dairy goat' for milk production association""]",noun,1.2,3.0,2.0,1.0,,Claude,Claude,Claude,Claude
togo,2025,2025 Words of Champion _1_.pdf,Three Bee,"A West African nation located between Ghana and Benin, officially the Togolese Republic, with its capital at Lomé. This narrow country stretches from the Gulf of Guinea northward, featuring diverse landscapes from coastal plains to northern savannas. Togo gained independence from France in 1960 and has a complex political history involving periods of military rule and democratic transitions. The economy relies on agriculture (coffee, cocoa, cotton), phosphate mining, and port services. Cultural diversity includes multiple ethnic groups with French as the official language, though local languages like Ewe and Kabye are widely spoken.",/ˈtoʊɡoʊ/,The Peace Corps volunteer spent two years teaching English in a rural village in _____.,"From the Ewe word 'to' (water) and 'go' (shore), referring to the lake region, adopted as the country name.","[""Think 'West African country' between Ghana and Benin"", ""Remember 'TO-GO' like ordering food, but it's a place you go TO"", ""Connect to 'Lom\u00e9' as the capital city for geographic reference""]",noun (proper),1.0,1.5,1.0,1.3,,Claude,Claude,Claude,Claude
toile,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"A type of decorative fabric featuring pastoral scenes, typically printed in single colors (traditionally blue, red, or black) on white or cream backgrounds. Originally produced in 18th-century France, toile depicts elaborate scenes of rural life, historical events, or romantic vignettes in detailed line drawings. The fabric is commonly used in interior design for curtains, upholstery, wallpaper, and bedding, creating classic, elegant aesthetics. Modern toile patterns may include contemporary themes while maintaining the characteristic single-color, narrative illustration style. High-quality toile often features intricate, story-telling designs that can be examined closely for detailed artistic elements.",/twɑl/,The bedroom featured beautiful blue _____ curtains depicting 18th-century French countryside scenes.,"From French 'toile' meaning 'cloth' or 'canvas,' originally referring to linen fabric before developing the decorative meaning.","[""Think 'French decorative fabric' with pastoral scenes"", ""Remember 'TOILE' sounds like 'twall' - decorative wall-covering fabric"", ""Connect to 'classic interior design' for elegant home decoration""]",noun,1.0,2.0,1.0,1.8,,Claude,Claude,Claude,Claude
toilsome,2021; 2022; 2023; 2024; 2025,2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"Requiring hard work, effort, or labor; characterized by difficulty, exhaustion, or tedious struggle. Describes tasks, journeys, or processes that demand significant physical or mental exertion over extended periods. Often applied to manual labor, challenging academic work, or complex projects requiring persistence and determination. The word carries connotations of both difficulty and eventual accomplishment through sustained effort. Historical contexts frequently describe toilsome agricultural work, long journeys, or artisan crafts requiring meticulous attention and physical endurance.",/ˈtɔɪlsəm/,"After years of _____ research, the scientist finally discovered the breakthrough formula.","From 'toil' (hard work) + '-some' (characterized by), first appearing in Middle English around 14th century.","[""Think 'TOIL-SOME' - characterized by hard toil or work"", ""Remember 'toil' means hard work, '-some' means full of"", ""Connect to 'troublesome' for similar word structure meaning""]",adjective,1.0,2.5,1.0,1.3,,Claude,Claude,Claude,Claude
toilsometempestuous,2020,2020 Words_of_the_Champions.pdf,One Bee,"ERROR: This appears to be a combined word error. Should likely be separated into 'toilsome' (requiring hard work) and 'tempestuous' (very stormy or turbulent). 'Toilsome' describes difficult, laborious work while 'tempestuous' refers to violent weather or emotional turbulence. These represent different concepts that have been incorrectly merged in the source data.",ERROR: Combined word - check source data,ERROR: This appears to be two separate words incorrectly combined.,ERROR: Combined word requiring separation and individual analysis.,"[""ERROR: This appears to be 'toilsome' + 'tempestuous' combined"", ""Review source data for proper word separation"", ""Check for data processing errors in original documents""]",ERROR: Combined word,1.5,4.5,3.0,1.0,,Claude,Claude,Claude,Claude
toity,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"Informal adjective meaning uppity, pretentious, or putting on airs; acting superior or snobbish. Often used in the phrase 'hoity-toity' to describe someone who behaves in an arrogant, affected, or condescending manner. The term suggests artificial sophistication or exaggerated self-importance, particularly when someone attempts to appear more refined or cultured than their actual background. Can describe both people and their behaviors, attitudes, or speech patterns that seem designed to impress others or establish social superiority.",/ˈtɔɪti/,Her _____ attitude at the neighborhood barbecue made everyone uncomfortable with her constant corrections.,"Often used in 'hoity-toity,' possibly from 'hoit' (to romp) suggesting affected behavior, first recorded in 17th century.","[""Think 'HOITY-TOITY' - pretentious or uppity behavior"", ""Remember 'putting on airs' for snobbish attitude"", ""Connect to 'pretentious' for artificial superiority display""]",adjective,1.0,2.0,1.0,1.3,,Claude,Claude,Claude,Claude
tokendifficulty,2025,2025 Words of Champion _1_.pdf,Three Bee,"ERROR: This appears to be a combined word error. Should likely be separated into 'token' (a symbol, sign, or minimal amount) and 'difficulty' (the state of being hard to accomplish). 'Token' can mean a symbolic gesture, a physical object representing value, or a minimal effort. 'Difficulty' refers to challenges, obstacles, or the degree of hardness in accomplishing something. These represent different concepts incorrectly merged in the source data.",ERROR: Combined word - check source data,ERROR: This appears to be two separate words incorrectly combined.,ERROR: Combined word requiring separation and individual analysis.,"[""ERROR: This appears to be 'token' + 'difficulty' combined"", ""Review source data for proper word separation"", ""Check for data processing errors in original documents""]",ERROR: Combined word,1.2,4.0,2.0,1.0,,Claude,Claude,Claude,Claude
tokonoma,2020; 2022; 2024,2020 Words_of_the_Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2024 Words of the Champions.pdf,One Bee; Three Bee; Two Bee,"A recessed alcove in traditional Japanese architecture, typically found in the most formal room of a house or tea ceremony space. This sacred space serves as the focal point for displaying hanging scrolls (kakemono), flower arrangements (ikebana), or other artistic objects representing seasonal themes or philosophical concepts. The tokonoma reflects principles of Japanese aesthetics including simplicity, asymmetry, and natural beauty. Guests traditionally sit with their backs to the tokonoma as a sign of respect, while the host faces it. Modern Japanese homes may include simplified versions maintaining the cultural significance.",/ˌtoʊkəˈnoʊmə/,The tea master carefully arranged a single white chrysanthemum in the _____ to honor the autumn season.,"From Japanese 'toko' (floor, bed) + 'no' (of) + 'ma' (space, room), literally meaning 'floor space' or 'alcove.'","[""Think 'Japanese alcove' for traditional home decoration space"", ""Remember 'TOKO-NO-MA' breaks down to 'floor-of-space'"", ""Connect to 'tea ceremony' for formal Japanese cultural practice""]",noun,1.0,2.5,1.0,3.3,,Claude,Claude,Claude,Claude
tokonomaunguiculate,2021; 2023,2021_Printable_Words of the Champions.pdf; 2023_Words_of_the_Champions.pdf,One Bee; Two Bee,"ERROR: This appears to be a combined word error. Should likely be separated into 'tokonoma' (Japanese alcove) and 'unguiculate' (having claws or nails). 'Tokonoma' refers to a traditional Japanese architectural feature, while 'unguiculate' is a biological term describing animals with claws. These represent completely different concepts from architecture and biology that have been incorrectly merged in the source data.",ERROR: Combined word - check source data,ERROR: This appears to be two separate words incorrectly combined.,ERROR: Combined word requiring separation and individual analysis.,"[""ERROR: This appears to be 'tokonoma' + 'unguiculate' combined"", ""Review source data for proper word separation"", ""Check for data processing errors in original documents""]",ERROR: Combined word,1.0,4.5,2.0,1.0,,Claude,Claude,Claude,Claude
told,2025,2025 Words of Champion _1_.pdf,Three Bee,"Past tense and past participle of 'tell,' meaning communicated information orally or in writing; related, narrated, or revealed something to someone. Indicates completed action of sharing knowledge, stories, instructions, or facts through speech or written communication. Can also mean commanded, ordered, or directed someone to perform specific actions. In broader contexts, implies having been informed about situations, having received instructions, or having learned information from another person. The word often appears in storytelling, instruction-giving, and information-sharing contexts.",/toʊld/,She _____ her daughter the family stories that had been passed down for generations.,"From Old English 'tealde,' past tense of 'tellan' meaning 'to count, relate, or narrate.'","[""Think past tense of 'TELL' - already communicated something"", ""Remember 'I tell, I told' for verb conjugation"", ""Connect to 'related a story' for narrative communication""]",verb (past tense),1.0,1.0,1.0,1.3,,Claude,Claude,Claude,Claude
tolerable,2020; 2021; 2022; 2023,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf,One Bee; Two Bee,"Able to be endured, accepted, or put up with; moderately good or acceptable, though not excellent. Describes conditions, situations, or experiences that are bearable despite being less than ideal. Can refer to physical comfort levels, pain tolerance, social situations, or quality standards that meet minimum acceptable criteria. In medical contexts, describes side effects or treatments that patients can withstand. The term suggests a middle ground between unacceptable and excellent, indicating adequate though unremarkable quality or conditions.",/ˈtɑlərəbəl/,"The hotel room was small but _____, with clean sheets and a functioning air conditioner.","From Latin 'tolerabilis,' from 'tolerare' meaning 'to bear or endure,' entering English via Old French.","[""Think 'can TOLERATE' - able to bear or endure something"", ""Remember 'TOLER-ABLE' - able to be tolerated"", ""Connect to 'bearable' for similar meaning of endurance""]",adjective,1.0,3.0,2.0,2.1,,Claude,Claude,Claude,Claude
tomahawk,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"A lightweight axe traditionally used by Native American peoples as both a tool and weapon, typically featuring a wooden handle and metal or stone head. Originally made with stone heads attached to wooden handles, later versions incorporated European metal trade goods. Beyond practical uses for chopping wood and hunting, tomahawks held ceremonial significance and were often decorated with symbolic designs. In warfare, they served as close-combat weapons and throwing implements. Modern tomahawks are collected as historical artifacts, used in sporting competitions, or employed by military and outdoor enthusiasts for utility purposes.",/ˈtɑməˌhɔk/,The museum displayed a beautifully carved _____ with intricate beadwork on the handle.,"From Algonquian 'tomahak' or 'tamahakan,' meaning 'cutting tool,' adopted into English through early colonial contact.","[""Think 'Native American axe' for traditional tool and weapon"", ""Remember 'TOM-A-HAWK' like 'Tom has a hawk' (bird of prey)"", ""Connect to 'hatchet' for similar small axe tool""]",noun,1.0,2.5,1.0,1.6,,Claude,Claude,Claude,Claude
tomalley,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"The soft, green substance found in the body cavity of cooked lobsters, consisting of the lobster's liver and pancreas. Considered a delicacy by many seafood enthusiasts, tomalley has a rich, creamy texture and intense, briny flavor that concentrates the essence of the sea. Some people enjoy eating it directly from the lobster shell, while others use it as an ingredient in sauces, bisques, or seafood dishes. However, health advisories sometimes recommend avoiding tomalley due to potential concentration of environmental toxins in the lobster's filtering organs.",/təˈmæli/,The chef incorporated the lobster's _____ into a rich bisque that captured the ocean's deepest flavors.,"From French 'tomali,' possibly from a Caribbean indigenous language referring to lobster organs, adopted into culinary terminology.","[""Think 'lobster liver' - the green stuff inside cooked lobster"", ""Remember 'TOM-ALLEY' sounds like a name + alley"", ""Connect to 'seafood delicacy' for gourmet cooking ingredient""]",noun,1.2,2.5,1.0,1.8,,Claude,Claude,Claude,Claude
tomfoolery,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"Foolish or silly behavior; playful nonsense, pranks, or ridiculous antics that serve no serious purpose. The term describes lighthearted mischief, practical jokes, or absurd activities undertaken for amusement rather than malice. Often implies childish or immature behavior that may be annoying to others but is generally harmless. Can refer to both innocent fun and mildly disruptive behavior that wastes time or distracts from serious activities. The word carries a tone of mild disapproval mixed with affectionate tolerance for human silliness.",/ˈtɑmˌfuləri/,The teacher had to stop the class _____ and redirect the students' attention to the math lesson.,"From 'Tom Fool' (a traditional fool character) + '-ery' (activity), dating to mid-18th century English humor.","[""Think 'TOM-FOOL-ERY' - foolish behavior like a fool named Tom"", ""Remember 'silly antics' for playful, nonsensical behavior"", ""Connect to 'monkey business' for similar mischievous activity""]",noun,1.0,3.0,2.0,1.3,,Claude,Claude,Claude,Claude
tommyrot,2023; 2024; 2025,2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee,"British slang for utter nonsense, foolish talk, or complete rubbish; absurd ideas or statements that lack any basis in truth or logic. The term expresses strong dismissal of something considered ridiculously untrue or illogical. Often used to reject arguments, theories, or claims that seem preposterous or without merit. Popular in early 20th century British English, the word conveys both incredulity and mild indignation at obviously false or silly statements. Can be used humorously or seriously to express disagreement with implausible assertions.",/ˈtɑmiˌrɑt/,"When he claimed he could fly by flapping his arms, she dismissed it as complete _____.","British slang of uncertain origin, possibly combining 'Tommy' (common British name) with 'rot' (nonsense), popular early 1900s.","[""Think 'TOMMY-ROT' - rotten (bad) ideas from any Tommy (person)"", ""Remember 'British nonsense' for ridiculous talk or ideas"", ""Connect to 'balderdash' for similar meaning of utter rubbish""]",noun,1.2,2.5,1.0,1.0,,Claude,Claude,Claude,Claude
tomography,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"A medical imaging technique that produces detailed cross-sectional images of internal body structures by rotating around the patient and taking multiple X-ray measurements from different angles. Computer processing combines these measurements to create precise slice images, allowing doctors to examine specific layers of organs, bones, and tissues without surgical intervention. Types include CT (computed tomography), PET (positron emission tomography), and MRI tomography. Essential for diagnosing cancers, fractures, internal injuries, and organ abnormalities. Modern tomography provides three-dimensional reconstruction capabilities and real-time imaging for surgical guidance.",/təˈmɑɡrəfi/,The doctor ordered a CT _____ to get detailed images of the patient's abdominal organs.,"From Greek 'tomos' (slice, section) + 'graphein' (to write), literally meaning 'slice writing' or 'section imaging.'","[""Think 'TOMO-GRAPHY' - writing/imaging slices (sections) of the body"", ""Remember 'CT scan' for medical cross-sectional imaging"", ""Connect to 'photography' for image-making with different technique""]",noun,1.5,3.0,2.0,2.3,,Claude,Claude,Claude,Claude
tomorrow,2023,2023_Words_of_the_Champions.pdf,Two Bee,"The day following today; the next 24-hour period in the immediate future. Philosophically represents hope, possibility, and forward-looking planning, contrasting with today's immediate reality and yesterday's completed past. In temporal organization, tomorrow serves as the primary reference point for near-future planning and scheduling. The concept carries psychological implications for goal-setting, anticipation, and procrastination tendencies. Cultural expressions like 'tomorrow never comes' or 'tomorrow is another day' reflect various attitudes toward future planning and present-moment responsibility.",/təˈmɔroʊ/,"The weather forecast predicts heavy rain for _____, so we'll postpone the picnic until next weekend.","From Old English 'tō morgne,' meaning 'to morning,' combining 'to' (at) and 'morgne' (morning, dawn).","[""Think 'TO-MORROW' - literally 'to the morning' (next day)"", ""Remember as opposite of 'yesterday' and day after 'today'"", ""Connect to 'future planning' for next-day activities""]","noun, adverb",1.2,2.5,1.0,1.3,,Claude,Claude,Claude,Claude
tongue,2020; 2021; 2022; 2023; 2024,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf,One Bee; Three Bee; Two Bee,"The muscular organ in the mouth responsible for taste, speech, and swallowing; also refers to language, manner of speaking, or something shaped like a tongue. Anatomically, the tongue contains thousands of taste buds and enables complex mouth movements essential for clear speech articulation. Metaphorically, 'tongue' represents language skills, cultural identity, or communication ability. Expressions like 'mother tongue,' 'sharp tongue,' or 'tongue-tied' reflect its symbolic connection to speech and communication. The organ's flexibility and sensitivity make it crucial for both survival functions and human expression.",/tʌŋ/,The child burned her _____ on the hot soup and learned to test temperature before eating.,"From Old English 'tunge,' related to Germanic languages and Sanskrit 'jihva,' ancient Indo-European root for this vital organ.","[""Think mouth organ for 'TASTE and TALK' - tongue does both"", ""Remember 'mother tongue' for native language connection"", ""Connect to 'speech' for articulation and communication function""]",noun,1.0,2.0,1.0,2.3,,Claude,Claude,Claude,Claude
