word,definition,pronunciation,etymology,memory_tip,example_sentence,etymology_source,definition_source,example_sentence_source,audio_source,difficulty_level,phonetic_score,frequency_score,morphology_score,etymology_score,combined_word_error
asylum,A sanctuary or place of refuge and protection,/ˈæsaɪləm/,"From Latin asylum, from Greek asylon meaning 'inviolable place of refuge', from a- 'not' + sylon 'right of seizure'",Remember ASYLUM: A Sanctuary You Live Until Matters improve,The political refugee sought _____ in the embassy during the conflict.,Claude,Claude,Claude,,Beginner,1.0,3.0,1.0,2.0,False
asymptote,A straight line that a curve approaches but never meets,/ˈæsɪmptoʊt/,"From Greek asymptotos meaning 'not falling together', from a- 'not' + syn- 'together' + ptotos 'falling'",ASYMPTOTE: A curve Approaches Straight line but Never Meets - Picture Two Objects Eternally,The hyperbola has a horizontal _____ that it approaches but never crosses.,Claude,Claude,Claude,,Beginner,1.0,4.0,1.0,2.0,False
ataxia,"Loss of coordination of muscle movements, often affecting gait and speech",/əˈtæksiə/,"From Greek ataxia meaning 'disorder, lack of arrangement', from a- 'without' + taxis 'order, arrangement'",ATAXIA: Affected muscles Totally Are eXtremely Incoordinated Always,The neurological condition caused severe _____ in the patient's walking and hand movements.,Claude,Claude,Claude,,Beginner,2.0,3.0,1.0,2.0,False
ataxiapageantry,ERROR: Combined word - should be separate words,,,,,,,,,N/A,0.0,0.0,0.0,0.0,True
aten,"The solar disk deity in ancient Egyptian religion, prominently worshipped during Akhenaten's reign",/ˈɑtən/,"From ancient Egyptian itn meaning 'solar disk', related to the sun god in Egyptian mythology",ATEN: Ancient Temple Egyptian deity - the solar disk that shines bright,Pharaoh Akhenaten promoted worship of _____ as the supreme solar deity.,Claude,Claude,Claude,,Beginner,1.0,2.5,1.0,3.0,False
atencatjang,ERROR: Combined word - should be separate words,,,,,,,,,N/A,0.0,0.0,0.0,0.0,True
athenaeum,A literary or scientific institution or club; a library or reading room,/ˌæθəˈniəm/,"From Latin Athenaeum, from Greek Athenaion, referring to the temple of Athena where scholars met",ATHENAEUM: Athena's Temple Housing Educational Activities - Named for goddess of wisdom,The local _____ hosted lectures and maintained an extensive research library.,Claude,Claude,Claude,,Intermediate,1.0,4.0,2.0,2.0,False
atheneum,Alternative spelling of athenaeum - a literary or scientific institution,/ˌæθəˈniəm/,"From Latin Athenaeum, from Greek Athenaion, referring to the temple of Athena where scholars met",ATHENEUM: Alternative spelling - Athena's Temple for Educational Nurturing and University-like Meetings,The _____ featured rare manuscripts and scholarly discussions.,Claude,Claude,Claude,,Beginner,1.0,3.0,2.0,2.0,False
athlete,A person who competes in sports requiring physical skill and training,/ˈæθlit/,"From Greek athletes meaning 'contestant for a prize', from athlein 'to compete for a prize'",ATHLETE: Active Training Helps Leaders Excel Through Exercise,The Olympic _____ trained for years to perfect her technique.,Claude,Claude,Claude,,Beginner,1.0,3.0,1.0,2.0,False
athletejotted,ERROR: Combined word - should be separate words,,,,,,,,,N/A,0.0,0.0,0.0,0.0,True
