word,definition,part_of_speech,pronunciation_guide,etymology,memory_tips,alternate_spellings,language_origin,example_sentence,years,source_files,source_difficulties,difficulty_phonetic,difficulty_frequency,difficulty_morphological,difficulty_etymology,difficulty_final,etymology_source,definition_source,pronunciation_source,example_sentence_source
crannies,"Plural of cranny; small, narrow openings or crevices, especially in walls or rocks; hidden or secluded places. The phrase ""nooks and crannies"" describes small, often overlooked spaces that can hide objects or provide secret areas. These tiny gaps or recesses often accumulate dust, debris, or small items.",noun (plural),KRAN-eez (/ˈkræniːz/),"Plural of ""cranny,"" from Old French ""cren"" (notch)","Think ""cracks + nannies"" - tiny cracks where small things hide like children hiding from nannies",None,Old French,She searched every nook and _____ of the attic for the missing jewelry box.,2025,2025 Words of Champion _1_.pdf,Three Bee,1.0,2.5,1.0,2.5,,Claude,Claude,Claude,Claude
crate,"A large wooden, plastic, or metal container used for transporting or storing goods; to pack items into such a container. Crates provide sturdy protection for shipping fragile or heavy items. They often have slatted sides for ventilation and can be stacked for efficient storage.","noun, verb",KRAYT (/kreɪt/),"From Latin ""cratis"" (wickerwork, hurdle)","Think ""create + ate"" - you create storage by putting things in a crate",None,Latin,The movers loaded the fragile dishes into a wooden _____ for protection.,2020,2020 Words_of_the_Champions.pdf,One Bee,1.0,2.0,1.0,3.5,,Claude,Claude,Claude,Claude
crawl,To move slowly on hands and knees or with the body close to the ground; to move very slowly; a swimming stroke performed face-down with alternating arm movements. Crawling is typically the first form of independent locomotion in human infants.,"verb, noun",KRAWL (/krɔːl/),"From Old Norse ""krafla"" (to claw)",Think of using claws or hands to slowly move across the ground,None,Old Norse,The baby learned to _____ before taking his first steps.,2024,2024 Words of the Champions.pdf,Three Bee,1.0,2.0,1.0,2.0,,Claude,Claude,Claude,Claude
crayfish,"A freshwater crustacean resembling a small lobster, also called crawfish or crawdads in different regions. These arthropods have a segmented body, ten legs, and large claws. They inhabit streams, rivers, and ponds, serving as both predators and prey in aquatic ecosystems.",noun,KRAY-fish (/ˈkreɪˌfɪʃ/),"From Middle English ""crevis"" + ""fish"" (though not actually a fish)","Think ""cray (like crab) + fish"" - a crab-like creature in fresh water","Crawfish, Crawdad",Middle English,The children caught _____ in the shallow creek using small nets.,2024,2024 Words of the Champions.pdf,Three Bee,1.0,2.5,1.0,2.0,,Claude,Claude,Claude,Claude
crayon,"A stick of colored wax, charcoal, or chalk used for drawing or coloring; to color or draw with such a stick. Crayons are popular art supplies for children and artists, available in numerous colors and formulations. They provide an easy, non-messy way to add color to artwork.","noun, verb",KRAY-on (/ˈkreɪˌɒn/) or KRAY-ahn (/ˈkreɪɑːn/),"French, from ""craie"" (chalk), from Latin ""creta"" (chalk)","Think ""cray (like gray) + on"" - colored sticks that go on paper",None,French/Latin,The child carefully selected a red _____ to color the fire truck.,2020; 2021,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf,One Bee,1.0,2.0,1.0,3.5,,Claude,Claude,Claude,Claude
creak,"A sharp, high-pitched sound made by something moving or under pressure, typically old wood or metal; to make such a sound. Creaking often indicates age, wear, or stress in materials. The sound serves as an auditory warning of potential structural issues.","noun, verb",KREEK (/kriːk/),"Imitative of the sound, related to ""crack""","Think of old stairs that ""creek"" (like a creek flows) when you step on them",None,Imitative/English,The old wooden floor began to _____ under the weight of the heavy furniture.,2022,2022 Words of the Champions_low_ink_printable.pdf,Two Bee,1.0,2.0,1.0,2.0,,Claude,Claude,Claude,Claude
cream,"The thick, fatty layer that rises to the top of milk; a cosmetic or medicinal preparation with a smooth, thick consistency; the best part of something; a pale yellowish-white color. Cream represents richness, quality, and luxury in various contexts.","noun, verb, adjective",KREEM (/kriːm/),"From Old French ""cresme,"" from Latin ""chrisma"" (ointment)","Think of the rich, smooth layer on top of milk - the best part",None,Old French/Latin,She whipped the heavy _____ until it formed soft peaks for the dessert.,2022; 2023; 2024; 2025,2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee,1.0,2.0,1.0,3.5,,Claude,Claude,Claude,Claude
creances,"In falconry, long lines or tethers attached to hawks or falcons during training to prevent them from flying away while learning to hunt. Creances allow birds of prey to practice flying and hunting while remaining under the falconer's control. This training method ensures the bird's safety during the learning process.",noun (plural),kree-AHN-siz (/kriˈɑnsɪz/),"French, meaning ""beliefs"" or ""trust,"" from falconry context of trusting the bird","Think ""cre (create) + ances"" - creating trust/control with training lines",None,French,The falconer attached _____ to the young hawk before its first hunting lesson.,2024,2024 Words of the Champions.pdf,Three Bee,1.0,2.5,1.0,2.5,,Claude,Claude,Claude,Claude
crease,"A line or ridge made by folding, pressing, or crushing something; to make such a line; in cricket, the line marking the batsman's position. Creases can be intentional (pants crease) or accidental (wrinkles). They alter the appearance and sometimes functionality of materials.","noun, verb",KREES (/kriːs/),"Possibly from Middle English ""crest"" or related to ""crisp""","Think of pressing clothes to create sharp lines - ""crees"" or creases",None,Middle English,He carefully ironed a sharp _____ down the front of his dress pants.,2021,2021_Printable_Words of the Champions.pdf,One Bee,1.0,2.0,1.0,2.0,,Claude,Claude,Claude,Claude
create,"To bring something into existence; to produce or design something new; to cause or bring about a situation or condition. Creation involves imagination, skill, and effort to produce original works, solutions, or experiences. It represents fundamental human creativity and innovation.",verb,kree-AYT (/kriˈeɪt/),"From Latin ""creare"" (to make, produce)","Think ""cre + ate"" - you ate (consumed) inspiration to create something new",None,Latin,The artist spent months working to _____ her masterpiece sculpture.,2024; 2025,2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee,1.0,2.0,1.0,3.5,,Claude,Claude,Claude,Claude
created,"Past tense of create; brought into existence or produced something new; made or designed something original. This term indicates completed acts of creation, whether artistic, intellectual, physical, or conceptual. Created implies successful completion of the creative process.",verb (past tense),kree-AY-ted (/kriˈeɪtəd/),"From Latin ""creare"" (to make) + past tense suffix ""-ed""","Think ""create + -ed"" - something that was successfully created in the past",None,Latin,The software developer _____ an innovative app that solved scheduling problems.,2025,2025 Words of Champion _1_.pdf,Three Bee,1.0,2.5,1.5,3.5,,Claude,Claude,Claude,Claude
creating,"Present participle of create; in the process of bringing something into existence; producing or designing something new. This ongoing action involves active imagination, effort, and skill application. Creating represents dynamic, purposeful activity toward producing original works.",verb (present participle),kree-AY-ting (/kriˈeɪtɪŋ/),"From Latin ""creare"" + present participle suffix ""-ing""","Think ""create + -ing"" - actively in the process of creating something",None,Latin,The team is _____ a new marketing strategy for the product launch.,2022; 2023; 2024; 2025,2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee,1.0,2.5,1.5,3.5,,Claude,Claude,Claude,Claude
