word,years,source_files,source_difficulties,definition,part_of_speech,pronunciation_guide,etymology,language_origins,example_sentence,memory_tip,phonetic_transparency_score,word_frequency_score,morphological_complexity_score,etymology_complexity_score,difficulty_level,definition_source,pronunciation_source,etymology_source,example_sentence_source,memory_tip_source,audio_file_path,image_file_path,word_category,subcategory,difficulty_explanation,learning_tips
inclined,2022,2022 Words of the Champions_low_ink_printable.pdf,Two Bee,"Inclined describes something that slants, slopes, or tilts at an angle rather than being perfectly horizontal or vertical. This word can refer to physical surfaces like inclined planes in physics, which are ramps or slopes used to reduce the force needed to lift objects. Geographically, inclined terrain includes hillsides, mountains, or any sloping land. The term also describes mental or emotional tendencies - being inclined toward certain beliefs, preferences, or behaviors. Someone might be inclined to help others, inclined to worry, or inclined to prefer certain activities. Unlike definitive statements, being inclined suggests a tendency or predisposition rather than absolute certainty. In mechanics, inclined systems study how gravity and friction affect objects on angled surfaces. The word indicates deviation from the standard or expected position.","adjective, verb (past tense)",in-KLYND,"From Latin ""inclinare,"" meaning ""to bend"" or ""to lean toward,"" combining ""in-"" (toward) with ""clinare"" (to lean or bend). The root is related to ""decline"" and ""recline,"" all involving bending or leaning movements.",Latin,The steep _______ driveway made it difficult to park safely during icy winter conditions.,"Remember ""INCLINED"" - think ""IN-CLINED"" like something that's ""clined"" (leaned) inward at an angle, not straight up.",3,3,3,3,,Claude,Claude,Claude,Claude,Claude,,,,,,"Remember ""INCLINED"" - think ""IN-CLINED"" like something that's ""clined"" (leaned) inward at an angle, not straight up."
include,2024; 2025,2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee,"Include means to contain, comprise, or make someone or something part of a whole, group, or category. This fundamental verb describes the action of incorporating elements into larger systems, lists, or collections. When you include items in a package, you add them to the contents. When organizations include diverse members, they welcome participation from different backgrounds. Academic papers include references to support arguments. The word implies intentional incorporation rather than accidental presence. Including someone in activities demonstrates acceptance and consideration. Unlike excluding, which removes or keeps out, including brings together and encompasses. The concept applies broadly from simple lists to complex social and organizational structures. Including typically requires active decision-making about what belongs together.",verb,in-KLOOD,"From Latin ""includere,"" meaning ""to shut in"" or ""to enclose,"" combining ""in-"" (in) with ""claudere"" (to close). The original sense was ""to enclose within boundaries,"" which evolved to mean ""to contain as part of.""",Latin,"The vacation package will _______ airfare, hotel accommodations, and two meals per day.","Remember ""INCLUDE"" - think ""IN-CLUDE"" like bringing something ""IN"" to be ""CLUDE"" (enclosed/contained) within a group.",3,3,3,3,,Claude,Claude,Claude,Claude,Claude,,,,,,"Remember ""INCLUDE"" - think ""IN-CLUDE"" like bringing something ""IN"" to be ""CLUDE"" (enclosed/contained) within a group."
included,2024; 2025,2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee,"Included is the past tense of ""include,"" meaning that something was contained, comprised, or made part of a whole, group, or category. This word describes the completed action of incorporating elements into larger systems or collections. When items are included in a shipment, they were added to the contents. When people were included in activities, they were welcomed to participate. Academic studies that included diverse participants gathered data from varied sources. The term confirms that incorporation has taken place rather than describing ongoing or future inclusion. Unlike excluded, which indicates something was left out, included confirms that something was brought in and made part of the whole. The word often appears in descriptions of what components, participants, or elements formed part of a completed group or system.",verb (past tense),in-KLOO-did,"From Latin ""includere,"" meaning ""to shut in"" or ""to enclose,"" combining ""in-"" (in) with ""claudere"" (to close). The past tense form indicates completed inclusion.",Latin,The research study _______ participants from twelve different countries to ensure global representation.,"Remember ""INCLUDED"" - think ""IN-CLUDE-D"" like something that was ""cluded"" (enclosed) ""IN"" the group - past tense of bringing things together.",3,3,3,3,,Claude,Claude,Claude,Claude,Claude,,,,,,"Remember ""INCLUDED"" - think ""IN-CLUDE-D"" like something that was ""cluded"" (enclosed) ""IN"" the group - past tense of bringing things together."
includes,2024; 2025,2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee,"Includes is the third person singular present tense of ""include,"" meaning contains, comprises, or makes part of a whole. This verb form describes ongoing or habitual inclusion of elements within larger systems or groups. When a package includes certain items, it contains them as standard components. When a program includes diverse activities, it offers various options as part of its regular structure. Academic curricula that include multiple subjects provide comprehensive education. The word indicates active, present inclusion rather than past or future incorporation. Unlike excludes, which keeps things out, includes brings elements together as part of a unified whole. This form often appears in descriptions, specifications, or explanations of what components make up complete systems, packages, or programs.",verb (third person singular present),in-KLOODZ,"From Latin ""includere,"" meaning ""to shut in"" or ""to enclose,"" combining ""in-"" (in) with ""claudere"" (to close). The present tense third person form indicates ongoing inclusion.",Latin,The comprehensive health insurance plan _______ dental coverage and vision care benefits.,"Remember ""INCLUDES"" - think ""IN-CLUDES"" like actively ""cluding"" (enclosing) things ""IN"" the group right now.",3,3,3,3,,Claude,Claude,Claude,Claude,Claude,,,,,,"Remember ""INCLUDES"" - think ""IN-CLUDES"" like actively ""cluding"" (enclosing) things ""IN"" the group right now."
including,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"Including is a preposition and present participle that introduces examples or additional elements that are part of a larger group or category. This word signals that what follows represents some, but not necessarily all, members of the set being discussed. When you say ""many animals, including elephants,"" you indicate that elephants are among the animals but not the only ones. Academic writing frequently uses including to provide specific examples within broader categories. The term helps clarify scope by offering concrete instances of abstract concepts. Unlike ""such as,"" which typically introduces examples, including can also suggest comprehensive listing. Legal documents use including to specify particular items within broader categories. The word creates inclusive rather than exclusive relationships, expanding rather than limiting scope.","preposition, present participle",in-KLOO-ding,"From Latin ""includere"" plus the English suffix ""-ing."" The participial form emphasizes the ongoing process of inclusion or the act of containing elements within a group.","Latin, English","The festival featured performers from many countries, _______ musicians from Brazil, dancers from Ireland, and artists from Japan.","Remember ""INCLUDING"" - think ""IN-CLUDING"" like actively ""cluding"" (bringing) examples ""IN"" to show what's part of a larger group.",3,3,3,3,,Claude,Claude,Claude,Claude,Claude,,,,,,"Remember ""INCLUDING"" - think ""IN-CLUDING"" like actively ""cluding"" (bringing) examples ""IN"" to show what's part of a larger group."
inclusion,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"Inclusion is the practice or policy of providing equal access, opportunities, and participation to all individuals, particularly those who might otherwise be excluded or marginalized. This noun encompasses both the act of including something within a group and the broader social principle of ensuring no one is left out based on differences like race, gender, disability, or background. Educational inclusion integrates students with special needs into mainstream classrooms. Workplace inclusion creates environments where diverse employees can contribute fully. The concept emphasizes not just presence but meaningful participation and belonging. Unlike mere diversity, which focuses on representation, inclusion emphasizes creating welcoming, supportive environments where differences are valued. Social inclusion addresses systemic barriers that prevent full participation in community life. The term implies active effort to create equitable opportunities rather than passive non-discrimination.",noun,in-KLOO-zhun,"From Latin ""inclusio,"" derived from ""includere"" meaning ""to enclose."" The suffix ""-ion"" creates a noun indicating the act or process of including.",Latin,The school's _______ policy ensured that students with disabilities received appropriate support to participate fully in all academic activities.,"Remember ""INCLUSION"" - think ""IN-CLUSION"" like the ""conclusion"" of bringing everyone ""IN"" - the act of including everyone together.",3,3,3,3,,Claude,Claude,Claude,Claude,Claude,,,,,,"Remember ""INCLUSION"" - think ""IN-CLUSION"" like the ""conclusion"" of bringing everyone ""IN"" - the act of including everyone together."
incoherent,2020; 2021; 2022; 2023; 2024,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf,One Bee; Three Bee; Two Bee,"Incoherent describes speech, writing, or thinking that lacks logical connection, clarity, or consistency, making it difficult or impossible to understand. This word characterizes communication where ideas don't connect logically, arguments contradict themselves, or expression is so confused that meaning becomes unclear. Incoherent speech might result from extreme emotion, illness, intoxication, or mental distress. Academic writing becomes incoherent when arguments lack supporting evidence or logical progression. The term can describe both temporary states, like incoherent responses during emergencies, and persistent conditions affecting communication ability. Unlike simply unclear communication, incoherent expression lacks internal logic or organizational structure. Scientific theories are incoherent when their components contradict established principles. The word emphasizes the absence of rational connection between parts of a whole.",adjective,in-ko-HEER-unt,"From Latin ""incohaerens,"" combining ""in-"" (not) with ""cohaerens"" (sticking together), from ""cohaerere"" meaning ""to stick together"" or ""to be connected."" The root ""haerere"" means ""to stick.""",Latin,The witness's _______ testimony contained so many contradictions that the jury could not determine what actually happened.,"Remember ""INCOHERENT"" - think ""IN-COHERENT"" meaning NOT coherent (logically connected) - ideas that don't stick together clearly.",3,3,3,3,,Claude,Claude,Claude,Claude,Claude,,,,,,"Remember ""INCOHERENT"" - think ""IN-COHERENT"" meaning NOT coherent (logically connected) - ideas that don't stick together clearly."
income,2024; 2025,2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee,"Income refers to money received on a regular basis from work, investments, business activities, or other sources, typically measured annually or monthly. This fundamental economic term encompasses wages, salaries, profits, dividends, interest, and any other financial inflows that increase an individual's or organization's resources. Personal income determines living standards, purchasing power, and financial security. Business income, also called revenue, funds operations and growth. Investment income comes from assets like stocks, bonds, or real estate. Tax systems typically categorize different types of income for regulatory purposes. Economic policies often focus on income distribution, inequality, and growth. Unlike wealth, which represents accumulated assets, income measures ongoing financial flows. Understanding income sources and patterns is crucial for financial planning, budgeting, and economic analysis.",noun,IN-kum,"From Middle English ""income,"" literally meaning ""a coming in,"" from ""in"" plus ""come."" The word originally referred to arrival or entrance, developing its financial meaning in the 14th century.",Middle English,The family's _______ increased significantly after both parents received promotions at their respective companies.,"Remember ""INCOME"" - think ""IN-COME"" like money ""coming IN"" to your bank account from work or investments.",3,3,3,3,,Claude,Claude,Claude,Claude,Claude,,,,,,"Remember ""INCOME"" - think ""IN-COME"" like money ""coming IN"" to your bank account from work or investments."
incompetent,2022; 2023; 2024; 2025,2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee,"Incompetent describes someone who lacks the necessary skills, knowledge, or ability to perform tasks adequately or meet expected standards of performance. This word applies to professional, personal, or technical contexts where someone proves unable to fulfill their responsibilities effectively. Incompetent employees might consistently make errors, miss deadlines, or fail to understand job requirements. Legal incompetence refers to mental incapacity affecting decision-making ability. The term can describe temporary situations, like feeling incompetent when learning new skills, or persistent conditions affecting overall performance. Unlike inexperience, which suggests potential for improvement, incompetence implies fundamental inability to meet requirements. Medical professionals might be deemed incompetent if they consistently endanger patients. The word carries negative connotations, suggesting failure to meet minimum acceptable standards.","adjective, noun",in-KOM-pi-tunt,"From Latin ""incompetens,"" combining ""in-"" (not) with ""competens"" (suitable, capable), derived from ""competere"" meaning ""to be suitable"" or ""to be capable.""",Latin,The _______ technician's repeated mistakes with the sensitive equipment led to his immediate dismissal.,"Remember ""INCOMPETENT"" - think ""IN-COMPETENT"" meaning NOT competent (capable) - lacking the skills needed to do something well.",3,3,3,3,,Claude,Claude,Claude,Claude,Claude,,,,,,"Remember ""INCOMPETENT"" - think ""IN-COMPETENT"" meaning NOT competent (capable) - lacking the skills needed to do something well."
incomprehensible,2020,2020 Words_of_the_Champions.pdf,One Bee,"Incomprehensible describes something that cannot be understood, grasped, or made sense of, whether due to complexity, obscurity, or fundamental limitations in human understanding. This word applies to concepts, languages, behaviors, or phenomena that resist comprehension despite efforts to understand them. Advanced mathematics might be incomprehensible to those without proper background. Foreign languages are incomprehensible to those who haven't learned them. Some philosophical concepts remain incomprehensible even to experts. The term can describe both temporary incomprehension, remedied through study or explanation, and permanent limitations where understanding may be impossible. Unlike merely difficult subjects, incomprehensible things seem to resist all attempts at understanding. Scientific mysteries, divine concepts, or extreme human behaviors might be described as incomprehensible when they defy rational explanation.",adjective,in-kom-pri-HEN-suh-buhl,"From Latin ""incomprehensibilis,"" combining ""in-"" (not) with ""comprehensibilis"" (able to be grasped), derived from ""comprehendere"" meaning ""to seize"" or ""to understand.""",Latin,The professor's lecture on quantum mechanics was completely _______ to students who lacked advanced physics training.,"Remember ""INCOMPREHENSIBLE"" - think ""IN-COMPREHENSIBLE"" meaning NOT able to be comprehended (understood) - beyond grasp of understanding.",3,3,3,3,,Claude,Claude,Claude,Claude,Claude,,,,,,"Remember ""INCOMPREHENSIBLE"" - think ""IN-COMPREHENSIBLE"" meaning NOT able to be comprehended (understood) - beyond grasp of understanding."
