word,definition,pronunciation,etymology,memory_tip,example_sentence,etymology_source,definition_source,example_sentence_source,audio_source,difficulty_level,phonetic_score,frequency_score,morphology_score,etymology_score,combined_word_error
badger,A burrowing mammal with distinctive black and white stripes; to persistently ask or pester,/ˈbædʒər/,"From Middle English bageard, possibly from badge (referring to the white mark on its forehead) + -ard suffix","BADGER: Bold Animal Digging - Great Earth tunneler, Relentlessly asks questions",The persistent reporter continued to _____ the politician for answers about the scandal.,Claude,Claude,Claude,,Intermediate,1.0,3.0,1.3,3.5,False
badgerbailiff,ERROR: Combined word - should be separate words,,,,,,,,,N/A,0.0,0.0,0.0,0.0,True
badinage,Humorous or witty conversation; playful repartee,/ˌbædɪˈnɑʒ/,"From French badinage, from badiner 'to jest', from badin 'silly, playful'","BADINAGE: Banter And Delightful - Intelligent playful conversation, Nice And Graceful Exchange",The dinner party was filled with clever _____ between the witty guests.,Claude,Claude,Claude,,Beginner,1.0,3.0,1.3,2.0,False
baggy,Loose-fitting and hanging in folds; not tight,/ˈbæɡi/,"From bag + -y suffix, referring to clothing that hangs like a bag","BAGGY: Big And Generously sized - Garments hang loosely, not tight, Yielding comfortable fit",The oversized _____ jeans were popular in the 1990s fashion trend.,Claude,Claude,Claude,,Beginner,1.0,2.5,1.3,3.0,False
bagpipe,A musical instrument with pipes that are sounded by air squeezed from a bag,/ˈbæɡˌpaɪp/,"From bag + pipe, referring to the air bag and the pipes that produce sound","BAGPIPE: Bag And Great - Pipes produce music, Inspiring musical Performances, Everybody loves Scottish music",The Scottish _____ player filled the Highland air with traditional melodies.,Claude,Claude,Claude,,Beginner,1.0,3.0,1.0,3.0,False
bagwyn,A heraldic creature resembling a deer or goat with curved horns and a long tail,/ˈbæɡwɪn/,"From Welsh bagwyn, possibly from bag 'testicle' + gwyn 'white', referring to the creature's appearance","BAGWYN: Blazoned Animal - Graceful Welsh heraldic creature, Yielding distinctive Noble appearance",The family coat of arms featured a _____ as their heraldic symbol.,Claude,Claude,Claude,,Intermediate,1.0,3.0,1.0,5.0,False
bahamas,An island nation in the Atlantic Ocean southeast of Florida,/bəˈhɑməz/,"From Spanish baja mar meaning 'shallow water', referring to the shallow seas around the islands","BAHAMAS: Beautiful Atlantic - Heavenly Archipelago of Many Amazing tropical islands, Stunning beaches",The cruise ship sailed through the crystal-clear waters of the _____.,Claude,Claude,Claude,,Beginner,1.0,3.0,1.0,2.0,False
bahr,"An Arabic word meaning 'sea' or 'large river', used in place names",/bɑr/,"From Arabic bahr meaning 'sea, large river'",BAHR: Big Arabic water - Huge Rivers in Middle Eastern geography,"The ancient city was located near _____ el-nil, the great river.",Claude,Claude,Claude,,Intermediate,1.0,2.5,1.0,5.0,False
bahuvrihi,A type of compound word where the meaning refers to something outside the compound itself,/bɑhuˈvrihi/,"From Sanskrit bahuvrihi meaning 'having much rice', which is itself an example of this type of compound","BAHUVRIHI: Big And complex - Having Unusual Verbal structure, Referring to something outside the compound, Highly technical linguistic term, Impressive grammatical concept","The term 'redhead' is a _____ compound because it refers to a person, not a head.",Claude,Claude,Claude,,Intermediate,1.0,4.0,1.0,5.0,False
bahuvrihipanjandrum,ERROR: Combined word - should be separate words,,,,,,,,,N/A,0.0,0.0,0.0,0.0,True
bailiff,A court officer who maintains order and serves legal papers; a sheriff's deputy,/ˈbeɪlɪf/,"From Old French baillif, from bailler 'to deliver, control', from Latin bajulare 'to bear a burden'",BAILIFF: Bravely Always - Insuring Law Is properly followed - Firmly maintaining court order,The _____ escorted the defendant from the courtroom after the verdict.,Claude,Claude,Claude,,Intermediate,1.5,3.0,2.0,3.5,False
bailiffinfiltrate,ERROR: Combined word - should be separate words,,,,,,,,,N/A,0.0,0.0,0.0,0.0,True
bailiwick,"A person's area of skill, knowledge, or authority; a bailiff's jurisdiction",/ˈbeɪlɪˌwɪk/,"From bailiff + wick (Old English wic meaning 'dwelling place, jurisdiction')","BAILIWICK: Bailiff's Area - Interests Leading to Individual areas of expertise, With Initial expertise, Control, Knowledge areas",Computer programming was clearly his _____ among the team members.,Claude,Claude,Claude,,Intermediate,1.5,4.0,1.0,3.5,False
bailly,The outer wall or ward of a castle; a fortified enclosure,/ˈbeɪli/,"From Old French baile meaning 'enclosure', from Latin bajulus 'carrier, manager'","BAILLY: Barrier Around - Inside castle, Lined wall Yielding protection",The soldiers defended the castle's _____ against the approaching enemy forces.,Claude,Claude,Claude,,Intermediate,1.5,3.0,1.3,3.5,False
bakery,A place where bread and cakes are made or sold,/ˈbeɪkəri/,"From bake + -ery suffix, referring to a place where baking occurs","BAKERY: Bread And Kneaded dough - Everyone Relies on for fresh baked goods, Yummy treats",The local _____ filled the street with the aroma of fresh-baked croissants.,Claude,Claude,Claude,,Intermediate,1.0,3.0,1.3,3.0,False
bakeryporridge,ERROR: Combined word - should be separate words,,,,,,,,,N/A,0.0,0.0,0.0,0.0,True
baklava,A rich sweet pastry made of layers of filo filled with chopped nuts and honey,/ˈbɑkləvə/,"From Turkish baklava, possibly from Ottoman Turkish baklavak","BAKLAVA: Beautiful And Krunchy - Layers And Vibrant honey sweetness, Amazing dessert",The _____ was perfectly flaky with layers of phyllo pastry and chopped walnuts.,Claude,Claude,Claude,,Intermediate,1.0,3.0,1.0,5.0,False
baklawa,"Alternative spelling of baklava, a Middle Eastern layered pastry dessert",/ˈbɑkləwə/,"From Arabic baqlawa, related to Turkish baklava","BAKLAWA: Beautiful Arabic - Krunchy Layers And sweet honey, Wonderful Alternative spelling",The Lebanese restaurant served traditional _____ with pistachios and rose water syrup.,Claude,Claude,Claude,,Intermediate,1.5,3.0,1.0,5.0,False
balance,A state of equilibrium; to keep steady or in proportion,/ˈbæləns/,"From Old French balance, from Latin bilanx meaning 'having two scales', from bi- 'two' + lanx 'scale pan'","BALANCE: Being Able to Land Accurately - Neutralizing uneven forces, Coordinating Evenly",She worked hard to _____ her career responsibilities with family time.,Claude,Claude,Claude,,Intermediate,1.0,3.0,1.0,3.5,False
