"word","definition","part_of_speech","pronunciation_guide","etymology","language_origins","definition_source","pronunciation_source","etymology_source","example_sentence","example_sentence_source","memory_tip","memory_tip_source","difficulty_phonetic","difficulty_semantic","difficulty_morphological","difficulty_etymological","difficulty","years","source_files","source_difficulties","combined_words_detected","incomplete_word_detected","parsing_errors"
"female","Female refers to the sex of an organism that typically produces eggs or bears offspring, or to characteristics associated with this sex. In biology, females are distinguished by their reproductive role and often by secondary sexual characteristics. The term can also describe objects, connectors, or parts that are designed to receive rather than insert, such as female electrical plugs. In social contexts, female can refer to gender identity and expression. The word encompasses both biological and social aspects of femininity.","adjective, noun","FEE-mayl","From Old French ""femelle,"" from Latin ""femella,"" diminutive of ""femina"" meaning ""woman.""","Latin, Old French","Claude","Claude","Claude","The _______ cardinal is brown and tan, while the male has bright red plumage.","Claude","Remember ""FE-male"" - the FE-minine gender that complements male, from the Latin word for woman.","Claude","1","4","1","3","","2025","2025 Words of Champion _1_.pdf","Three Bee","False","False",""
"fend","Fend means to defend oneself or to manage independently, often in difficult circumstances. The word commonly appears in phrases like ""fend for oneself,"" meaning to take care of one's own needs without help from others. Fend can also mean to ward off or repel something unwanted, such as fending off attackers or fending off criticism. The word implies self-reliance, independence, and the ability to handle challenges through one's own efforts and resources.","verb","FEND","From Middle English ""fenden,"" shortened from ""defenden,"" ultimately from Latin ""defendere"" meaning ""to defend.""","Latin, Middle English","Claude","Claude","Claude","After losing his job, he had to _______ for himself and his family without any financial support.","Claude","Remember ""FEND"" - like a defensive FENCE, you protect yourself and FEND off problems or dangers.","Claude","1","4","1","3","","2025","2025 Words of Champion _1_.pdf","Three Bee","False","False",""
"fenestrated","Fenestrated describes something that has windows, openings, or perforations, particularly in architecture, medicine, or biology. In architecture, fenestrated refers to buildings with windows or window-like openings. In medicine, it describes structures with natural or surgical openings, such as fenestrated blood vessels or surgical instruments with holes. In biology, fenestrated membranes have pores or gaps. The term emphasizes the presence of openings that allow passage of light, air, substances, or access.","adjective","FEN-uh-stray-tid","From Latin ""fenestratus,"" from ""fenestra"" meaning ""window."" Related to ""defenestration"" (throwing out of windows).","Latin","Claude","Claude","Claude","The _______ wall of the cathedral allowed streams of colored light to filter through the stained glass windows.","Claude","Remember ""FENESTR-ated"" - having windows or openings, like FENSTER (German for window) that have been created.","Claude","1","4","2","3","","2020; 2021; 2022; 2023; 2024; 2025","2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf","One Bee; Three Bee; Two Bee","False","False",""
"fens","Fens are low-lying wetlands with alkaline water, characterized by soft, muddy ground and often covered with water. These marshy areas are typically fed by groundwater and surface water, creating unique ecosystems that support specialized plants and wildlife. Fens differ from bogs in their mineral content and water chemistry. The term is also used in proper names, such as the Fens in eastern England, a region known for its extensive fenland that has been largely drained for agriculture.","noun (plural)","FENZ","From Old English ""fen"" meaning ""marsh"" or ""bog,"" related to similar words in other Germanic languages.","Old English","Claude","Claude","Claude","The nature preserve protects several rare bird species that nest in the protected _______.","Claude","Remember ""FENS"" - marshy wetlands where you need a FENCE to mark safe paths through the boggy ground.","Claude","1","4","1","1","","2024","2024 Words of the Champions.pdf","Three Bee","False","False",""
"fenster","Fenster is the German word for ""window,"" sometimes used in English in architectural, geological, or technical contexts. In geology, a fenster (also called a tectonic window) is an area where erosion has removed upper rock layers, exposing older rocks beneath. In architecture, the term might be used to describe window-like openings or features. The word emphasizes the concept of an opening that provides view or access to something beyond.","noun","FEN-ster","From German ""Fenster"" meaning ""window,"" ultimately from Latin ""fenestra.""","German, Latin","Claude","Claude","Claude","The geological survey identified a _______ in the mountain range where ancient rock formations were visible.","Claude","Remember ""FENSTER"" - the German word for window, like a FENCE with a opening to see through.","Claude","1","4","1","3","","2024; 2025","2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf","Three Bee","False","False",""
"fensterfiat","[Definition for fensterfiat not available in batch data]","unknown","[Pronunciation for fensterfiat not available]","[Etymology for fensterfiat not available]","unknown","Claude","Claude","Claude","[Example sentence for fensterfiat not available]","Claude","[Memory tip for fensterfiat not available]","Claude","1","1","2","1","","2024","2024 Words of the Champions.pdf","Three Bee","True","False","Combined word error: ""fensterfiat"" appears to be fenster + fiat merged together. This is likely a PDF parsing error where two separate words were incorrectly combined."
"fermat","Fermat typically refers to Pierre de Fermat (1601-1665), a French mathematician known for his contributions to number theory, probability theory, and analytic geometry. Fermat is famous for Fermat's Last Theorem, which states that no three positive integers can satisfy the equation a^n + b^n = c^n for any integer value of n greater than 2. This theorem remained unproven for over 350 years until Andrew Wiles proved it in 1995. Fermat's work laid foundations for modern mathematics.","proper noun","fer-MAH","French surname, possibly from a place name or occupational term related to farming or land management.","French","Claude","Claude","Claude","Students studying number theory often encounter _______ primes and other concepts named after the famous mathematician.","Claude","Remember ""FER-MAT"" - a mathematician whose theorems were so complex they seemed FAR from being solved on a MATH test.","Claude","1","4","1","2","","2025","2025 Words of Champion _1_.pdf","Three Bee","False","False",""
"ferocious","Ferocious describes something that is extremely fierce, violent, or intense in a savage or brutal way. When applied to animals, ferocious suggests predatory behavior characterized by aggressive attacks and lack of mercy. The word can also describe weather conditions, competition, or human behavior that is marked by extreme intensity or violence. Ferocious implies a level of wildness and aggression that is both frightening and potentially dangerous to encounter.","adjective","fuh-ROH-shus","From Latin ""ferocious,"" from ""ferox"" meaning ""fierce"" or ""wild,"" related to ""ferus"" meaning ""wild animal.""","Latin","Claude","Claude","Claude","The _______ storm brought destructive winds and torrential rain that lasted for hours.","Claude","Remember ""fe-ROCIOUS"" - so fierce it's like a wild animal that ROCKS with violent intensity.","Claude","1","4","2","3","","2020; 2021; 2022; 2023","2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf","One Bee; Two Bee","False","False",""
"ferret","A ferret is a domesticated carnivorous mammal related to weasels, traditionally used for hunting rabbits and rodents. Ferrets are elongated animals with short legs, known for their curiosity, playfulness, and ability to squeeze through small spaces. As a verb, ferret means to search persistently for something, often in a thorough or tenacious manner, similar to how the animal hunts. Modern ferrets are popular as pets due to their social nature and entertaining behaviors.","noun, verb","FAIR-it","From Old French ""furet,"" ultimately from Latin ""fur"" meaning ""thief,"" referring to the animal's hunting behavior.","Latin, Old French","Claude","Claude","Claude","The detective managed to _______ out the truth about the missing documents after hours of investigation.","Claude","Remember ""FERRET"" - an animal that FERrets around to find things, like a furry detective searching everywhere.","Claude","1","4","1","3","","2020; 2021; 2022; 2023; 2024; 2025","2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf","One Bee; Three Bee; Two Bee","False","False",""
"ferruginous","Ferruginous describes something that contains iron or has the rusty reddish-brown color of iron oxide. The term is commonly used in geology to describe rocks, soils, or minerals with high iron content, and in biology to describe organisms or structures with iron-rich coloration. Ferruginous materials often develop the characteristic rust color when iron compounds are exposed to oxygen and moisture. The word emphasizes both the chemical composition and the distinctive coloration associated with iron.","adjective","fuh-ROO-ji-nus","From Latin ""ferruginosus,"" from ""ferrugo"" meaning ""rust"" or ""iron rust,"" derived from ""ferrum"" meaning ""iron.""","Latin","Claude","Claude","Claude","The _______ soil in the region gave the landscape a distinctive reddish hue from its high iron content.","Claude","Remember ""ferr-UGINOUS"" - containing FERR (iron) that makes things look rusty and UGLY with reddish-brown color.","Claude","1","4","3","3","","2020; 2021; 2022; 2023; 2024; 2025","2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf","One Bee; Three Bee; Two Bee","False","False",""
