word,years,source_files,source_difficulties,definition,pronunciation,pronunciation_ipa,etymology,memory_tip,example_sentence,phonetic_transparency_score,word_frequency_score,morphological_complexity_score,etymology_complexity_score,difficulty,combined_word_error,source
patronymic,2021; 2022; 2023; 2024; 2025,2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"A name derived from the name of a father or paternal ancestor, typically by adding a suffix meaning ""son of"" or ""daughter of."" Patronymic naming systems are found in many cultures, including Scandinavian (-son, -sen), Russian (-ovich, -ovna), and Arabic (ibn, bint). These names traditionally indicate family lineage and paternal heritage. Some societies use patronymics as middle names or surnames, while others employ them as primary identifiers. The practice reflects cultural values about family relationships and inheritance. Modern usage varies widely, with some cultures maintaining strict patronymic traditions while others have adopted fixed family names.",/ˌpætrəˈnɪmɪk/,/ˌpætrəˈnɪmɪk/,"From Greek ""patronymikos,"" from ""patronymos"" meaning named after one's father, from ""pater"" (father) + ""onyma"" (name).","PATRONYMIC = PATRO (father) + NYMIC (name). Think of names that come from your ""father's name"" - family naming traditions.","In Iceland, children still receive _____ names based on their father's first name plus ""son"" or ""dóttir.""",1.0,5.0,2.5,3.0,,False,Claude
pattern,2021; 2022,2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf,One Bee; Two Bee,"A repeated design or sequence; a model or template for making something; a regular and predictable form or order. Patterns appear in art, nature, behavior, and mathematics, representing organized repetition or systematic arrangement. They can be visual (textile patterns), behavioral (daily patterns), or conceptual (thought patterns). Recognizing patterns is fundamental to learning, problem-solving, and understanding complex systems. In design and manufacturing, patterns serve as templates for creating consistent products. The human brain is naturally wired to identify and create patterns as a way of organizing and understanding the world.",/ˈpætərn/,/ˈpætərn/,"From Old French ""patron"" meaning model or example, from Medieval Latin ""patronus."" Related to the concept of a protective example or template.","PATTERN sounds like ""PAT-TURN"" - think of ""patting"" something and ""turning"" it repeatedly to create a repeating design.",The quilter followed a traditional _____ that had been passed down through her family for generations.,0.7,4.0,1.0,3.0,,False,Claude
paucity,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"The presence of something only in small or insufficient quantities; scarcity or lack of something needed or desired. Paucity suggests not just absence but inadequacy - having some amount but not enough to meet requirements or expectations. The term is often used in formal or academic contexts to describe shortages of resources, information, evidence, or opportunities. Paucity implies that the limited quantity creates problems or limitations. Understanding paucity is important for resource management, research evaluation, and identifying areas needing improvement or investment.",/ˈpɔsəti/,/ˈpɔsəti/,"From Latin ""paucitas"" meaning fewness or scarcity, from ""paucus"" meaning few or little. Related to ""pauper"" (having little).","PAUCITY sounds like ""PAW-CITY"" - think of a ""paw"" trying to grab things in a ""city"" but finding very little - scarcity.",The research was limited by a _____ of reliable data on the subject.,0.7,4.0,1.0,3.0,,False,Claude
pauper,2021; 2022; 2023; 2024; 2025,2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"A very poor person who depends on charity or public assistance for survival; someone without material possessions or financial resources. Historically, paupers were individuals who required support from parish relief or workhouses. The term carries connotations of destitution and social vulnerability. Pauper status often affected legal rights and social standing in historical contexts. Modern social welfare systems aim to prevent pauperization and provide dignity to those needing assistance. The concept highlights issues of poverty, social support, and economic inequality in societies.",/ˈpɔpər/,/ˈpɔpər/,"From Latin ""pauper"" meaning poor or having little, from ""paucus"" (few) + ""parare"" (to provide). Literally means ""providing little.""","PAUPER sounds like ""PAW-PER"" - think of someone with ""paws"" (empty hands) ""per"" necessity - having very little money.",The Victorian novel depicted the harsh realities faced by the _____ in London's workhouses.,0.6,3.0,2.5,3.0,,False,Claude
pavement,2020,2020 Words_of_the_Champions.pdf,One Bee,"A hard surface covering for roads, walkways, or other areas, typically made of concrete, asphalt, or stones; the material used to create such surfaces. Pavement provides durable, smooth surfaces for vehicle and pedestrian traffic. Different types include flexible pavement (asphalt) and rigid pavement (concrete), each with specific advantages and applications. Pavement design considers factors like traffic load, climate, and soil conditions. Maintenance involves regular inspection, crack sealing, and resurfacing. The quality of pavement infrastructure significantly affects transportation efficiency, safety, and economic development.",/ˈpeɪvmənt/,/ˈpeɪvmənt/,"From Latin ""pavimentum"" meaning a floor beaten or rammed down, from ""pavire"" meaning to beat or ram down.","PAVEMENT = PAVE + MENT. Think of the hard surface that results from ""paving"" roads and walkways.",The city repaired the cracked _____ on Main Street to improve safety for both drivers and pedestrians.,0.8,4.0,2.5,3.0,,False,Claude
pavilions,2025,2025 Words of Champion _1_.pdf,Three Bee,"Ornamental buildings or structures, often open or lightly enclosed, used for shelter, entertainment, or ceremonies; temporary or permanent structures in gardens, parks, or event venues. Pavilions can range from simple gazebos to elaborate architectural features. They often serve as focal points in landscape design, providing shaded gathering spaces. Exhibition pavilions house displays at fairs and expositions. Sports pavilions provide covered areas for spectators or players. The design typically emphasizes openness to surroundings while providing some protection from weather.",/pəˈvɪljənz/,/pəˈvɪljənz/,"Plural of ""pavilion,"" from Old French ""paveillon,"" from Latin ""papilio"" meaning butterfly, referring to tent-like structures resembling butterfly wings.","PAVILIONS = PAVILION + S. Think of multiple butterfly-like structures that spread their ""wings"" to shelter people in gardens.",The botanical garden featured several elegant _____ where visitors could rest and enjoy the scenery.,0.9,5.0,1.0,3.0,,False,Claude
pavlova,2020,2020 Words_of_the_Champions.pdf,One Bee,"A meringue-based dessert with a crisp exterior and soft, marshmallow-like interior, typically topped with whipped cream and fresh fruit. Named after the Russian ballerina Anna Pavlova, this dessert is claimed by both Australia and New Zealand as their national creation. The base is made from egg whites and sugar beaten to stiff peaks, then baked at low temperature. The contrast between the crispy shell and soft center creates the dessert's distinctive texture. Pavlova is often served at celebrations and summer gatherings, particularly in Australia and New Zealand.",/pævˈloʊvə/,/pævˈloʊvə/,"Named after Anna Pavlova (1881-1931), the famous Russian prima ballerina, supposedly created to honor her tours of Australia and New Zealand.","PAVLOVA sounds like ""PAV-LOVE-A"" - think of ""loving"" the light, airy dessert named after the graceful ballerina Anna ""Pav""lova.",The chef prepared a stunning _____ topped with fresh berries and passion fruit for the dinner party.,0.7,4.0,1.0,5.0,,False,Claude
payments,2024,2024 Words of the Champions.pdf,Three Bee,"Transfers of money or other valuable consideration made to settle debts, purchase goods or services, or fulfill obligations; amounts paid or to be paid. Payments can be made through various methods including cash, checks, credit cards, electronic transfers, or digital currencies. Payment systems are fundamental to commerce and economic activity. Modern payment processing involves complex networks of banks, clearinghouses, and technology providers. Payment security, fraud prevention, and regulatory compliance are critical concerns in financial systems. Different payment methods offer varying levels of convenience, security, and cost.",/ˈpeɪmənts/,/ˈpeɪmənts/,"Plural of ""payment,"" from ""pay"" (from Latin ""pacare"" meaning to pacify or settle) + ""-ment"" suffix indicating result or process.","PAYMENTS = PAY + MENTS. Think of multiple instances of ""paying"" money - various ""ments"" (methods) of transferring value.","The online store accepts _____ through credit cards, digital wallets, and bank transfers.",0.8,4.0,1.0,3.0,,False,Claude
peaceful,2024,2024 Words of the Champions.pdf,Three Bee,"Characterized by tranquility, calm, and absence of conflict or disturbance; promoting or inclined toward peace rather than violence or aggression. Peaceful describes environments, situations, people, or actions that embody serenity and harmony. The term applies to personal demeanor, conflict resolution approaches, and social movements that seek change through non-violent means. Peaceful settings provide rest and relaxation from stress and anxiety. The concept is valued across cultures as both a personal virtue and a social ideal for resolving disputes and maintaining community harmony.",/ˈpisfəl/,/ˈpisfəl/,"From ""peace"" (from Latin ""pax, pacis"") + ""-ful"" suffix meaning full of or characterized by. Literally means ""full of peace.""","PEACEFUL = PEACE + FUL. Think of being ""full"" of ""peace"" - calm, serene, and without conflict or disturbance.",The monastery garden provided a _____ retreat from the noise and stress of city life.,0.8,4.0,2.5,3.0,,False,Claude
peacenik,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"A person who actively opposes war and advocates for peace, often used somewhat disparagingly to describe anti-war activists or pacifists. The term gained popularity during the Vietnam War era to describe protesters who opposed military action. Peaceniks typically support non-violent conflict resolution, disarmament, and diplomatic solutions to international disputes. While sometimes used mockingly, many peaceniks have played important roles in social movements and peace advocacy. The term reflects tensions between those who support military action and those who prefer peaceful alternatives to conflict.",/ˈpisˌnɪk/,/ˈpisˌnɪk/,"Combination of ""peace"" + ""-nik"" suffix (from Yiddish/Slavic languages) meaning a person associated with or advocating for something.","PEACENIK = PEACE + NIK. Think of a person who is a ""nik"" (advocate) for ""peace"" - someone who opposes war.",The former soldier became a _____ after experiencing the horrors of combat firsthand.,0.8,4.0,1.0,3.5,,False,Claude
