word,definition,example_sentence,source_difficulty,difficulty_level,difficulty_name,ai_difficulty_level,ai_difficulty_name,phonetic_transparency_score,word_frequency_score,morphology_score,etymology_score,difficulty_calculation_method,part_of_speech,pronunciation_guide,etymology,etymology_source,memory_tips,alternate_spellings,language_origin,definition_source,source_names,source_difficulties,frequency,original_source,source_access_date
piloncillo,"An unrefined brown sugar commonly used in Mexican and Latin American cooking, formed into cone or cylindrical shapes; also called panela.",The traditional recipe called for _____ to sweeten the mole sauce.,One Bee,,,,,4.0,4.0,1.0,3.3,4-factor weighted model (overall_score: 3.11),noun,pee-lon-SEE-yoh (emphasis on third syllable),"From Spanish ""piloncillo"", diminutive of ""pilón"" meaning ""cone""",Claude,"Think ""pile-on-see-yo"" - pile on this sweet cone you can see","panela, brown sugar cone",Spanish,Claude,Scripps National Spelling Bee,One Bee; Three Bee; Two Bee,4.0,"Scripps National Spelling Bee Words of the Champions (2020, 2021, 2022, 2023, 2024, 2025)",2025-08-19
pilosity,"The state or condition of being hairy or covered with soft hair; hairiness, especially abnormal or excessive hair growth.",The patient showed signs of _____ as a side effect of the medication.,Three Bee,,,,,2.0,4.0,1.0,2.3,4-factor weighted model (overall_score: 2.31),noun,py-LOS-uh-tee (emphasis on second syllable),"From Latin ""pilosus"" meaning ""hairy"" + ""-ity"" suffix",Claude,"Think ""pilot-city"" - a city where all the pilots are very hairy","hairiness, hirsutism",Latin,Claude,Scripps National Spelling Bee,Three Bee; Two Bee,4.0,"Scripps National Spelling Bee Words of the Champions (2022, 2023, 2024, 2025)",2025-08-19
pilotage,The act of piloting a ship or aircraft; navigation services provided by a pilot; the fee paid for piloting services.,The harbor required experienced _____ to safely guide large vessels through the narrow channel.,Three Bee,,,,,2.0,4.0,2.0,2.3,4-factor weighted model (overall_score: 2.56),noun,PY-luh-tij (emphasis on first syllable),"From French ""pilotage"", from ""pilote"" meaning ""pilot""",Claude,"Think ""pilot-age"" - the age when you learn to pilot","navigation, piloting",French,Claude,Scripps National Spelling Bee,Three Bee; Two Bee,4.0,"Scripps National Spelling Bee Words of the Champions (2022, 2023, 2024, 2025)",2025-08-19
piminy,"Affectedly proper, prim, or precise in speech and manner; overly formal or delicate in behavior.",Her _____ manner of speaking made her seem uptight and formal.,Three Bee,,,,,1.0,3.0,1.0,4.0,4-factor weighted model (overall_score: 2.10),adjective,PIM-uh-nee (emphasis on first syllable),"Possibly from ""prim"" + ""mini"", suggesting small or delicate primness",Claude,"Think ""prim-mini"" - so prim and proper in a mini way","prim, proper, affected",English (possibly compound),Claude,Scripps National Spelling Bee,Three Bee; Two Bee,3.0,"Scripps National Spelling Bee Words of the Champions (2023, 2024, 2025)",2025-08-19
pineapple,"A large tropical fruit with a tough, spiky exterior and sweet, juicy flesh; the plant that produces this fruit.",The sweet _____ was the perfect addition to the tropical fruit salad.,Two Bee,,,,,2.0,4.0,1.0,4.0,4-factor weighted model (overall_score: 2.65),noun,PY-nap-uhl (emphasis on first syllable),"From ""pine"" (for its appearance) + ""apple"" (for its fruit nature)",Claude,"Think ""pine-apple"" - looks like a pine cone but tastes like fruit",,English,Claude,Scripps National Spelling Bee,Two Bee,4.0,Scripps National Spelling Bee Words of the Champions (2022),2025-08-19
pinetum,A botanical garden or arboretum dedicated to growing different species of pine and coniferous trees.,The university's _____ contained over 200 species of coniferous trees.,One Bee,,,,,2.0,3.0,1.0,2.3,4-factor weighted model (overall_score: 2.06),noun,py-NEE-tum (emphasis on second syllable),"From Latin ""pinetum"", from ""pinus"" meaning ""pine tree""",Claude,"Think ""pine-tum"" - your tummy feels good walking through pine trees",conifer garden,Latin,Claude,Scripps National Spelling Bee,One Bee,3.0,"Scripps National Spelling Bee Words of the Champions (2020, 2021)",2025-08-19
pinioned,Having wings or arms bound; restrained by binding the wings or arms; confined or restricted in movement.,The bird was _____ and could not fly away from its captors.,One Bee,,,,,1.0,4.0,2.0,2.3,4-factor weighted model (overall_score: 2.26),"adjective, verb (past tense)",PIN-yuhnd (emphasis on first syllable),"From ""pinion"" meaning ""wing tip"" or ""to bind"", from Latin ""penna"" meaning ""feather""",Claude,"Think ""pin-yawned"" - pinned down so tightly you yawned from boredom","bound, restrained",Latin,Claude,Scripps National Spelling Bee,One Bee,4.0,"Scripps National Spelling Bee Words of the Champions (2020, 2021)",2025-08-19
pink,"A pale red color; a flowering plant with fragrant, often pink flowers; in perfect condition.",She wore a beautiful _____ dress to the garden party.,Three Bee,,,,,1.0,1.0,1.0,4.0,4-factor weighted model (overall_score: 1.60),"noun, adjective, verb",PINGK (emphasis on syllable),"From Dutch ""pinck"" meaning ""small"" or from the flower name",Claude,"Think ""p-ink"" - pink ink used for writing",rose-colored,Dutch,Claude,Scripps National Spelling Bee,Three Bee,1.0,Scripps National Spelling Bee Words of the Champions (2024),2025-08-19
pinkerton,"A detective or private investigator, especially one employed by the Pinkerton Detective Agency; relating to private security services.",The company hired a _____ to investigate the theft of industrial secrets.,One Bee,,,,,2.0,4.0,1.0,4.0,4-factor weighted model (overall_score: 2.65),noun,PING-kur-tuhn (emphasis on first syllable),"From Allan Pinkerton, founder of the Pinkerton Detective Agency in 1850",Claude,"Think ""pink-erton"" - a pink detective who turns criminals",private detective,American English (proper name),Claude,Scripps National Spelling Bee,One Bee; Two Bee,4.0,"Scripps National Spelling Bee Words of the Champions (2020, 2021, 2022, 2023)",2025-08-19
pinnacle,"The highest point or peak of something; the most successful point of a career or achievement; a tall, pointed rock formation.",Winning the championship was the _____ of her athletic career.,One Bee,,,,,4.0,4.0,1.0,2.3,4-factor weighted model (overall_score: 2.91),noun,PIN-uh-kuhl (emphasis on first syllable),"From Latin ""pinnaculum"", diminutive of ""pinna"" meaning ""feather, wing""",Claude,"Think ""pin-a-call"" - pin a call to the highest point","peak, summit, apex",Latin,Claude,Scripps National Spelling Bee,One Bee; Three Bee; Two Bee,4.0,"Scripps National Spelling Bee Words of the Champions (2020, 2021, 2022, 2023, 2024, 2025)",2025-08-19
pinnate,"Having leaflets arranged on either side of a common stem, resembling a feather; feather-like in structure.",The _____ leaves of the ash tree create beautiful symmetrical patterns.,Three Bee,,,,,2.0,3.0,1.0,2.3,4-factor weighted model (overall_score: 2.06),adjective,PIN-ayt (emphasis on first syllable),"From Latin ""pinnatus"" meaning ""feathered"", from ""pinna"" meaning ""feather""",Claude,"Think ""pin-ate"" - leaves arranged like pins that ate the stem",feather-like,Latin,Claude,Scripps National Spelling Bee,Three Bee,3.0,"Scripps National Spelling Bee Words of the Champions (2024, 2025)",2025-08-19
pinniped,"A carnivorous marine mammal with flippers, including seals, sea lions, and walruses.",The _____ used its powerful flippers to navigate through the icy waters.,One Bee,,,,,1.0,4.0,2.0,2.3,4-factor weighted model (overall_score: 2.26),noun,PIN-uh-ped (emphasis on first syllable),"From Latin ""pinna"" meaning ""fin"" + ""pes"" meaning ""foot""",Claude,"Think ""pin-uh-ped"" - animals with fins for feet",seal-like mammal,Latin,Claude,Scripps National Spelling Bee,One Bee; Three Bee; Two Bee,4.0,"Scripps National Spelling Bee Words of the Champions (2020, 2021, 2022, 2023, 2024, 2025)",2025-08-19
pinpoint,To locate or identify precisely; extremely small or precise; a very small point or area.,The detective was able to _____ the exact time of the crime.,One Bee,,,,,2.0,4.0,1.0,4.0,4-factor weighted model (overall_score: 2.65),"verb, adjective, noun",PIN-point (emphasis on first syllable),"From ""pin"" + ""point"", referring to the sharp tip of a pin",Claude,"Think ""pin-point"" - as precise as the point of a pin",identify precisely,English,Claude,Scripps National Spelling Bee,One Bee,4.0,Scripps National Spelling Bee Words of the Champions (2021),2025-08-19
pinyin,"The official romanization system for Standard Chinese, using Latin letters to represent Chinese pronunciation.",Students learning Mandarin often start with _____ before learning Chinese characters.,Three Bee,,,,,1.0,3.0,1.0,4.0,4-factor weighted model (overall_score: 2.10),noun,PIN-yin (emphasis on first syllable),"From Chinese ""pinyin"" meaning ""spelled sound""",Claude,"Think ""pin-yin"" - pinning down the yin (sound) of Chinese words",Chinese romanization,Chinese,Claude,Scripps National Spelling Bee,Three Bee,3.0,Scripps National Spelling Bee Words of the Champions (2024),2025-08-19
pinyondysfunctional,"[COMBINED WORD ERROR] This appears to be two words incorrectly joined: ""pinyon"" (type of pine tree) + ""dysfunctional"" (not working properly).",[ERROR - This combined word should not appear in spelling bee materials],Three Bee,,,,,4.0,4.0,2.0,4.0,4-factor weighted model (overall_score: 3.50),error - combined words,[PRONUNCIATION ERROR - COMBINED WORDS],[ETYMOLOGY ERROR - COMBINED WORDS],Claude,"This is a data error - should be separated into ""pinyon"" and ""dysfunctional""",pinyon + dysfunctional (separate words),ERROR - combined words,Claude,Scripps National Spelling Bee,Three Bee,4.0,Scripps National Spelling Bee Words of the Champions (2025),2025-08-19
pioneered,Developed or introduced something new; led the way in exploring or developing new areas of knowledge or activity.,She _____ the use of computer technology in medical diagnosis.,Two Bee,,,,,1.0,4.0,2.0,2.3,4-factor weighted model (overall_score: 2.26),verb (past tense),py-uh-NEERD (emphasis on third syllable),"From ""pioneer"", from French ""pionnier"" meaning ""foot soldier, digger""",Claude,"Think ""pie-on-eared"" - pioneers who had pie on their ears from hard work","developed, initiated",French,Claude,Scripps National Spelling Bee,Two Bee,4.0,Scripps National Spelling Bee Words of the Champions (2023),2025-08-19
pious,Devoutly religious; showing reverence for religious beliefs; earnestly compliant in the observance of religion.,The _____ monk spent hours each day in prayer and meditation.,One Bee,,,,,1.0,3.0,1.0,2.3,4-factor weighted model (overall_score: 1.76),adjective,PY-us (emphasis on first syllable),"From Latin ""pius"" meaning ""dutiful, devout""",Claude,"Think ""pie-us"" - sharing pie with us in a religious way","devout, religious",Latin,Claude,Scripps National Spelling Bee,One Bee; Three Bee; Two Bee,3.0,"Scripps National Spelling Bee Words of the Champions (2021, 2022, 2023, 2024)",2025-08-19
