word,definition,pronunciation,etymology,memory_tip,example_sentence,etymology_source,definition_source,example_sentence_source,audio_source,difficulty_level,phonetic_score,frequency_score,morphology_score,etymology_score,combined_word_error
bantamapprentice,ERROR: Combined word - should be separate words,,,,,,,,,N/A,0.0,0.0,0.0,0.0,True
bantlings,Young children; infants or small creatures,/ˈbæntlɪŋz/,"From Middle English bantling, possibly from German bänkling 'bastard', or from ban 'to curse' + -ling suffix","BANTLINGS: Babies And Newborns - Tiny Little Infants, Natural Growing offspring, Small children",The nursery was filled with the cheerful sounds of _____ at play.,Claude,Claude,Claude,,Intermediate,1.0,4.0,1.0,3.5,False
baptismal,"Relating to baptism, the Christian sacrament of initiation",/bæpˈtɪzməl/,"From Latin baptisma meaning 'baptism', from Greek baptisma 'immersion', from baptein 'to dip, immerse'","BAPTISMAL: Blessed And Pure - The Important Spiritual Moment celebrating faith, Angels witness the ceremony, Life-changing sacrament",The family gathered around the _____ font for the baby's christening ceremony.,Claude,Claude,Claude,,Intermediate,1.0,4.0,1.3,2.0,False
barber,"A person who cuts and styles hair, especially men's hair",/ˈbɑrbər/,"From Old French barbier, from Latin barba meaning 'beard'","BARBER: Beard And hair cutter - Really Better with razors, Everyone's hair specialist, Reliable professional",The skilled _____ gave him a precise haircut and traditional straight-razor shave.,Claude,Claude,Claude,,Intermediate,1.0,3.0,1.3,3.5,False
barbie,Australian slang for barbecue; a popular doll brand name,/ˈbɑrbi/,"Shortened form of barbecue, from Spanish barbacoa meaning 'framework of sticks'","BARBIE: Beautiful Australian - Really fun BBQ cooking, Informal Entertaining gatherings",The family hosted a weekend _____ in their backyard with grilled seafood.,Claude,Claude,Claude,,Beginner,1.5,3.0,1.0,2.0,False
bardolatry,Excessive worship or admiration of William Shakespeare (the Bard),/bɑrˈdɑlətri/,"From bard (Shakespeare) + Greek latreia meaning 'worship', coined by George Bernard Shaw","BARDOLATRY: Bard Adoration - Obsessive Love And Total Reverence for Shakespeare, Amazing Talented writer Revered, Yes excessive devotion",The literary critic accused scholars of _____ instead of objective analysis of Shakespeare's works.,Claude,Claude,Claude,,Intermediate,1.0,4.0,1.3,2.0,False
barefoot,With nothing on the feet; without shoes or socks,/ˈbɛrˌfʊt/,"From Middle English bare + foot, referring to uncovered feet","BAREFOOT: Basic And - Really Easy, Feet touch ground naturally, Outdoor walking naturally",The children ran _____ through the soft grass in the summer meadow.,Claude,Claude,Claude,,Intermediate,1.5,3.0,1.0,3.5,False
barely,Scarcely; only just; almost not,/ˈbɛrli/,"From bare + -ly, meaning 'in a bare manner, just'","BARELY: Basic Amount - Really Everyone has Little of something, very minimal quantity, Yet somehow sufficient",She _____ had enough money to buy groceries for the week.,Claude,Claude,Claude,,Intermediate,1.0,3.0,1.3,3.0,False
bargain,An agreement between parties; something offered at a low price,/ˈbɑrɡɪn/,"From Old French bargaignier meaning 'to haggle', possibly from Germanic origin","BARGAIN: Beautiful Agreement - Really Good deal And Investment, Nice purchase opportunity",The antique furniture was such a _____ that she bought the entire set.,Claude,Claude,Claude,,Intermediate,1.5,3.0,1.0,3.5,False
bariatrics,The medical specialty dealing with the treatment of obesity,/ˌbɛriˈætrɪks/,From Greek baros meaning 'weight' + iatros meaning 'physician' + -ics suffix,"BARIATRICS: Body And - Really Important professional medical specialty, Addressing The weight Reduction, Intensive medical Care, Special surgical procedures",The hospital opened a new _____ center to help patients with weight-related health issues.,Claude,Claude,Claude,,Intermediate,1.0,4.0,2.0,2.0,False
barista,"A person who prepares and serves coffee drinks, especially espresso-based beverages",/bəˈristə/,"From Italian barista meaning 'bartender', from bar + -ista suffix","BARISTA: Best And - Really Intelligent coffee Specialist, Talented Artist making drinks",The skilled _____ created beautiful latte art in the foam of my cappuccino.,Claude,Claude,Claude,,Beginner,2.0,3.0,1.0,2.0,False
barked,Past tense of bark; made a sharp sound like a dog; spoke harshly,/bɑrkt/,"From Old English beorcan meaning 'to bark', of imitative origin","BARKED: Boisterous Animal - Really Keen on making noise, Everyone Definitely heard the sound",The sergeant _____ orders at the new recruits during morning drill.,Claude,Claude,Claude,,Intermediate,1.0,3.0,1.3,3.5,False
barnumesque,"Characterized by exaggerated showmanship and publicity, like P.T. Barnum",/ˌbɑrnəmˈɛsk/,From P.T. Barnum (famous circus showman) + -esque suffix meaning 'in the style of',"BARNUMESQUE: Big And - Really Noticeable, Utterly Magnificent spectacle, Entertainment Spectacular Quality, Upbeat circus-style Entertainment",The politician's _____ campaign rallies featured elaborate staging and dramatic speeches.,Claude,Claude,Claude,,Intermediate,2.7,4.0,1.0,3.0,False
barograph,An instrument that records atmospheric pressure changes over time,/ˈbɛrəˌɡræf/,"From Greek baros meaning 'weight, pressure' + graphein meaning 'to write'","BAROGRAPH: Barometric And - Recording pressure Observations, Graph Reveals weather patterns, Atmospheric Pressure History",The meteorologist consulted the _____ to track pressure changes before the storm.,Claude,Claude,Claude,,Beginner,1.0,4.0,1.0,2.0,False
baronetcy,The rank or dignity of a baronet; a hereditary title below a baron,/ˈbærənətsi/,From baronet (diminutive of baron) + -cy suffix indicating rank or status,"BARONETCY: British Aristocratic - Really Old Noble title, Estate status, Typical heritage Class, high social status, Year-after-year inheritance",The family's _____ had been passed down through seven generations.,Claude,Claude,Claude,,Intermediate,1.0,4.0,1.3,3.0,False
baroque,An elaborate artistic style of the 17th-18th centuries; highly ornate,/bəˈroʊk/,"From French baroque, from Portuguese barroco meaning 'irregular pearl'","BAROQUE: Beautiful Art - Really Ornate, Quite elaborate decorative style, Unique period Extravagant artwork",The _____ cathedral featured intricate carvings and elaborate gold decorations.,Claude,Claude,Claude,,Intermediate,2.5,3.0,1.0,2.0,False
barracks,Buildings used to house soldiers; military quarters,/ˈbærəks/,"From French baraque meaning 'hut', from Italian baracca or Spanish barraca","BARRACKS: Basic Army - Really Austere military Residential housing, All Soldiers' Community space, lots of soldiers Kept in Same buildings",The new recruits were assigned to _____ near the training grounds.,Claude,Claude,Claude,,Beginner,1.0,3.0,1.0,2.0,False
barrels,Plural of barrel; cylindrical containers for storing liquids,/ˈbærəlz/,"From Old French baril, possibly from Gaulish origin","BARRELS: Big And - Round, Reliable containers Excellent for Liquids, Large Storage vessels",The wine cellar contained hundreds of oak _____ aging vintages from different years.,Claude,Claude,Claude,,Intermediate,1.0,3.0,1.0,3.5,False
