"word","definition","part_of_speech","pronunciation_guide","etymology","language_origins","definition_source","pronunciation_source","etymology_source","example_sentence","example_sentence_source","memory_tip","memory_tip_source","difficulty_phonetic","difficulty_semantic","difficulty_morphological","difficulty_etymological","difficulty","years","source_files","source_difficulties","combined_words_detected","incomplete_word_detected","parsing_errors"
"fabric","Fabric is a material made by weaving, knitting, crocheting, or bonding fibers together to create a flexible sheet or textile. Fabrics can be made from natural fibers such as cotton, wool, silk, or linen, or from synthetic materials like polyester, nylon, or rayon. The term can also refer metaphorically to the fundamental structure or framework of something, such as ""the fabric of society."" In construction, fabric can describe the physical structure of a building. The word encompasses both the material itself and the process of its creation, representing one of humanity's most important technological achievements.","noun","FAB-rik","From Latin ""fabrica,"" meaning ""workshop"" or ""trade,"" derived from ""faber"" meaning ""craftsman"" or ""smith."" Originally referred to the place where things were made.","Latin","Claude","Claude","Claude","The quilter carefully selected a soft cotton _______ with tiny floral patterns for the baby blanket.","Claude","Remember ""FAB-ric"" - think of FABulous craftsmen creating RIch textiles in their workshops.","Claude","1","4","1","3","","2022; 2024","2022 Words of the Champions_low_ink_printable.pdf; 2024 Words of the Champions.pdf","Three Bee; Two Bee","False","False",""
"fabulist","A fabulist is a person who creates, tells, or collects fables, which are short stories that typically feature animals or inanimate objects as characters and convey moral lessons. Fabulists craft narratives that use allegory and symbolism to teach ethical principles or life lessons in an engaging, memorable way. The term can also refer to someone who tells elaborate lies or fabricated stories, though this usage is less common. Famous fabulists include Aesop, whose animal fables have been told for centuries, and Jean de La Fontaine, who adapted and expanded upon classical fables.","noun","FAB-yuh-list","From Latin ""fabula"" meaning ""story"" or ""tale,"" combined with the suffix ""-ist"" meaning ""one who practices."" Related to ""fable.""","Latin","Claude","Claude","Claude","The renowned _______ spent years collecting folk tales from different cultures to create a comprehensive book of moral stories.","Claude","Remember ""FABU-list"" - someone who makes a LIST of FABUlous fables and stories.","Claude","1","4","1","3","","2020; 2021; 2022; 2023; 2024","2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf","One Bee; Three Bee; Two Bee","False","False",""
"facade","A facade is the front face or exterior wall of a building, especially the principal front face that serves as the main architectural feature. In a broader sense, facade refers to any superficial appearance or false front that conceals the true nature of something underneath. When used metaphorically, it describes a deceptive outward appearance that masks reality, such as maintaining a facade of happiness while feeling sad inside. Architectural facades are often designed to be decorative and impressive, representing the building's most important visual element to the public.","noun","fuh-SAHD","From French ""façade,"" ultimately from Italian ""facciata,"" meaning ""face of a building,"" derived from Latin ""facies"" meaning ""face.""","French, Italian, Latin","Claude","Claude","Claude","Behind the cheerful _______ she presented at work, Sarah was struggling with personal difficulties.","Claude","Remember ""fa-CADE"" - think of the FACE of a building, or someone putting on a fake FACE to hide their true feelings.","Claude","1","4","1","3","","2020; 2022; 2023; 2024; 2025","2020 Words_of_the_Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf","One Bee; Three Bee; Two Bee","False","False",""
"face","Face refers to the front part of the human head, containing the eyes, nose, mouth, and other features that form a person's distinctive appearance. As a verb, face means to confront, deal with, or turn toward something. The word has numerous idiomatic uses: losing face means losing dignity or respect, while saving face means preserving one's reputation. Face can also refer to the surface of objects, such as the face of a clock or the face of a mountain. In various contexts, it represents confrontation, appearance, or the act of addressing challenges directly.","noun, verb","FAYS","From Old French ""face,"" from Latin ""facies"" meaning ""form,"" ""figure,"" or ""appearance."" Related to ""facere"" meaning ""to make.""","Latin, Old French","Claude","Claude","Claude","She took a deep breath and decided to _______ her fears by signing up for the public speaking class.","Claude","Remember ""FACE"" - we show our FACE when we FACE challenges head-on, confronting them directly.","Claude","1","4","1","3","","2020; 2021; 2022; 2023; 2024; 2025","2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf","One Bee; Three Bee; Two Bee","False","False",""
"facebook","Facebook is a social networking platform and technology company founded by Mark Zuckerberg in 2004. Originally created for college students, it expanded to become one of the world's largest social media platforms, allowing users to connect with friends, share content, and communicate online. The platform enables users to create profiles, post updates, share photos and videos, and interact with content from others in their network. Facebook has fundamentally changed how people communicate and share information globally, though it has also faced scrutiny regarding privacy and misinformation.","proper noun","FAYS-book","Compound word combining ""face"" (referring to a person's appearance or identity) and ""book"" (referring to a directory or record), originally inspired by physical directories of student photos at universities.","English","Claude","Claude","Claude","Many people use _______ to stay connected with family members who live far away.","Claude","Remember ""FACE-book"" - like a book full of people's FACES, connecting them in a social network.","Claude","1","4","1","1","","2020; 2021; 2022; 2023; 2024; 2025","2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf","One Bee; Three Bee; Two Bee","False","False",""
"faced","Faced is the past tense of the verb ""face,"" meaning to have confronted, encountered, or dealt with something directly. When someone has faced a challenge, they have met it head-on rather than avoiding it. The word can also describe physical positioning, such as having turned toward or looked in a particular direction. In construction or manufacturing, faced can refer to having applied a surface layer or covering to something. The term implies direct engagement rather than avoidance or postponement.","verb (past tense)","FAYST","Past tense of ""face,"" from Old French ""face,"" from Latin ""facies."" The past tense ending follows standard English verb conjugation patterns.","Latin, Old French, English","Claude","Claude","Claude","After months of preparation, the team finally _______ their biggest challenge when they presented to the board of directors.","Claude","Remember ""FACED"" - like someone who has FACED their problems with their FACE forward, not running away.","Claude","1","4","1","3","","2025","2025 Words of Champion _1_.pdf","Three Bee","False","False",""
"facetious","Facetious describes someone who treats serious or sensitive matters with inappropriate humor, flippancy, or lack of respect. When someone is being facetious, they are making light of situations that deserve more serious attention, often through sarcasm, jokes, or dismissive comments. This behavior can be annoying or hurtful to others, especially when dealing with important or emotional topics. Facetious remarks are characterized by their inappropriate timing and tendency to minimize the significance of serious matters.","adjective","fuh-SEE-shus","From Latin ""facetiosus,"" meaning ""witty"" or ""humorous,"" derived from ""facetia"" meaning ""jest"" or ""witticism."" Originally had a more positive connotation.","Latin","Claude","Claude","Claude","His _______ comments during the serious discussion about budget cuts showed poor judgment and upset his colleagues.","Claude","Remember ""fa-CEE-tious"" - someone who thinks they're being witty but others CEE them as inappropriate and annoying.","Claude","1","4","2","3","","2025","2025 Words of Champion _1_.pdf","Three Bee","False","False",""
"facile","Facile describes something that is achieved with ease but often lacks depth, substance, or careful consideration. When something is facile, it appears simple on the surface but may be overly simplistic or superficial. The word can describe solutions, explanations, or responses that seem easy but fail to address the complexity of a situation. While facile can sometimes simply mean ""easy to do,"" it often carries a negative connotation, suggesting that something is too easy or lacks the thoroughness required for a proper solution.","adjective","FAS-ahyl","From Latin ""facilis,"" meaning ""easy to do,"" derived from ""facere"" meaning ""to do"" or ""to make."" Related to ""facility"" and ""facilitate.""","Latin","Claude","Claude","Claude","The politician's _______ answers to complex economic questions failed to convince the experienced journalists.","Claude","Remember ""FACILE"" - sounds like ""FACILE"" (easy), but often means TOO easy, lacking depth like a superficial FOSSIL.","Claude","1","4","1","3","","2020; 2021; 2022; 2023; 2024; 2025","2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf","One Bee; Three Bee; Two Bee","False","False",""
"facsimile","A facsimile is an exact copy or reproduction of something, particularly documents, manuscripts, or artworks. The term is most commonly associated with fax machines, which transmit facsimile copies of documents over telephone lines. In broader usage, facsimile refers to any precise reproduction that maintains the appearance and details of the original. Museums often display facsimiles of fragile historical documents to allow public viewing while preserving the originals. The word emphasizes accuracy and fidelity to the source material.","noun","fak-SIM-uh-lee","From Latin ""fac simile,"" literally meaning ""make similar"" or ""make alike."" ""Fac"" is from ""facere"" (to make) and ""simile"" means ""similar.""","Latin","Claude","Claude","Claude","The museum displayed a _______ of the ancient manuscript so visitors could examine the text without damaging the original.","Claude","Remember ""fac-SIMILE"" - FAC (make) it look exactly SIMILAR to the original, an exact copy.","Claude","1","4","1","3","","2020; 2021; 2022; 2023","2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf","One Bee; Two Bee","False","False",""
"fact","A fact is a piece of information that is objectively true and can be verified through observation, measurement, or documentation. Facts are distinguished from opinions, beliefs, or interpretations because they represent reality as it exists, regardless of personal views or feelings. In academic and scientific contexts, facts form the foundation for knowledge, research, and decision-making. Legal proceedings rely heavily on establishing facts to determine truth. The word emphasizes objectivity, verifiability, and the distinction between what is real and what is subjective.","noun","FAKT","From Latin ""factum,"" meaning ""something done"" or ""deed,"" past participle of ""facere"" meaning ""to do"" or ""to make.""","Latin","Claude","Claude","Claude","It is a scientific _______ that water boils at 100 degrees Celsius at standard atmospheric pressure.","Claude","Remember ""FACT"" - something that has been done or made real, not just an opinion but actual truth.","Claude","1","4","1","3","","2020; 2021; 2022; 2023; 2024; 2025","2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf","One Bee; Three Bee; Two Bee","False","False",""
