word,years,source_files,source_difficulties
sinophile,2020; 2021,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf,One Bee
sinuously,2021,2021_Printable_Words of the Champions.pdf,One Bee
sinus,2020,2020 Words_of_the_Champions.pdf,One Bee
sioux,2022,2022 Words of the Champions_low_ink_printable.pdf,Two Bee
sips,2024,2024 Words of the Champions.pdf,Three Bee
sirenian,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee
sirius,2023; 2024; 2025,2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee
sirjana,2025,2025 Words of Champion _1_.pdf,Three Bee
sirloindeodorant,2020,2020 Words_of_the_Champions.pdf,One Bee
sister,2023; 2024; 2025,2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee
sitcom,2022,2022 Words of the Champions_low_ink_printable.pdf,Two Bee
situation,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee
sixth,2024; 2025,2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee
size,2020,2020 Words_of_the_Champions.pdf,One Bee
sized,2024,2024 Words of the Champions.pdf,Three Bee
skaamoogs,2025,2025 Words of Champion _1_.pdf,Three Bee
skateboard,2020,2020 Words_of_the_Champions.pdf,One Bee
skedaddle,2020; 2021; 2022,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf,One Bee; Two Bee
skeltonic,2021; 2022; 2023; 2024; 2025,2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee
skeptical,2025,2025 Words of Champion _1_.pdf,Three Bee
skerrick,2023; 2024,2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf,Three Bee; Two Bee
skerricksmriti,2025,2025 Words of Champion _1_.pdf,Three Bee
sketch,2024,2024 Words of the Champions.pdf,Three Bee
skeuomorph,2020; 2021; 2022; 2023,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf,One Bee; Two Bee
skidded,2023,2023_Words_of_the_Champions.pdf,Two Bee
skiff,2025,2025 Words of Champion _1_.pdf,Three Bee
skiing,2022,2022 Words of the Champions_low_ink_printable.pdf,Two Bee
skimmed,2023; 2024; 2025,2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee
skin,2021,2021_Printable_Words of the Champions.pdf,One Bee
skip,2025,2025 Words of Champion _1_.pdf,Three Bee
skipped,2023,2023_Words_of_the_Champions.pdf,Two Bee
skirmish,2021; 2022; 2023; 2024; 2025,2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee
skydiving,2021; 2022; 2023; 2024; 2025,2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee
slab,2023; 2024; 2025,2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee
slabs,2024,2024 Words of the Champions.pdf,Three Bee
slakes,2024,2024 Words of the Champions.pdf,Three Bee
slalom,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee
slang,2025,2025 Words of Champion _1_.pdf,Three Bee
slate,2021,2021_Printable_Words of the Champions.pdf,One Bee
slather,2023,2023_Words_of_the_Champions.pdf,Two Bee
sleek,2021,2021_Printable_Words of the Champions.pdf,One Bee
sleepy,2021,2021_Printable_Words of the Champions.pdf,One Bee
slender,2025,2025 Words of Champion _1_.pdf,Three Bee
sliced,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee
slide,2022,2022 Words of the Champions_low_ink_printable.pdf,Two Bee
slimy,2021,2021_Printable_Words of the Champions.pdf,One Bee
slippery,2023,2023_Words_of_the_Champions.pdf,Two Bee
slipshod,2020,2020 Words_of_the_Champions.pdf,One Bee
slither,2021,2021_Printable_Words of the Champions.pdf,One Bee
slivers,2023,2023_Words_of_the_Champions.pdf,Two Bee
