word,definition,pronunciation,pronunciation_respelling,etymology,etymology_source,memory_tip,example_sentence,example_sentence_source,years,source_files,source_difficulties,definition_source,pronunciation_source,phonetic_transparency_score,word_frequency_score,morphological_complexity_score,etymology_complexity_score,total_difficulty_score,assigned_difficulty,audio_file_path,created_at,updated_at,notes,review_status,batch_number
protectorate,A state that is controlled and protected by another more powerful state; a territory or jurisdiction under the protection and partial control of a stronger nation. Protectorates maintain some degree of internal autonomy while relying on the protecting power for defense and foreign relations. This relationship has been common throughout history as a form of political arrangement between unequal powers.,/prəˈtɛktərət/,pruh-TEK-tur-ut,"From ""protector"" + suffix ""-ate,"" from Latin ""protegere"" meaning ""to cover in front"" or ""to protect.""",Claude,"Think ""protect"" + ""orate"" (like senate) = a protected state or territory.",The small island nation became a ___ of the larger maritime power for security.,Claude,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,Claude,Claude,6,8,5,4,23,,,2025-01-01,2025-01-01,Batch 141 processing,pending,141
proteron,"A figure of speech in which the natural or logical order of words or ideas is reversed; putting first what should logically come second. In rhetoric and grammar, proteron refers to a reversal of chronological or logical sequence, often used for emphasis or stylistic effect in literature and speech.",/ˈproʊtərɒn/,PROH-tur-on,"From Greek ""proteron,"" meaning ""former"" or ""earlier,"" from ""protos"" (first).",Claude,"Think ""proto"" (first) + ""ron"" = putting the first thing in the wrong place.","The phrase ""put on your shoes and socks"" is an example of ___.",Claude,2022; 2023; 2024; 2025,2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee,Claude,Claude,6,8,3,4,21,,,2025-01-01,2025-01-01,Batch 141 processing,pending,141
protruding,"Present participle of protrude; sticking out beyond the surrounding surface; extending outward in a noticeable way. Something that is protruding projects beyond the normal boundary or edge, making it conspicuous or potentially problematic for movement or aesthetics.",/prəˈtruːdɪŋ/,pruh-TROO-ding,"From Latin ""protrudere,"" meaning ""to thrust forward,"" from ""pro"" (forward) + ""trudere"" (to thrust).",Claude,"Think ""pro"" (forward) + ""truding"" (thrusting) = thrusting forward/sticking out.",The ___ nail in the floorboard caught everyone's attention.,Claude,2021,2021_Printable_Words of the Champions.pdf,One Bee,Claude,Claude,6,8,5,4,23,,,2025-01-01,2025-01-01,Batch 141 processing,pending,141
protuberant,Bulging out; swelling beyond the surrounding surface; prominently protruding. This term is often used in medical contexts to describe abnormal swellings or in general description to indicate something that extends noticeably beyond its normal boundaries or the surrounding area.,/prəˈtuːbərənt/,pruh-TOO-bur-unt,"From Latin ""protuberans,"" from ""protuberare"" meaning ""to swell out,"" from ""pro"" (forth) + ""tuber"" (swelling).",Claude,"Think ""pro"" (forth) + ""tuberant"" (tube-like swelling) = swelling forth.",The doctor examined the patient's ___ abdomen for signs of illness.,Claude,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,Claude,Claude,6,8,4,4,22,,,2025-01-01,2025-01-01,Batch 141 processing,pending,141
proud,Feeling deep satisfaction derived from one's own achievements or those of someone close; having self-respect and dignity; showing a high or excessively high opinion of oneself. Pride can be a positive emotion reflecting legitimate accomplishment or a negative trait when it becomes arrogance or vanity.,/praʊd/,PROWD,"From Old English ""prūd,"" from Old French ""prou,"" meaning ""brave"" or ""valiant.""",Claude,"Think of standing tall with satisfaction - ""proud"" sounds strong and confident.",The parents felt ___ watching their daughter graduate with honors.,Claude,2020; 2025,2020 Words_of_the_Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee,Claude,Claude,6,2,2,6,16,,,2025-01-01,2025-01-01,Batch 141 processing,pending,141
provenance,"The chronology of ownership, custody, or location of an artwork or artifact; the origin or source of something. In art and antiquities, provenance establishes authenticity and legal ownership. More broadly, it refers to the history or origin of anything, particularly when establishing credibility or value.",/ˈprɒvənəns/,PRAH-vuh-nuns,"From French ""provenance,"" from ""provenir"" meaning ""to come forth,"" from Latin ""provenire.""",Claude,"Think ""prove"" + ""nance"" = proving where something comes from.",The museum carefully documented the ___ of each artifact in its collection.,Claude,2022; 2023; 2024; 2025,2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee,Claude,Claude,6,8,4,6,24,,,2025-01-01,2025-01-01,Batch 141 processing,pending,141
proverb,"A short saying that expresses a general truth or piece of advice; a traditional maxim or adage passed down through generations. Proverbs distill wisdom into memorable phrases that convey cultural values, practical knowledge, or moral guidance through metaphor and concise language.",/ˈprɒvɜːrb/,PRAH-vurb,"From Old French ""proverbe,"" from Latin ""proverbium,"" from ""pro"" (forth) + ""verbum"" (word).",Claude,"Think ""pro"" (forth) + ""verb"" (word) = words spoken forth as wisdom.","The ancient ___ ""A stitch in time saves nine"" teaches the value of preventive action.",Claude,2021,2021_Printable_Words of the Champions.pdf,One Bee,Claude,Claude,6,8,3,6,23,,,2025-01-01,2025-01-01,Batch 141 processing,pending,141
proviant,"Provisions or supplies, especially food for a journey or military campaign; victuals or sustenance carried for future use. This term, while less common in modern English, refers to the essential supplies needed to sustain people during travel or in situations where regular food sources are unavailable.",/ˈproʊviənt/,PROH-vee-unt,"From German ""Proviant,"" from French ""provende,"" ultimately from Latin ""providere"" (to provide).",Claude,"Think ""provide"" + ""ant"" (like servant) = something that provides sustenance.",The expedition team carefully calculated their ___ needs for the month-long journey.,Claude,2024; 2025,2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee,Claude,Claude,6,8,3,6,23,,,2025-01-01,2025-01-01,Batch 141 processing,pending,141
provide,"To make available for use; to supply or furnish something needed; to prepare for future use or application; to stipulate as a condition. Providing involves anticipating needs and ensuring that necessary resources, information, or support are accessible when required.",/prəˈvaɪd/,pruh-VYD,"From Latin ""providere,"" meaning ""to foresee"" or ""to prepare,"" from ""pro"" (before) + ""videre"" (to see).",Claude,"Think ""pro"" (before) + ""vide"" (see) = seeing beforehand to supply what's needed.",The school will ___ all necessary textbooks for the new semester.,Claude,2024,2024 Words of the Champions.pdf,Three Bee,Claude,Claude,6,2,3,4,15,,,2025-01-01,2025-01-01,Batch 141 processing,pending,141
provincial,Relating to a province or the regions outside the capital; having a narrow or unsophisticated outlook; characteristic of rural or outlying areas. Provincial can describe both geographic regions and attitudes that are considered limited in scope or parochial in perspective compared to metropolitan standards.,/prəˈvɪnʃəl/,pruh-VIN-shul,"From Latin ""provincialis,"" from ""provincia"" meaning ""administrative district"" or ""sphere of duty.""",Claude,"Think ""province"" + ""ial"" = relating to provinces/rural areas.",The cosmopolitan writer sometimes felt constrained by her ___ upbringing.,Claude,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,Claude,Claude,6,5,4,4,19,,,2025-01-01,2025-01-01,Batch 141 processing,pending,141
