word,definition,pronunciation,pronunciation_respelling,etymology,etymology_source,memory_tip,example_sentence,example_sentence_source,years,source_files,source_difficulties,definition_source,pronunciation_source,phonetic_transparency_score,word_frequency_score,morphological_complexity_score,etymology_complexity_score,total_difficulty_score,assigned_difficulty,audio_file_path,created_at,updated_at,notes,review_status,batch_number
quantify,"To express or measure the quantity of something; to determine, express, or measure the amount or number of something. Quantification is essential in science, mathematics, and research for making precise comparisons and drawing meaningful conclusions from data.",/ˈkwɑːntəˌfaɪ/,KWON-tuh-fy,"From Latin ""quantus"" meaning ""how much"" + suffix ""-ify"" (to make).",Claude,"Think ""quantity"" + ""ify"" = to make into measurable quantities.",Scientists worked to ___ the environmental impact of the new industrial process.,Claude,2023; 2024; 2025,2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee,Claude,Claude,4,8,3,4,19,,,2025-01-01,2025-01-01,Batch 143 processing,pending,143
quantifyredemption,"[COMBINED WORD ERROR] This appears to be ""quantify"" + ""redemption"" incorrectly joined. Should be separated into two distinct words: ""quantify"" (to measure) and ""redemption"" (the act of redeeming or saving).",[ERROR - COMBINED WORDS],[ERROR - COMBINED WORDS],"[ERROR - COMBINED WORDS] This combines ""quantify"" (Latin: how much) with ""redemption"" (Latin: buying back).",Claude,"[ERROR] This should be split into ""quantify"" (measure) and ""redemption"" (saving).","[ERROR] This combined word should be corrected to separate ""quantify"" and ""redemption.""",Claude,2022,2022 Words of the Champions_low_ink_printable.pdf,Two Bee,Claude,Claude,4,8,7,4,23,,,2025-01-01,2025-01-01,Batch 143 processing,pending,143
quaoar,"A large object in the Kuiper Belt beyond Neptune, classified as a dwarf planet candidate; discovered in 2002 and named after a creation deity of the Tongva people. Quaoar is one of the largest known objects in the outer solar system and provides insights into planetary formation.",/ˈkwɑːwɑːr/,KWAH-war,"Named after Quaoar, the creation deity in Tongva mythology.",Claude,"Think ""qua"" (water) + ""oar"" = distant icy object you'd need an oar to reach.",Astronomers studied ___ to learn about the formation of our solar system.,Claude,2022; 2023; 2024; 2025,2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee,Claude,Claude,4,8,2,3,17,,,2025-01-01,2025-01-01,Batch 143 processing,pending,143
quarantine,"A period of isolation imposed on people, animals, or things that may have been exposed to a contagious disease; to isolate in such a manner. Quarantine prevents the spread of disease by restricting movement until it's determined whether infection has occurred.",/ˈkwɔːrəntiːn/,KWOR-un-teen,"From Italian ""quaranta"" meaning ""forty,"" referring to the 40-day isolation period.",Claude,"Think ""quaranta"" (forty) + ""ine"" = forty days of isolation.",Travelers had to ___ for two weeks before entering the country.,Claude,2020; 2021,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf,One Bee,Claude,Claude,4,2,4,4,14,,,2025-01-01,2025-01-01,Batch 143 processing,pending,143
quarry,"An open excavation from which stone, sand, or minerals are extracted; the object of a hunt or pursuit; to extract from a quarry. Quarries provide essential building materials while quarry as prey refers to something being hunted or pursued.",/ˈkwɛri/,KWER-ee,"From Old French ""quarriere,"" from Latin ""quadraria"" (place where stones are squared).",Claude,"Think ""square"" stones extracted from a ""quarry"" pit.",The limestone ___ provided materials for the cathedral's construction.,Claude,2024,2024 Words of the Champions.pdf,Three Bee,Claude,Claude,2,2,2,6,12,,,2025-01-01,2025-01-01,Batch 143 processing,pending,143
quart,A unit of liquid measure equal to one quarter of a gallon or two pints; a container holding this amount. The quart is commonly used in cooking and for measuring liquids in countries using the imperial measurement system.,/kwɔːrt/,KWORT,"From Old French ""quarte,"" from Latin ""quartus"" meaning ""fourth.""",Claude,"Think ""quarter"" of a gallon = quart.",The recipe called for one ___ of milk and two cups of flour.,Claude,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,Claude,Claude,4,2,2,6,14,,,2025-01-01,2025-01-01,Batch 143 processing,pending,143
quasar,An extremely bright and distant celestial object powered by a supermassive black hole; among the most luminous objects in the universe. Quasars emit enormous amounts of energy and help scientists study the early universe and galaxy formation.,/ˈkweɪzɑːr/,KWAY-zar,"Acronym from ""quasi-stellar radio source,"" coined in the 1960s.",Claude,"Think ""quasi"" (almost) + ""star"" = almost like a star but much brighter.",The ___ was so distant that its light had traveled billions of years to reach Earth.,Claude,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,Claude,Claude,4,8,2,3,17,,,2025-01-01,2025-01-01,Batch 143 processing,pending,143
quasimodo,"The hunchbacked bell-ringer character from Victor Hugo's novel ""The Hunchback of Notre-Dame""; used to describe someone with a hunchback. The character has become an iconic figure in literature representing both physical deformity and inner goodness.",/ˌkwæzɪˈmoʊdoʊ/,kwaz-ih-MOH-doh,"From Latin ""quasi modo,"" meaning ""in the manner of,"" from the opening words of a Latin hymn.",Claude,Think of the famous hunchback character from Notre-Dame cathedral.,The actor's portrayal of ___ brought both pathos and dignity to the character.,Claude,2022,2022 Words of the Champions_low_ink_printable.pdf,Two Bee,Claude,Claude,4,8,4,4,20,,,2025-01-01,2025-01-01,Batch 143 processing,pending,143
quatrains,"Plural of quatrain; stanzas or poems consisting of four lines, often with a specific rhyme scheme. Quatrains are fundamental building blocks of poetry, appearing in sonnets, ballads, and many other verse forms across different cultures and languages.",/ˈkwɑːtreɪnz/,KWAH-traynz,"From French ""quatrain,"" from ""quatre"" meaning ""four.""",Claude,"Think ""quatre"" (four) + ""ains"" = four-line poetry stanzas.",The poem consisted of six ___ with alternating rhyme schemes.,Claude,2022,2022 Words of the Champions_low_ink_printable.pdf,Two Bee,Claude,Claude,4,8,4,4,20,,,2025-01-01,2025-01-01,Batch 143 processing,pending,143
quatrefoil,"A decorative design consisting of four lobes or leaves arranged around a common center; common in Gothic architecture and decorative arts. Quatrefoils appear in windows, stonework, and ornamental designs, symbolizing the four evangelists or the cross.",/ˈkɑːtrəfɔɪl/,KAH-truh-foyl,"From French ""quatre"" (four) + ""feuille"" (leaf).",Claude,"Think ""quatre"" (four) + ""foil"" (leaf) = four-leaf design.",The cathedral window featured an elegant ___ design in stained glass.,Claude,2020,2020 Words_of_the_Champions.pdf,One Bee,Claude,Claude,4,8,4,4,20,,,2025-01-01,2025-01-01,Batch 143 processing,pending,143
