word,definition,part_of_speech,pronunciation_guide,etymology,memory_tips,alternate_spellings,language_origin,example_sentence,years,source_files,source_difficulties,difficulty_phonetic,difficulty_frequency,difficulty_morphological,difficulty_etymology,difficulty_final,etymology_source,definition_source,pronunciation_source,example_sentence_source
container,"A receptacle for holding or storing items; an object designed to enclose, protect, or transport contents. Containers range from simple boxes and jars to complex shipping containers and storage systems. They serve essential functions in packaging, storage, transportation, and organization. Modern containers include standardized shipping containers that revolutionized global trade.",noun,kun-TAY-ner (/kənˈteɪnər/),"From Latin ""continere"" (to hold together) + agent suffix ""-er""","Think ""contain + -er"" - something that contains other things",None,Latin,The shipping _____ traveled from China to the United States loaded with electronics.,2023,2023_Words_of_the_Champions.pdf,Two Bee,1.0,3.0,1.5,3.5,,Claude,Claude,Claude,Claude
contains,"Third person singular present tense of contain; includes or holds within; keeps under control or restrains. When something contains other elements, it encompasses them as components or contents. The term can refer to physical containment (a box contains books) or conceptual inclusion (a theory contains several principles).",verb (third person singular present),kun-TAYNZ (/kənˈteɪnz/),"From Latin ""continere"" (to hold together, restrain)",Think of holding things together inside - what a container does,None,Latin,This vitamin supplement _____ essential nutrients for daily health.,2024; 2025,2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee,1.0,2.5,1.0,3.5,,Claude,Claude,Claude,Claude
contemporary,"Belonging to the same time period; existing or occurring in the present time; modern or current. Contemporary can describe people living at the same time, artistic styles of the current era, or issues relevant to present-day society. The term emphasizes simultaneity and current relevance.","adjective, noun",kun-TEM-puh-rer-ee (/kənˈtɛmpəˌrɛri/),"From Latin ""contemporarius,"" from ""con-"" (together) + ""tempus"" (time)","Think ""con- (together) + tempor (time)"" - existing together in the same time",None,Latin,The museum featured _____ art from living artists around the world.,2025,2025 Words of Champion _1_.pdf,Three Bee,1.0,3.5,2.0,3.5,,Claude,Claude,Claude,Claude
contemptible,"Deserving contempt or scorn; morally reprehensible or despicable. Contemptible actions or people evoke strong disapproval due to their lack of moral worth, dignity, or honor. This judgment implies that something falls below acceptable standards of behavior or character.",adjective,kun-TEMP-tuh-bul (/kənˈtɛmptəbəl/),"From Latin ""contemptibilis,"" from ""contemnere"" (to despise)","Think ""contempt + -ible"" - worthy of contempt or scorn",None,Latin,His _____ behavior toward the homeless showed his lack of compassion.,2024,2024 Words of the Champions.pdf,Three Bee,1.0,3.5,2.0,3.5,,Claude,Claude,Claude,Claude
contemptuous,"Showing or expressing contempt, scorn, or disdain; feeling or displaying superiority and disrespect toward someone or something considered inferior. Contemptuous attitudes involve looking down on others with arrogance, dismissing them as unworthy of respect or consideration.",adjective,kun-TEMP-choo-us (/kənˈtɛmptʃuəs/),"From Latin ""contemptuosus,"" from ""contemnere"" (to despise)","Think ""contempt + -uous"" - full of contempt or scornful feelings",None,Latin,She gave him a _____ look when he suggested the obviously flawed plan.,2020; 2021; 2022; 2023; 2024,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf,One Bee; Three Bee; Two Bee,1.0,3.5,2.0,3.5,,Claude,Claude,Claude,Claude
content,"Satisfied with what one has; not wanting more or different; the subject matter or material contained in something. As a noun, content refers to the information, ideas, or material within books, websites, or other media. As an adjective, it describes a state of peaceful satisfaction.","adjective, noun","kun-TENT (adj.), KON-tent (noun) (/kənˈtɛnt/, /ˈkɒntɛnt/)","From Latin ""contentus,"" meaning ""satisfied, contained""","Think of being satisfied with what is ""contained"" in your life",None,Latin,She was _____ to spend the evening reading rather than going out.,2020; 2025,2020 Words_of_the_Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee,1.0,2.5,1.0,3.5,,Claude,Claude,Claude,Claude
contents,"Plural of content; the things that are contained within something; the subjects or topics covered in a book, document, or other work. Contents can refer to physical items (contents of a box) or abstract elements (contents of a curriculum). Often appears in ""table of contents.""",noun (plural),KON-tents (/ˈkɒntɛnts/),"Plural of Latin ""contentus"" (that which is contained)",Think of multiple things contained inside something,None,Latin,The table of _____ showed that the book had twelve chapters.,2024; 2025,2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee,1.0,2.5,1.0,3.5,,Claude,Claude,Claude,Claude
contessa,An Italian countess; a woman holding the rank of count in her own right or the wife of a count. This aristocratic title represents nobility and high social status in Italian society and other European cultures. The title carries historical significance and social prestige.,noun,kon-TES-uh (/kɒnˈtɛsə/),"Italian, feminine form of ""conte"" (count), from Latin ""comes"" (companion)",Think of Italian nobility - a female count or countess,Countess (English equivalent),Italian,The _____ hosted an elegant dinner party at her Tuscan villa.,2022,2022 Words of the Champions_low_ink_printable.pdf,Two Bee,1.0,2.5,1.0,3.5,,Claude,Claude,Claude,Claude
contested,"Past tense of contest; disputed, challenged, or competed for; questioned or opposed rather than accepted. Contested issues face opposition or debate, while contested elections involve multiple candidates competing. The term implies disagreement, competition, or challenge to established positions.","verb (past tense), adjective",kun-TES-ted (/kənˈtɛstəd/),"From Latin ""contestari"" (to call to witness) + past tense ""-ed""",Think of something that was challenged or competed for in a contest,None,Latin,The election results were _____ by several candidates who demanded recounts.,2025,2025 Words of Champion _1_.pdf,Three Bee,1.0,3.0,1.5,3.5,,Claude,Claude,Claude,Claude
conteur,"A storyteller; someone skilled in narrating tales, especially in an entertaining or captivating manner. This French term emphasizes the artistry of oral storytelling, often used to describe professional entertainers who specialize in narrative performance. Conteurs possess charisma and skill in engaging audiences through voice and gesture.",noun,kon-TUR (/kɒnˈtʊr/),"French, from ""conter"" (to tell, relate), from Latin ""computare""","Think ""conte (tale) + -eur (one who does)"" - one who tells tales",None,French,The village _____ captivated children with magical folk tales every evening.,2025,2025 Words of Champion _1_.pdf,Three Bee,1.0,2.5,1.0,3.5,,Claude,Claude,Claude,Claude
