"word","definition","example_sentence","source_difficulty","difficulty_level","difficulty_name","ai_difficulty_level","ai_difficulty_name","phonetic_transparency_score","word_frequency_score","morphology_score","etymology_score","difficulty_calculation_method","part_of_speech","pronunciation_guide","etymology","etymology_source","memory_tips","alternate_spellings","language_origin","definition_source","source_names","source_difficulties","frequency","original_source","source_access_date"
"syndactylism","A medical condition characterized by the fusion or webbing of fingers or toes; the presence of syndactyly, where digits are joined together by skin, bone, or both.","The surgeon specialized in correcting _____ in newborn patients.","Three Bee","","","","","3.0","3.0","3.0","2.5","4-factor weighted model (overall_score: 2.90)","noun","sin-DAK-tuh-lizm (emphasis on second syllable)","From Greek ""syn"" (together) + ""daktylos"" (finger) + ""-ism"" (condition)","Claude","Think ""syn-dactyl-ism"" - fingers stuck together condition","","Greek","Claude","Scripps National Spelling Bee","Three Bee","3.0","Scripps National Spelling Bee Words of the Champions (2025)","2025-08-19"
"syndactylismt","[POTENTIAL ERROR] This appears to be ""syndactylism"" with an extra ""t"" at the end. This may be a typographical error in the source material.","The word _____ may be a typographical error that needs verification.","Three Bee","","","","","3.0","3.0","2.5","2.5","4-factor weighted model (overall_score: 2.77)","error/variant","sin-DAK-tuh-lizm-t (if pronounced as written)","Possible error of ""syndactylism"" (Greek origin)","Claude","This appears to be a spelling error - check if it should be ""syndactylism""","syndactylism","Greek (with error)","Claude","Scripps National Spelling Bee","Three Bee","3.0","Scripps National Spelling Bee Words of the Champions (2025)","2025-08-19"
"syndicate","A group of individuals or businesses combined to promote a common interest; an association of people or firms formed to undertake an enterprise; to combine into a syndicate.","The newspaper _____ distributed the comic strip to hundreds of papers.","One Bee; Three Bee; Two Bee","","","","","2.5","2.0","2.0","2.5","4-factor weighted model (overall_score: 2.23)","noun, verb","SIN-di-kit (noun), SIN-di-kayt (verb)","From French ""syndicat,"" from Greek ""syndikos"" meaning ""advocate""","Claude","Think ""syn-dicate"" - coming together to dictate or control","","Greek via French","Claude","Scripps National Spelling Bee","One Bee; Three Bee; Two Bee","2.0","Scripps National Spelling Bee Words of the Champions (2020; 2021; 2022; 2023; 2025)","2025-08-19"
"synecdoche","A figure of speech in which a part is made to represent the whole or vice versa; a rhetorical device where a portion stands for the entirety.","Using ""all hands on deck"" is an example of _____ where hands represent people.","One Bee; Two Bee","","","","","2.5","1.5","1.5","2.5","4-factor weighted model (overall_score: 1.95)","noun","si-NEK-duh-kee (emphasis on second syllable)","From Greek ""synekdoche,"" from ""syn"" (together) + ""ekdoche"" (interpretation)","Claude","Think ""syn-ecdoche"" - taking parts together to mean the whole","","Greek","Claude","Scripps National Spelling Bee","One Bee; Two Bee","1.5","Scripps National Spelling Bee Words of the Champions (2020; 2021; 2022)","2025-08-19"
"synesthesia","A neurological phenomenon where stimulation of one sensory pathway leads to automatic experiences in a second sensory pathway; experiencing joined senses.","Her _____ caused her to see colors whenever she heard music.","One Bee","","","","","3.0","1.0","2.0","2.5","4-factor weighted model (overall_score: 2.05)","noun","sin-uhs-THEE-zhuh (emphasis on third syllable)","From Greek ""syn"" (together) + ""aisthesis"" (sensation)","Claude","Think ""syn-esthesia"" - senses working together","synaesthesia","Greek","Claude","Scripps National Spelling Bee","One Bee","1.0","Scripps National Spelling Bee Words of the Champions (2020)","2025-08-19"
"synod","An ecclesiastical council; an assembly of clergy or church officials to discuss and decide matters of doctrine, administration, or discipline.","The church _____ met to discuss changes to religious doctrine.","One Bee","","","","","1.5","1.0","1.5","2.5","4-factor weighted model (overall_score: 1.55)","noun","SIN-uhd (emphasis on first syllable)","From Greek ""synodos,"" from ""syn"" (together) + ""hodos"" (way, path)","Claude","Think ""syn-od"" - coming together on the same path","","Greek","Claude","Scripps National Spelling Bee","One Bee","1.0","Scripps National Spelling Bee Words of the Champions (2020)","2025-08-19"
"synonymous","Having the same or nearly the same meaning as another word; equivalent in meaning; closely associated with or suggestive of something.","The words ""happy"" and ""joyful"" are _____ in most contexts.","Three Bee","","","","","2.5","3.0","2.0","2.5","4-factor weighted model (overall_score: 2.52)","adjective","si-NON-uh-muhs (emphasis on second syllable)","From Greek ""synonymos,"" from ""syn"" (together) + ""onyma"" (name)","Claude","Think ""syn-onymous"" - same name or meaning together","","Greek","Claude","Scripps National Spelling Bee","Three Bee","3.0","Scripps National Spelling Bee Words of the Champions (2025)","2025-08-19"
"synthetic","Made by chemical synthesis, especially to imitate a natural product; artificial; not genuine; relating to or involving synthesis.","The _____ fabric was designed to mimic the properties of natural silk.","One Bee","","","","","2.5","1.0","2.0","2.5","4-factor weighted model (overall_score: 1.93)","adjective","sin-THET-ik (emphasis on second syllable)","From Greek ""synthetikos,"" from ""syn"" (together) + ""tithenai"" (to place)","Claude","Think ""syn-thetic"" - putting elements together artificially","","Greek","Claude","Scripps National Spelling Bee","One Bee","1.0","Scripps National Spelling Bee Words of the Champions (2020; 2021)","2025-08-19"
"syntonize","To tune to the same frequency; to bring into tune or harmony; in radio, to adjust circuits to the same frequency for optimal reception.","The engineer had to _____ the radio frequencies to eliminate interference.","Three Bee","","","","","2.5","3.0","1.5","2.5","4-factor weighted model (overall_score: 2.40)","verb","SIN-tuh-nahyz (emphasis on first syllable)","From Greek ""syntonos"" meaning ""in tune,"" from ""syn"" (together) + ""tonos"" (tone)","Claude","Think ""syn-tonize"" - bringing tones together in harmony","","Greek","Claude","Scripps National Spelling Bee","Three Bee","3.0","Scripps National Spelling Bee Words of the Champions (2024; 2025)","2025-08-19"
"syntrophism","A symbiotic relationship between different organisms where they mutually benefit from each other's metabolic processes; cooperative metabolism.","The bacteria demonstrated _____ by sharing nutrients in their ecosystem.","Three Bee","","","","","3.0","3.0","2.5","2.5","4-factor weighted model (overall_score: 2.77)","noun","SIN-troh-fizm (emphasis on first syllable)","From Greek ""syn"" (together) + ""trophe"" (nourishment) + ""-ism""","Claude","Think ""syn-troph-ism"" - feeding together cooperatively","","Greek","Claude","Scripps National Spelling Bee","Three Bee","3.0","Scripps National Spelling Bee Words of the Champions (2024; 2025)","2025-08-19"
