word,pronunciation,definition,etymology,etymology_source,example_sentence,memory_tip,difficulty_score,phonetic_transparency,word_frequency,morphological_complexity,etymology_complexity,sources,source_difficulty
wampanoag,/ˌwæmpəˈnoʊæɡ/,"A member of a Native American confederacy of southeastern Massachusetts and Rhode Island; relating to this people or their language. The Wampanoag were among the first Native Americans to encounter European colonists, including the Pilgrims at Plymouth in 1620. They played a crucial role in the survival of the early Plymouth Colony, with leaders like Massasoit establishing peaceful relations and trade agreements. The Wampanoag people have a rich cultural heritage including traditional crafts, agriculture (particularly the 'Three Sisters' crops of corn, beans, and squash), and oral traditions that continue to this day.","From Narragansett 'wampanooag,' meaning 'eastern people' or 'people of the dawn land'",Claude,The _____ tribe taught the Plymouth colonists essential farming techniques for survival.,Think 'WAM-PAN-O-AG' - 'WAMpum PAN O AGriculture' - the Wampanoag people were known for wampum beads and shared agricultural knowledge.,6,6,6,6,6,2024; 2025,Three Bee
wand,/wænd/,"A thin rod or stick, especially one used by a magician, fairy, or conductor; a staff carried as a symbol of office or authority; a handheld electronic device used for scanning or pointing. In fantasy and magic contexts, wands are portrayed as tools for casting spells or channeling magical power. In music, a conductor's wand (baton) is used to direct orchestral performances. In technology, wands can refer to barcode scanners or remote pointing devices. The term suggests precision, control, and the ability to direct or influence from a distance.","From Old Norse 'vöndr' meaning 'rod, stick,' related to 'vind' meaning 'to wind'",Claude,The conductor raised his _____ to signal the beginning of the symphony.,"Think 'WAND' rhymes with 'HAND' - a wand is held in your hand to direct or control things, like magic or music.",2,2,3,1,3,2021; 2022; 2023; 2024; 2025,One Bee; Three Bee; Two Bee
want,/wænt/,"To have a desire to possess or do something; to wish for; to lack or be without something necessary; to be deficient in. As a verb, it expresses desire, need, or intention. As a noun, it refers to a lack or deficiency of something essential, or a desire for something. The word encompasses both emotional desires (wanting happiness) and practical needs (wanting food). It can indicate everything from casual preferences to urgent necessities, making it one of the most fundamental expressions of human motivation and need.","From Old Norse 'vanta' meaning 'to lack, be wanting'",Claude,Children often _____ what they cannot have more than what they already possess.,"Think 'WANT' - one of the most basic words expressing human desire and need, fundamental to communication.",1,1,1,1,2,2020; 2021; 2022; 2023; 2024; 2025,One Bee; Three Bee; Two Bee
wapiti,/ˈwæpɪti/,"The North American elk, a large deer species native to North America and eastern Asia; one of the largest species in the deer family. Wapiti are characterized by their impressive antlers (in males), light-colored rump patch, and distinctive bugling call during mating season. These animals are herbivores that typically inhabit forests and mountain meadows. The term is preferred by some wildlife biologists and indigenous peoples to distinguish the North American species from the smaller European elk, which is actually what Americans call a moose.","From Shawnee 'wapiti' meaning 'white rump,' referring to the animal's distinctive white patch",Claude,The majestic _____ bugled across the valley during the autumn rutting season.,Think 'WA-PI-TI' - 'WAter PIcTure Island' - wapiti (elk) are often seen near water and make picture-perfect scenes in island-like meadows.,6,5,7,5,6,2022; 2023; 2024,Three Bee; Two Bee
warden,/ˈwɔrdən/,"A person responsible for the supervision and security of a prison; an official charged with enforcing regulations in a particular area or institution; a guardian or keeper of something. The term applies to various supervisory roles, from prison wardens who oversee correctional facilities to park wardens who protect natural areas, fire wardens who monitor fire safety, and church wardens who assist with religious administration. The position typically involves authority, responsibility for safety and order, and accountability to higher authorities or the public.","From Old French 'wardein,' from Germanic 'ward' meaning 'to guard' + suffix '-en'",Claude,The prison _____ implemented new programs to improve rehabilitation and reduce recidivism.,"Think 'WARD-EN' - someone who 'WARDs' off danger and keeps people safe, like a guardian with the suffix '-en' for a person.",3,3,4,3,3,2021,One Bee
wardrobe,/ˈwɔrdroʊb/,"A large cupboard or closet for storing clothes; the collection of clothes owned by a person, organization, or for a particular purpose; the costume department of a theater or film production. The term encompasses both the physical storage space for clothing and the clothing collection itself. In entertainment industry contexts, wardrobe refers to the department responsible for costume design, maintenance, and organization. A person's wardrobe reflects their style, profession, and lifestyle, and can range from basic functional clothing to extensive fashion collections.","From Old French 'warderobe,' from 'warder' (to guard) + 'robe' (garment), originally meaning 'guarded room for robes'",Claude,The actor's _____ for the period drama included authentic Victorian-era costumes.,Think 'WARD-ROBE' - a place that 'WARDs' (guards) your 'ROBE' and other clothes safely.,3,3,3,3,4,2022,Two Bee
warison,/ˈwærɪsən/,"An archaic term meaning reward, recompense, or retribution; payment given for services or as compensation; sometimes used to mean vengeance or punishment. This obsolete or rare word appears primarily in historical texts, medieval literature, or academic contexts discussing older forms of English. It could refer to both positive rewards for good service and negative consequences for wrongdoing. The term reflects older concepts of justice and compensation that were common in medieval legal and social systems.","From Old French 'warison' meaning 'healing, cure, reward,' from 'warir' meaning 'to protect, heal'",Claude,The knight expected fair _____ for his loyal service to the realm.,"Think 'WAR-I-SON' - 'WAR I won, SON' - in old times, a warrior son might expect warison (reward) for winning wars.",8,7,9,7,8,2020,One Bee
warm,/wɔrm/,"Having or giving off heat; having a moderate degree of heat; showing enthusiasm, friendliness, or affection; comfortable and cozy. This fundamental adjective describes temperature that is neither hot nor cold but pleasantly heated. Metaphorically, it describes personality traits (warm person), emotions (warm feelings), colors (warm tones like red and orange), and social interactions (warm welcome). The word can also function as a verb meaning to make or become warm, and suggests comfort, safety, and positive emotions.","From Old English 'wearm,' from Germanic origin, related to German 'warm'",Claude,"The _____ sunshine felt wonderful after the long, cold winter.",Think 'WARM' - one of the most basic words for comfortable temperature and friendly feelings.,1,1,1,1,2,2025,Three Bee
warning,/ˈwɔrnɪŋ/,"A statement or event that indicates a possible or impending danger, problem, or unpleasant situation; advance notice of something threatening or undesirable. Warnings serve to alert people to potential risks so they can take preventive action or prepare for consequences. They can be formal (legal warnings, weather warnings) or informal (friendly advice), immediate (fire alarm) or long-term (health warnings). The purpose is always protective, giving recipients the opportunity to avoid harm or make informed decisions.",From Old English 'warnian' meaning 'to give notice of danger' + suffix '-ing',Claude,The weather service issued a severe storm _____ for the coastal region.,Think 'WARN-ING' - currently 'WARNing' someone about danger or problems that might be coming.,2,2,2,2,3,2020; 2021; 2022; 2023; 2024; 2025,One Bee; Three Bee; Two Bee
warrior,/ˈwɔriər/,"A person engaged in or experienced in warfare; a fighter or soldier, especially one who is brave and experienced; someone who shows great vigor and courage in fighting for a cause. The term encompasses both literal fighters in military conflicts and metaphorical fighters who battle against challenges, diseases, or social issues. Warriors are characterized by courage, skill in combat, dedication to their cause, and willingness to face danger. In many cultures, the warrior represents ideals of honor, bravery, and sacrifice for the greater good.","From Old French 'werreier,' from 'werre' meaning 'war' + suffix '-ier' meaning 'one who'",Claude,The ancient _____ fought bravely to defend his homeland from invaders.,"Think 'WAR-RI-OR' - 'WAR' + 'RI' + 'OR' - someone who fights in war, or fights for important causes.",3,3,3,3,3,2020,One Bee
