"word","definition","part_of_speech","pronunciation_guide","etymology","language_origins","definition_source","pronunciation_source","etymology_source","example_sentence","example_sentence_source","memory_tip","memory_tip_source","difficulty_phonetic","difficulty_semantic","difficulty_morphological","difficulty_etymological","difficulty","years","source_files","source_difficulties","combined_words_detected","incomplete_word_detected","parsing_errors"
"exorbitant","Exorbitant describes something that is unreasonably high, excessive, or extreme, particularly in terms of price, cost, or demand. When something is exorbitant, it goes far beyond what is considered normal, fair, or reasonable. The word carries a strong negative connotation, suggesting that the excessive nature of whatever is being described is problematic or unjustifiable. Exorbitant prices, for example, are those that are so high they seem to take advantage of consumers or circumstances. The term can also apply to demands, requests, expectations, or behaviors that are considered wildly unreasonable or beyond acceptable limits.","adjective","ig-ZOR-bi-tant","From Latin ""exorbitans,"" present participle of ""exorbitare,"" meaning ""to go out of the track."" The prefix ""ex-"" means ""out of"" and ""orbita"" means ""track"" or ""rut,"" literally referring to a wheel going off its proper path.","Latin","Claude","Claude","Claude","The hotel charged _______ rates during the holiday weekend, forcing many tourists to look for alternative accommodations.","Claude","Think ""EX-ORB-itant"" - imagine something going ""EX"" (out of) its proper ""ORB"" (circular path or orbit), becoming excessive and unreasonable.","Claude","1","4","2","3","","2020; 2021; 2022; 2023; 2024; 2025","2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf","One Bee; Three Bee; Two Bee","False","False",""
"expand","Expand means to increase in size, volume, scope, or extent, or to cause something to become larger or more comprehensive. This can refer to physical growth, such as a balloon expanding when filled with air, or abstract growth, such as expanding one's knowledge or expanding a business. The word implies a stretching out, spreading, or enlargement from a previous state. Expansion can be gradual or rapid, controlled or uncontrolled. In various contexts, expand can mean to elaborate on ideas, to extend boundaries, to grow in influence, or to develop something more fully.","verb","ik-SPAND","From Latin ""expandere,"" meaning ""to spread out."" The prefix ""ex-"" means ""out"" and ""pandere"" means ""to spread,"" literally meaning to spread outward.","Latin","Claude","Claude","Claude","The company plans to _______ its operations to three new countries by the end of next year.","Claude","Remember ""ex-PAND"" - think of a PANDa stretching EX-tra wide, expanding its body to appear larger.","Claude","1","4","2","3","","2025","2025 Words of Champion _1_.pdf","Three Bee","False","False",""
"expanse","An expanse is a wide, continuous area or stretch of something, typically land, water, or sky. The word suggests vastness, openness, and breadth, often referring to natural features that extend far in all directions. An expanse creates a sense of scale and grandeur, emphasizing the impressive scope of what is being described. It can refer to physical spaces like the expanse of the ocean, the expanse of a desert, or the expanse of the night sky. The term conveys both the idea of great size and the unbroken, continuous nature of the area being described.","noun","ik-SPANS","From Latin ""expansum,"" meaning ""something spread out,"" derived from ""expandere"" (to spread out). Related to the concept of expansion and spreading across space.","Latin","Claude","Claude","Claude","The travelers gazed across the vast _______ of the prairie, seeing nothing but grassland stretching to the horizon.","Claude","Think ""ex-PANSE"" - imagine EX-tra large PANTS that SPAN a huge area, representing a vast expanse of fabric.","Claude","1","4","2","3","","2022","2022 Words of the Champions_low_ink_printable.pdf","Two Bee","False","False",""
"expansion","Expansion refers to the action or process of becoming larger, more extensive, or more comprehensive. It can describe physical growth, such as the thermal expansion of metals when heated, or abstract growth, such as business expansion into new markets. Expansion implies an increase in size, scope, scale, or influence from a previous state. The process can be intentional and planned, as in urban expansion, or natural and automatic, as in the expansion of gases. Expansion can be gradual or rapid, and it often involves spreading outward or extending boundaries beyond their previous limits.","noun","ik-SPAN-shun","From Latin ""expansio,"" from ""expandere"" meaning ""to spread out."" The suffix ""-sion"" indicates the action or result of the verb, making it the noun form of ""expand.""","Latin","Claude","Claude","Claude","The rapid _______ of the technology sector has created thousands of new jobs in the region.","Claude","Remember ""ex-PANS-ion"" - think of EX-tra PANS being added to a kitchen during renovation, representing expansion of cooking capacity.","Claude","1","4","3","3","","2025","2025 Words of Champion _1_.pdf","Three Bee","False","False",""
"expatiate","Expatiate means to speak or write at length about a subject, often in great detail and with elaborate explanation. When someone expatiates, they elaborate extensively, providing comprehensive coverage of a topic, sometimes to the point of being lengthy or verbose. The word suggests a thorough, detailed discussion that explores various aspects of a subject. Expatiation often involves going into considerable depth, offering extensive commentary, analysis, or description. While it can indicate thoroughness and expertise, it can also suggest a tendency toward wordiness or excessive elaboration.","verb","ik-SPAY-shee-ayt","From Latin ""expatiari,"" meaning ""to wander outside"" or ""to digress."" The prefix ""ex-"" means ""out"" and ""spatiari"" means ""to walk about,"" originally referring to wandering off the main path in discussion.","Latin","Claude","Claude","Claude","The professor began to _______ on the historical significance of the Renaissance, speaking for nearly an hour about its various cultural impacts.","Claude","Think ""ex-PATIENT"" - when someone is EX-tremely PATIENT, they have time to speak at great length about topics they're passionate about.","Claude","1","4","2","3","","2020; 2022; 2024; 2025","2020 Words_of_the_Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf","One Bee; Three Bee; Two Bee","False","False",""
"expatiatexerogel","[Definition for expatiatexerogel not available in batch data]","unknown","[Pronunciation for expatiatexerogel not available]","[Etymology for expatiatexerogel not available]","unknown","Claude","Claude","Claude","[Example sentence for expatiatexerogel not available]","Claude","[Memory tip for expatiatexerogel not available]","Claude","1","1","3","1","","2021; 2023","2021_Printable_Words of the Champions.pdf; 2023_Words_of_the_Champions.pdf","One Bee; Two Bee","True","False","Combined word error: ""expatiatexerogel"" appears to be expatiate + xerogel merged together. This is likely a PDF parsing error where two separate words were incorrectly combined."
"expectorant","An expectorant is a type of medication or substance that helps loosen and expel mucus and phlegm from the respiratory tract, particularly from the lungs and bronchi. Expectorants work by thinning the secretions in the airways, making it easier for a person to cough up and clear mucus from their respiratory system. This type of medication is commonly used to treat conditions involving congestion, such as bronchitis, colds, and other respiratory infections. Natural expectorants include certain herbs and steam inhalation, while pharmaceutical expectorants are available over-the-counter or by prescription.","noun","ik-SPEK-tuh-rant","From Latin ""expectoratus,"" past participle of ""expectorare,"" meaning ""to expel from the chest."" The prefix ""ex-"" means ""out"" and ""pectus"" means ""chest"" or ""breast.""","Latin","Claude","Claude","Claude","The doctor recommended an _______ to help clear the persistent cough and chest congestion.","Claude","Remember ""ex-PECTOR-ant"" - think ""EX-pel from the CHEST"" (pectoral area), which is exactly what this medicine helps you do.","Claude","1","4","3","3","","2022; 2023; 2024; 2025","2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf","Three Bee; Two Bee","False","False",""
"expedition","An expedition is an organized journey or voyage undertaken for a specific purpose, typically involving exploration, research, military action, or adventure. Expeditions are usually planned missions that involve traveling to distant, difficult, or dangerous places to achieve particular objectives. They often require careful preparation, specialized equipment, and skilled participants. Historical expeditions have included explorations of unknown territories, scientific research missions, military campaigns, and adventures to remote locations. Modern expeditions might involve mountain climbing, archaeological research, wildlife studies, or space exploration.","noun","ek-spi-DISH-un","From Latin ""expeditio,"" from ""expedire"" meaning ""to free up"" or ""to make ready."" Originally referred to freeing soldiers' feet from entanglements, then came to mean preparing for a journey.","Latin","Claude","Claude","Claude","The scientific _______ to Antarctica will study the effects of climate change on ice formations over the next six months.","Claude","Think ""ex-PETITION"" - like signing a petition to get EX-tra support for a challenging journey or mission.","Claude","1","4","3","3","","2025","2025 Words of Champion _1_.pdf","Three Bee","False","False",""
"experience","Experience encompasses the knowledge, skills, and understanding that come from direct participation in events, activities, or situations over time. It can refer to a single event or occurrence, as in ""having an experience,"" or to the accumulated wisdom and capability that develops through repeated exposure to situations. Experience is often contrasted with theoretical knowledge, representing practical, hands-on learning. It can be positive or negative, educational or entertaining, brief or extensive. Experience shapes our understanding of the world and influences our future decisions and actions.","noun, verb","ik-SPEER-ee-uns","From Latin ""experientia,"" from ""experiri"" meaning ""to try"" or ""to test."" The root ""per-"" means ""through"" and relates to going through trials or tests.","Latin","Claude","Claude","Claude","Her years of _______ in emergency medicine made her the ideal candidate to lead the hospital's trauma unit.","Claude","Remember ""ex-PEER-ience"" - you gain experience by looking beyond (EX) what your PEERS know, through actual doing and learning.","Claude","1","4","2","3","","2025","2025 Words of Champion _1_.pdf","Three Bee","False","False",""
"experimenting","Experimenting is the action of conducting tests, trials, or investigations to discover, prove, or disprove something. It involves systematically trying different approaches, methods, or variables to observe outcomes and gather information. Experimenting can be formal, as in scientific research with controlled conditions, or informal, as in trying new cooking techniques or creative approaches. The process typically involves hypothesis formation, testing, observation, and analysis of results. Experimenting is fundamental to scientific discovery, innovation, and learning.","verb (present participle)","ik-SPER-uh-ment-ing","From Latin ""experimentum,"" from ""experiri"" meaning ""to try"" or ""to test."" The suffix ""-ing"" indicates ongoing action.","Latin","Claude","Claude","Claude","The chef spent months _______ with different spice combinations before perfecting her signature sauce.","Claude","Think ""ex-PERIMENT-ing"" - like a PERMANENT EX-tra effort to try new things and discover what works.","Claude","1","4","3","3","","2025","2025 Words of Champion _1_.pdf","Three Bee","False","False",""
