word,definition,example_sentence,source_difficulty,difficulty_level,difficulty_name,ai_difficulty_level,ai_difficulty_name,phonetic_transparency_score,word_frequency_score,morphology_score,etymology_score,difficulty_calculation_method,part_of_speech,pronunciation_guide,etymology,etymology_source,memory_tips,alternate_spellings,language_origin,definition_source,source_names,source_difficulties,frequency,original_source,source_access_date
already,By this time; before now; previously.,The show had _____ started when we arrived.,One Bee; Three Bee; Two Bee,,,,,1.0,3.0,1.0,4.0,4-factor weighted model (overall_score: 2.10),adverb,awl-RED-ee (emphasis on second syllable),From Middle English 'al redy' meaning 'completely ready',Claude,Think 'all-ready' - completely prepared,,Middle English,Claude,Scripps National Spelling Bee,One Bee; Three Bee; Two Bee,3.0,Scripps National Spelling Bee Words of the Champions (2020; 2021; 2022; 2023; 2024; 2025),2025-08-19
altar,A table or platform used for religious sacrifice or ceremony.,The priest placed flowers on the _____.,Three Bee,,,,,1.0,3.0,1.0,2.0,4-factor weighted model (overall_score: 1.70),noun,AWL-ter (emphasis on first syllable),From Latin 'altare' meaning 'high place',Claude,Think 'alt-ar' - high place for worship,,Latin,Claude,Scripps National Spelling Bee,Three Bee,3.0,Scripps National Spelling Bee Words of the Champions (2025),2025-08-19
altazimuth,A mounting for telescopes that allows movement in both horizontal and vertical planes.,The astronomer adjusted the _____ mount to track the star.,One Bee; Three Bee; Two Bee,,,,,1.0,4.0,1.0,4.0,4-factor weighted model (overall_score: 2.35),noun,al-TAZ-uh-muth (emphasis on second syllable),From Arabic 'al-samt' (the azimuth) + altitude,Claude,Think 'alt-azimuth' - altitude and azimuth combined,,Arabic,Claude,Scripps National Spelling Bee,One Bee; Three Bee; Two Bee,4.0,Scripps National Spelling Bee Words of the Champions (2020; 2021; 2022; 2023; 2024; 2025),2025-08-19
altercation,"A noisy argument or disagreement, especially in public.",The _____ between the neighbors lasted for hours.,One Bee; Three Bee; Two Bee,,,,,2.0,4.0,1.5,2.0,4-factor weighted model (overall_score: 2.38),noun,awl-ter-KAY-shuhn (emphasis on third syllable),From Latin 'altercari' meaning 'to quarrel',Claude,Think 'alter-cation' - an altering conversation (argument),,Latin,Claude,Scripps National Spelling Bee,One Bee; Three Bee; Two Bee,4.0,Scripps National Spelling Bee Words of the Champions (2020; 2021; 2022; 2023; 2024; 2025),2025-08-19
alternate,To occur in turns; every other one; substitute.,The teams will _____ serving first in each game.,Two Bee,,,,,1.0,4.0,1.0,2.0,4-factor weighted model (overall_score: 1.95),verb/adjective,AWL-ter-nit or awl-TER-nayt (varies by usage),From Latin 'alternatus' meaning 'one after the other',Claude,Think 'alter-nate' - changing back and forth,,Latin,Claude,Scripps National Spelling Bee,Two Bee,4.0,Scripps National Spelling Bee Words of the Champions (2023),2025-08-19
althorn,A brass musical instrument similar to a French horn but with a higher pitch.,The _____ added a bright sound to the brass section.,One Bee; Three Bee; Two Bee,,,,,1.0,3.0,1.0,4.0,4-factor weighted model (overall_score: 2.10),noun,ALT-horn (emphasis on first syllable),"From German 'Althorn', from 'alt' (alto) + 'Horn' (horn)",Claude,Think 'alt-horn' - alto horn instrument,,German,Claude,Scripps National Spelling Bee,One Bee; Three Bee; Two Bee,3.0,Scripps National Spelling Bee Words of the Champions (2021; 2022; 2023; 2024; 2025),2025-08-19
although,In spite of the fact that; even though.,"_____ it was raining, they continued the picnic.",One Bee; Three Bee; Two Bee,,,,,3.0,4.0,1.0,4.0,4-factor weighted model (overall_score: 2.95),conjunction,awl-THOH (emphasis on second syllable),From Middle English 'al though' meaning 'all though',Claude,Think 'all-though' - despite all of this,,Middle English,Claude,Scripps National Spelling Bee,One Bee; Three Bee; Two Bee,4.0,Scripps National Spelling Bee Words of the Champions (2020; 2021; 2022; 2023; 2024; 2025),2025-08-19
altimeter,An instrument that measures altitude or height above sea level.,The pilot checked the _____ before landing.,Three Bee,,,,,1.0,4.0,1.5,4.0,4-factor weighted model (overall_score: 2.48),noun,al-TIM-uh-ter (emphasis on second syllable),From Latin 'altus' (high) + Greek 'metron' (measure),Claude,Think 'alti-meter' - measures altitude,,Latin/Greek,Claude,Scripps National Spelling Bee,Three Bee,4.0,Scripps National Spelling Bee Words of the Champions (2024),2025-08-19
aluminum,"A lightweight, silvery-white metallic element.",The _____ foil wrapped around the leftovers.,Three Bee,,,,,1.0,4.0,1.0,2.0,4-factor weighted model (overall_score: 1.95),noun,uh-LOO-muh-nuhm (emphasis on second syllable),From Latin 'alumen' meaning 'alum',Claude,Think 'alum-inum' - from alum mineral,aluminium,Latin,Claude,Scripps National Spelling Bee,Three Bee,4.0,Scripps National Spelling Bee Words of the Champions (2025),2025-08-19
always,At all times; constantly; forever.,She _____ arrives early to meetings.,Three Bee,,,,,1.0,3.0,1.0,4.0,4-factor weighted model (overall_score: 2.10),adverb,AWL-wayz (emphasis on first syllable),From Old English 'ealneweg' meaning 'all the way',Claude,Think 'all-ways' - in all ways and times,,Old English,Claude,Scripps National Spelling Bee,Three Bee,3.0,Scripps National Spelling Bee Words of the Champions (2024; 2025),2025-08-19
