word,years,source_files,source_difficulties
darjeelingrecusancy,2023,2023_Words_of_the_Champions.pdf,Two Bee
dark,2025,2025 Words of Champion _1_.pdf,Three Bee
darmstadtium,2022; 2023; 2024; 2025,2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee
darnel,2021; 2022; 2024; 2025,2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee
darted,2021,2021_Printable_Words of the Champions.pdf,One Bee
darts,2025,2025 Words of Champion _1_.pdf,Three Bee
darwinism,2022,2022 Words of the Champions_low_ink_printable.pdf,Two Bee
dash,2021,2021_Printable_Words of the Champions.pdf,One Bee
dashiki,2025,2025 Words of Champion _1_.pdf,Three Bee
data,2024,2024 Words of the Champions.pdf,Three Bee
daubster,2025,2025 Words of Champion _1_.pdf,Three Bee
daughter,2020; 2021,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf,One Bee
dauntlessly,2020; 2021,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf,One Bee
davenport,2022; 2023; 2024; 2025,2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee
dawdle,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee
dazzle,2024,2024 Words of the Champions.pdf,Three Bee
deadpan,2024,2024 Words of the Champions.pdf,Three Bee
deal,2024,2024 Words of the Champions.pdf,Three Bee
dean,2020; 2021; 2022; 2023,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf,One Bee; Two Bee
dear,2024; 2025,2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee
death,2025,2025 Words of Champion _1_.pdf,Three Bee
deathin,2022; 2023; 2024; 2025,2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee
debilitate,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee
debit,2023,2023_Words_of_the_Champions.pdf,Two Bee
debita,2024; 2025,2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee
debitum,2024; 2025,2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee
