word,definition,part_of_speech,pronunciation_guide,etymology,language_origins,example_sentence,memory_tip,phonetic_transparency_score,word_frequency_score,morphological_complexity_score,etymology_complexity_score,difficulty,definition_source,pronunciation_source,etymology_source,memory_tip_source,example_sentence_source,source_difficulty,years,source_files,is_error,error_message
discarded,"Rejected as worthless or unnecessary; thrown away or abandoned as no longer useful. Past tense of discard, indicating something that has been deliberately eliminated or gotten rid of because it lacks value or purpose.","verb, adjective",dis-KAR-ded (emphasis on second syllable),"From prefix ""dis-"" (away) + ""card"" (from Latin ""charta"" meaning ""paper""). Originally from card games, meaning to throw away unwanted cards.",Latin via French,The researcher _____ the flawed data that contained obvious measurement errors.,"Think ""dis-CARDed"" - like throwing away unwanted playing cards, you discard things you don't want or need.",10,6,4,5,,Claude,Claude,Claude,Claude,Claude,Two Bee,2023,2023_Words_of_the_Champions.pdf,False,
disciform,"Having the shape of a disc; flat and circular like a disk. Used in medical and biological contexts to describe structures that are disc-shaped, such as certain lesions, growths, or anatomical features.",adjective,DIS-ki-form (emphasis on first syllable),"From Latin ""discus"" (disc, disk) + ""forma"" (form, shape). Medical and scientific terminology for disc-shaped structures.",Latin,The doctor identified a _____ lesion on the patient's retina during the eye examination.,"Remember ""DISC-i-form"" - shaped like a ""disc,"" having the ""form"" of a flat, round disk.",10,4,3,5,,Claude,Claude,Claude,Claude,Claude,One Bee; Two Bee,2020; 2021; 2022,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf,False,
disclaimer,A statement that denies responsibility or liability; a formal declaration that rejects legal responsibility for something. Commonly used to protect individuals or organizations from claims or lawsuits.,noun,dis-KLAY-mer (emphasis on second syllable),"From prefix ""dis-"" (not) + ""claim"" + ""-er"" suffix. Legal terminology meaning to not claim responsibility.",English (legal formation),The website included a _____ stating that the company was not responsible for user-generated content.,"Think ""dis-CLAIMer"" - you ""disclaim"" or refuse to ""claim"" responsibility for something.",10,4,3,5,,Claude,Claude,Claude,Claude,Claude,Three Bee,2024,2024 Words of the Champions.pdf,False,
discombobulate,"To confuse or disconcert someone; to upset or frustrate by causing confusion or bewilderment. A humorous, informal word that suggests being thrown into a state of mental disarray.",verb,dis-kom-BOB-yuh-late (emphasis on third syllable),"American slang, possibly alteration of ""discompose"" or ""discomfit."" Playful formation suggesting confusion and disorder.",English (American slang),The unexpected change in plans seemed to _____ everyone at the meeting.,"Think ""dis-kom-BOBulate"" - like a ""bobblehead"" shaking around, you feel confused and disoriented.",9,2,5,5,,Claude,Claude,Claude,Claude,Claude,One Bee; Three Bee; Two Bee,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,False,
discomfiture,"A feeling of unease or embarrassment; the state of being frustrated or defeated. A formal term describing the discomfort that comes from being thwarted, confused, or put in an awkward position.",noun,dis-KUM-fi-chur (emphasis on second syllable),"From Old French ""desconfiture"" meaning ""defeat"" (des- ""un-"" + confire ""to prepare""). Via Middle English.",Old French,His _____ was evident when he realized he had been arguing the wrong side of the debate.,"Remember ""dis-COMfiture"" - the opposite of ""comfort,"" it's the discomfort of being confused or defeated.",10,2,4,5,,Claude,Claude,Claude,Claude,Claude,One Bee; Three Bee; Two Bee,2020; 2021; 2022; 2023; 2024,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf,False,
disconcerting,"Causing one to feel unsettled, disturbed, or worried; disturbing in a way that makes someone feel uneasy or confused. Describes situations or information that upset one's sense of stability or confidence.",adjective,dis-kon-SUR-ting (emphasis on third syllable),"From prefix ""dis-"" + ""concert"" (harmony) + ""-ing."" Originally meaning to disturb the harmony or order of something.",French via English,The student found the professor's sudden change in grading policy quite _____.,"Think ""dis-CONCERTing"" - like disrupting a concert, it disturbs your peace and makes you feel unsettled.",10,2,5,5,,Claude,Claude,Claude,Claude,Claude,One Bee,2021,2021_Printable_Words of the Champions.pdf,False,
disconsolate,Very unhappy and unable to be comforted; deeply dejected and without hope of consolation. Describes a state of profound sadness that seems beyond the reach of comfort or relief.,adjective,dis-KON-suh-lit (emphasis on second syllable),"From Latin ""disconsolatus"" meaning ""unconsoled"" (dis- ""not"" + consolatus ""consoled""). Emotional terminology.",Latin,She remained _____ for weeks after losing her beloved pet.,"Remember ""dis-CONSOLate"" - unable to be ""consoled,"" too sad to find comfort or consolation.",10,2,5,5,,Claude,Claude,Claude,Claude,Claude,One Bee,2021,2021_Printable_Words of the Champions.pdf,False,
discord,"Disagreement or lack of harmony between people or things; in music, a combination of notes that sound harsh or unpleasant together. Can refer to social conflict or musical dissonance.","noun, verb",DIS-kord (emphasis on first syllable),"From Latin ""discordia"" meaning ""disagreement"" (dis- ""apart"" + cor ""heart""). Musical and social terminology.",Latin,The family reunion was marked by _____ over inheritance issues.,"Think ""DIS-cord"" - when hearts are ""dis"" (apart), there's no harmony, creating discord and disagreement.",10,4,2,5,,Claude,Claude,Claude,Claude,Claude,One Bee,2021,2021_Printable_Words of the Champions.pdf,False,
discountenance,To refuse to approve of or support something; to discourage or show disapproval. Can also mean to cause someone to feel embarrassed or disconcerted.,verb,dis-KOWN-tuh-nans (emphasis on second syllable),"From prefix ""dis-"" (not) + ""countenance"" (approval, support). Formation meaning to withhold approval.",English formation from Latin roots,The principal decided to _____ any further disruptions during the assembly.,"Think ""dis-COUNTenance"" - to ""discount"" or refuse to ""count"" your approval for something.",10,2,5,5,,Claude,Claude,Claude,Claude,Claude,One Bee; Three Bee; Two Bee,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,False,
discoveries,"Plural of discovery; findings of something previously unknown or the act of finding such things. Can refer to scientific breakthroughs, archaeological finds, or personal realizations.",noun,dis-KUV-er-eez (emphasis on second syllable),"From prefix ""dis-"" (un-) + ""cover"" + ""-y"" suffix + plural ""-ies."" Meaning to uncover what was hidden.",English formation from Latin roots,The archaeologist's _____ in the ancient tomb revolutionized understanding of the civilization.,"Remember ""dis-COVERies"" - you ""discover"" by ""uncovering"" things that were hidden, making new findings.",10,6,3,5,,Claude,Claude,Claude,Claude,Claude,Three Bee,2025,2025 Words of Champion _1_.pdf,False,
