word,years,source_files,source_difficulties,definition,pronunciation,pronunciation_ipa,etymology,memory_tip,example_sentence,phonetic_transparency_score,word_frequency_score,morphological_complexity_score,etymology_complexity_score,difficulty,combined_word_error,source
pantomime,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"A dramatic entertainment performed without words, using only gestures, expressions, and body movement to tell a story; the art of conveying meaning through silent dramatic action. Pantomime artists, called mimes, use exaggerated facial expressions and precise body movements to create invisible objects and situations. The art form has ancient roots in Greek and Roman theater and evolved into modern performance styles. Classic pantomime techniques include walking against wind, being trapped in a box, or climbing stairs. Professional pantomime requires extensive training in body control, storytelling, and emotional expression through movement alone.",/ˈpæntəˌmaɪm/,/ˈpæntəˌmaɪm/,"From Greek ""pantomimos"" meaning ""imitator of all,"" from ""pan"" (all) + ""mimos"" (imitator). Originally referred to Roman entertainers who acted all roles.","PANTOMIME = PAN (all) + MIME. Think of a mime who can act out ""all"" things without speaking - silent storytelling.",The street performer's _____ routine drew a large crowd as he created an entire invisible world through movement alone.,0.9,5.0,1.0,3.0,,False,Claude
pantry,2024,2024 Words of the Champions.pdf,Three Bee,"A small room or closet in a house where food, dishes, linens, or provisions are stored; a storage area for kitchen supplies and non-perishable foods. Pantries serve as auxiliary storage spaces that help organize household items and keep them easily accessible. Modern pantries may include shelving systems, temperature control, and specialized storage for different types of food items. Walk-in pantries provide extensive storage space, while smaller pantries might be simple cabinets or closets. The organization of a pantry can significantly impact kitchen efficiency and meal preparation.",/ˈpæntri/,/ˈpæntri/,"From Old French ""paneterie,"" from ""panetier"" meaning keeper of bread, from Latin ""panis"" meaning bread. Originally specifically for bread storage.","PANTRY sounds like ""PANT-RY"" - think of panting from hunger until you find food in the storage room where you ""try"" to find snacks.",She organized the _____ with labeled shelves for different categories of ingredients and cooking supplies.,0.6,3.0,1.0,3.0,,False,Claude
pants,2023,2023_Words_of_the_Champions.pdf,Two Bee,"A garment covering the body from the waist to the ankles, with separate coverings for each leg; trousers. In American English, pants typically refers to what British English calls trousers, while in British English, pants often means underwear. The garment comes in various styles including dress pants, casual pants, jeans, and athletic wear. Pants are fundamental clothing items in most cultures, providing protection, modesty, and style. Different materials, cuts, and designs serve various functional and fashion purposes.",/pænts/,/pænts/,"Short for ""pantaloons,"" from Italian ""pantalone,"" after a character in commedia dell'arte who wore long trousers. The word evolved to mean the garment itself.","PANTS comes from ""PANTaloons"" - think of the long ""pants"" that the Italian theater character Pantalone wore.",He chose dark blue _____ to match his professional shirt for the job interview.,0.5,3.0,1.0,2.0,,False,Claude
papeterie,2020; 2021; 2022,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf,One Bee; Two Bee,"A stationery shop or department; fine stationery and writing materials, especially high-quality paper products. The term encompasses elegant writing papers, correspondence cards, envelopes, and related accessories used for formal correspondence. French papeteries traditionally offer luxury writing materials, fountain pens, sealing wax, and other items for sophisticated written communication. The concept reflects the art of beautiful letter writing and formal correspondence. Modern papeteries may include wedding invitations, personal stationery, and specialty papers for various occasions.",/ˌpæpəˈtri/,/ˌpæpəˈtri/,"From French ""papeterie,"" from ""papetier"" meaning stationer, from ""papier"" (paper). Refers to shops specializing in fine paper goods.","PAPETERIE = PAPER + TERY (place). Think of a fancy place for ""paper"" - an elegant stationery shop with beautiful writing materials.",The elegant _____ featured handmade papers and fountain pens for discerning letter writers.,0.9,5.0,1.0,2.0,,False,Claude
papillon,2020; 2021; 2022; 2023; 2024,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf,One Bee; Three Bee; Two Bee,"A breed of small spaniel dog characterized by butterfly-like ears with long, silky hair; the French word for butterfly. Papillon dogs are toy spaniels known for their intelligence, agility, and distinctive ear shape that resembles butterfly wings. The breed comes in two varieties: papillon (with erect ears) and phalène (with drop ears). These dogs were popular among European nobility and appear in many Renaissance paintings. In French, papillon simply means butterfly, referring to the wing-like appearance of various objects or the insect itself.",/ˌpæpɪˈjɔn/,/ˌpæpɪˈjɔn/,"French word meaning butterfly, from Latin ""papilio."" The dog breed is named for its butterfly-like ears.","PAPILLON sounds like ""PAPA-LEON"" - think of a ""papa"" lion with butterfly wings, or a small dog with butterfly-like ears.","The _____ dog's erect, feathered ears made it look like a small, elegant butterfly in motion.",0.8,4.0,1.0,3.0,,False,Claude
pappardelle,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"Wide, flat ribbon pasta from Italian cuisine, typically 2-3 centimeters wide, often served with rich meat sauces or game. Pappardelle originates from Tuscany and is traditionally made fresh with eggs. The wide, flat shape allows the pasta to hold substantial sauces effectively. Classic preparations include pappardelle with wild boar ragu, duck sauce, or porcini mushrooms. The pasta's substantial texture makes it ideal for hearty, rustic dishes. Making fresh pappardelle requires rolling pasta dough thin and cutting it into wide strips.",/ˌpæpərˈdɛleɪ/,/ˌpæpərˈdɛleɪ/,"From Italian, from ""pappare"" meaning to eat hungrily or gobble up. The name suggests food that's eaten with great appetite.","PAPPARDELLE sounds like ""PAPA-DELL-AY"" - think of ""Papa"" eating wide noodles from a ""deli"" saying ""Ay!"" with enjoyment.",The chef served fresh _____ with a rich wild mushroom and truffle sauce.,1.1,5.0,1.0,2.0,,False,Claude
papyrus,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"An ancient writing material made from the pith of the papyrus plant, used extensively in ancient Egypt, Greece, and Rome; the plant itself (Cyperus papyrus) from which this material is made. Papyrus sheets were created by laying strips of the plant's pith in perpendicular layers and pressing them together. This material served as the primary writing surface before the widespread adoption of paper and parchment. Many important historical documents, including biblical texts and literary works, were preserved on papyrus. The word ""paper"" derives from papyrus.",/pəˈpaɪrəs/,/pəˈpaɪrəs/,"From Greek ""papyros,"" possibly from Egyptian. The plant and writing material were central to ancient Mediterranean civilizations.","PAPYRUS sounds like ""PAPA-VIRUS"" - think of ancient ""papa"" (father) documents that spread like a ""virus"" through history on this writing material.",Archaeologists discovered fragments of ancient _____ containing previously unknown texts from the Roman period.,0.7,4.0,1.0,3.0,,False,Claude
para,2024; 2025,2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee,"A prefix meaning beside, alongside, or beyond; in medical terminology, often refers to a woman who has given birth; short for paratrooper or paragraph. As a prefix, ""para-"" appears in words like parallel, paradox, and paramedic. In obstetrics, para refers to the number of pregnancies carried to viable gestational age. In military contexts, para is shorthand for paratrooper. The term has multiple specialized meanings depending on context, but generally relates to the concept of ""beside"" or ""alongside"" something else.",/ˈpɛrə/,/ˈpɛrə/,"From Greek ""para"" meaning beside, alongside, or beyond. Used as a prefix in many English words and as a standalone term in various contexts.","PARA sounds like ""PAIR-A"" - think of being ""paired"" alongside something, as para means ""beside"" or ""alongside.""","The medical chart indicated she was a _____ 2, having given birth to two children.",0.4,2.0,1.0,3.0,,False,Claude
parable,2020; 2021; 2022,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf,One Bee; Two Bee,"A simple story used to illustrate a moral or spiritual lesson; a short allegorical narrative that teaches through analogy and comparison. Parables are found in many religious and philosophical traditions, with Jesus' parables in the New Testament being among the most famous examples. These stories use familiar situations and characters to convey deeper truths about human nature, ethics, or spiritual principles. Effective parables engage listeners through relatable scenarios while revealing profound insights. The teaching method relies on the audience drawing connections between the story and the intended lesson.",/ˈpɛrəbəl/,/ˈpɛrəbəl/,"From Greek ""parabole"" meaning comparison or analogy, from ""paraballein"" meaning to compare. Related to ""parabola"" (mathematical curve).","PARABLE sounds like ""PAIR-ABLE"" - think of stories that ""pair"" everyday situations with spiritual lessons, making them ""able"" to teach.",The teacher used a _____ about seeds and soil to explain how different attitudes affect learning.,0.7,4.0,2.5,3.0,,False,Claude
parabola,2022; 2025,2022 Words of the Champions_low_ink_printable.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee,"A symmetrical open curve formed by the intersection of a cone with a plane parallel to its side; a U-shaped graph representing quadratic functions in mathematics. Parabolas have important properties in physics and engineering, as they describe the paths of projectiles under gravity and the shape of reflective surfaces in telescopes and satellite dishes. The mathematical equation for a parabola is typically written as y = ax² + bx + c. Parabolic shapes appear naturally in many contexts and have practical applications in optics, architecture, and ballistics.",/pəˈræbələ/,/pəˈræbələ/,"From Greek ""parabole"" meaning comparison or placing beside, from ""paraballein."" In geometry, refers to the curve's relationship to other conic sections.","PARABOLA sounds like ""PARA-BOWL-A"" - think of a ""bowl"" shape that curves ""para"" (beside/around) in a U-shape.",The water fountain's stream followed a perfect _____ arc as it rose and fell back to earth.,0.8,4.0,1.0,3.0,,False,Claude
