word,definition,example_sentence,source_difficulty,difficulty_level,difficulty_name,ai_difficulty_level,ai_difficulty_name,phonetic_transparency_score,word_frequency_score,morphology_score,etymology_score,difficulty_calculation_method,part_of_speech,pronunciation_guide,etymology,etymology_source,memory_tips,alternate_spellings,language_origin,definition_source,source_names,source_difficulties,frequency,original_source,source_access_date
designed,Created according to a plan; intended for a specific purpose; having a particular pattern or style.,The building was _____ by a famous architect.,Three Bee,,,,,1.0,1.0,3.0,2.3,4-factor weighted model (overall_score: 1.76),"verb (past tense), adjective",dih-ZAHYND (emphasis on second syllable),"From ""design"" (from Latin ""designare"") + ""-ed""",Claude,"Think ""de-signed"" - something that has been signed off on","planned, created",Latin,Claude,Scripps National Spelling Bee,Three Bee,1.0,Scripps National Spelling Bee Words of the Champions (2025),2025-08-19
designer,"A person who plans and creates the form and look of objects, buildings, or systems.",The fashion _____ unveiled her new collection at Paris Fashion Week.,One Bee,,,,,1.0,4.0,3.0,2.3,4-factor weighted model (overall_score: 2.51),noun,dih-ZAHY-ner (emphasis on second syllable),"From ""design"" (from Latin ""designare"") + ""-er""",Claude,"Think ""de-signer"" - one who signs off on designs","creator, planner",Latin,Claude,Scripps National Spelling Bee,One Bee; Three Bee; Two Bee,4.0,"Scripps National Spelling Bee Words of the Champions (2021, 2022, 2023, 2024, 2025)",2025-08-19
designerleisure,"[COMBINED WORD ERROR] This appears to be two words incorrectly joined: ""designer"" (creator) + ""leisure"" (free time).",[ERROR - This combined word should not appear in spelling bee materials],One Bee,,,,,2.0,4.0,2.0,4.0,4-factor weighted model (overall_score: 2.90),error - combined words,[PRONUNCIATION ERROR - COMBINED WORDS],[ETYMOLOGY ERROR - COMBINED WORDS],Claude,"This is a data error - should be separated into ""designer"" and ""leisure""",designer + leisure (separate words),ERROR - combined words,Claude,Scripps National Spelling Bee,One Bee,4.0,Scripps National Spelling Bee Words of the Champions (2020),2025-08-19
desk,"A piece of furniture with a flat surface for writing, reading, or using a computer.",She organized the papers on her _____.,One Bee,,,,,1.0,1.0,1.0,2.3,4-factor weighted model (overall_score: 1.26),noun,DESK (emphasis on first syllable),"From Medieval Latin ""desca"", from Latin ""discus"" meaning ""disk, plate""",Claude,"Think ""disk"" - a flat surface like a desk","table, workstation",Latin,Claude,Scripps National Spelling Bee,One Bee,1.0,Scripps National Spelling Bee Words of the Champions (2020),2025-08-19
desman,"A small aquatic mammal related to moles, with webbed feet and a long snout.",The _____ is an unusual semi-aquatic mammal found in Europe.,One Bee,,,,,1.0,3.0,2.0,2.3,4-factor weighted model (overall_score: 2.01),noun,DEZ-muhn (emphasis on first syllable),"From French ""desman"", possibly from German ""Bisam"" meaning ""musk""",Claude,"Think ""des-man"" - a water man (aquatic mammal)",aquatic mole,"French, possibly German",Claude,Scripps National Spelling Bee,One Bee; Two Bee,3.0,"Scripps National Spelling Bee Words of the Champions (2020, 2021, 2022, 2023)",2025-08-19
desolate,Empty of people; deserted and giving an impression of bleak emptiness.,The _____ landscape stretched for miles without a single building.,One Bee,,,,,2.0,4.0,2.0,2.3,4-factor weighted model (overall_score: 2.56),"adjective, verb",DES-uh-lit (emphasis on first syllable),"From Latin ""desolatus"", past participle of ""desolare"" meaning ""to abandon""",Claude,"Think ""de-so-late"" - so late that everyone left (abandoned)","barren, abandoned",Latin,Claude,Scripps National Spelling Bee,One Bee; Three Bee; Two Bee,4.0,"Scripps National Spelling Bee Words of the Champions (2020, 2021, 2022, 2023, 2024, 2025)",2025-08-19
despicable,Deserving hatred and contempt; extremely unpleasant or evil.,The villain's _____ behavior made everyone despise him.,One Bee,,,,,4.0,4.0,3.0,2.3,4-factor weighted model (overall_score: 3.41),adjective,dih-SPIK-uh-buhl (emphasis on second syllable),"From Latin ""despicabilis"", from ""despicere"" meaning ""to look down on""",Claude,"Think ""de-spic-able"" - able to be spiced with contempt","contemptible, loathsome",Latin,Claude,Scripps National Spelling Bee,One Bee,4.0,"Scripps National Spelling Bee Words of the Champions (2020, 2021)",2025-08-19
despite,In spite of; without being affected by; notwithstanding.,"_____ the rain, they continued with their picnic.",Three Bee,,,,,2.0,1.0,2.0,2.6,4-factor weighted model (overall_score: 1.87),preposition,dih-SPAHYT (emphasis on second syllable),"From Old French ""despit"", from Latin ""despectus"" meaning ""looking down""",Claude,"Think ""de-spite"" - in spite of something","in spite of, notwithstanding",Latin via Old French,Claude,Scripps National Spelling Bee,Three Bee,1.0,Scripps National Spelling Bee Words of the Champions (2025),2025-08-19
dessert,A sweet course eaten at the end of a meal; a sweet dish or confection.,The chocolate cake was the perfect _____ after dinner.,Three Bee,,,,,2.0,1.0,2.0,2.3,4-factor weighted model (overall_score: 1.81),noun,dih-ZURT (emphasis on second syllable),"From French ""dessert"", from ""desservir"" meaning ""to clear the table""",Claude,"Think ""dess-ert"" - two s's because you want seconds of dessert","sweet, pudding",French,Claude,Scripps National Spelling Bee,Three Bee,1.0,"Scripps National Spelling Bee Words of the Champions (2024, 2025)",2025-08-19
destination,The place to which someone or something is going or being sent.,Paris was their final _____ on the European tour.,Two Bee,,,,,3.0,4.0,3.0,2.3,4-factor weighted model (overall_score: 3.11),noun,des-tuh-NAY-shuhn (emphasis on third syllable),"From Latin ""destinatio"", from ""destinare"" meaning ""to determine, appoint""",Claude,"Think ""destine-ation"" - where you're destined to go","endpoint, goal",Latin,Claude,Scripps National Spelling Bee,Two Bee,4.0,Scripps National Spelling Bee Words of the Champions (2022),2025-08-19
