word,definition,pronunciation,etymology,memory_tip,example_sentence,etymology_source,definition_source,example_sentence_source,audio_source,difficulty_level,phonetic_score,frequency_score,morphology_score,etymology_score,combined_word_error
believed,Past tense of believe; accepted as true or real,/bɪˈlivd/,"From Middle English beleven, from Old English belefan, from be- + lief 'dear'","BELIEVED: Before Everyone - Learned and accepted Ideas, Everyone Valued truth, Everyone Decided to trust",She _____ in the importance of education and hard work.,Claude,Claude,Claude,,Intermediate,1.5,3.0,1.3,3.5,False
believers,Plural of believer; people who have faith or trust in something,/bɪˈlivərz/,"From believer + -s, where believer comes from believe + -er suffix","BELIEVERS: Before Everyone - Learned Ideas, Everyone Values truth, Everyone Really Shares faith",The _____ gathered every Sunday for worship and community fellowship.,Claude,Claude,Claude,,Intermediate,1.5,4.0,1.0,3.0,False
bell,A hollow metal device that makes a ringing sound when struck,/bɛl/,"From Old English belle, from Proto-Germanic bella","BELL: Beautiful Echoing - Loud resonating sound, Listeners enjoy the chimes",The church _____ rang out across the village every hour.,Claude,Claude,Claude,,Beginner,1.0,2.5,1.0,3.5,False
bellatrix,A bright star in the constellation Orion; a female warrior,/bəˈleɪtrɪks/,"From Latin bellatrix meaning 'female warrior', from bellator 'warrior'","BELLATRIX: Bright star - Exceptional Light appearing in constellation, Amazing Tremendous star, Really Important eXtraordinary celestial object",_____ is one of the most luminous stars visible in the winter sky.,Claude,Claude,Claude,,Intermediate,2.0,4.0,1.0,2.0,False
belle,A beautiful woman; the most attractive woman at a social gathering,/bɛl/,"From French belle meaning 'beautiful', feminine of bel","BELLE: Beautiful Elegant - Lovely Lady, Everyone admires her beauty",She was considered the _____ of the ball in her stunning evening gown.,Claude,Claude,Claude,,Beginner,1.0,2.5,1.0,2.0,False
bellwether,A leader or indicator of trends; originally a sheep with a bell around its neck,/ˈbɛlˌwɛðər/,"From bell + wether (castrated male sheep), referring to the lead sheep with a bell","BELLWETHER: Bell Wearing - Everyone Looks at this Leader, Weather predictive indicator, Everyone Takes direction, Helpful Early indicator, Everyone Recognizes trends",The state is often considered a _____ for national political trends.,Claude,Claude,Claude,,Intermediate,1.0,4.0,1.3,3.0,False
bellyache,A stomach pain; to complain persistently,/ˈbɛliˌeɪk/,"From belly + ache, literally referring to pain in the belly area","BELLYACHE: Bad Eating - Lots of discomfort, Yucky Aching stomach, Complaining Hurts Everyone",The child had a _____ after eating too much candy at the party.,Claude,Claude,Claude,,Intermediate,1.0,4.0,1.0,3.0,False
belongs,Third person singular of belong; is the property of or is a member of,/bɪˈlɔŋz/,"From Middle English belongen, from be- + longen 'to be suitable'","BELONGS: Being Everyone's - Love and ownership, Naturally Goes together, Someone's possession",This book _____ to the library and must be returned by Friday.,Claude,Claude,Claude,,Intermediate,1.0,3.0,1.0,3.5,False
beloved,Dearly loved; a person who is loved,/bɪˈlʌvɪd/,"From be- + loved, meaning 'greatly loved'","BELOVED: Being Everyone's - Love and devotion, Obvious Valued person, Everyone's Dear one",The _____ teacher was remembered fondly by generations of students.,Claude,Claude,Claude,,Intermediate,1.0,3.0,1.3,3.0,False
below,At a lower level or position; underneath,/bɪˈloʊ/,"From Middle English bilogh, from bi 'by' + logh 'low'","BELOW: Being Everyone's - Lower position, Obviously Underneath area, Way down low",The submarine descended to depths far _____ the ocean surface.,Claude,Claude,Claude,,Beginner,1.0,2.5,1.0,3.5,False
