word,definition,pronunciation,pronunciation_respelling,etymology,etymology_source,memory_tip,example_sentence,example_sentence_source,years,source_files,source_difficulties,definition_source,pronunciation_source,phonetic_transparency_score,word_frequency_score,morphological_complexity_score,etymology_complexity_score,total_difficulty_score,assigned_difficulty,audio_file_path,created_at,updated_at,notes,review_status,batch_number
postdiction,An explanation or account made after an event has occurred; retroactive prediction.,/poʊstˈdɪkʃən/,pohst-DIK-shun,"From Latin ""post"" (after) + ""dictio"" (speaking, saying).",Claude,"Think ""post"" (after) + ""diction"" (saying) = saying something after it happens.",The analyst's ___ explained market trends only after the crash had already occurred.,Claude,2025,2025 Words of Champion _1_.pdf,Three Bee,Claude,Claude,6,8,5,4,23,,,2025-01-01,2025-01-01,Batch 137 processing,pending,137
posteriori,"Relating to reasoning from observed facts; empirical (as in ""a posteriori"").",/ˌpoʊstɪriˈɔːraɪ/,pohst-ih-ree-OR-eye,"From Latin ""a posteriori"" meaning ""from what comes after"" (from experience).",Claude,"Think ""post"" (after) + ""eriori"" = knowledge that comes after experience.",The scientist drew ___ conclusions based on experimental data rather than theory.,Claude,2020; 2021; 2022; 2023; 2024,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf,One Bee; Three Bee; Two Bee,Claude,Claude,8,8,4,4,24,,,2025-01-01,2025-01-01,Batch 137 processing,pending,137
posterity,Future generations of people; descendants.,/pɒˈsterəti/,pos-TER-ih-tee,"From Latin ""posteritas,"" from ""posterus"" (coming after).",Claude,"Think ""post"" (after) + ""erity"" = those who come after us.",The environmental policies were designed to protect the planet for ___.,Claude,2022; 2023; 2024,2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf,Three Bee; Two Bee,Claude,Claude,6,8,5,4,23,,,2025-01-01,2025-01-01,Batch 137 processing,pending,137
posterityposthumous,"[COMBINED WORD ERROR] This appears to be ""posterity"" + ""posthumous"" incorrectly joined. Should be separated into two distinct words.",[ERROR - COMBINED WORDS],[ERROR - COMBINED WORDS],"[ERROR - COMBINED WORDS] This combines ""posterity"" (Latin: future generations) with ""posthumous"" (Latin: after death).",Claude,"[ERROR] This should be split into ""posterity"" (future generations) and ""posthumous"" (after death).","[ERROR] This combined word should be corrected to separate ""posterity"" and ""posthumous.""",Claude,2025,2025 Words of Champion _1_.pdf,Three Bee,Claude,Claude,6,8,5,4,23,,,2025-01-01,2025-01-01,Batch 137 processing,pending,137
posthumous,"Occurring, awarded, or appearing after the death of the originator.",/ˈpɒstjʊməs/,POST-yuh-mus,"From Latin ""posthumus,"" meaning ""last, final"" (later associated with ""post humus"" - after burial).",Claude,"Think ""post"" (after) + ""humus"" (burial) = after death/burial.",The author received a ___ award for the novel published after her death.,Claude,2020; 2021; 2022; 2023; 2024,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf,One Bee; Three Bee; Two Bee,Claude,Claude,6,8,5,4,23,,,2025-01-01,2025-01-01,Batch 137 processing,pending,137
postpone,To delay or put off to a later time.,/poʊstˈpoʊn/,pohst-POHN,"From Latin ""postponere,"" from ""post"" (after) + ""ponere"" (to put).",Claude,"Think ""post"" (after) + ""pone"" (put) = put after/later.","Due to rain, they decided to ___ the outdoor wedding until next weekend.",Claude,2020; 2021,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf,One Bee,Claude,Claude,6,8,3,4,21,,,2025-01-01,2025-01-01,Batch 137 processing,pending,137
postponewafer,"[COMBINED WORD ERROR] This appears to be ""postpone"" + ""wafer"" incorrectly joined. Should be separated into two distinct words.",[ERROR - COMBINED WORDS],[ERROR - COMBINED WORDS],"[ERROR - COMBINED WORDS] This combines ""postpone"" (Latin: put after) with ""wafer"" (Dutch: thin cake).",Claude,"[ERROR] This should be split into ""postpone"" (delay) and ""wafer"" (thin cake).","[ERROR] This combined word should be corrected to separate ""postpone"" and ""wafer.""",Claude,2022,2022 Words of the Champions_low_ink_printable.pdf,Two Bee,Claude,Claude,6,8,4,4,22,,,2025-01-01,2025-01-01,Batch 137 processing,pending,137
postural,Relating to or involving bodily posture.,/ˈpɒstʃərəl/,POSH-chur-ul,"From Latin ""postura"" (position) + suffix ""-al"" (relating to).",Claude,"Think ""posture"" + ""al"" = relating to body position.",The physical therapist focused on ___ exercises to improve spinal alignment.,Claude,2022; 2023; 2024; 2025,2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee,Claude,Claude,8,8,3,4,23,,,2025-01-01,2025-01-01,Batch 137 processing,pending,137
potager,A French-style ornamental vegetable garden.,/pɒtəˈʒeɪ/,pot-uh-ZHAY,"From French ""potager,"" from ""potage"" (soup), referring to kitchen garden vegetables.",Claude,"Think ""pot"" + ""ager"" = garden for pot vegetables (soup ingredients).",The château's beautiful ___ combined vegetables and flowers in geometric patterns.,Claude,2020; 2021,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf,One Bee,Claude,Claude,8,8,3,4,23,,,2025-01-01,2025-01-01,Batch 137 processing,pending,137
potassium,"A chemical element, an alkali metal essential for life, symbol K.",/pəˈtæsiəm/,puh-TAS-ee-um,"From English ""potash"" + suffix ""-ium,"" from Dutch ""potasch"" (pot ash).",Claude,"Think ""pot ash"" + ""ium"" = element found in pot ash.","Bananas are rich in ___, which helps maintain healthy blood pressure.",Claude,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,Claude,Claude,6,8,4,3,21,,,2025-01-01,2025-01-01,Batch 137 processing,pending,137
