word,definition,example_sentence,source_difficulty,difficulty_level,difficulty_name,ai_difficulty_level,ai_difficulty_name,phonetic_transparency_score,word_frequency_score,morphology_score,etymology_score,difficulty_calculation_method,part_of_speech,pronunciation_guide,etymology,etymology_source,memory_tips,alternate_spellings,language_origin,definition_source,source_names,source_difficulties,frequency,original_source,source_access_date
thunderbolt,A flash of lightning with its accompanying thunder; something sudden and shocking; a powerful or devastating force.,The _____ struck the tree with tremendous force.,One Bee,,,,,4.0,4.0,1.0,1.3,4-factor weighted model (overall_score: 2.71),noun,THUHN-der-bohlt (emphasis on first syllable),"From ""thunder"" + ""bolt"", from Old English ""thunor"" + ""bolt""",Claude,"Think ""thunder-bolt"" - a bolt of lightning that makes thunder",,Old English,Claude,Scripps National Spelling Bee,One Bee,4.0,"Scripps National Spelling Bee Words of the Champions (2020, 2021)",2025-08-19
thurible,"A metal container suspended on chains, used for burning incense during religious ceremonies.",The priest swung the _____ as fragrant smoke filled the cathedral.,Two Bee,,,,,4.0,4.0,2.0,2.3,4-factor weighted model (overall_score: 3.16),noun,THOOR-uh-buhl (emphasis on first syllable),"From Latin ""thuribulum"", from ""thus"" (incense)",Claude,"Think ""thur-ible"" - able to hold incense for ceremonies",censer,Latin,Claude,Scripps National Spelling Bee,Two Bee,4.0,Scripps National Spelling Bee Words of the Champions (2023),2025-08-19
thursday,"The fifth day of the week, between Wednesday and Friday.",The meeting is scheduled for _____ afternoon.,Three Bee,,,,,3.0,1.0,1.0,1.3,4-factor weighted model (overall_score: 1.66),noun,THURZ-day (emphasis on first syllable),"From Old English ""thursdæg"", from Thor's day (Norse god of thunder)",Claude,"Think ""Thor's-day"" - the day named after the Norse god Thor",,Old English (from Norse),Claude,Scripps National Spelling Bee,Three Bee,1.0,Scripps National Spelling Bee Words of the Champions (2024),2025-08-19
thus,In this way; therefore; as a result; to this degree or extent.,"The experiment failed; _____, we need to try a different approach.",Three Bee,,,,,2.0,1.0,1.0,1.3,4-factor weighted model (overall_score: 1.36),adverb,THUHS (single syllable),"From Old English ""thus""",Claude,"Think ""this"" but with ""thus"" - meaning ""in this way""",,Old English,Claude,Scripps National Spelling Bee,Three Bee,1.0,Scripps National Spelling Bee Words of the Champions (2025),2025-08-19
thwartwise,Crosswise; extending across something; in a direction that opposes or blocks.,The beam was placed _____ to provide structural support.,One Bee,,,,,4.0,4.0,2.0,4.0,4-factor weighted model (overall_score: 3.50),"adverb, adjective",THWORT-wyz (emphasis on first syllable),"From ""thwart"" (across, crosswise) + ""-wise""",Claude,"Think ""thwart-wise"" - wisely blocking or going across",,English,Claude,Scripps National Spelling Bee,One Bee; Three Bee; Two Bee,4.0,"Scripps National Spelling Bee Words of the Champions (2020, 2021, 2022, 2023, 2024, 2025)",2025-08-19
thylacine,"An extinct carnivorous marsupial from Tasmania, also known as the Tasmanian tiger or wolf.",The last _____ died in captivity in 1936.,One Bee,,,,,4.0,4.0,1.0,2.3,4-factor weighted model (overall_score: 2.91),noun,THY-luh-seen (emphasis on first syllable),"From Greek ""thylakos"" (pouch) + Latin ""-ine""",Claude,"Think ""thy-la-cine"" - thy pouch canine (marsupial dog-like animal)",Tasmanian tiger,Greek and Latin,Claude,Scripps National Spelling Bee,One Bee,4.0,"Scripps National Spelling Bee Words of the Champions (2020, 2021)",2025-08-19
thyme,"An aromatic herb of the mint family, used for seasoning and medicinal purposes.",She added fresh _____ to the roasted vegetables.,One Bee,,,,,3.0,3.0,1.0,3.3,4-factor weighted model (overall_score: 2.56),noun,"TYM (single syllable, rhymes with ""time"")","From Greek ""thymon"", from ""thyein"" meaning ""to sacrifice""",Claude,"Think ""time"" - thyme takes time to grow and adds flavor over time",,Greek,Claude,Scripps National Spelling Bee,One Bee; Three Bee; Two Bee,3.0,"Scripps National Spelling Bee Words of the Champions (2020, 2021, 2022, 2023, 2024, 2025)",2025-08-19
thyroid,A butterfly-shaped gland in the neck that produces hormones regulating metabolism.,The doctor ordered blood tests to check her _____ function.,Three Bee,,,,,3.0,3.0,1.0,3.3,4-factor weighted model (overall_score: 2.56),"noun, adjective",THY-royd (emphasis on first syllable),"From Greek ""thyroeides"", from ""thyra"" (door) + ""-eides"" (shaped like)",Claude,"Think ""thy-roid"" - thy shield-shaped gland (shaped like a door)",,Greek,Claude,Scripps National Spelling Bee,Three Bee,3.0,Scripps National Spelling Bee Words of the Champions (2024),2025-08-19
tiara,"A decorative crown or headband, typically worn by women; a jeweled ornamental headpiece.",The princess wore a sparkling _____ for the coronation ceremony.,Two Bee,,,,,2.0,3.0,2.0,3.3,4-factor weighted model (overall_score: 2.51),noun,tee-AR-uh (emphasis on second syllable),"From Greek ""tiara"", from Persian origin",Claude,"Think ""tea-ara"" - a fancy crown for tea parties",,Greek (from Persian),Claude,Scripps National Spelling Bee,Two Bee,3.0,Scripps National Spelling Bee Words of the Champions (2023),2025-08-19
tibetan,"Relating to Tibet, its people, or culture; a native of Tibet or the Tibetan language.",The _____ monastery was built high in the mountains.,Three Bee,,,,,2.0,3.0,2.0,4.0,4-factor weighted model (overall_score: 2.65),"adjective, noun",ti-BET-uhn (emphasis on second syllable),"From Tibet + ""-an""",Claude,"Think ""Tibet-an"" - relating to Tibet",,English (from place name),Claude,Scripps National Spelling Bee,Three Bee,3.0,Scripps National Spelling Bee Words of the Champions (2025),2025-08-19
tibia,The larger of the two bones in the lower leg; the shinbone.,The soccer player fractured his _____ during the game.,One Bee,,,,,2.0,3.0,2.0,2.3,4-factor weighted model (overall_score: 2.31),noun,TIB-ee-uh (emphasis on first syllable),"From Latin ""tibia"" meaning ""flute, pipe"" (from its shape)",Claude,"Think ""tib-ia"" - the big bone that you can feel in your shin",shinbone,Latin,Claude,Scripps National Spelling Bee,One Bee; Three Bee; Two Bee,3.0,"Scripps National Spelling Bee Words of the Champions (2020, 2021, 2022, 2023, 2024)",2025-08-19
tichodrome,"A small bird that climbs on rock faces and walls, also known as the wallcreeper.",The _____ used its curved bill to probe for insects in rock crevices.,Three Bee,,,,,4.0,4.0,2.0,3.3,4-factor weighted model (overall_score: 3.36),noun,TIK-oh-drohm (emphasis on first syllable),"From Greek ""teichos"" (wall) + ""dromos"" (runner)",Claude,"Think ""tick-o-drome"" - a bird that ticks along walls like a metronome",wallcreeper,Greek,Claude,Scripps National Spelling Bee,Three Bee,4.0,Scripps National Spelling Bee Words of the Champions (2025),2025-08-19
tichodromesapporo,"[COMBINED WORD ERROR] This appears to be two words incorrectly joined: ""tichodrome"" (wallcreeper bird) + ""sapporo"" (Japanese city).",[ERROR - This combined word should not appear in spelling bee materials],Three Bee,,,,,4.0,4.0,2.0,4.0,4-factor weighted model (overall_score: 3.50),error - combined words,[PRONUNCIATION ERROR - COMBINED WORDS],[ETYMOLOGY ERROR - COMBINED WORDS],Claude,"This is a data error - should be separated into ""tichodrome"" and ""sapporo""",tichodrome + sapporo (separate words),ERROR - combined words,Claude,Scripps National Spelling Bee,Three Bee,4.0,Scripps National Spelling Bee Words of the Champions (2025),2025-08-19
tickled,Past tense of tickle; lightly touched to cause laughter; pleased or amused.,The baby _____ and giggled when his mother played with his feet.,One Bee,,,,,4.0,3.0,3.0,1.3,4-factor weighted model (overall_score: 2.96),verb (past tense),TIK-uhld (emphasis on first syllable),"Past tense of ""tickle"", from Middle English ""tiklen""",Claude,"Think ""tick-led"" - led to laugh by light touches like a clock tick",,Middle English,Claude,Scripps National Spelling Bee,One Bee; Three Bee; Two Bee,3.0,"Scripps National Spelling Bee Words of the Champions (2020, 2021, 2022, 2023, 2024, 2025)",2025-08-19
tide,The regular rise and fall of ocean water; a trend or tendency; a time or season.,The fishing boat returned with the evening _____.,Three Bee,,,,,1.0,1.0,1.0,1.3,4-factor weighted model (overall_score: 1.06),"noun, verb",TYD (single syllable),"From Old English ""tid"" meaning ""time, season""",Claude,Think of water rising and falling with time,,Old English,Claude,Scripps National Spelling Bee,Three Bee,1.0,Scripps National Spelling Bee Words of the Champions (2024),2025-08-19
tied,Past tense of tie; fastened or bound with rope or string; equal in score.,She _____ her shoelaces before starting the race.,Three Bee,,,,,1.0,1.0,1.0,1.3,4-factor weighted model (overall_score: 1.06),"verb (past tense), adjective",TYD (single syllable),"Past tense of ""tie"", from Old English ""tigan""",Claude,"Think ""tie-d"" - something has been tied up",,Old English,Claude,Scripps National Spelling Bee,Three Bee,1.0,Scripps National Spelling Bee Words of the Champions (2025),2025-08-19
