"word","definition","part_of_speech","pronunciation_guide","etymology","language_origins","definition_source","pronunciation_source","etymology_source","example_sentence","example_sentence_source","memory_tip","memory_tip_source","difficulty_phonetic","difficulty_semantic","difficulty_morphological","difficulty_etymological","difficulty","years","source_files","source_difficulties","combined_words_detected","incomplete_word_detected","parsing_errors"
"focused","Focused describes someone or something that is concentrated, directed, or centered on a particular objective, task, or area of attention. When someone is focused, they are able to direct their mental energy and attention toward specific goals without being easily distracted. This state involves mental clarity, purpose, and the ability to maintain concentration over time. Focused can also describe light, energy, or other phenomena that have been concentrated or directed toward a specific point or target.","adjective, verb (past tense)","FOH-kust","From ""focus"" (from Latin ""focus"" meaning ""hearth"" or ""fireplace"") plus the past participle ending ""-ed.""","Latin","Claude","Claude","Claude","She remained _______ on her goals despite the many distractions around her.","Claude","Remember ""FOCUS-ed"" - having achieved a state of FOCUS, concentrated and directed like light through a lens.","Claude","1","4","1","3","","2022; 2023; 2024; 2025","2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf","Three Bee; Two Bee","False","False",""
"focuses","Focuses can function as both a verb and noun, referring to the act of concentrating attention or effort on particular subjects, or to multiple centers of attention or activity. As a verb, focuses means to direct attention, adjust for clarity, or concentrate efforts. As a noun, focuses refers to multiple points of concentration or the central points of interest in various contexts. The word emphasizes concentration, clarity, and directed attention toward specific objectives.","verb, noun (plural)","FOH-kus-iz","From ""focus,"" plural form or third person singular present tense, from Latin ""focus"" meaning ""hearth"" or ""central point.""","Latin","Claude","Claude","Claude","The research team _______ on three main areas of investigation this semester.","Claude","Remember ""FOCUS-es"" - multiple points of FOCUS or the action of focusing, concentrating attention on specific areas.","Claude","1","4","1","3","","2024","2024 Words of the Champions.pdf","Three Bee","False","False",""
"fodder","Fodder is coarse food, especially dried hay or feed, given to livestock such as cattle, horses, and sheep. The term can also refer metaphorically to raw material or people considered as readily available resources for a particular purpose, often with connotations of expendability. In military contexts, ""cannon fodder"" refers to soldiers viewed as expendable. The word emphasizes basic sustenance or material that serves a utilitarian purpose.","noun","FOD-er","From Old English ""fodor,"" meaning ""food for cattle,"" related to ""foda"" meaning ""food,"" ultimately from Germanic roots.","Old English, Germanic","Claude","Claude","Claude","The farmer stored bales of hay as winter _______ for the cattle.","Claude","Remember ""FODDER"" - food for animals, or people treated like cattle, fed basic material to keep them going.","Claude","1","4","1","2","","2021","2021_Printable_Words of the Champions.pdf","One Bee","False","False",""
"foible","A foible is a minor weakness or failing in someone's character, particularly a small flaw or quirky trait that is relatively harmless but noticeable. Foibles are typically endearing or amusing personal characteristics that make people human and relatable, rather than serious character defects. These minor flaws often become part of what makes individuals unique and memorable. The word suggests tolerance and affection for human imperfections.","noun","FOY-bul","From French ""foible,"" meaning ""weak,"" ultimately from Latin ""flebilis"" meaning ""lamentable,"" related to ""flere"" (to weep).","French, Latin","Claude","Claude","Claude","His habit of collecting vintage bottle caps was just one of his charming _______.","Claude","Remember ""FOIBLE"" - a small FLAW that's quite WORKABLE, a minor weakness that's actually endearing.","Claude","1","4","2","3","","2020; 2021; 2022; 2023; 2024; 2025","2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf","One Bee; Three Bee; Two Bee","False","False",""
"foist","Foist means to impose something unwanted or undesirable on someone through deception, persistence, or abuse of authority. When someone foists something upon another person, they force that person to accept, deal with, or take responsibility for something they didn't want or ask for. The word often implies trickery, manipulation, or taking advantage of someone's position or circumstances to make them accept an unwelcome burden or responsibility.","verb","FOIST","Possibly from Dutch ""vuisten"" meaning ""to take in hand,"" or from obsolete ""foist"" meaning a dishonest person or cheat.","Dutch, English","Claude","Claude","Claude","The unscrupulous contractor tried to _______ additional charges onto the unsuspecting homeowner.","Claude","Remember ""FOIST"" - to force something unwanted on someone, like making them take a FIST full of problems.","Claude","1","4","1","1","","2025","2025 Words of Champion _1_.pdf","Three Bee","False","False",""
"folate","Folate is a B-vitamin (specifically B9) that is essential for DNA synthesis, cell division, and proper brain function. This water-soluble vitamin is naturally found in leafy green vegetables, legumes, and fortified foods. Folate is particularly important during pregnancy for preventing birth defects, and deficiency can lead to anemia and other health problems. The synthetic form of folate, called folic acid, is commonly used in supplements and food fortification.","noun","FOH-layt","From Latin ""folium"" meaning ""leaf,"" because this vitamin was first isolated from spinach leaves.","Latin","Claude","Claude","Claude","Pregnant women are advised to take _______ supplements to support healthy fetal development.","Claude","Remember ""FOL-ate"" - a vitamin found in FOLiage (leafy greens) that you should folLOW for good health.","Claude","1","4","1","3","","2024; 2025","2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf","Three Bee","False","False",""
"folded","Folded describes something that has been bent, doubled over, or creased so that one part lies on another. When something is folded, it has been deliberately arranged to take up less space or to create a particular shape through bending or doubling. The word can apply to paper, fabric, body parts, or any flexible material that can be bent without breaking. Folded also suggests neatness, organization, and compact arrangement.","adjective, verb (past tense)","FOHLD-id","From ""fold,"" from Old English ""fealdan,"" meaning ""to bend"" or ""to double over,"" related to similar words in Germanic languages.","Old English","Claude","Claude","Claude","She placed the neatly _______ laundry in the dresser drawer.","Claude","Remember ""FOLD-ed"" - something that has been bent and arranged, like papers that have been folded in half.","Claude","1","4","1","1","","2025","2025 Words of Champion _1_.pdf","Three Bee","False","False",""
"folding","Folding refers to the action of bending or doubling something over so that one part lies against another, or describes something that can be bent or collapsed for storage or transport. Folding can describe the process of arranging clothes, creating origami, or the way certain furniture and equipment can be collapsed to save space. The word emphasizes flexibility, compactness, and the ability to change shape or size through bending.","verb (present participle), adjective, noun","FOHLD-ing","From ""fold"" plus the present participle suffix ""-ing,"" from Old English ""fealdan"" meaning ""to bend.""","Old English","Claude","Claude","Claude","The _______ table could be easily stored in the closet when not needed.","Claude","Remember ""FOLD-ing"" - the ongoing action of bending things, or objects designed to fold for easy storage.","Claude","1","4","1","1","","2025","2025 Words of Champion _1_.pdf","Three Bee","False","False",""
"foley","Foley refers to the reproduction of everyday sound effects that are added to films, videos, and other media in post-production to enhance audio quality. Named after sound-effects artist Jack Foley, this technique involves creating sounds like footsteps, door creaks, or rustling clothes in a recording studio to match the action on screen. Foley artists use various props and techniques to create realistic sounds that make scenes more immersive and believable.","noun","FOH-lee","Named after Jack Foley (1891-1967), an American sound effects artist who developed many techniques for creating movie sound effects.","Proper name (American)","Claude","Claude","Claude","The _______ artist created realistic footstep sounds by walking on different surfaces in the recording studio.","Claude","Remember ""FOLEY"" - sound effects for films, named after Jack FOLEY who was FULLY committed to realistic movie sounds.","Claude","1","4","1","1","","2021","2021_Printable_Words of the Champions.pdf","One Bee","False","False",""
"foleysyzygy","[Definition for foleysyzygy not available in batch data]","unknown","[Pronunciation for foleysyzygy not available]","[Etymology for foleysyzygy not available]","unknown","Claude","Claude","Claude","[Example sentence for foleysyzygy not available]","Claude","[Memory tip for foleysyzygy not available]","Claude","1","1","2","1","","2020","2020 Words_of_the_Champions.pdf","One Bee","True","False","Combined word error: ""foleysyzygy"" appears to be foley + syzygy merged together. This is likely a PDF parsing error where two separate words were incorrectly combined."
"foliage","Foliage refers collectively to the leaves of plants, trees, and shrubs, especially when viewed as a decorative or natural feature. This term encompasses the leafy growth that provides the green coverage of forests, gardens, and natural landscapes. Foliage can be described by its color, density, seasonal changes, or decorative qualities. The word is often used in gardening, landscaping, and nature description to emphasize the beauty and importance of plant leaves.","noun","FOH-lee-ij","From Old French ""fueillage,"" from ""feuille"" meaning ""leaf,"" ultimately from Latin ""folium.""","Latin, Old French","Claude","Claude","Claude","The autumn _______ created a spectacular display of red, orange, and yellow colors.","Claude","Remember ""FOLI-age"" - the collective AGE of leaves (FOLI), all the leafy growth on trees and plants.","Claude","1","4","1","3","","2020","2020 Words_of_the_Champions.pdf","One Bee","False","False",""
"follicle","A follicle is a small anatomical cavity or sac in the body, particularly the tiny structures in the skin from which hair grows, or the sacs in ovaries that contain developing eggs. Hair follicles are tube-like structures that surround hair roots and produce hair growth, while ovarian follicles release eggs during ovulation. Follicles are essential structures in both hair production and reproductive processes, representing important functional units in human biology.","noun","FOL-i-kul","From Latin ""folliculus,"" diminutive of ""follis"" meaning ""bag"" or ""sac,"" referring to the small sac-like structure.","Latin","Claude","Claude","Claude","Each hair grows from its own _______ beneath the surface of the skin.","Claude","Remember ""FOLLI-cle"" - small sacs where hair FOLLows its growth pattern, or eggs prepare to be FOLLowed by ovulation.","Claude","1","4","1","3","","2020; 2021; 2022; 2023; 2024; 2025","2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf","One Bee; Three Bee; Two Bee","False","False",""
"follow","Follow means to go or come after someone or something in time, order, or position, or to pursue, chase, or accompany. The word can describe physical movement behind someone, adherence to rules or instructions, understanding of logic or reasoning, or showing interest in someone's activities or social media. Follow emphasizes sequence, pursuit, compliance, or the act of coming after something in various contexts.","verb","FOL-oh","From Old English ""folgian,"" meaning ""to pursue"" or ""to accompany,"" related to similar words in Germanic languages.","Old English","Claude","Claude","Claude","Please _______ the marked trail to reach the summit safely.","Claude","Remember ""FOLLOW"" - to go after someone or something, like following a FELLOW traveler on a path.","Claude","1","4","1","1","","2020; 2021; 2022; 2023; 2024; 2025","2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf","One Bee; Three Bee; Two Bee","False","False",""
"followed","Followed is the past tense of follow, indicating that someone or something went after, pursued, or came after another person, thing, or event in time or sequence. When something followed, it occurred subsequently, adhered to instructions, or resulted from previous actions. The word can describe physical pursuit, chronological sequence, logical progression, or compliance with rules or directions that happened in the past.","verb (past tense)","FOL-ohd","Past tense of ""follow,"" from Old English ""folgian,"" meaning ""to pursue"" or ""to accompany.""","Old English","Claude","Claude","Claude","The detective _______ the suspicious vehicle through the downtown area.","Claude","Remember ""FOLLOW-ed"" - past tense of following, describing pursuit or sequence that already happened.","Claude","1","4","1","1","","2021","2021_Printable_Words of the Champions.pdf","One Bee","False","False",""
"following","Following can function as an adjective meaning ""next"" or ""coming after,"" as a noun referring to a group of supporters or adherents, or as a preposition meaning ""after"" or ""as a result of."" When something is following, it comes next in sequence or time. As a noun, following describes people who support, admire, or regularly engage with someone or something, such as a social media following or a political following.","adjective, noun, preposition, verb (present participle)","FOL-oh-ing","From ""follow"" plus the present participle suffix ""-ing,"" creating multiple grammatical functions.","Old English","Claude","Claude","Claude","The _______ day brought clear skies and perfect weather for the outdoor concert.","Claude","Remember ""FOLLOW-ing"" - what comes next after following, or the group of people who follow someone.","Claude","1","4","1","1","","2020; 2021; 2022; 2023; 2024; 2025","2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf","One Bee; Three Bee; Two Bee","False","False",""
"follows","Follows is the third person singular present tense of follow, indicating that someone or something goes after, pursues, or comes after another person, thing, or event. When something follows, it occurs next in sequence, adheres to rules, results from previous actions, or physically pursues. The word can describe logical progression, physical movement, compliance, or chronological sequence happening in the present.","verb","FOL-ohz","Third person singular present form of ""follow,"" from Old English ""folgian.""","Old English","Claude","Claude","Claude","Success usually _______ hard work and dedication to one's goals.","Claude","Remember ""FOLLOW-s"" - what someone or something does when they go after or come next, following a pattern.","Claude","1","4","1","1","","2024","2024 Words of the Champions.pdf","Three Bee","False","False",""
