word,definition,pronunciation,pronunciation_audio_url,example_sentence,etymology,etymology_source,memory_tip,fun_fact,difficulty_level,source_difficulty,source,source_url
carte,"A menu, especially in a restaurant; or a map or chart.",/kɑrt/,,The waiter presented the evening's _____ featuring seasonal specialties and wine pairings.,"From French carte, from Latin charta 'paper'",Claude,Remember CARTE: Classic And Restaurant Table Entertainment - menu or map.,The phrase 'à la carte' literally means 'according to the card' and refers to ordering individual dishes rather than a set meal.,Beginning,One Bee,Scripps National Spelling Bee,https://spellingbee.com
carthusian,"A member of a strict Roman Catholic monastic order founded in 1084, known for their contemplative and austere lifestyle.",/kɑrˈθuziən/,,"The _____ monks lived in silence and solitude, dedicating their lives to prayer and meditation.","From Chartreuse, the location of their first monastery in France",Claude,Remember CARTHUSIAN: Catholic And Religious Traditional Hermits Upholding Strict Internal Ascetic Norms - monastic order.,"Carthusian monks are famous for creating Chartreuse liqueur, one of the few remaining monastery-produced spirits.",Beginning,One Bee,Scripps National Spelling Bee,https://spellingbee.com
cartilage,"A firm, flexible connective tissue found in various parts of the body, including joints, nose, and ears.",/ˈkɑrtəlɪdʒ/,,The surgeon explained that the damaged _____ in her knee would need to be repaired arthroscopically.,"From Latin cartilago, from unknown origin",Claude,Remember CARTILAGE: Connective And Resilient Tissue In Limbs And Generating Elasticity - flexible body tissue.,"Shark skeletons are made entirely of cartilage rather than bone, making them lighter and more flexible for swimming.",Beginning,One Bee,Scripps National Spelling Bee,https://spellingbee.com
cartoon,A simple drawing showing features in a humorous or exaggerated way; or an animated film or TV show.,/kɑrˈtun/,,The political _____ in the newspaper cleverly satirized the current election campaign.,"From Italian cartone 'pasteboard', from carta 'paper'",Claude,Remember CARTOON: Comic And Ridiculous Theatrical Outlined Outlined Narrative - humorous drawing.,"The first animated cartoon was created in 1906 by J. Stuart Blackton, called 'Humorous Phases of Funny Faces.'",Beginning,Two Bee,Scripps National Spelling Bee,https://spellingbee.com
cartouches,Oval frames containing Egyptian hieroglyphic names of royalty; or ornamental scrollwork designs in architecture.,/kɑrˈtuʃɪz/,,"The archaeologist identified several royal _____ on the temple wall, indicating the presence of pharaonic inscriptions.","From French cartouche, from Italian cartoccio 'roll of paper'",Claude,Remember CARTOUCHES: Containing And Recording Titles Of Unique Ceremonial Hieroglyphic Egyptian Symbols - Egyptian name frames.,The Rosetta Stone's cartouches helped scholars decode hieroglyphics by providing known royal names in multiple scripts.,Beginning,One Bee,Scripps National Spelling Bee,https://spellingbee.com
caryatid,"A sculpted female figure serving as an architectural support or column, typically in classical Greek architecture.",/ˌkæriˈætɪd/,,The ancient temple featured six elegant _____ figures supporting the roof with graceful poses.,"From Greek karyatides, referring to maidens from Karyai",Claude,Remember CARYATID: Classical Architecture Requires Young And Talented Individual Decorative figures - female column.,"The most famous caryatids are those from the Erechtheion on the Acropolis in Athens, dating to around 420 BCE.",Beginning,One Bee,Scripps National Spelling Bee,https://spellingbee.com
casa,"Spanish and Italian word for house; used in English to refer to a dwelling, especially in southwestern United States.",/ˈkɑsə/,,Their vacation _____ in Mexico featured traditional tile work and a beautiful courtyard garden.,"From Spanish and Italian casa, from Latin casa 'cottage'",Claude,Remember CASA: Comfortable And Spacious Accommodation - Spanish/Italian house.,"The word 'casa' appears in many place names in the southwestern United States, reflecting Spanish colonial history.",Beginning,Two Bee,Scripps National Spelling Bee,https://spellingbee.com
cascabel,"A small, round, dried chili pepper with a distinctive rattling sound when shaken; or a type of small cannon.",/ˌkæskəˈbɛl/,,"The chef used dried _____ peppers to add a smoky, nutty flavor to the traditional Mexican sauce.","From Spanish cascabel 'little bell', from cascabe 'rattle'",Claude,Remember CASCABEL: Chili And Spicy Capsicum Always Brings Excellent Lively flavor - rattling pepper.,Cascabel peppers are named for their resemblance to sleigh bells and the rattling sound their seeds make when dried.,Beginning,Three Bee,Scripps National Spelling Bee,https://spellingbee.com
cascade,"A waterfall, especially one in a series; or something that falls, rushes, or occurs in abundance.",/kæsˈkeɪd/,,The mountain stream formed a beautiful _____ as it tumbled down the rocky cliff face.,"From French cascade, from Italian cascata, from cascare 'to fall'",Claude,Remember CASCADE: Constantly And Steadily Cascading And Descending Elegantly - waterfall or flowing sequence.,"In computing, a 'cascade' refers to a series of operations where each one triggers the next, like in CSS styling.",Beginning,One Bee,Scripps National Spelling Bee,https://spellingbee.com
cases,"Plural of case; instances, examples, or occurrences of something; containers or coverings.",/ˈkeɪsɪz/,,The detective reviewed several _____ of similar crimes to identify a pattern in the suspect's behavior.,"From case + -s, from Latin casus 'fall, occurrence'",Claude,Remember CASES: Circumstances And Situations Everyone Studies - instances or containers.,"In legal terminology, landmark cases often establish precedents that influence future court decisions for decades.",Beginning,Three Bee,Scripps National Spelling Bee,https://spellingbee.com
