"word","definition","part_of_speech","pronunciation_guide","etymology","language_origins","definition_source","pronunciation_source","etymology_source","example_sentence","example_sentence_source","memory_tip","memory_tip_source","difficulty_phonetic","difficulty_semantic","difficulty_morphological","difficulty_etymological","difficulty","years","source_files","source_difficulties","combined_words_detected","incomplete_word_detected","parsing_errors"
"farouche","Farouche describes someone who is shy, wild, or unsociable in a fierce or sullen way. The word suggests a person who is withdrawn from social contact not out of simple shyness, but with a kind of fierce independence or untamed quality. Someone who is farouche may appear unfriendly or hostile, but this behavior often stems from a deep-seated wariness or discomfort with social interaction rather than genuine malice. The term carries connotations of wildness and an uncivilized or primitive nature, as if the person has not been tamed by social conventions.","adjective","fuh-ROOSH","From French ""farouche"" meaning ""wild"" or ""fierce,"" ultimately from Latin ""forasticus"" meaning ""outside"" or ""foreign,"" related to ""foris"" meaning ""out of doors.""","French, Latin","Claude","Claude","Claude","The _______ mountain dweller avoided visitors and rarely spoke to anyone who ventured near his remote cabin.","Claude","Remember ""fa-ROOSH"" - someone so wild and fierce they make a RUSHING sound when they retreat from social contact.","Claude","2","4","1","3","","2020; 2021; 2022; 2023; 2024; 2025","2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf","One Bee; Three Bee; Two Bee","False","False",""
"farrago","A farrago is a confused mixture or medley of things, typically a hodgepodge of different elements that creates a chaotic or disorganized whole. The word often describes a jumbled collection of ideas, styles, or objects that lack coherence or logical organization. Farrago can refer to literary works that mix various genres or themes inconsistently, or to any situation where multiple disparate elements are thrown together without careful consideration. The term emphasizes the confused and mixed-up nature of the collection rather than its diversity.","noun","fuh-RAH-goh","From Latin ""farrago"" meaning ""mixed fodder for cattle,"" derived from ""far"" meaning ""grain."" Originally referred to mixed animal feed.","Latin","Claude","Claude","Claude","The student's essay was a _______ of unrelated ideas that jumped from topic to topic without any clear structure.","Claude","Remember ""far-RAGO"" - a FAR-reaching mess of different things, like mixed animal feed that goes in all directions.","Claude","1","4","1","3","","2020; 2021; 2022; 2023; 2024; 2025","2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf","One Bee; Three Bee; Two Bee","False","False",""
"farsi","Farsi is the Persian language, spoken primarily in Iran and parts of Afghanistan and Tajikistan. It is an Indo-European language that uses a modified Arabic script and has been the literary language of much of the Islamic world for centuries. Farsi has a rich literary tradition, with famous poets like Rumi, Hafez, and Omar Khayyam writing in this language. The language has influenced many other languages in the region and has contributed numerous words to English, particularly in areas of poetry, mathematics, and culture.","noun, adjective","FAR-see","From Persian ""fārsī,"" meaning ""of Fars,"" referring to the Fars province in Iran where the language originated. Related to ""Persian.""","Persian","Claude","Claude","Claude","She spent two years studying _______ to better understand the classical poetry of medieval Persia.","Claude","Remember ""FAR-si"" - the language spoken FAR away in Persia, where you can SEE beautiful poetry and culture.","Claude","1","4","1","1","","2022; 2023; 2024; 2025","2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf","Three Bee; Two Bee","False","False",""
"farthingale","A farthingale is a hooped petticoat or framework worn under women's skirts in the 16th and 17th centuries to extend the skirt outward in a bell or drum shape. This undergarment was made of whalebone, wire, or wooden hoops that created the distinctive silhouette of Renaissance and Elizabethan fashion. Farthingales varied in style, with Spanish farthingales creating a cone shape and French farthingales producing a drum or wheel shape. The garment was both a fashion statement and a symbol of social status among the upper classes.","noun","FAR-thing-gayl","From Spanish ""verdugado,"" meaning ""rod-like,"" referring to the rods used in construction. The English term may be influenced by ""farthing"" (a small coin) and ""gale.""","Spanish, English","Claude","Claude","Claude","The museum's costume exhibit featured an elaborate Renaissance dress supported by an authentic 16th-century _______.","Claude","Remember ""FARTHING-gale"" - costs more than a FARTHING and creates a dress wide as a GALE wind, expanding the skirt.","Claude","2","4","2","1","","2024; 2025","2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf","Three Bee","False","False",""
"fascinated","Fascinated describes being intensely interested in or attracted to something, experiencing a powerful draw or captivation that holds one's attention completely. When someone is fascinated, they are so absorbed by something that they find it difficult to look away or think about anything else. This state involves both intellectual curiosity and emotional engagement, creating a sense of wonder or amazement. Fascination can be temporary or lasting, and it often leads to deeper exploration or study of the object of interest.","adjective (past participle)","FAS-uh-nay-tid","From Latin ""fascinatus,"" past participle of ""fascinare"" meaning ""to bewitch"" or ""to cast a spell,"" related to ""fascinum"" meaning ""spell"" or ""charm.""","Latin","Claude","Claude","Claude","The child remained _______ by the magician's performance, watching every movement with wide-eyed wonder.","Claude","Remember ""FASCIN-ated"" - so captivated it's like being under a FASCIN-ating spell, unable to look away.","Claude","1","4","1","3","","2024","2024 Words of the Champions.pdf","Three Bee","False","False",""
"fascinating","Fascinating describes something that is extremely interesting, captivating, or enchanting in a way that holds attention completely. When something is fascinating, it possesses qualities that draw people in and make them want to learn more or continue observing. The word suggests an almost magical ability to capture interest, often involving elements of mystery, beauty, complexity, or uniqueness. Fascinating subjects or experiences create a sense of wonder and curiosity that can be both intellectually stimulating and emotionally engaging.","adjective","FAS-uh-nay-ting","Present participle of ""fascinate,"" from Latin ""fascinare"" meaning ""to bewitch,"" related to the idea of casting a spell that captures attention.","Latin","Claude","Claude","Claude","The documentary about deep-sea creatures was _______, revealing species that seemed almost alien in their bizarre adaptations.","Claude","Remember ""FASCIN-ating"" - so interesting it's like a FASCIN-ating spell that keeps you watching and wanting more.","Claude","1","4","2","3","","2025","2025 Words of Champion _1_.pdf","Three Bee","False","False",""
"fascinator","A fascinator is a lightweight, decorative headpiece worn by women as an alternative to a hat, typically featuring feathers, beads, flowers, or other ornamental elements attached to a small base that sits on the head. Fascinators are commonly worn at formal events such as weddings, horse races, and garden parties, particularly in British fashion culture. The headpiece is usually secured with a headband, comb, or clip and is designed to be elegant and eye-catching without the full coverage of a traditional hat.","noun","FAS-uh-nay-ter","From ""fascinate"" plus the suffix ""-or,"" literally meaning ""something that fascinates."" The headpiece is designed to attract attention and fascinate onlookers.","Latin, English","Claude","Claude","Claude","She chose an elegant _______ decorated with peacock feathers for her sister's wedding ceremony.","Claude","Remember ""FASCIN-ator"" - a headpiece designed to FASCINATE others, like a decorative attractor for attention.","Claude","1","4","1","3","","2020; 2021; 2022; 2023","2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf","One Bee; Two Bee","False","False",""
"fashionista","A fashionista is a person who is very interested in fashion and follows the latest trends closely, often someone who has an exceptional sense of style or works in the fashion industry. Fashionistas are typically early adopters of new styles and are often looked to by others for fashion advice and inspiration. The term can describe both professionals in fashion-related fields and enthusiastic consumers who make fashion a central part of their identity. Fashionistas often have extensive knowledge of designers, trends, and fashion history.","noun","fash-uh-NEES-tah","Blend of ""fashion"" and the Spanish suffix ""-ista"" (meaning ""one who follows""), popularized in the late 20th century fashion industry.","English, Spanish","Claude","Claude","Claude","As a dedicated _______, she spent hours each morning carefully selecting her outfit and accessories for the day.","Claude","Remember ""fashion-ISTA"" - like a fashion artISTA (artist) who lives and breathes style trends.","Claude","2","4","2","1","","2020; 2021; 2022; 2023; 2024","2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf","One Bee; Three Bee; Two Bee","False","False",""
"fast","Fast has multiple meanings depending on context. As an adjective, it means moving or happening quickly, or firmly fixed and secure. As an adverb, it describes rapid movement or action. As a verb, fast means to abstain from food, often for religious, health, or political reasons. The word can also describe something that is ahead of the correct time, as in a fast clock. In various contexts, fast emphasizes speed, security, or the deliberate avoidance of something.","adjective, adverb, verb, noun","FAST","From Old English ""fæst"" meaning ""firm"" or ""fixed."" The ""quick"" meaning developed from the idea of moving firmly or steadily.","Old English","Claude","Claude","Claude","The athlete ran _______ around the track, breaking the school record for the mile.","Claude","Remember ""FAST"" - whether moving quickly or holding firmly, it's about intensity and strength in action or position.","Claude","1","4","1","1","","2020; 2025","2020 Words_of_the_Champions.pdf; 2025 Words of Champion _1_.pdf","One Bee; Three Bee","False","False",""
"fasting","Fasting is the practice of abstaining from food, and sometimes drink, for a specified period of time. This practice can be undertaken for various reasons including religious observance, health benefits, protest, or spiritual purification. Religious fasting is common in many traditions, such as during Ramadan in Islam or Lent in Christianity. Medical fasting might be done before certain procedures or as part of dietary regimens. Fasting requires self-discipline and can have both physical and psychological effects on the person undertaking it.","noun, verb (present participle)","FAS-ting","From ""fast"" (to abstain from food) plus the suffix ""-ing."" The practice has ancient roots in religious and cultural traditions.","Old English","Claude","Claude","Claude","During the month of Ramadan, many Muslims observe _______ from sunrise to sunset as part of their religious practice.","Claude","Remember ""FAST-ing"" - going without food FAST, abstaining quickly and completely from eating.","Claude","1","4","1","1","","2023","2023_Words_of_the_Champions.pdf","Two Bee","False","False",""
