word,definition,part_of_speech,pronunciation_guide,etymology,language_origins,example_sentence,memory_tip,phonetic_transparency_score,word_frequency_score,morphological_complexity_score,etymology_complexity_score,difficulty,definition_source,pronunciation_source,etymology_source,memory_tip_source,example_sentence_source,source_difficulty,years,source_files,is_error,error_message
drift,To be carried slowly by a current of air or water; to move aimlessly or gradually away from an intended position or course. Can refer to physical movement or gradual change.,"verb, noun","DRIFT (rhymes with ""lift"")","From Middle English ""drift"" from Old Norse ""drifa"" meaning ""to drive."" Related to driving or pushing motion.",Old Norse,The boat began to _____ downstream when the anchor came loose.,"Remember ""DRIFT"" rhymes with ""lift"" - but instead of lifting up, you drift along without control.",10,9,2,4,,Claude,Claude,Claude,Claude,Claude,Three Bee,2025,2025 Words of Champion _1_.pdf,False,
drill,"A tool for making holes; repeated practice or training; to make holes or practice repeatedly. Can refer to equipment, exercise, or action.","noun, verb","DRIL (rhymes with ""will"")","From Middle Dutch ""drillen"" meaning ""to bore, pierce."" Related to turning and piercing tools.",Middle Dutch,The construction worker used a power _____ to make holes in the concrete wall.,"Simple ""DRILL"" rhymes with ""will"" - when you have the will to practice, you drill the skill.",10,9,2,4,,Claude,Claude,Claude,Claude,Claude,Two Bee,2022,2022 Words of the Champions_low_ink_printable.pdf,False,
drivel,Nonsense or silly talk; to talk in a childish or foolish way. Can also mean saliva flowing from the mouth.,"noun, verb",DRIV-ul (emphasis on first syllable),"From Old English ""dreflian"" meaning ""to dribble, slaver."" Related to flowing saliva or meaningless speech.",Old English,The critic dismissed the speech as meaningless _____ that said nothing important.,"Think ""DRIVel"" - nonsense talk that ""drives"" you crazy because it's so silly and meaningless.",10,7,2,4,,Claude,Claude,Claude,Claude,Claude,One Bee; Three Bee,2021; 2024; 2025,2021_Printable_Words of the Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,False,
driveljettison,,,,,,,,0,0,0,0,,Claude,Claude,Claude,Claude,Claude,One Bee,2020,2020 Words_of_the_Champions.pdf,True,"Combined word error: ""driveljettison"" appears to be ""drivel"" + ""jettison"" merged together. This is likely a PDF parsing error where two separate words were incorrectly combined."
drizzle,Light rain falling in very fine drops; to rain lightly; to pour liquid in a thin stream. Weather or cooking terminology.,"noun, verb",DRIZ-ul (emphasis on first syllable),"From Middle English ""drisnen"" meaning ""to fall."" Related to gentle falling motion.",Middle English,The chef decided to _____ olive oil over the salad just before serving.,"Remember ""DRIZzle"" - light rain that ""drips"" and ""sizzles"" gently, barely noticeable drops.",10,6,2,4,,Claude,Claude,Claude,Claude,Claude,One Bee; Two Bee,2020; 2021; 2022; 2023,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf,False,
droll,"Curious or unusual in a way that provokes dry amusement; having a humorous, whimsical, or odd quality.",adjective,"DROHL (rhymes with ""roll"")","From French ""drôle"" meaning ""funny, amusing."" Originally from Middle French meaning ""buffoon.""",French,His _____ sense of humor made even serious meetings more enjoyable.,"Remember ""DROLL"" rhymes with ""roll"" - droll humor makes you roll with laughter in a dry, witty way.",10,7,2,4,,Claude,Claude,Claude,Claude,Claude,Three Bee,2024,2024 Words of the Champions.pdf,False,
dromedary,"A one-humped camel, especially the Arabian camel used for riding and as a pack animal in desert regions.",noun,DROM-uh-dair-ee (emphasis on first syllable),"From Greek ""dromas"" meaning ""running"" + Latin ""dromedarius."" Named for its running ability.",Greek via Latin,The _____ can travel long distances across the desert without water.,"Think ""DROM-edary"" - a camel that can ""roam"" the ""arid"" desert with just one hump.",10,4,3,4,,Claude,Claude,Claude,Claude,Claude,One Bee,2020; 2021,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf,False,
dromic,Relating to running or racing; pertaining to courses or tracks. From Greek terminology about running.,adjective,DROH-mik (emphasis on first syllable),"From Greek ""dromos"" meaning ""running, course."" Related to athletic and racing terminology.",Greek,The ancient Greek _____ events included various types of running competitions.,"Remember ""DROM-ic"" - relating to the ""drome"" (course) where people run, like a hippodrome.",10,7,2,4,,Claude,Claude,Claude,Claude,Claude,Three Bee,2024; 2025,2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,False,
drone,A continuous low humming sound; a male bee; an unmanned aircraft; to make a continuous low sound.,"noun, verb","DROHN (rhymes with ""stone"")","From Old English ""drān"" meaning ""male bee."" Extended to mean continuous sound and aircraft.",Old English,The _____ of the air conditioner made it difficult to concentrate on work.,"Remember ""DRONE"" rhymes with ""tone"" - a continuous, monotonous tone or sound.",10,6,2,4,,Claude,Claude,Claude,Claude,Claude,Two Bee,2022,2022 Words of the Champions_low_ink_printable.pdf,False,
drool,To let saliva flow from the mouth; to show excessive desire or pleasure; saliva that flows from the mouth.,"verb, noun","DROOL (rhymes with ""pool"")","Variant of ""drivel,"" from Old English ""dreflian."" About flowing saliva.",Old English,The baby began to _____ when she saw the delicious birthday cake.,"Remember ""DROOL"" rhymes with ""pool"" - saliva forms a little pool when you drool.",10,6,2,4,,Claude,Claude,Claude,Claude,Claude,One Bee; Three Bee,2020; 2024,2020 Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf,False,
drooped,"Past tense of droop; bent or hung downward; sagged from weakness, fatigue, or lack of support.",verb,"DROOPT (rhymes with ""looped"")","From ""droop"" (from Old Norse ""drúpa"" meaning ""to hang the head"") + ""-ed"" suffix.",Old Norse,The flowers _____ in the heat because they hadn't been watered.,"Think ""DROOPED"" - things that drop down and loop downward from tiredness or heat.",10,6,3,4,,Claude,Claude,Claude,Claude,Claude,Three Bee,2024,2024 Words of the Champions.pdf,False,
dropped,Past tense of drop; let fall; stopped or discontinued; delivered or left at a place.,verb,"DROPT (rhymes with ""stopped"")","From ""drop"" (from Old English ""droppian"") + ""-ed"" suffix. About falling or letting fall.",Old English,She accidentally _____ her keys while rushing to catch the bus.,"Simple ""DROPPED"" - things that fell down because they were dropped, no longer held up.",10,9,3,4,,Claude,Claude,Claude,Claude,Claude,Three Bee,2024; 2025,2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,False,
