word,definition,example_sentence,source_difficulty,difficulty_level,difficulty_name,ai_difficulty_level,ai_difficulty_name,phonetic_transparency_score,word_frequency_score,morphology_score,etymology_score,difficulty_calculation_method,part_of_speech,pronunciation_guide,etymology,etymology_source,memory_tips,alternate_spellings,language_origin,definition_source,source_names,source_difficulties,frequency,original_source,source_access_date
themes,"Plural of theme; main subjects or central ideas in works of art, literature, or discussion.",The festival explored _____ of love and loss in classical music.,Three Bee,,,,,3.0,1.0,2.0,3.3,4-factor weighted model (overall_score: 2.31),noun (plural),THEEMZ (single syllable),"Plural of ""theme"", from Greek ""thema"" meaning ""something set down""",Claude,Think of multiple central ideas or subjects in different works,,Greek,Claude,Scripps National Spelling Bee,Three Bee,1.0,Scripps National Spelling Bee Words of the Champions (2025),2025-08-19
theodicy,The branch of theology that attempts to justify the existence of evil in a world created by a benevolent God.,The philosopher's _____ attempted to reconcile suffering with divine goodness.,One Bee,,,,,4.0,4.0,2.0,3.3,4-factor weighted model (overall_score: 3.36),noun,thee-OD-i-see (emphasis on second syllable),"From Greek ""theos"" (god) + ""dike"" (justice)",Claude,"Think ""theo-dice-y"" - rolling the dice on God's justice",,Greek,Claude,Scripps National Spelling Bee,One Bee,4.0,Scripps National Spelling Bee Words of the Champions (2020),2025-08-19
theomachy,A battle or conflict among gods; opposition to the will of God.,The epic poem described a fierce _____ between rival deities.,One Bee,,,,,4.0,4.0,2.0,3.3,4-factor weighted model (overall_score: 3.36),noun,thee-OM-uh-kee (emphasis on second syllable),"From Greek ""theos"" (god) + ""mache"" (battle)",Claude,"Think ""theo-macho"" - gods being macho and fighting",,Greek,Claude,Scripps National Spelling Bee,One Bee; Three Bee; Two Bee,4.0,"Scripps National Spelling Bee Words of the Champions (2020, 2021, 2022, 2023, 2024, 2025)",2025-08-19
theorem,A mathematical statement that has been proven true; a general principle or rule.,The Pythagorean _____ relates the sides of a right triangle.,One Bee,,,,,3.0,3.0,2.0,3.3,4-factor weighted model (overall_score: 2.81),noun,THEE-uh-rem (emphasis on first syllable),"From Greek ""theorema"", from ""theorein"" meaning ""to look at, observe""",Claude,"Think ""theo-rem"" - observing divine mathematical truths",,Greek,Claude,Scripps National Spelling Bee,One Bee; Three Bee; Two Bee,3.0,"Scripps National Spelling Bee Words of the Champions (2020, 2021, 2022, 2023, 2024, 2025)",2025-08-19
theosophy,A religious philosophy claiming direct insight into divine nature through spiritual contemplation.,She studied _____ to understand the mystical aspects of spirituality.,Three Bee,,,,,4.0,4.0,2.0,3.3,4-factor weighted model (overall_score: 3.36),noun,thee-OS-uh-fee (emphasis on second syllable),"From Greek ""theos"" (god) + ""sophia"" (wisdom)",Claude,"Think ""theo-sophy"" - wisdom about God and divine things",,Greek,Claude,Scripps National Spelling Bee,Three Bee,4.0,"Scripps National Spelling Bee Words of the Champions (2024, 2025)",2025-08-19
therapeutic,Having healing properties; relating to the treatment of disease or disorders.,The massage had a _____ effect on her sore muscles.,One Bee,,,,,4.0,4.0,3.0,3.3,4-factor weighted model (overall_score: 3.61),adjective,ther-uh-PYOO-tik (emphasis on third syllable),"From Greek ""therapeutikos"", from ""therapeuein"" meaning ""to heal""",Claude,"Think ""therapy-tic"" - relating to therapy and healing",,Greek,Claude,Scripps National Spelling Bee,One Bee,4.0,Scripps National Spelling Bee Words of the Champions (2020),2025-08-19
theravada,A school of Buddhism emphasizing individual enlightenment through meditation and moral conduct.,_____ Buddhism is practiced primarily in Sri Lanka and Southeast Asia.,Three Bee,,,,,3.0,4.0,2.0,4.0,4-factor weighted model (overall_score: 3.20),noun,ther-uh-VAH-duh (emphasis on third syllable),"From Pali ""theravada"", meaning ""doctrine of the elders""",Claude,"Think ""thera-vada"" - the way (vada) of the elder teachers (thera)",,Pali,Claude,Scripps National Spelling Bee,Three Bee; Two Bee,4.0,"Scripps National Spelling Bee Words of the Champions (2023, 2024, 2025)",2025-08-19
therefore,For that reason; as a result; consequently.,"It was raining heavily; _____, the picnic was cancelled.",Three Bee,,,,,3.0,1.0,2.0,1.3,4-factor weighted model (overall_score: 1.91),adverb,THAIR-for (emphasis on first syllable),"From Middle English ""therefore"", from ""there"" + ""fore""",Claude,"Think ""there-fore"" - for that reason over there",,Middle English,Claude,Scripps National Spelling Bee,Three Bee,1.0,Scripps National Spelling Bee Words of the Champions (2025),2025-08-19
theriatrics,The branch of veterinary medicine dealing with wild animals.,The zoo veterinarian specialized in _____ and exotic animal care.,One Bee,,,,,4.0,4.0,2.0,3.3,4-factor weighted model (overall_score: 3.36),noun,ther-ee-AT-riks (emphasis on third syllable),"From Greek ""therion"" (wild animal) + ""iatros"" (physician)",Claude,"Think ""theri-atrics"" - medical tricks for wild animals",,Greek,Claude,Scripps National Spelling Bee,One Bee; Three Bee; Two Bee,4.0,"Scripps National Spelling Bee Words of the Champions (2020, 2021, 2022, 2023, 2025)",2025-08-19
theriatricsnoun,"[COMBINED WORD ERROR] This appears to be two words incorrectly joined: ""theriatrics"" (veterinary medicine for wild animals) + ""noun"" (grammar term).",[ERROR - This combined word should not appear in spelling bee materials],Three Bee,,,,,4.0,4.0,2.0,4.0,4-factor weighted model (overall_score: 3.50),error - combined words,[PRONUNCIATION ERROR - COMBINED WORDS],[ETYMOLOGY ERROR - COMBINED WORDS],Claude,"This is a data error - should be separated into ""theriatrics"" and ""noun""",theriatrics + noun (separate words),ERROR - combined words,Claude,Scripps National Spelling Bee,Three Bee,4.0,Scripps National Spelling Bee Words of the Champions (2024),2025-08-19
thermohaline,Relating to ocean circulation driven by differences in water temperature and salinity.,The _____ circulation patterns affect global climate systems.,One Bee,,,,,4.0,4.0,2.0,3.3,4-factor weighted model (overall_score: 3.36),adjective,ther-moh-HAY-lyn (emphasis on third syllable),"From Greek ""thermos"" (heat) + ""halinos"" (of salt)",Claude,"Think ""thermo-haline"" - heat and salt driving ocean currents",,Greek,Claude,Scripps National Spelling Bee,One Bee,4.0,Scripps National Spelling Bee Words of the Champions (2020),2025-08-19
thermos,A vacuum-insulated container designed to keep liquids hot or cold; a thermal bottle.,She filled her _____ with hot coffee for the long hike.,One Bee,,,,,3.0,3.0,2.0,3.3,4-factor weighted model (overall_score: 2.81),noun,THUR-mohs (emphasis on first syllable),"From Greek ""thermos"" meaning ""hot""; originally a trademark",Claude,"Think ""thermo-s"" - keeping things at the right temperature",,Greek,Claude,Scripps National Spelling Bee,One Bee,3.0,Scripps National Spelling Bee Words of the Champions (2021),2025-08-19
thesmothete,"In ancient Athens, one of six junior archons who served as judges and legislators.",The _____ presided over important legal cases in ancient Athens.,Three Bee,,,,,3.0,4.0,2.0,3.3,4-factor weighted model (overall_score: 3.06),noun,THES-moh-theet (emphasis on first syllable),"From Greek ""thesmothetes"", from ""thesmos"" (law) + ""tithemi"" (to place)",Claude,"Think ""thesmo-thete"" - one who places (thete) laws (thesmo)",,Greek,Claude,Scripps National Spelling Bee,Three Bee,4.0,Scripps National Spelling Bee Words of the Champions (2025),2025-08-19
thespian,An actor or actress; relating to drama and the theater.,The talented _____ captivated audiences with her dramatic performances.,One Bee,,,,,3.0,4.0,2.0,3.3,4-factor weighted model (overall_score: 3.06),"noun, adjective",THES-pee-uhn (emphasis on first syllable),"From Thespis, legendary first actor in ancient Greek theater",Claude,"Think ""Thespis-ian"" - following the tradition of the first actor Thespis",,Greek (from proper name),Claude,Scripps National Spelling Bee,One Bee; Three Bee,4.0,"Scripps National Spelling Bee Words of the Champions (2020, 2021, 2024, 2025)",2025-08-19
thespiansubmersible,"[COMBINED WORD ERROR] This appears to be two words incorrectly joined: ""thespian"" (actor) + ""submersible"" (underwater vessel).",[ERROR - This combined word should not appear in spelling bee materials],Two Bee,,,,,4.0,4.0,3.0,4.0,4-factor weighted model (overall_score: 3.75),error - combined words,[PRONUNCIATION ERROR - COMBINED WORDS],[ETYMOLOGY ERROR - COMBINED WORDS],Claude,"This is a data error - should be separated into ""thespian"" and ""submersible""",thespian + submersible (separate words),ERROR - combined words,Claude,Scripps National Spelling Bee,Two Bee,4.0,"Scripps National Spelling Bee Words of the Champions (2022, 2023)",2025-08-19
thickened,Past tense of thicken; became thicker or denser; made more viscous.,The sauce _____ as it simmered on the stove.,Three Bee,,,,,4.0,4.0,2.0,4.0,4-factor weighted model (overall_score: 3.50),"verb (past tense), adjective",THIK-uhnd (emphasis on first syllable),"Past tense of ""thicken"", from ""thick"" + ""-en""",Claude,"Think ""thick-ened"" - became thick and finished",,English,Claude,Scripps National Spelling Bee,Three Bee,4.0,Scripps National Spelling Bee Words of the Champions (2025),2025-08-19
