word,years,source_files,source_difficulties,definition,part_of_speech,pronunciation_guide,pronunciation_audio_file,etymology,etymology_source,language_origins,example_sentence,example_sentence_source,memory_tip,phonetic_transparency_score,word_frequency_score,morphological_complexity_score,etymology_complexity_score,final_difficulty_rating,final_difficulty_source,notes,reviewed,needs_audio,has_image,image_description,is_error,error_details
espial,2022; 2023; 2024; 2025,2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee,"Espial is the act of watching or observing secretly; espionage or surveillance conducted to gather information without the knowledge of those being observed. This formal term describes covert observation activities that may involve spying, reconnaissance, or intelligence gathering. Espial can be conducted by individuals, organizations, or governments for various purposes including national security, criminal investigation, competitive intelligence, or personal reasons. The practice requires discretion, skill, and often specialized equipment or techniques to avoid detection while obtaining desired information. Historical espial methods ranged from simple eavesdropping to elaborate spy networks, while modern espial may involve sophisticated technology including surveillance cameras, electronic monitoring, and digital intelligence gathering. Legal and ethical considerations surround espial activities, with laws governing when and how surveillance may be conducted. Understanding espial helps recognize both legitimate security activities and potential violations of privacy rights. The term appears in literature, legal documents, and discussions of intelligence operations.",noun,es-PAHY-uhl,,"From Old French ""espial,"" from ""espier"" (to spy), possibly from Germanic origin related to ""spy."" The word evolved alongside espionage and related surveillance terms.",Claude,"Germanic, Old French",The detective's careful _______ of the suspect revealed important evidence for the investigation.,Claude,"Remember ""e-SPIAL"" - think ""e-spy-al"" meaning the action of electronic spying, or ""espial"" sounds like ""especially-al"" meaning especially watchful observation.",3,3,3,3,,,,False,True,False,,False,
esplanade,2020; 2021; 2022; 2023; 2024,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf,One Bee; Three Bee; Two Bee,"An esplanade is a long, open, level area, typically beside the sea or a river, designed for walking and public recreation. These broad walkways or promenades often feature paved surfaces, landscaping, and amenities such as benches, lighting, and viewing areas. Esplanades serve both practical and aesthetic purposes, providing pedestrian access along waterfront areas while creating attractive public spaces for leisure activities. Many coastal cities feature famous esplanades that become focal points for tourism, exercise, and community gatherings. The design of esplanades typically emphasizes unobstructed views of water, easy pedestrian access, and integration with surrounding urban development. Historical esplanades often reflected civic pride and urban planning ideals, demonstrating commitment to public spaces and quality of life. Modern esplanade design considers factors such as accessibility, sustainability, and resilience to sea-level rise. Understanding esplanades helps appreciate urban planning principles and the importance of public spaces in creating livable communities.",noun,ES-pluh-nayd,,"From French ""esplanade,"" from Spanish ""explanada,"" from Latin ""explanatus"" (flattened out), from ""explanare"" (to level, flatten).",Claude,"Latin, Spanish, French",The city's beautiful _______ along the harbor attracted thousands of visitors each weekend.,Claude,"Remember ""e-SPLA-nade"" - think ""e-splash-nade"" because esplanades are often beside water where you might splash, or ""esplanade"" sounds like ""explain-aid"" meaning it explains/shows off the waterfront.",3,3,3,3,,,,False,True,False,,False,
espousal,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"Espousal refers to the act of adopting, supporting, or advocating for a particular cause, belief, or principle. This formal term describes the process of embracing ideas, policies, or positions and actively promoting them. Espousal implies more than passive agreement; it suggests active commitment and willingness to defend or advance the adopted position. Political espousal involves supporting particular ideologies or policies, while intellectual espousal might involve adopting specific theories or methodologies. Religious espousal refers to embracing particular faith traditions or spiritual practices. The term can also refer to the act of marrying or becoming engaged, though this usage is less common in contemporary English. Successful espousal often requires understanding the principles being adopted and the ability to articulate their value to others. The concept emphasizes the voluntary nature of commitment and the responsibility that comes with advocacy. Understanding espousal helps recognize how individuals and organizations align themselves with particular values or causes.",noun,ih-SPOW-zuhl,,"From ""espouse"" (from Old French ""espouser,"" from Latin ""sponsare"" meaning ""to betroth"") + ""-al"" (suffix indicating action or result).",Claude,"Latin, Old French",The politician's _______ of environmental protection policies gained support from young voters.,Claude,"Remember ""e-SPOUS-al"" - think ""e-spouse-al"" like choosing a spouse, meaning choosing to marry yourself to an idea, or ""espousal"" contains ""spouse"" meaning to wed yourself to a cause.",3,3,3,3,,,,False,True,False,,False,
essential,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"Essential means absolutely necessary, indispensable, or forming the fundamental nature of something. This adjective describes elements that are so crucial they cannot be removed without fundamentally changing or destroying the whole. Essential components are those without which a system, process, or entity cannot function properly or maintain its identity. In biology, essential nutrients are those the body cannot produce and must obtain from food. Essential oils contain the concentrated essence of plants. Essential workers perform jobs critical to society's functioning. The term can describe both concrete necessities (essential supplies) and abstract concepts (essential qualities). Essential differs from merely important or useful; it indicates absolute necessity rather than high value. Understanding what is truly essential helps prioritize resources, make decisions, and focus on what matters most. The concept appears across fields from philosophy and science to business and personal development, always emphasizing fundamental importance and necessity.","adjective, noun",ih-SEN-shuhl,,"From Late Latin ""essentialis,"" from Latin ""essentia"" (essence), from ""esse"" (to be). The word emphasizes the ""being"" or core nature of something.",Claude,Latin,Clean water and adequate food are _______ for human survival and health.,Claude,"Remember ""e-SSENT-ial"" - think ""essence-ial"" meaning relating to the essence/core, or ""essential"" contains ""sent"" like scent which is the essence of smell.",3,3,3,3,,,,False,True,False,,False,
establishment,2021; 2022; 2023; 2024; 2025,2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,"Establishment refers to the action of setting up, founding, or creating something intended to be permanent, or to an organization, business, or institution that has been established. The term can describe the process of creating new entities (establishment of a company) or existing institutions (a medical establishment). In political contexts, ""the establishment"" often refers to the existing power structure, influential institutions, and traditional authority figures who maintain the status quo. Establishments can be commercial (restaurants, shops), institutional (schools, hospitals), or social (clubs, organizations). The concept implies stability, official recognition, and ongoing operation rather than temporary arrangements. Legal establishment involves formal recognition and compliance with regulations. Understanding establishment helps distinguish between formal, recognized institutions and informal arrangements. The term carries implications of authority, tradition, and sometimes resistance to change, particularly when used to describe existing power structures.",noun,ih-STAB-lish-muhnt,,"From ""establish"" (from Old French ""establir,"" from Latin ""stabilire"" meaning ""to make stable"") + ""-ment"" (suffix indicating result or means).",Claude,"Latin, Old French",The _______ of the new research center took three years of planning and construction.,Claude,"Remember ""e-STAB-lishment"" - think ""establish-ment"" meaning the mental/physical result of establishing, or ""establishment"" contains ""stable"" because established things are stable.",3,3,3,3,,,,False,True,False,,False,
estampies,2023,2023_Words_of_the_Champions.pdf,Two Bee,"Estampies are medieval musical compositions, typically instrumental dance pieces popular in European court music during the 13th and 14th centuries. These sophisticated musical forms featured repetitive melodic patterns with variations and were often performed for dancing at noble gatherings and ceremonial occasions. Estampies are among the earliest known examples of purely instrumental music in Western classical tradition, representing an important development in medieval musical composition. The structures typically consisted of multiple sections called ""puncta,"" each repeated with different endings (open and closed cadences). These compositions demonstrate the growing sophistication of medieval music and the development of complex rhythmic and melodic patterns. Estampies influenced later dance forms and contributed to the evolution of instrumental music. Modern performances of estampies provide insight into medieval court life and musical practices. Understanding estampies helps appreciate the historical development of Western music and the role of dance in medieval culture.",noun (plural),es-STAHM-peez,,"From Old French ""estampie,"" possibly from Provençal ""estampida"" (stamping), referring to the rhythmic stamping associated with these dance forms.",Claude,"Provençal, Old French",The medieval music ensemble performed several _______ to demonstrate court dance music from the 14th century.,Claude,"Remember ""e-STAMP-ies"" - think ""e-stamp-ies"" like electronic stamps because they're repeated patterns, or ""estampies"" sounds like ""he-stamp-ies"" meaning he stamps rhythmically to the dance music.",3,3,3,3,,,,False,True,False,,False,
estancia,2023; 2024; 2025,2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee,"An estancia is a large cattle ranch or agricultural estate, particularly common in Argentina, Uruguay, and other parts of South America. These extensive properties typically focus on livestock production, especially cattle and sheep, and often encompass thousands of acres of grassland suitable for grazing. Estancias represent an important part of South American agricultural heritage and economic development, serving as centers of rural life and livestock production. Traditional estancias often include the main house (casa principal), worker housing, barns, corrals, and other facilities necessary for ranch operations. Many historic estancias have been converted into tourist destinations, offering visitors experiences of rural life, horseback riding, traditional foods, and gaucho culture. The estancia system significantly influenced the social and economic development of the Pampas region. Modern estancias may combine traditional ranching with agricultural crops, tourism, or conservation efforts. Understanding estancias helps appreciate South American rural culture and the role of large-scale agriculture in regional development.",noun,es-TAHN-see-ah,,"From Spanish ""estancia,"" from ""estar"" (to stay, be), from Latin ""stare"" (to stand). Originally meant ""dwelling place"" or ""residence.""",Claude,"Latin, Spanish",The historic _______ offered guests an authentic experience of traditional Argentine ranch life.,Claude,"Remember ""e-STAN-cia"" - think ""e-stance-ia"" like a stance on land/property, or ""estancia"" sounds like ""he-stands-ia"" meaning where he stands on his ranch land.",3,3,3,3,,,,False,True,False,,False,
esteem,2021,2021_Printable_Words of the Champions.pdf,One Bee,"Esteem is respect, admiration, and favorable opinion, or the act of regarding someone or something with such positive regard. As a noun, esteem describes the positive reputation and respect that someone has earned through their actions, character, or achievements. As a verb, to esteem means to hold in high regard, value highly, or consider worthy of respect. Self-esteem refers to one's own sense of worth and confidence in personal value and abilities. High esteem typically results from demonstrated competence, moral character, and positive contributions to others or society. Professional esteem might be based on expertise and achievements, while personal esteem could stem from character traits and relationships. The concept is fundamental to psychology, education, and social relationships, as feeling esteemed by others contributes to well-being and motivation. Understanding esteem helps recognize the importance of mutual respect and appreciation in human relationships and personal development.","noun, verb",ih-STEEM,,"From Old French ""estimer,"" from Latin ""aestimare"" meaning ""to value, estimate, judge the worth of."" Related to ""estimate"" and ""estimation.""",Claude,"Latin, Old French",The teacher was held in high _______ by both students and colleagues for her dedication and expertise.,Claude,"Remember ""e-STEEM"" - think ""e-steam"" like the steam/energy that comes from being valued, or ""esteem"" sounds like ""he-steam"" meaning the warm feeling of being valued.",3,3,3,3,,,,False,True,False,,False,
esteemdifficulty,2022,2022 Words of the Champions_low_ink_printable.pdf,Two Bee,"This appears to be a combined word error from PDF parsing. It likely represents two separate words: ""esteem"" (respect and admiration) and ""difficulty"" (the state of being hard to accomplish). This combination does not form a valid English word.",error,N/A - invalid combination,,PDF parsing error - combination of unrelated terms,Claude,Error,N/A - This is not a valid word,Claude,"N/A - This is a parsing error, not a real word",3,3,3,3,,,,False,True,False,,True,"Combined word error: ""esteemdifficulty"" appears to be ""esteem"" + ""difficulty"" merged together. This is likely a PDF parsing error where two separate words were incorrectly combined."
esteemknack,2020,2020 Words_of_the_Champions.pdf,One Bee,"This appears to be a combined word error from PDF parsing. It likely represents two separate words: ""esteem"" (respect and admiration) and ""knack"" (a skill or talent). This combination does not form a valid English word.",error,N/A - invalid combination,,PDF parsing error - combination of unrelated terms,Claude,Error,N/A - This is not a valid word,Claude,"N/A - This is a parsing error, not a real word",3,3,3,3,,,,False,True,False,,True,"Combined word error: ""esteemknack"" appears to be ""esteem"" + ""knack"" merged together. This is likely a PDF parsing error where two separate words were incorrectly combined."
