word,definition,part_of_speech,pronunciation_guide,etymology,memory_tips,alternate_spellings,language_origin,example_sentence,years,source_files,source_difficulties,difficulty_phonetic,difficulty_frequency,difficulty_morphological,difficulty_etymology,difficulty_final,etymology_source,definition_source,pronunciation_source,example_sentence_source
cortex,"The outer layer of an organ or structure, especially the brain or kidney; the bark of a tree or plant. In neuroscience, the cerebral cortex is responsible for higher cognitive functions including thinking, memory, and consciousness. The term describes the outer, often functionally distinct layer that differs from the inner core or medulla.",noun,KOR-teks (/ˈkɔrtɛks/),"Latin, meaning ""bark, rind, shell""","Think of ""core + tex(ture)"" - the textured outer layer covering the core",None,Latin,The brain's _____ processes complex information and conscious thought.,2023; 2024; 2025,2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee,1.0,2.0,1.0,3.5,,Claude,Claude,Claude,Claude
corybantic,"Wild, frenzied, or ecstatic, especially in a way associated with religious or ritualistic dancing. This term refers to the frenzied worship of Cybele by her priests called Corybants in ancient Greek and Roman religion. It describes uncontrolled, passionate behavior that seems almost possessed or divinely inspired.",adjective,kor-uh-BAN-tik (/ˌkɔrəˈbæntɪk/),"From Greek ""korybantikos,"" relating to the Corybants (priests of Cybele)","Think ""cory + ban + tic"" - like frenzied priests banned from normal behavior",None,Greek,The _____ celebration featured wild dancing and ecstatic music.,2021; 2022; 2023; 2024; 2025,2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,1.0,3.0,1.5,3.5,,Claude,Claude,Claude,Claude
cost,"The amount of money required to purchase or obtain something; the sacrifice or loss involved in achieving a goal; to require a specified payment or sacrifice. Cost encompasses both financial price and non-monetary consequences like time, effort, or opportunity loss.","noun, verb",KOST (/kɔst/),"From Old French ""coste,"" from Latin ""constare"" (to stand together, cost)","Think of what something ""stands"" you - what you must pay or sacrifice",None,Old French/Latin,The _____ of education continues to rise faster than inflation.,2021,2021_Printable_Words of the Champions.pdf,One Bee,1.0,1.5,1.0,3.5,,Claude,Claude,Claude,Claude
costume,"Clothing worn to portray a character, represent a historical period, or for theatrical performance; the distinctive dress characteristic of a particular country, period, or class. Costumes serve decorative, educational, or entertainment purposes, often involving careful attention to historical accuracy or creative interpretation.","noun, verb",kos-TOOM (/kɔsˈtum/) or KOS-toom (/ˈkɔstum/),"From French ""costume,"" from Italian ""costume"" (custom, fashion)","Think ""custom"" clothing - special dress following customs or for characters",None,French/Italian,Her elaborate Victorian _____ won first prize at the historical reenactment.,2025,2025 Words of Champion _1_.pdf,Three Bee,1.0,2.5,1.0,2.5,,Claude,Claude,Claude,Claude
coterie,"A small, exclusive group of people with shared interests or tastes; an intimate circle of friends or associates. Coteries often form around common intellectual, artistic, or social pursuits. The term suggests exclusivity and close personal bonds among members who may influence each other's ideas and activities.",noun,KOH-tuh-ree (/ˈkoʊtəri/),"French, meaning ""group of tenants,"" from ""cote"" (quota, share)","Think ""co + tery"" - a territory shared by a close group of people",None,French,The literary _____ met weekly to discuss poetry and philosophy.,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,1.0,2.5,1.0,2.5,,Claude,Claude,Claude,Claude
cotoneaster,"A genus of flowering shrubs in the rose family, commonly used in landscaping for their attractive berries, autumn colors, and hardy nature. These versatile plants range from ground-covering to tree-sized species, often featuring small white or pink flowers followed by colorful red, orange, or black berries that attract birds.",noun,kuh-toh-nee-AS-tur (/kəˌtoʊniˈæstər/),"Latin, meaning ""quince-like,"" from ""cotoneum"" (quince) + ""-aster"" (resembling)","Think ""cotton + easter"" - shrubs with cotton-like flowers around spring time",None,Latin,The _____ shrubs provided year-round interest with spring flowers and autumn berries.,2023; 2024; 2025,2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee,1.0,3.5,2.0,3.5,,Claude,Claude,Claude,Claude
cotta,A short surplice worn by Catholic and Anglican clergy and choir members; a white vestment worn over other garments during religious services. This ecclesiastical garment typically reaches to the waist or hips and may be plain or decorated with lace. It represents clerical tradition and ceremonial dress.,noun,KOT-uh (/ˈkɒtə/),"From Medieval Latin ""cotta,"" possibly from Frankish ""kotta"" (coarse cloth)","Think ""coat + a"" - a special coat worn by religious officials",None,Medieval Latin,The altar server wore a white _____ over his dark cassock.,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,1.0,2.0,1.0,3.5,,Claude,Claude,Claude,Claude
cottage,"A small, simple house, typically in a rural or semi-rural setting; originally referring to the dwelling of a farm laborer or peasant. Modern cottages often serve as vacation homes or represent cozy, rustic architecture. The term evokes images of quaint, comfortable living in natural settings.",noun,KOT-ij (/ˈkɒtɪdʒ/),"From Middle English ""cotage,"" from ""cot"" (small house) + suffix ""-age""","Think ""cot + age"" - a small house from an earlier age",None,Middle English,They spent summers at a charming _____ by the lake.,2020,2020 Words_of_the_Champions.pdf,One Bee,1.0,2.5,1.0,2.0,,Claude,Claude,Claude,Claude
cotton,"A soft, fluffy fiber that grows around the seeds of cotton plants; fabric made from this fiber; to take a liking to something or understand it. Cotton is one of the most important natural fibers, used extensively in textile production. The plant requires warm climates and significant water for cultivation.","noun, verb",KOT-n (/ˈkɒtən/),"From Old French ""coton,"" from Arabic ""quṭun""","Think of soft, white fluffy material - like cotton balls or cotton clothing",None,Arabic (via Old French),The _____ shirt was comfortable and breathable in hot weather.,2025,2025 Words of Champion _1_.pdf,Three Bee,1.0,2.0,1.0,3.5,,Claude,Claude,Claude,Claude
cottonwood,"A fast-growing deciduous tree of the poplar family, native to North America, known for its triangular leaves and cotton-like seeds that float on the wind. Cottonwoods typically grow near water sources and can reach impressive heights. Their seeds create distinctive white, fluffy masses that drift through the air in late spring.",noun,KOT-n-wood (/ˈkɒtənˌwʊd/),"From ""cotton"" (referring to fluffy seeds) + ""wood"" (tree)",Think of cotton-like seeds floating from wood/trees in spring,None,English,The _____ trees released clouds of white seeds that filled the air.,2023,2023_Words_of_the_Champions.pdf,Two Bee,1.0,3.0,1.0,2.0,,Claude,Claude,Claude,Claude
cotyledon,The first leaf or leaves that appear when a seed germinates; a seed leaf that stores nutrients for the developing plant embryo. Cotyledons are often different in shape from the plant's mature leaves and may remain below ground or emerge above soil. They represent the plant's first photosynthetic structures.,noun,kot-uh-LEE-dn (/ˌkɒtəˈlidən/),"From Greek ""kotyledon,"" meaning ""cup-shaped cavity,"" from ""kotyle"" (cup)","Think ""coty (cup) + ledon (leaf)"" - cup-shaped first leaves of plants",None,Greek,"The bean's _____ emerged first, followed by the true leaves.",2025,2025 Words of Champion _1_.pdf,Three Bee,1.0,3.0,1.0,3.5,,Claude,Claude,Claude,Claude
couch,"A long upholstered piece of furniture for seating multiple people; to express in particular words or language; to lie down. As furniture, couches provide comfortable seating for relaxation and social gatherings. As a verb, it means to phrase or formulate language carefully.","noun, verb",KOWCH (/kaʊtʃ/),"From Old French ""couche,"" from ""coucher"" (to lie down)",Think of lying down comfortably - a place to couch or rest,None,Old French,She decided to _____ her criticism in diplomatic language.,2021,2021_Printable_Words of the Champions.pdf,One Bee,1.0,2.0,1.0,2.5,,Claude,Claude,Claude,Claude
cough,"A sudden, sharp expulsion of air from the lungs, often involuntary and used to clear the throat or airways; the act of making this sound. Coughs can be protective reflexes, symptoms of illness, or voluntary actions. They help remove irritants, mucus, or foreign particles from the respiratory system.","noun, verb",KAWF (/kɔf/),"From Middle English ""coughen,"" imitative of the sound","Think of the sound ""cough"" - an onomatopoeia for throat clearing",None,Middle English (imitative),His persistent _____ kept him awake throughout the night.,2020; 2021,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf,One Bee,1.6,2.0,1.0,2.0,,Claude,Claude,Claude,Claude
coulibiac,"A Russian fish pie traditionally made with salmon, rice, hard-boiled eggs, and herbs, all wrapped in pastry or pancakes. This elaborate dish represents classic Russian cuisine and requires considerable culinary skill to prepare properly. Coulibiac is often served at special occasions and demonstrates sophisticated cooking techniques.",noun,koo-lee-bee-AHK (/ˌkulɪbiˈɑk/),"Russian ""kulebyaka,"" a traditional fish pie","Think ""cool + libiac"" - a cool Russian fish pie that sounds exotic",Kulebyaka,Russian,The chef prepared an elaborate _____ for the Russian cultural dinner.,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,1.0,3.0,1.0,2.0,,Claude,Claude,Claude,Claude
coulisse,"The wings or side scenes of a theater stage; the backstage area; in French, refers to theater corridors or behind-the-scenes areas. Coulisse represents the hidden operational spaces of theatrical productions where actors prepare and technical work occurs away from audience view.",noun,koo-LEES (/kuˈlis/),"French, meaning ""groove, slide,"" from ""couler"" (to flow, slide)","Think ""cool + lees"" - the cool side areas where actors slide in and out of view",None,French,The actors waited nervously in the _____ before their entrance cue.,2023; 2024; 2025,2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee,1.0,2.5,1.0,2.5,,Claude,Claude,Claude,Claude
coulomb,"The standard unit of electric charge in the International System of Units, equal to the charge of approximately 6.24 × 10^18 electrons. Named after French physicist Charles-Augustin de Coulomb, this fundamental unit measures the quantity of electrical charge. One coulomb represents the amount of charge transferred by one ampere in one second.",noun,koo-LOHM (/kuˈloʊm/),"Named after Charles-Augustin de Coulomb, French physicist (1736-1806)","Think of ""cool + ohm"" - a unit related to electrical measurements",None,French (proper name),The capacitor stored exactly one _____ of electrical charge.,2020; 2021; 2022; 2023,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf,One Bee; Two Bee,1.5,2.5,1.0,2.5,,Claude,Claude,Claude,Claude
coulrophobia,"An abnormal or irrational fear of clowns. This specific phobia can cause intense anxiety, panic attacks, or avoidance behavior when encountering clowns or clown-related imagery. Coulrophobia may develop from negative childhood experiences or cultural portrayals of clowns as sinister figures.",noun,kool-ruh-FOH-bee-uh (/ˌkulrəˈfoʊbiə/),"From Greek ""kolobathron"" (stilt-walker) + ""phobos"" (fear)","Think ""clown + phobia"" - though it sounds like ""cool + phobia,"" it's fear of clowns",None,Greek,Her _____ made circus visits impossible due to intense fear of performers.,2022; 2023; 2024; 2025,2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee,1.3,3.5,1.5,3.5,,Claude,Claude,Claude,Claude
council,"An assembly of people meeting for consultation, deliberation, or advice; a governing or advisory body elected or appointed to manage affairs of a city, organization, or group. Councils make collective decisions, provide oversight, and represent constituent interests in democratic processes.",noun,KOWN-sil (/ˈkaʊnsəl/),"From Old French ""concile,"" from Latin ""concilium"" (assembly)","Think ""con + cil"" - people coming together to deliberate (not ""counsel"")",None,Old French/Latin,The city _____ voted unanimously to approve the new park development.,2025,2025 Words of Champion _1_.pdf,Three Bee,1.0,2.5,1.0,3.5,,Claude,Claude,Claude,Claude
count,"To determine the number of items in a group by assigning numbers in sequence; to include or consider; a European nobleman ranking above a baron; the total number reached by counting. Count encompasses mathematical enumeration, social inclusion, and aristocratic titles.","verb, noun",KOWNT (/kaʊnt/),"From Old French ""conter,"" from Latin ""computare"" (to calculate)","Think of calculating or computing numbers, or a noble title",None,Old French/Latin,Please _____ the votes carefully to ensure accuracy in the election.,2025,2025 Words of Champion _1_.pdf,Three Bee,1.0,2.0,1.0,3.5,,Claude,Claude,Claude,Claude
countenance,"A person's facial expression or appearance, especially as it reflects mood or character; to accept, approve, or tolerate something. As a noun, countenance describes the face as an indicator of inner state. As a verb, it means to sanction or permit behavior.","noun, verb",KOWN-tuh-nuhns (/ˈkaʊntənəns/),"From Old French ""contenance,"" from Latin ""continentia"" (restraint, demeanor)","Think ""count +enance"" - the face that counts or shows what you're thinking",None,Old French/Latin,His stern _____ revealed his disapproval of the proposal.,2021,2021_Printable_Words of the Champions.pdf,One Bee,1.0,3.5,1.5,3.5,,Claude,Claude,Claude,Claude
counterclockwise,"In the direction opposite to the movement of clock hands; from right to left when viewed from above. This directional term describes rotational movement that reverses the conventional clockwise direction. It's used in instructions, descriptions of mechanical operation, and spatial orientation.","adjective, adverb",kown-tur-KLOK-wyze (/ˈkaʊntərˌklɒkwaɪz/),"From ""counter-"" (opposite) + ""clockwise""","Think ""counter + clockwise"" - the opposite direction from clock hands",Anticlockwise (British),English,Turn the jar lid _____ to loosen it from the threads.,2024,2024 Words of the Champions.pdf,Three Bee,1.0,3.5,2.0,2.0,,Claude,Claude,Claude,Claude
counterfeit,"Made in exact imitation of something valuable with intent to deceive or defraud; fake or fraudulent. As a verb, counterfeit means to forge or imitate illegally. Counterfeiting involves creating false versions of currency, documents, or branded goods to deceive others.","adjective, noun, verb",KOWN-tur-fit (/ˈkaʊntərfɪt/),"From Old French ""contrefait,"" from ""contrefaire"" (to imitate)","Think ""counter + fit"" - something that fits counter to (opposite of) the real thing",None,Old French,The _____ twenty-dollar bills were detected by special ultraviolet scanners.,2023,2023_Words_of_the_Champions.pdf,Two Bee,1.0,3.5,1.5,2.5,,Claude,Claude,Claude,Claude
counterpart,"A person or thing that corresponds to or has the same function as another person or thing in a different place or situation; a duplicate or complement. Counterparts often exist in parallel organizations, matching roles, or equivalent positions across different contexts.",noun,KOWN-tur-part (/ˈkaʊntərˌpɑrt/),"From ""counter-"" (corresponding) + ""part"" (portion, role)","Think ""counter + part"" - the corresponding part on the other side",None,English,The American ambassador met with her British _____ to discuss trade agreements.,2024,2024 Words of the Champions.pdf,Three Bee,1.0,3.5,1.5,2.0,,Claude,Claude,Claude,Claude
countless,Too many to be counted; innumerable or extremely numerous. This term indicates quantity so large that enumeration becomes impractical or impossible. Countless suggests vast numbers that exceed normal counting capacity or patience.,adjective,KOWNT-lis (/ˈkaʊntlɪs/),"From ""count"" + suffix ""-less"" (without)","Think ""count + -less"" - so many that you can't count them all",None,English,She made _____ attempts to reach him before finally giving up.,2021,2021_Printable_Words of the Champions.pdf,One Bee,1.0,3.0,1.5,2.0,,Claude,Claude,Claude,Claude
country,"A nation with its own government and borders; the land outside cities and towns; rural areas characterized by farming, open spaces, and small communities. Country can refer to sovereign states, countryside landscapes, or regions with distinct cultural identities.","noun, adjective",KUN-tree (/ˈkʌntri/),"From Old French ""contrée,"" from Latin ""contra"" (opposite, facing)","Think of land that is ""against"" or ""opposite"" to urban areas - rural territory",None,Old French/Latin,They moved from the city to the _____ to enjoy a quieter lifestyle.,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,1.0,2.5,1.0,3.5,,Claude,Claude,Claude,Claude
county,"An administrative division within a state or country, typically serving as a unit of local government. Counties often contain multiple cities, towns, and rural areas under unified administration. They provide regional services like law enforcement, courts, and public health programs.",noun,KOWN-tee (/ˈkaʊnti/),"From Old French ""conté,"" from Latin ""comitatus"" (territory of a count)","Think ""count + -y"" - territory historically ruled by a count",None,Old French/Latin,The _____ sheriff was responsible for law enforcement in rural areas.,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,1.0,2.0,1.0,3.5,,Claude,Claude,Claude,Claude
coup,"A sudden, illegal seizure of government power; a brilliant, successful stroke or move; a surprising achievement. Political coups involve overthrowing established authority through force or deception. In general usage, coup describes any sudden, decisive action that achieves remarkable success.",noun,KOO (/ku/),"French, meaning ""blow, stroke,"" from Latin ""colpus""","Think of a sudden ""blow"" or strike - a quick, decisive action",None,French/Latin,The military _____ overthrew the government in a single night.,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,1.0,1.5,1.0,3.5,,Claude,Claude,Claude,Claude
coupon,"A voucher entitling the holder to a discount on a particular product or service; a detachable certificate used for obtaining goods, services, or discounts. Coupons serve as marketing tools to encourage purchases and customer loyalty while providing consumers with savings opportunities.",noun,KOO-pon (/ˈkupɒn/) or KYOO-pon (/ˈkjupɒn/),"French, meaning ""piece cut off,"" from ""couper"" (to cut)","Think of something ""cut off"" or detached - a cut-out discount certificate",None,French,The grocery store _____ saved her three dollars on laundry detergent.,2020,2020 Words_of_the_Champions.pdf,One Bee,1.0,2.0,1.0,2.5,,Claude,Claude,Claude,Claude
courage,"The ability to do something that frightens or challenges you; mental or moral strength to persevere and withstand danger, fear, or difficulty. Courage involves facing adversity with determination despite natural instincts for self-preservation. It encompasses both physical bravery and moral fortitude.",noun,KUR-ij (/ˈkɜrɪdʒ/),"From Old French ""corage,"" from Latin ""cor"" (heart)","Think ""cor (heart) + age"" - having heart or spirit to face challenges",None,Old French/Latin,It took tremendous _____ for her to speak out against injustice.,2020; 2021; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee,1.0,2.5,1.0,3.5,,Claude,Claude,Claude,Claude
courant,"Running or flowing; current or present; a lively baroque dance in triple time. In historical contexts, courant refers to newspapers or current events publications. As a dance term, it describes a spirited court dance popular in the 17th and 18th centuries.","adjective, noun",koo-RAHNT (/kuˈrɑnt/),"French, meaning ""running, current,"" from ""courir"" (to run)","Think ""current"" - something running or flowing in the present time",None,French,The baroque suite included a spirited _____ after the sarabande.,2020; 2021; 2022; 2023; 2024; 2025,2020 Words_of_the_Champions.pdf; 2021_Printable_Words of the Champions.pdf; 2022 Words of the Champions_low_ink_printable.pdf; 2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,One Bee; Three Bee; Two Bee,1.0,2.5,1.0,2.5,,Claude,Claude,Claude,Claude
courgette,British term for zucchini; a small vegetable marrow harvested when young and tender. Courgettes are cylindrical green squashes belonging to the cucumber and melon family. They're versatile vegetables used in numerous culinary applications from salads to baked goods.,noun,koor-ZHET (/kʊrˈʒɛt/),"French, diminutive of ""courge"" (gourd, squash)","Think ""court + ette"" - a small court-sized squash (British for zucchini)",Zucchini (American),French,The garden produced an abundant harvest of _____ throughout the summer.,2023; 2024; 2025,2023_Words_of_the_Champions.pdf; 2024 Words of the Champions.pdf; 2025 Words of Champion _1_.pdf,Three Bee; Two Bee,1.0,3.0,1.0,2.5,,Claude,Claude,Claude,Claude
